B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 1.583, 110, S03, B03, 1
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 3
B10, Trade, 4.450, 134, B10, S02, 1
B10, Trade, 149.033, 146, B10, S06, 1
B10, Trade, 285.867, 162, B10, S01, 1
B11, 0
B12, 8
B12, Trade, 61.367, 147, B12, S01, 1
B12, Trade, 145.517, 155, B12, S03, 1
B12, Trade, 181.217, 159, B12, S04, 1
B12, Trade, 196.950, 160, B12, S06, 1
B12, Trade, 243.767, 162, B12, S06, 1
B12, Trade, 270.183, 168, B12, S03, 1
B12, Trade, 278.383, 169, B12, S03, 1
B12, Trade, 284.750, 168, B12, S05, 1
B13, 0
B14, 11
B14, Trade, 240.333, 172, B14, S06, 1
B14, Trade, 244.683, 164, B14, S01, 1
B14, Trade, 252.717, 173, B14, S03, 1
B14, Trade, 261.717, 174, B14, S06, 1
B14, Trade, 266.000, 169, B14, S06, 1
B14, Trade, 267.317, 172, S08, B14, 1
B14, Trade, 273.150, 170, B14, S06, 1
B14, Trade, 281.867, 176, S14, B14, 1
B14, Trade, 288.917, 177, B14, S13, 1
B14, Trade, 293.600, 177, B14, S05, 1
B14, Trade, 295.483, 178, B14, S02, 1
B15, 36
B15, Trade, 8.300, 148, B15, S00, 1
B15, Trade, 20.383, 152, B15, S06, 1
B15, Trade, 25.483, 151, B15, S01, 1
B15, Trade, 27.950, 151, B15, S06, 1
B15, Trade, 37.933, 153, B15, S01, 1
B15, Trade, 54.150, 155, B15, S06, 1
B15, Trade, 59.783, 156, B15, S03, 1
B15, Trade, 71.900, 157, B15, S00, 1
B15, Trade, 75.350, 155, B15, S01, 1
B15, Trade, 81.333, 154, B15, S01, 1
B15, Trade, 86.850, 155, B15, S04, 1
B15, Trade, 97.283, 159, B15, S03, 1
B15, Trade, 117.483, 161, B15, S01, 1
B15, Trade, 124.700, 160, B15, S03, 1
B15, Trade, 134.333, 163, B15, S06, 1
B15, Trade, 146.333, 159, S02, B15, 1
B15, Trade, 155.683, 162, B15, S03, 1
B15, Trade, 157.733, 165, B15, S11, 1
B15, Trade, 182.267, 164, B15, S00, 1
B15, Trade, 189.383, 167, B15, S01, 1
B15, Trade, 194.333, 167, B15, S03, 1
B15, Trade, 201.750, 168, B15, S03, 1
B15, Trade, 212.233, 171, B15, S11, 1
B15, Trade, 214.283, 163, S08, B15, 1
