B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 3
B14, Trade, 276.000, 173, S00, B14, 1
B14, Trade, 286.233, 176, B14, S06, 1
B14, Trade, 288.450, 177, B14, S11, 1
B15, 17
B15, Trade, 16.133, 152, B15, S08, 1
B15, Trade, 19.783, 152, S00, B15, 1
B15, Trade, 22.800, 153, S00, B15, 1
B15, Trade, 30.017, 154, B15, S11, 1
B15, Trade, 36.117, 154, B15, S11, 1
B15, Trade, 65.300, 157, B15, S05, 1
B15, Trade, 84.667, 159, B15, S15, 1
B15, Trade, 101.850, 161, B15, S10, 1
B15, Trade, 151.517, 166, B15, S13, 1
B15, Trade, 168.267, 167, B15, S14, 1
B15, Trade, 180.267, 169, B15, S10, 1
B15, Trade, 192.217, 170, B15, S11, 1
B15, Trade, 240.817, 175, B15, S11, 1
B15, Trade, 251.467, 176, B15, S03, 1
B15, Trade, 274.067, 178, B15, S13, 1
B15, Trade, 283.183, 179, B15, S02, 1
B15, Trade, 296.383, 180, B15, S02, 1
B16, 41
B16, Trade, 5.417, 155, B16, S05, 1
B16, Trade, 6.950, 156, B16, S00, 1
B16, Trade, 13.533, 156, S05, B16, 1
B16, Trade, 17.117, 153, S04, B16, 1
B16, Trade, 22.367, 155, S05, B16, 1
B16, Trade, 29.317, 155, S13, B16, 1
B16, Trade, 30.600, 156, S05, B16, 1
B16, Trade, 40.200, 159, S08, B16, 1
B16, Trade, 45.067, 159, S15, B16, 1
B16, Trade, 49.117, 160, B16, S14, 1
B16, Trade, 54.600, 160, B16, S08, 1
B16, Trade, 61.850, 161, B16, S08, 1
B16, Trade, 65.317, 160, S04, B16, 1
B16, Trade, 67.200, 162, B16, S04, 1
B16, Trade, 101.333, 165, B16, S13, 1
B16, Trade, 103.917, 165, B16, S11, 1
B16, Trade, 125.000, 167, B16, S01, 1
B16, Trade, 145.117, 169, B16, S08, 1
B16, Trade, 148.583, 170, S01, B16, 1
B16, Trade, 153.783, 170, B16, S11, 1
B16, Trade, 167.683, 171, B16, S11, 1
B16, Trade, 172.867, 172, B16, S05, 1
B16, Trade, 179.650, 170, S08, B16, 1
B16, Trade, 182.900, 172, S04, B16, 1
B16, Trade, 190.867, 174, B16, S00, 1
B16, Trade, 197.683, 175, B16, S00, 1
B16, Trade, 201.400, 175, B16, S11, 1
B16, Trade, 216.233, 177, S13, B16, 1
B16, Trade, 221.150, 177, S05, B16, 1
B16, Trade, 221.817, 177, S00, B16, 1
B16, Trade, 232.450, 178, B16, S01, 1
B16, Trade, 237.150, 179, B16, S01, 1
B16, Trade, 250.350, 180, B16, S08, 1
B16, Trade, 255.083, 175, S02, B16, 1
B16, Trade, 258.333, 181, S13, B16, 1
B16, Trade, 271.050, 182, S13, B16, 1
B16, Trade, 272.483, 182, B16, S03, 1
B16, Trade, 281.900, 183, B16, S06, 1
B16, Trade, 284.250, 183, B16, S13, 1
B16, Trade, 290.117, 184, B16, S06, 1
B16, Trade, 297.200, 184, B16, S03, 1
B17, 3
B17, Trade, 74.717, 165, B17, S00, 1
B17, Trade, 250.817, 179, B17, S06, 1
B17, Trade, 278.000, 173, S00, B17, 1
B18, 11
B18, Trade, 247.933, 186, S18, B18, 1
B18, Trade, 253.483, 172, S06, B18, 1
B18, Trade, 260.950, 181, S13, B18, 1
B18, Trade, 265.833, 182, S13, B18, 1
B18, Trade, 269.433, 189, B18, S11, 1
B18, Trade, 271.483, 184, S00, B18, 1
B18, Trade, 282.017, 189, S14, B18, 1
B18, Trade, 288.083, 190, S04, B18, 1
B18, Trade, 291.533, 191, B18, S12, 1
B18, Trade, 293.200, 191, B18, S01, 1
B18, Trade, 298.867, 186, S00, B18, 1
B19, 42
B19, Trade, 6.317, 158, B19, S00, 1
B19, Trade, 18.483, 150, B19, S01, 1
B19, Trade, 27.117, 158, B19, S08, 1
B19, Trade, 29.917, 156, S00, B19, 1
B19, Trade, 35.183, 162, B19, S15, 1
B19, Trade, 38.950, 159, B19, S13, 1
B19, Trade, 45.950, 157, B19, S08, 1
B19, Trade, 50.183, 157, B19, S15, 1
B19, Trade, 54.933, 160, B19, S11, 1
B19, Trade, 62.367, 160, B19, S11, 1
B19, Trade, 70.917, 167, S13, B19, 1
B19, Trade, 72.917, 168, S01, B19, 1
B19, Trade, 81.867, 169, B19, S11, 1
B19, Trade, 87.567, 165, B19, S01, 1
B19, Trade, 97.667, 168, B19, S16, 1
B19, Trade, 100.850, 166, B19, S11, 1
B19, Trade, 112.350, 171, B19, S11, 1
B19, Trade, 117.033, 171, B19, S11, 1
B19, Trade, 119.600, 170, B19, S09, 1
B19, Trade, 126.700, 168, B19, S15, 1
B19, Trade, 134.350, 177, B19, S11, 1
B19, Trade, 136.150, 172, S01, B19, 1
B19, Trade, 158.633, 167, B19, S11, 1
B19, Trade, 174.567, 173, B19, S01, 1
B19, Trade, 186.150, 174, B19, S00, 1
B19, Trade, 189.467, 175, B19, S04, 1
B19, Trade, 198.833, 174, S08, B19, 1
B19, Trade, 203.050, 177, B19, S15, 1
B19, Trade, 214.433, 178, B19, S04, 1
B19, Trade, 226.367, 176, B19, S11, 1
B19, Trade, 231.833, 180, B19, S11, 1
B19, Trade, 234.183, 176, B19, S11, 1
B19, Trade, 240.883, 174, B19, S09, 1
