B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 5
B12, Trade, 0.917, 141, S02, B12, 1
B12, Trade, 43.550, 145, B12, S01, 1
B12, Trade, 108.217, 152, B12, S01, 1
B12, Trade, 155.783, 156, B12, S08, 1
B12, Trade, 267.383, 168, B12, S05, 1
B13, 0
B14, 4
B14, Trade, 250.950, 173, B14, S05, 1
B14, Trade, 263.233, 174, B14, S00, 1
B14, Trade, 291.433, 177, B14, S03, 1
B14, Trade, 292.367, 177, S02, B14, 1
B15, 9
B15, Trade, 247.300, 176, B15, S03, 1
B15, Trade, 261.367, 177, B15, S04, 1
B15, Trade, 264.267, 175, S10, B15, 1
B15, Trade, 268.900, 170, S02, B15, 1
B15, Trade, 274.117, 178, S09, B15, 1
B15, Trade, 280.183, 179, B15, S08, 1
B15, Trade, 285.083, 179, B15, S07, 1
B15, Trade, 291.867, 175, S08, B15, 1
B15, Trade, 296.783, 179, S10, B15, 1
B16, 27
B16, Trade, 9.433, 151, B16, S00, 1
B16, Trade, 26.167, 157, B16, S01, 1
B16, Trade, 27.417, 156, B16, S15, 1
B16, Trade, 39.350, 156, B16, S15, 1
B16, Trade, 41.767, 157, B16, S10, 1
B16, Trade, 48.950, 158, B16, S01, 1
B16, Trade, 63.450, 160, B16, S04, 1
B16, Trade, 79.350, 162, B16, S15, 1
B16, Trade, 107.817, 165, B16, S15, 1
B16, Trade, 113.567, 162, S15, B16, 1
B16, Trade, 124.483, 163, S15, B16, 1
B16, Trade, 142.733, 168, B16, S04, 1
B16, Trade, 147.300, 169, B16, S00, 1
B16, Trade, 156.283, 164, S02, B16, 1
B16, Trade, 164.983, 164, B16, S08, 1
B16, Trade, 174.900, 170, B16, S02, 1
B16, Trade, 185.433, 171, B16, S03, 1
B16, Trade, 219.133, 175, B16, S08, 1
B16, Trade, 226.700, 174, B16, S02, 1
B16, Trade, 240.767, 178, B16, S15, 1
B16, Trade, 247.050, 177, B16, S04, 1
B16, Trade, 250.217, 173, S07, B16, 1
B16, Trade, 258.767, 179, B16, S02, 1
B16, Trade, 264.833, 170, B16, S04, 1
B16, Trade, 276.583, 179, B16, S02, 1
B16, Trade, 288.783, 180, B16, S06, 1
B16, Trade, 294.967, 174, B16, S03, 1
B17, 57
B17, Trade, 4.933, 152, S12, B17, 1
B17, Trade, 9.483, 153, S06, B17, 1
B17, Trade, 11.167, 159, B17, S01, 1
B17, Trade, 22.550, 160, B17, S15, 1
B17, Trade, 29.600, 157, S06, B17, 1
B17, Trade, 30.750, 159, S09, B17, 1
B17, Trade, 38.700, 162, S12, B17, 1
B17, Trade, 43.933, 149, S02, B17, 1
B17, Trade, 48.433, 163, B17, S08, 1
B17, Trade, 52.067, 162, S06, B17, 1
B17, Trade, 55.950, 161, S13, B17, 1
B17, Trade, 63.983, 160, S11, B17, 1
B17, Trade, 70.650, 162, S13, B17, 1
B17, Trade, 73.433, 161, S12, B17, 1
B17, Trade, 77.550, 166, S09, B17, 1
B17, Trade, 83.717, 163, S16, B17, 1
B17, Trade, 87.350, 165, S10, B17, 1
B17, Trade, 95.433, 167, B17, S00, 1
B17, Trade, 100.183, 168, B17, S15, 1
B17, Trade, 109.533, 155, S09, B17, 1
B17, Trade, 112.783, 169, B17, S06, 1
B17, Trade, 115.817, 170, S09, B17, 1
B17, Trade, 127.650, 170, S11, B17, 1
B17, Trade, 130.633, 171, B17, S03, 1
B17, Trade, 136.400, 171, B17, S15, 1
B17, Trade, 138.900, 172, B17, S01, 1
B17, Trade, 144.617, 171, S11, B17, 1
B17, Trade, 146.700, 172, S12, B17, 1
B17, Trade, 155.383, 170, S11, B17, 1
B17, Trade, 161.517, 166, S12, B17, 1
B17, Trade, 162.800, 163, S13, B17, 1
B17, Trade, 166.383, 170, S06, B17, 1
B17, Trade, 176.033, 174, S01, B17, 1
B17, Trade, 178.250, 176, B17, S04, 1
B17, Trade, 186.367, 175, S09, B17, 1
B17, Trade, 194.517, 177, B17, S03, 1
B17, Trade, 200.733, 177, S10, B17, 1
B17, Trade, 207.017, 179, B17, S03, 1
B17, Trade, 211.250, 179, B17, S15, 1
B17, Trade, 213.617, 179, B17, S13, 1
B17, Trade, 217.667, 177, S11, B17, 1
B17, Trade, 227.817, 176, S12, B17, 1
B17, Trade, 230.717, 176, S10, B17, 1
B17, Trade, 233.983, 181, B17, S15, 1
B17, Trade, 239.850, 182, B17, S13, 1
B17, Trade, 242.633, 181, S05, B17, 1
B17, Trade, 250.100, 175, S11, B17, 1
B17, Trade, 253.617, 183, S17, B17, 1
B17, Trade, 257.100, 182, S02, B17, 1
B17, Trade, 264.967, 177, S06, B17, 1
B17, Trade, 269.750, 169, S09, B17, 1
B17, Trade, 275.967, 180, S12, B17, 1
B17, Trade, 279.683, 184, S10, B17, 1
B17, Trade, 282.250, 184, S12, B17, 1
B17, Trade, 293.100, 180, S10, B17, 1
B17, Trade, 295.983, 179, S06, B17, 1
B17, Trade, 297.150, 180, S15, B17, 1
B18, 36
B18, Trade, 8.100, 152, B18, S11, 1
B18, Trade, 17.400, 161, B18, S01, 1
B18, Trade, 23.533, 160, B18, S08, 1
B18, Trade, 35.550, 161, B18, S13, 1
B18, Trade, 40.300, 158, B18, S04, 1
B18, Trade, 42.917, 151, S13, B18, 1
B18, Trade, 63.400, 161, B18, S13, 1
B18, Trade, 73.133, 159, B18, S15, 1
B18, Trade, 77.483, 162, S02, B18, 1
B18, Trade, 85.500, 161, B18, S00, 1
B18, Trade, 97.983, 168, B18, S13, 1
B18, Trade, 107.283, 171, B18, S09, 1
B18, Trade, 118.217, 168, B18, S15, 1
B18, Trade, 126.767, 168, B18, S15, 1
B18, Trade, 139.350, 170, B18, S03, 1
B18, Trade, 141.650, 170, S02, B18, 1
B18, Trade, 147.550, 167, B18, S01, 1
B18, Trade, 152.933, 171, S02, B18, 1
B18, Trade, 155.417, 169, B18, S15, 1
B18, Trade, 173.950, 170, B18, S11, 1
B18, Trade, 190.450, 178, B18, S15, 1
B18, Trade, 199.767, 176, B18, S03, 1
B18, Trade, 209.867, 176, B18, S00, 1
B18, Trade, 216.433, 175, B18, S06, 1
B18, Trade, 221.183, 175, B18, S01, 1
B18, Trade, 224.950, 174, B18, S09, 1
B18, Trade, 231.267, 175, S09, B18, 1
B18, Trade, 240.333, 182, B18, S03, 1
B18, Trade, 246.717, 178, B18, S07, 1
B18, Trade, 252.500, 173, B18, S07, 1
B18, Trade, 260.600, 179, B18, S08, 1
B18, Trade, 268.133, 169, B18, S07, 1
B18, Trade, 280.483, 178, B18, S04, 1
B18, Trade, 283.500, 181, B18, S05, 1
B18, Trade, 286.450, 179, B18, S10, 1
B18, Trade, 294.050, 175, B18, S07, 1
B19, 44
B19, Trade, 1.533, 138, S10, B19, 1
B19, Trade, 6.500, 153, B19, S10, 1
B19, Trade, 17.333, 164, S18, B19, 1
B19, Trade, 27.650, 160, S10, B19, 1
B19, Trade, 37.517, 160, S02, B19, 1
B19, Trade, 48.300, 166, B19, S11, 1
B19, Trade, 51.800, 162, S02, B19, 1
B19, Trade, 59.117, 167, S02, B19, 1
B19, Trade, 65.033, 158, S09, B19, 1
B19, Trade, 75.533, 163, S13, B19, 1
B19, Trade, 79.750, 166, S10, B19, 1
B19, Trade, 85.767, 160, B19, S15, 1
B19, Trade, 89.167, 166, S09, B19, 1
