B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 122.867, 125, B04, S01, 1
B05, 0
B06, 1
B06, Trade, 0.883, 103, S01, B06, 1
B07, 6
B07, Trade, 58.450, 128, B07, S01, 1
B07, Trade, 64.000, 127, B07, S01, 1
B07, Trade, 81.133, 128, B07, S04, 1
B07, Trade, 124.983, 134, B07, S04, 1
B07, Trade, 157.733, 139, B07, S02, 1
B07, Trade, 173.450, 139, B07, S04, 1
B08, 3
B08, Trade, 29.817, 127, B08, S01, 1
B08, Trade, 98.833, 134, B08, S01, 1
B08, Trade, 173.217, 144, B08, S02, 1
B09, 1
B09, Trade, 219.450, 151, B09, S01, 1
B10, 25
B10, Trade, 4.500, 134, B10, S00, 1
B10, Trade, 27.550, 136, B10, S04, 1
B10, Trade, 30.517, 137, B10, S06, 1
B10, Trade, 35.817, 135, S06, B10, 1
B10, Trade, 40.883, 138, B10, S04, 1
B10, Trade, 50.083, 139, B10, S01, 1
B10, Trade, 55.083, 139, B10, S01, 1
B10, Trade, 62.383, 140, S08, B10, 1
B10, Trade, 78.933, 141, B10, S04, 1
B10, Trade, 80.050, 142, B10, S02, 1
B10, Trade, 81.667, 138, S08, B10, 1
B10, Trade, 87.383, 143, B10, S04, 1
B10, Trade, 98.800, 144, B10, S02, 1
B10, Trade, 110.650, 145, B10, S02, 1
B10, Trade, 119.083, 146, B10, S05, 1
B10, Trade, 126.117, 143, S05, B10, 1
B10, Trade, 131.083, 147, B10, S09, 1
B10, Trade, 147.933, 148, B10, S04, 1
B10, Trade, 156.117, 149, B10, S09, 1
B10, Trade, 156.900, 150, B10, S04, 1
B10, Trade, 163.467, 147, S09, B10, 1
B10, Trade, 170.850, 151, B10, S09, 1
B10, Trade, 174.017, 148, S09, B10, 1
B10, Trade, 188.067, 152, B10, S04, 1
B10, Trade, 212.533, 155, B10, S01, 1
B11, 2
B11, Trade, 252.233, 162, B11, S02, 1
B11, Trade, 298.583, 167, B11, S02, 1
B12, 6
B12, Trade, 9.100, 138, S11, B12, 1
B12, Trade, 61.317, 135, B12, S04, 1
B12, Trade, 110.917, 141, B12, S04, 1
B12, Trade, 135.233, 152, B12, S02, 1
B12, Trade, 189.817, 159, S03, B12, 1
B12, Trade, 216.867, 149, B12, S06, 1
B13, 42
B13, Trade, 3.350, 144, B13, S04, 1
B13, Trade, 9.767, 126, B13, S04, 1
B13, Trade, 17.333, 145, B13, S06, 1
B13, Trade, 20.617, 146, B13, S01, 1
B13, Trade, 24.133, 142, B13, S09, 1
B13, Trade, 30.133, 134, B13, S09, 1
B13, Trade, 33.850, 137, S00, B13, 1
B13, Trade, 39.717, 148, B13, S09, 1
B13, Trade, 49.433, 147, B13, S04, 1
B13, Trade, 58.183, 143, B13, S04, 1
B13, Trade, 58.733, 127, B13, S02, 1
B13, Trade, 70.267, 143, B13, S01, 1
B13, Trade, 72.767, 146, B13, S02, 1
B13, Trade, 77.667, 150, S03, B13, 1
B13, Trade, 85.267, 152, B13, S02, 1
B13, Trade, 97.400, 144, B13, S04, 1
B13, Trade, 102.350, 147, B13, S02, 1
B13, Trade, 109.133, 155, B13, S07, 1
B13, Trade, 114.783, 155, B13, S04, 1
B13, Trade, 132.067, 157, B13, S09, 1
B13, Trade, 135.600, 151, B13, S01, 1
B13, Trade, 138.300, 154, B13, S02, 1
B13, Trade, 147.733, 150, B13, S02, 1
B13, Trade, 155.950, 159, B13, S01, 1
B13, Trade, 163.650, 137, B13, S04, 1
B13, Trade, 169.900, 153, B13, S01, 1
