B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 1
B13, Trade, 280.233, 172, B13, S13, 1
B14, 6
B14, Trade, 148.983, 163, B14, S10, 1
B14, Trade, 151.583, 163, B14, S12, 1
B14, Trade, 248.133, 172, B14, S00, 1
B14, Trade, 265.233, 174, B14, S10, 1
B14, Trade, 268.550, 175, B14, S13, 1
B14, Trade, 294.467, 177, B14, S09, 1
B15, 14
B15, Trade, 2.800, 145, B15, S13, 1
B15, Trade, 29.717, 154, B15, S09, 1
B15, Trade, 147.250, 165, B15, S01, 1
B15, Trade, 181.750, 169, B15, S13, 1
B15, Trade, 240.383, 175, B15, S13, 1
B15, Trade, 243.750, 175, B15, S03, 1
B15, Trade, 252.550, 174, S01, B15, 1
B15, Trade, 256.033, 176, S02, B15, 1
B15, Trade, 261.150, 176, S08, B15, 1
B15, Trade, 263.767, 176, S14, B15, 1
B15, Trade, 270.933, 178, B15, S05, 1
B15, Trade, 278.150, 178, B15, S03, 1
B15, Trade, 291.400, 180, B15, S01, 1
B15, Trade, 297.883, 179, B15, S05, 1
B16, 0
B17, 2
B17, Trade, 90.517, 165, B17, S00, 1
B17, Trade, 267.483, 175, S07, B17, 1
B18, 45
B18, Trade, 4.550, 162, B18, S11, 1
B18, Trade, 9.683, 163, B18, S02, 1
B18, Trade, 11.383, 163, B18, S13, 1
B18, Trade, 24.900, 164, B18, S08, 1
B18, Trade, 28.150, 158, S14, B18, 1
B18, Trade, 35.050, 165, S18, B18, 1
B18, Trade, 38.950, 160, S09, B18, 1
B18, Trade, 49.600, 166, S07, B18, 1
B18, Trade, 52.733, 167, S08, B18, 1
B18, Trade, 57.067, 167, S18, B18, 1
B18, Trade, 71.800, 169, B18, S18, 1
B18, Trade, 79.633, 170, B18, S12, 1
B18, Trade, 89.950, 171, B18, S13, 1
B18, Trade, 94.567, 169, S09, B18, 1
B18, Trade, 109.533, 172, B18, S12, 1
B18, Trade, 115.100, 173, B18, S04, 1
B18, Trade, 120.400, 174, B18, S12, 1
B18, Trade, 129.167, 175, B18, S12, 1
B18, Trade, 138.167, 176, S02, B18, 1
B18, Trade, 142.867, 176, B18, S18, 1
B18, Trade, 158.317, 173, S09, B18, 1
B18, Trade, 166.050, 172, S09, B18, 1
B18, Trade, 167.600, 171, S07, B18, 1
B18, Trade, 179.717, 171, S12, B18, 1
B18, Trade, 186.317, 180, B18, S18, 1
B18, Trade, 200.500, 181, B18, S13, 1
B18, Trade, 201.633, 182, B18, S18, 1
B18, Trade, 204.117, 182, B18, S01, 1
B18, Trade, 207.933, 182, S07, B18, 1
B18, Trade, 213.850, 180, S07, B18, 1
B18, Trade, 219.950, 180, S07, B18, 1
B18, Trade, 223.933, 184, B18, S00, 1
B18, Trade, 227.633, 184, S09, B18, 1
B18, Trade, 238.633, 185, S14, B18, 1
B18, Trade, 248.667, 175, S02, B18, 1
B18, Trade, 249.450, 179, S09, B18, 1
