B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 8
B12, Trade, 77.400, 148, B12, S03, 1
B12, Trade, 78.583, 148, S06, B12, 1
B12, Trade, 91.433, 150, B12, S04, 1
B12, Trade, 92.700, 144, S01, B12, 1
B12, Trade, 179.133, 159, B12, S04, 1
B12, Trade, 200.767, 161, B12, S04, 1
B12, Trade, 217.067, 162, B12, S07, 1
B12, Trade, 235.083, 164, B12, S04, 1
B13, 20
B13, Trade, 23.550, 145, B13, S05, 1
B13, Trade, 27.350, 146, B13, S11, 1
B13, Trade, 32.050, 145, B13, S11, 1
B13, Trade, 56.933, 148, B13, S11, 1
B13, Trade, 73.500, 149, B13, S11, 1
B13, Trade, 86.933, 152, B13, S04, 1
B13, Trade, 98.717, 152, B13, S04, 1
B13, Trade, 117.967, 154, B13, S11, 1
B13, Trade, 122.000, 155, B13, S11, 1
B13, Trade, 125.017, 155, B13, S05, 1
B13, Trade, 172.000, 160, B13, S04, 1
B13, Trade, 174.883, 158, B13, S05, 1
B13, Trade, 200.750, 161, B13, S11, 1
B13, Trade, 202.000, 161, B13, S04, 1
B13, Trade, 208.483, 164, B13, S11, 1
B13, Trade, 216.100, 164, B13, S04, 1
B13, Trade, 233.750, 166, B13, S05, 1
B13, Trade, 244.800, 167, B13, S00, 1
B13, Trade, 279.500, 171, B13, S00, 1
B13, Trade, 287.750, 171, B13, S02, 1
B14, 34
B14, Trade, 5.750, 146, B14, S11, 1
B14, Trade, 10.233, 148, B14, S11, 1
B14, Trade, 23.117, 149, B14, S00, 1
B14, Trade, 29.183, 147, S01, B14, 1
B14, Trade, 43.617, 151, B14, S11, 1
B14, Trade, 46.633, 151, B14, S11, 1
B14, Trade, 56.383, 152, B14, S04, 1
B14, Trade, 60.367, 151, B14, S05, 1
B14, Trade, 69.833, 154, B14, S13, 1
B14, Trade, 77.717, 147, B14, S00, 1
B14, Trade, 80.717, 154, B14, S04, 1
B14, Trade, 90.667, 152, B14, S00, 1
B14, Trade, 98.583, 154, B14, S00, 1
B14, Trade, 110.483, 157, B14, S01, 1
B14, Trade, 113.650, 156, B14, S05, 1
B14, Trade, 122.533, 154, B14, S00, 1
B14, Trade, 137.467, 160, B14, S04, 1
B14, Trade, 147.967, 160, B14, S00, 1
B14, Trade, 170.750, 164, B14, S13, 1
B14, Trade, 179.850, 164, B14, S05, 1
B14, Trade, 183.700, 165, B14, S06, 1
B14, Trade, 196.033, 167, B14, S01, 1
B14, Trade, 197.067, 166, B14, S00, 1
B14, Trade, 208.050, 167, B14, S04, 1
B14, Trade, 220.550, 168, B14, S00, 1
B14, Trade, 225.050, 167, B14, S00, 1
B14, Trade, 229.967, 169, B14, S00, 1
B14, Trade, 242.967, 171, B14, S11, 1
B14, Trade, 253.583, 172, B14, S11, 1
B14, Trade, 265.167, 173, B14, S00, 1
B14, Trade, 268.233, 170, B14, S02, 1
B14, Trade, 278.000, 174, B14, S04, 1
B14, Trade, 283.250, 173, B14, S13, 1
B14, Trade, 295.183, 176, B14, S11, 1
B15, 45
B15, Trade, 5.450, 150, B15, S03, 1
B15, Trade, 11.467, 148, B15, S10, 1
B15, Trade, 19.050, 153, B15, S00, 1
B15, Trade, 25.200, 147, B15, S04, 1
B15, Trade, 30.700, 146, B15, S00, 1
B15, Trade, 36.833, 154, B15, S05, 1
B15, Trade, 39.450, 152, B15, S00, 1
B15, Trade, 46.900, 152, S06, B15, 1
B15, Trade, 50.633, 156, B15, S00, 1
B15, Trade, 54.917, 154, S01, B15, 1
B15, Trade, 59.783, 153, B15, S11, 1
B15, Trade, 61.567, 150, B15, S07, 1
B15, Trade, 66.767, 155, S10, B15, 1
B15, Trade, 76.233, 149, B15, S04, 1
B15, Trade, 79.350, 158, S15, B15, 1
B15, Trade, 83.117, 159, B15, S07, 1
B15, Trade, 88.433, 157, S01, B15, 1
