B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 1
B11, Trade, 47.150, 141, B11, S04, 1
B12, 4
B12, Trade, 4.617, 141, B12, S02, 1
B12, Trade, 82.200, 149, B12, S04, 1
B12, Trade, 140.333, 155, B12, S08, 1
B12, Trade, 277.533, 168, B12, S06, 1
B13, 2
B13, Trade, 276.800, 171, B13, S07, 1
B13, Trade, 282.667, 172, B13, S06, 1
B14, 4
B14, Trade, 256.200, 173, B14, S04, 1
B14, Trade, 268.033, 175, B14, S06, 1
B14, Trade, 276.900, 176, S05, B14, 1
B14, Trade, 288.417, 177, B14, S07, 1
B15, 26
B15, Trade, 4.450, 151, B15, S06, 1
B15, Trade, 10.250, 152, B15, S12, 1
B15, Trade, 28.700, 154, B15, S08, 1
B15, Trade, 45.817, 155, B15, S06, 1
B15, Trade, 50.483, 156, B15, S05, 1
B15, Trade, 78.000, 159, B15, S04, 1
B15, Trade, 114.683, 162, B15, S06, 1
B15, Trade, 125.267, 163, B15, S08, 1
B15, Trade, 135.767, 164, B15, S10, 1
B15, Trade, 139.417, 165, B15, S06, 1
B15, Trade, 162.367, 167, B15, S04, 1
B15, Trade, 175.933, 168, B15, S08, 1
B15, Trade, 208.667, 172, B15, S01, 1
B15, Trade, 209.967, 172, B15, S12, 1
B15, Trade, 222.583, 173, B15, S11, 1
B15, Trade, 228.017, 174, B15, S05, 1
B15, Trade, 244.517, 175, B15, S01, 1
B15, Trade, 250.017, 176, B15, S01, 1
B15, Trade, 254.300, 176, B15, S06, 1
B15, Trade, 262.017, 177, B15, S04, 1
B15, Trade, 266.067, 177, B15, S06, 1
B15, Trade, 271.533, 177, S00, B15, 1
B15, Trade, 277.283, 176, S03, B15, 1
B15, Trade, 277.967, 171, S00, B15, 1
B15, Trade, 286.817, 179, B15, S06, 1
B15, Trade, 296.083, 180, B15, S01, 1
B16, 38
B16, Trade, 4.183, 153, B16, S03, 1
B16, Trade, 8.917, 155, B16, S01, 1
B16, Trade, 15.917, 154, B16, S01, 1
B16, Trade, 20.250, 156, B16, S08, 1
B16, Trade, 25.217, 155, B16, S08, 1
B16, Trade, 30.550, 153, B16, S06, 1
B16, Trade, 34.517, 156, B16, S06, 1
B16, Trade, 45.267, 158, B16, S04, 1
B16, Trade, 53.717, 156, B16, S06, 1
B16, Trade, 65.800, 160, B16, S06, 1
B16, Trade, 74.683, 159, B16, S04, 1
B16, Trade, 82.067, 158, B16, S06, 1
B16, Trade, 87.750, 161, B16, S04, 1
B16, Trade, 107.650, 164, B16, S08, 1
B16, Trade, 114.583, 165, B16, S04, 1
B16, Trade, 125.067, 166, B16, S11, 1
B16, Trade, 129.967, 164, B16, S06, 1
B16, Trade, 135.017, 167, B16, S08, 1
B16, Trade, 139.267, 168, B16, S04, 1
B16, Trade, 155.650, 169, B16, S06, 1
B16, Trade, 177.950, 171, B16, S06, 1
B16, Trade, 184.467, 172, B16, S04, 1
B16, Trade, 195.350, 173, B16, S08, 1
B16, Trade, 201.550, 173, B16, S08, 1
B16, Trade, 208.017, 172, B16, S06, 1
B16, Trade, 209.633, 171, B16, S13, 1
B16, Trade, 216.350, 174, B16, S04, 1
B16, Trade, 218.583, 175, B16, S06, 1
B16, Trade, 225.667, 173, S11, B16, 1
B16, Trade, 242.833, 177, S05, B16, 1
B16, Trade, 252.617, 177, B16, S01, 1
B16, Trade, 256.800, 172, B16, S08, 1
B16, Trade, 259.100, 174, B16, S00, 1
B16, Trade, 274.167, 175, B16, S07, 1
B16, Trade, 280.667, 170, B16, S08, 1
B16, Trade, 287.633, 179, B16, S00, 1
B16, Trade, 289.800, 182, B16, S04, 1
B16, Trade, 296.800, 180, B16, S06, 1
B17, 49
B17, Trade, 2.850, 153, B17, S10, 1
B17, Trade, 7.717, 159, B17, S02, 1
B17, Trade, 17.333, 153, B17, S06, 1
B17, Trade, 24.383, 156, B17, S01, 1
B17, Trade, 28.350, 155, S15, B17, 1
B17, Trade, 35.750, 158, B17, S08, 1
B17, Trade, 37.733, 160, B17, S13, 1
B17, Trade, 45.150, 162, B17, S13, 1
B17, Trade, 51.700, 157, S02, B17, 1
B17, Trade, 60.667, 164, B17, S08, 1
B17, Trade, 63.233, 164, B17, S13, 1
B17, Trade, 69.633, 163, B17, S01, 1
B17, Trade, 76.967, 160, S03, B17, 1
B17, Trade, 87.650, 165, B17, S12, 1
B17, Trade, 91.083, 167, B17, S13, 1
B17, Trade, 94.217, 165, B17, S04, 1
B17, Trade, 103.867, 168, B17, S13, 1
B17, Trade, 110.900, 167, B17, S04, 1
B17, Trade, 123.433, 170, B17, S04, 1
B17, Trade, 127.667, 162, B17, S04, 1
B17, Trade, 130.983, 166, S03, B17, 1
B17, Trade, 138.433, 172, B17, S13, 1
B17, Trade, 145.867, 172, B17, S06, 1
B17, Trade, 151.300, 173, S02, B17, 1
B17, Trade, 158.233, 167, B17, S04, 1
B17, Trade, 159.867, 170, B17, S06, 1
B17, Trade, 165.750, 174, B17, S17, 1
B17, Trade, 175.733, 175, B17, S11, 1
B17, Trade, 186.167, 176, B17, S08, 1
B17, Trade, 189.333, 176, B17, S05, 1
B17, Trade, 197.183, 176, B17, S01, 1
B17, Trade, 201.017, 175, B17, S11, 1
B17, Trade, 206.083, 173, B17, S01, 1
B17, Trade, 211.183, 176, B17, S04, 1
B17, Trade, 216.100, 179, B17, S04, 1
B17, Trade, 219.000, 174, B17, S08, 1
B17, Trade, 225.317, 174, B17, S13, 1
B17, Trade, 230.100, 180, B17, S08, 1
B17, Trade, 239.567, 181, B17, S08, 1
B17, Trade, 242.500, 178, B17, S06, 1
B17, Trade, 248.817, 177, B17, S03, 1
B17, Trade, 255.783, 174, S00, B17, 1
B17, Trade, 261.933, 179, B17, S01, 1
B17, Trade, 263.550, 176, S05, B17, 1
B17, Trade, 276.617, 173, B17, S04, 1
B17, Trade, 282.633, 175, B17, S04, 1
B17, Trade, 283.167, 173, B17, S07, 1
B17, Trade, 289.550, 184, S16, B17, 1
B17, Trade, 293.183, 182, B17, S00, 1
B18, 52
B18, Trade, 2.217, 162, B18, S01, 1
B18, Trade, 10.167, 154, B18, S08, 1
B18, Trade, 11.883, 155, B18, S06, 1
B18, Trade, 18.433, 160, B18, S04, 1
B18, Trade, 21.917, 147, B18, S04, 1
B18, Trade, 27.567, 155, S02, B18, 1
B18, Trade, 37.183, 159, B18, S06, 1
B18, Trade, 38.067, 161, B18, S04, 1
B18, Trade, 44.333, 166, B18, S08, 1
B18, Trade, 62.717, 166, B18, S04, 1
B18, Trade, 64.750, 166, B18, S04, 1
B18, Trade, 73.667, 161, B18, S01, 1
B18, Trade, 81.683, 159, B18, S09, 1
B18, Trade, 83.833, 158, B18, S08, 1
B18, Trade, 90.117, 171, S17, B18, 1
B18, Trade, 91.650, 168, B18, S06, 1
B18, Trade, 103.833, 171, S15, B18, 1
B18, Trade, 105.300, 165, B18, S04, 1
B18, Trade, 110.600, 168, B18, S05, 1
B18, Trade, 112.933, 166, B18, S08, 1
B18, Trade, 120.017, 174, B18, S12, 1
B18, Trade, 134.333, 169, B18, S04, 1
B18, Trade, 135.500, 165, B18, S06, 1
B18, Trade, 143.767, 174, B18, S12, 1
B18, Trade, 148.333, 173, B18, S08, 1
B18, Trade, 152.500, 170, B18, S13, 1
B18, Trade, 160.683, 168, B18, S08, 1
B18, Trade, 166.117, 172, B18, S08, 1
B18, Trade, 173.967, 176, B18, S13, 1
