B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 1
B10, Trade, 275.767, 161, B10, S05, 1
B11, 1
B11, Trade, 275.367, 164, B11, S02, 1
B12, 4
B12, Trade, 122.217, 153, B12, S00, 1
B12, Trade, 195.883, 157, B12, S00, 1
B12, Trade, 248.950, 166, B12, S02, 1
B12, Trade, 285.867, 169, B12, S01, 1
B13, 16
B13, Trade, 17.300, 144, B13, S00, 1
B13, Trade, 24.250, 145, B13, S00, 1
B13, Trade, 27.767, 146, B13, S12, 1
B13, Trade, 36.267, 146, B13, S00, 1
B13, Trade, 48.017, 147, B13, S00, 1
B13, Trade, 121.883, 155, B13, S00, 1
B13, Trade, 130.667, 156, B13, S00, 1
B13, Trade, 153.933, 158, B13, S00, 1
B13, Trade, 180.150, 161, B13, S00, 1
B13, Trade, 185.667, 161, B13, S00, 1
B13, Trade, 194.750, 162, B13, S09, 1
B13, Trade, 239.683, 166, B13, S07, 1
B13, Trade, 279.500, 170, B13, S00, 1
B13, Trade, 285.267, 171, B13, S03, 1
B13, Trade, 288.583, 168, S04, B13, 1
B13, Trade, 299.583, 173, B13, S05, 1
B14, 41
B14, Trade, 5.533, 148, B14, S07, 1
B14, Trade, 12.450, 145, B14, S11, 1
B14, Trade, 18.933, 145, B14, S11, 1
B14, Trade, 27.633, 147, B14, S02, 1
B14, Trade, 34.517, 150, B14, S10, 1
B14, Trade, 38.667, 151, B14, S12, 1
B14, Trade, 45.450, 152, B14, S09, 1
B14, Trade, 53.917, 152, B14, S11, 1
B14, Trade, 66.233, 154, B14, S00, 1
B14, Trade, 70.950, 154, B14, S02, 1
B14, Trade, 75.150, 155, B14, S02, 1
B14, Trade, 78.133, 154, S09, B14, 1
B14, Trade, 86.433, 156, B14, S00, 1
B14, Trade, 92.350, 157, B14, S07, 1
B14, Trade, 98.217, 155, S08, B14, 1
B14, Trade, 112.783, 159, B14, S00, 1
B14, Trade, 119.783, 159, S06, B14, 1
B14, Trade, 126.467, 159, S13, B14, 1
B14, Trade, 132.883, 161, B14, S14, 1
B14, Trade, 151.050, 161, B14, S02, 1
B14, Trade, 153.117, 162, S06, B14, 1
B14, Trade, 169.167, 164, B14, S10, 1
B14, Trade, 177.583, 165, B14, S02, 1
B14, Trade, 185.550, 163, S12, B14, 1
B14, Trade, 192.300, 167, B14, S02, 1
B14, Trade, 201.233, 168, B14, S14, 1
B14, Trade, 202.817, 164, B14, S00, 1
B14, Trade, 209.333, 167, S10, B14, 1
B14, Trade, 216.550, 169, B14, S09, 1
B14, Trade, 221.300, 170, B14, S02, 1
B14, Trade, 237.883, 171, B14, S13, 1
B14, Trade, 246.433, 172, B14, S00, 1
B14, Trade, 255.933, 173, B14, S00, 1
B14, Trade, 258.633, 169, B14, S03, 1
B14, Trade, 263.233, 174, B14, S04, 1
B14, Trade, 269.400, 175, B14, S05, 1
B14, Trade, 274.533, 175, B14, S08, 1
B14, Trade, 284.967, 176, B14, S04, 1
B14, Trade, 287.350, 177, S11, B14, 1
B14, Trade, 287.783, 177, B14, S03, 1
B14, Trade, 299.183, 175, S09, B14, 1
B15, 5
B15, Trade, 14.700, 146, B15, S00, 1
B15, Trade, 24.000, 147, S11, B15, 1
B15, Trade, 186.267, 165, S13, B15, 1
B15, Trade, 197.783, 165, S06, B15, 1
B15, Trade, 225.783, 172, B15, S06, 1
B16, 42
B16, Trade, 8.017, 148, B16, S00, 1
B16, Trade, 16.400, 154, B16, S14, 1
B16, Trade, 22.967, 150, S10, B16, 1
B16, Trade, 36.200, 152, B16, S02, 1
B16, Trade, 43.617, 151, B16, S10, 1
B16, Trade, 57.950, 160, B16, S00, 1
B16, Trade, 68.417, 153, B16, S00, 1
B16, Trade, 76.050, 152, B16, S00, 1
B16, Trade, 82.100, 161, S06, B16, 1
B16, Trade, 91.067, 159, S10, B16, 1
B16, Trade, 95.067, 155, B16, S09, 1
B16, Trade, 101.650, 155, B16, S12, 1
B16, Trade, 105.317, 158, S14, B16, 1
B16, Trade, 110.683, 165, B16, S10, 1
B16, Trade, 113.167, 157, B16, S02, 1
B16, Trade, 121.267, 166, B16, S02, 1
B16, Trade, 129.383, 162, S11, B16, 1
B16, Trade, 135.583, 162, B16, S02, 1
B16, Trade, 140.983, 163, B16, S00, 1
B16, Trade, 145.650, 168, B16, S02, 1
B16, Trade, 148.850, 164, S10, B16, 1
B16, Trade, 157.883, 160, B16, S00, 1
B16, Trade, 164.700, 165, B16, S00, 1
B16, Trade, 178.533, 165, S11, B16, 1
B16, Trade, 184.300, 170, S11, B16, 1
B16, Trade, 186.967, 162, B16, S00, 1
B16, Trade, 194.050, 163, B16, S10, 1
B16, Trade, 195.667, 161, B16, S02, 1
B16, Trade, 202.067, 168, B16, S02, 1
B16, Trade, 210.483, 166, B16, S11, 1
B16, Trade, 216.000, 173, B16, S15, 1
B16, Trade, 223.517, 170, B16, S12, 1
B16, Trade, 229.617, 171, B16, S02, 1
B16, Trade, 238.917, 168, B16, S00, 1
B16, Trade, 248.700, 171, B16, S01, 1
B16, Trade, 256.933, 177, B16, S15, 1
B16, Trade, 260.583, 177, B16, S00, 1
B16, Trade, 268.867, 179, B16, S00, 1
B16, Trade, 270.783, 170, S03, B16, 1
B16, Trade, 273.500, 180, B16, S11, 1
B16, Trade, 284.017, 181, B16, S05, 1
B16, Trade, 296.833, 182, B16, S14, 1
B17, 12
B17, Trade, 241.350, 170, S06, B17, 1
B17, Trade, 245.767, 181, S06, B17, 1
B17, Trade, 247.100, 177, B17, S04, 1
B17, Trade, 256.267, 174, B17, S14, 1
B17, Trade, 259.200, 177, S13, B17, 1
B17, Trade, 263.517, 175, S10, B17, 1
B17, Trade, 269.700, 178, S15, B17, 1
B17, Trade, 276.200, 170, S01, B17, 1
B17, Trade, 279.467, 175, B17, S04, 1
B17, Trade, 283.900, 186, B17, S14, 1
B17, Trade, 292.633, 187, B17, S04, 1
B17, Trade, 297.767, 184, S16, B17, 1
B18, 45
B18, Trade, 4.733, 162, B18, S02, 1
B18, Trade, 10.350, 149, S14, B18, 1
B18, Trade, 16.367, 155, B18, S02, 1
B18, Trade, 25.050, 149, S06, B18, 1
B18, Trade, 31.483, 150, S08, B18, 1
B18, Trade, 41.733, 152, B18, S14, 1
