B00, 0
B01, 1
B01, Trade, 22.167, 105, B01, S00, 1
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 5
B10, Trade, 21.983, 115, S04, B10, 1
B10, Trade, 93.583, 140, B10, S06, 1
B10, Trade, 162.467, 146, B10, S00, 1
B10, Trade, 273.183, 160, B10, S04, 1
B10, Trade, 293.917, 160, B10, S00, 1
B11, 9
B11, Trade, 19.650, 139, B11, S00, 1
B11, Trade, 22.367, 139, S01, B11, 1
B11, Trade, 94.117, 146, B11, S10, 1
B11, Trade, 101.550, 147, B11, S04, 1
B11, Trade, 126.050, 149, B11, S03, 1
B11, Trade, 151.417, 152, B11, S10, 1
B11, Trade, 161.950, 153, B11, S04, 1
B11, Trade, 272.683, 164, B11, S00, 1
B11, Trade, 295.050, 166, B11, S11, 1
B12, 25
B12, Trade, 2.167, 141, B12, S01, 1
B12, Trade, 19.183, 143, B12, S10, 1
B12, Trade, 22.050, 129, S07, B12, 1
B12, Trade, 29.817, 144, S09, B12, 1
B12, Trade, 49.783, 146, B12, S00, 1
B12, Trade, 71.100, 148, B12, S04, 1
B12, Trade, 77.283, 148, B12, S10, 1
B12, Trade, 81.800, 149, B12, S07, 1
B12, Trade, 93.350, 150, B12, S04, 1
B12, Trade, 101.117, 151, B12, S10, 1
B12, Trade, 122.100, 153, B12, S03, 1
B12, Trade, 126.583, 154, B12, S10, 1
B12, Trade, 151.233, 156, B12, S04, 1
B12, Trade, 159.483, 157, B12, S09, 1
B12, Trade, 182.250, 159, B12, S00, 1
B12, Trade, 209.317, 162, B12, S04, 1
B12, Trade, 221.767, 163, B12, S00, 1
B12, Trade, 228.783, 163, B12, S00, 1
B12, Trade, 258.467, 166, B12, S04, 1
B12, Trade, 266.667, 167, B12, S00, 1
B12, Trade, 267.867, 168, B12, S09, 1
B12, Trade, 287.450, 169, B12, S06, 1
B12, Trade, 293.450, 170, B12, S03, 1
B12, Trade, 294.117, 159, S08, B12, 1
B12, Trade, 299.833, 171, B12, S11, 1
B13, 1
B13, Trade, 294.483, 171, S01, B13, 1
B14, 41
B14, Trade, 1.567, 139, B14, S10, 1
B14, Trade, 18.650, 150, B14, S06, 1
B14, Trade, 26.233, 150, B14, S10, 1
B14, Trade, 31.633, 141, B14, S10, 1
B14, Trade, 37.400, 150, B14, S09, 1
B14, Trade, 47.933, 152, S05, B14, 1
B14, Trade, 55.817, 153, B14, S10, 1
B14, Trade, 60.983, 154, B14, S10, 1
B14, Trade, 70.367, 155, B14, S03, 1
B14, Trade, 74.133, 154, B14, S09, 1
B14, Trade, 81.483, 156, B14, S06, 1
B14, Trade, 84.700, 153, B14, S09, 1
B14, Trade, 93.300, 157, B14, S00, 1
B14, Trade, 95.750, 153, B14, S01, 1
B14, Trade, 100.550, 158, B14, S04, 1
B14, Trade, 104.117, 154, B14, S00, 1
B14, Trade, 116.950, 159, B14, S00, 1
B14, Trade, 120.233, 156, B14, S00, 1
B14, Trade, 124.233, 153, B14, S04, 1
B14, Trade, 132.867, 157, B14, S00, 1
B14, Trade, 143.117, 161, B14, S10, 1
B14, Trade, 152.850, 153, B14, S10, 1
B14, Trade, 163.917, 160, B14, S00, 1
B14, Trade, 166.300, 164, B14, S07, 1
B14, Trade, 181.317, 166, B14, S09, 1
B14, Trade, 185.567, 161, B14, S00, 1
B14, Trade, 196.217, 167, B14, S04, 1
B14, Trade, 207.683, 168, B14, S03, 1
B14, Trade, 213.583, 169, S14, B14, 1
