B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 192.983, 137, B06, S03, 1
B07, 0
B08, 3
B08, Trade, 121.600, 138, B08, S01, 1
B08, Trade, 170.117, 142, B08, S03, 1
B08, Trade, 190.633, 144, B08, S03, 1
B09, 0
B10, 13
B10, Trade, 23.483, 131, S00, B10, 1
B10, Trade, 32.300, 136, B10, S00, 1
B10, Trade, 37.500, 137, B10, S03, 1
B10, Trade, 49.733, 137, B10, S01, 1
B10, Trade, 64.450, 139, B10, S04, 1
B10, Trade, 88.950, 142, B10, S04, 1
B10, Trade, 169.783, 149, B10, S00, 1
B10, Trade, 176.000, 150, B10, S03, 1
B10, Trade, 183.350, 151, B10, S03, 1
B10, Trade, 190.567, 152, B10, S00, 1
B10, Trade, 204.567, 153, B10, S03, 1
B10, Trade, 249.300, 157, B10, S03, 1
B10, Trade, 279.383, 161, B10, S01, 1
B11, 2
B11, Trade, 18.467, 136, B11, S04, 1
B11, Trade, 191.333, 154, B11, S08, 1
B12, 0
B13, 1
B13, Trade, 47.283, 141, B13, S08, 1
B14, 44
B14, Trade, 9.017, 149, B14, S00, 1
B14, Trade, 14.733, 149, B14, S01, 1
B14, Trade, 16.583, 150, B14, S03, 1
B14, Trade, 23.683, 138, S07, B14, 1
B14, Trade, 30.767, 151, B14, S08, 1
B14, Trade, 40.233, 143, S07, B14, 1
B14, Trade, 46.233, 149, S02, B14, 1
B14, Trade, 47.750, 153, B14, S02, 1
B14, Trade, 50.983, 153, B14, S12, 1
B14, Trade, 62.433, 154, B14, S02, 1
B14, Trade, 67.500, 153, S07, B14, 1
B14, Trade, 72.233, 155, B14, S12, 1
B14, Trade, 79.833, 156, B14, S03, 1
B14, Trade, 82.750, 151, S06, B14, 1
B14, Trade, 87.700, 152, S02, B14, 1
B14, Trade, 98.667, 158, B14, S12, 1
B14, Trade, 102.367, 158, B14, S00, 1
B14, Trade, 104.100, 156, S01, B14, 1
B14, Trade, 113.317, 159, B14, S03, 1
B14, Trade, 120.733, 160, B14, S03, 1
B14, Trade, 130.550, 161, B14, S11, 1
B14, Trade, 138.100, 162, B14, S11, 1
B14, Trade, 148.917, 163, B14, S01, 1
B14, Trade, 153.033, 163, B14, S03, 1
B14, Trade, 154.767, 162, S02, B14, 1
B14, Trade, 157.367, 164, B14, S08, 1
B14, Trade, 165.650, 164, B14, S03, 1
B14, Trade, 171.000, 161, S13, B14, 1
B14, Trade, 173.350, 165, B14, S04, 1
B14, Trade, 180.983, 159, S02, B14, 1
B14, Trade, 182.033, 166, B14, S01, 1
B14, Trade, 188.367, 167, B14, S08, 1
B14, Trade, 192.250, 160, S12, B14, 1
B14, Trade, 204.767, 168, B14, S06, 1
B14, Trade, 208.833, 169, S06, B14, 1
B14, Trade, 249.217, 173, B14, S14, 1
B14, Trade, 250.283, 173, B14, S12, 1
B14, Trade, 259.033, 173, B14, S13, 1
B14, Trade, 274.317, 175, B14, S00, 1
B14, Trade, 277.167, 176, B14, S14, 1
B14, Trade, 281.017, 169, S12, B14, 1
B14, Trade, 286.267, 176, B14, S08, 1
B14, Trade, 290.917, 175, S07, B14, 1
B14, Trade, 295.083, 177, B14, S02, 1
B15, 52
B15, Trade, 8.933, 152, B15, S12, 1
B15, Trade, 12.000, 144, S02, B15, 1
B15, Trade, 16.250, 148, S13, B15, 1
B15, Trade, 21.233, 152, S10, B15, 1
B15, Trade, 27.617, 140, S11, B15, 1
