B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 1.117, 127, S08, B08, 1
B09, 0
B10, 0
B11, 2
B11, Trade, 4.467, 131, B11, S04, 1
B11, Trade, 250.033, 162, B11, S04, 1
B12, 5
B12, Trade, 71.633, 148, B12, S08, 1
B12, Trade, 111.617, 152, B12, S04, 1
B12, Trade, 252.267, 166, B12, S03, 1
B12, Trade, 253.733, 166, B12, S08, 1
B12, Trade, 285.750, 169, B12, S03, 1
B13, 0
B14, 17
B14, Trade, 48.633, 152, B14, S04, 1
B14, Trade, 58.317, 153, B14, S03, 1
B14, Trade, 66.083, 154, B14, S04, 1
B14, Trade, 71.100, 155, B14, S10, 1
B14, Trade, 82.033, 156, B14, S02, 1
B14, Trade, 86.967, 157, B14, S02, 1
B14, Trade, 112.150, 158, S05, B14, 1
B14, Trade, 159.517, 163, B14, S08, 1
B14, Trade, 244.067, 172, B14, S08, 1
B14, Trade, 251.817, 172, S11, B14, 1
B14, Trade, 260.333, 171, S07, B14, 1
B14, Trade, 265.367, 174, B14, S05, 1
B14, Trade, 269.100, 175, B14, S00, 1
B14, Trade, 276.617, 175, B14, S00, 1
B14, Trade, 277.567, 176, B14, S03, 1
B14, Trade, 285.150, 174, S11, B14, 1
B14, Trade, 297.550, 177, B14, S12, 1
B15, 26
B15, Trade, 6.733, 151, B15, S03, 1
B15, Trade, 11.467, 150, B15, S02, 1
B15, Trade, 44.500, 155, B15, S10, 1
B15, Trade, 50.317, 156, S01, B15, 1
B15, Trade, 57.567, 154, B15, S08, 1
B15, Trade, 64.567, 157, B15, S04, 1
B15, Trade, 70.883, 158, B15, S03, 1
B15, Trade, 81.800, 157, B15, S00, 1
B15, Trade, 90.933, 160, B15, S03, 1
B15, Trade, 115.150, 162, B15, S02, 1
B15, Trade, 166.817, 168, B15, S00, 1
B15, Trade, 207.233, 172, B15, S10, 1
