B00, 0
B01, 0
B02, 1
B02, Trade, 2.283, 106, S02, B02, 1
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 2
B10, Trade, 118.650, 146, B10, S01, 1
B10, Trade, 277.817, 161, B10, S01, 1
B11, 2
B11, Trade, 259.367, 163, B11, S08, 1
B11, Trade, 277.183, 165, B11, S05, 1
B12, 1
B12, Trade, 276.900, 166, S09, B12, 1
B13, 9
B13, Trade, 4.300, 137, B13, S05, 1
B13, Trade, 17.733, 145, B13, S01, 1
B13, Trade, 56.667, 149, B13, S04, 1
B13, Trade, 126.750, 157, B13, S01, 1
B13, Trade, 177.217, 162, B13, S01, 1
B13, Trade, 228.067, 167, B13, S01, 1
B13, Trade, 236.117, 167, B13, S06, 1
B13, Trade, 261.433, 168, B13, S06, 1
B13, Trade, 274.467, 171, B13, S01, 1
B14, 4
B14, Trade, 50.000, 152, B14, S01, 1
B14, Trade, 111.617, 159, B14, S01, 1
B14, Trade, 249.900, 172, B14, S06, 1
B14, Trade, 271.633, 174, B14, S06, 1
B15, 3
B15, Trade, 137.050, 164, B15, S06, 1
B15, Trade, 223.333, 171, B15, S01, 1
B15, Trade, 228.017, 173, S12, B15, 1
B16, 5
B16, Trade, 19.633, 154, S12, B16, 1
B16, Trade, 52.417, 153, S12, B16, 1
B16, Trade, 131.083, 162, S02, B16, 1
B16, Trade, 185.600, 172, S02, B16, 1
B16, Trade, 231.300, 174, S12, B16, 1
B17, 11
B17, Trade, 19.017, 154, B17, S00, 1
B17, Trade, 80.083, 163, S07, B17, 1
B17, Trade, 85.400, 165, B17, S05, 1
B17, Trade, 163.350, 171, S02, B17, 1
B17, Trade, 202.467, 172, S04, B17, 1
B17, Trade, 217.167, 172, S12, B17, 1
B17, Trade, 227.517, 170, S09, B17, 1
B17, Trade, 247.650, 179, B17, S08, 1
B17, Trade, 255.083, 174, S07, B17, 1
B17, Trade, 263.067, 183, B17, S10, 1
B17, Trade, 278.183, 170, S11, B17, 1
B18, 11
B18, Trade, 244.450, 180, B18, S04, 1
B18, Trade, 246.533, 178, S12, B18, 1
B18, Trade, 253.233, 180, S04, B18, 1
B18, Trade, 262.050, 173, S04, B18, 1
B18, Trade, 270.900, 188, B18, S08, 1
B18, Trade, 274.167, 177, B18, S06, 1
B18, Trade, 275.150, 176, S11, B18, 1
B18, Trade, 280.467, 188, B18, S05, 1
B18, Trade, 285.600, 186, S02, B18, 1
B18, Trade, 289.983, 187, S04, B18, 1
B18, Trade, 295.850, 181, S09, B18, 1
B19, 48
B19, Trade, 2.767, 152, B19, S11, 1
B19, Trade, 9.900, 151, B19, S02, 1
B19, Trade, 16.283, 151, B19, S02, 1
B19, Trade, 22.650, 157, B19, S07, 1
B19, Trade, 30.267, 159, B19, S12, 1
B19, Trade, 35.817, 167, B19, S02, 1
B19, Trade, 38.983, 163, S09, B19, 1
B19, Trade, 41.417, 164, S02, B19, 1
B19, Trade, 46.500, 162, B19, S12, 1
B19, Trade, 58.450, 149, B19, S01, 1
B19, Trade, 73.500, 156, B19, S06, 1
B19, Trade, 76.983, 159, B19, S02, 1
B19, Trade, 89.667, 169, B19, S06, 1
B19, Trade, 94.783, 158, S00, B19, 1
B19, Trade, 103.783, 169, B19, S00, 1
B19, Trade, 107.533, 169, B19, S06, 1
B19, Trade, 111.067, 170, B19, S02, 1
B19, Trade, 118.183, 168, B19, S10, 1
B19, Trade, 121.533, 164, B19, S05, 1
B19, Trade, 124.667, 162, B19, S05, 1
B19, Trade, 133.050, 160, B19, S06, 1
B19, Trade, 137.317, 159, B19, S01, 1
B19, Trade, 142.467, 162, B19, S01, 1
B19, Trade, 148.800, 172, B19, S09, 1
B19, Trade, 157.017, 172, S07, B19, 1
B19, Trade, 165.500, 169, B19, S11, 1
B19, Trade, 172.967, 170, B19, S10, 1
B19, Trade, 174.817, 172, B19, S01, 1
B19, Trade, 180.433, 167, S02, B19, 1
B19, Trade, 188.617, 170, B19, S05, 1
B19, Trade, 194.600, 170, B19, S01, 1
B19, Trade, 210.750, 173, B19, S01, 1
B19, Trade, 219.417, 170, B19, S05, 1
B19, Trade, 220.600, 170, B19, S02, 1
B19, Trade, 226.017, 170, B19, S00, 1
B19, Trade, 234.883, 180, B19, S05, 1
B19, Trade, 239.350, 177, B19, S10, 1
B19, Trade, 241.667, 175, B19, S08, 1
B19, Trade, 248.783, 176, B19, S11, 1
B19, Trade, 253.733, 173, S08, B19, 1
B19, Trade, 261.267, 169, S02, B19, 1
B19, Trade, 266.600, 190, B19, S02, 1
B19, Trade, 267.533, 190, S03, B19, 1
B19, Trade, 273.233, 179, S09, B19, 1
B19, Trade, 283.367, 187, B19, S08, 1
B19, Trade, 286.233, 185, S09, B19, 1
B19, Trade, 289.833, 183, B19, S01, 1
B19, Trade, 294.900, 181, B19, S03, 1
B20, 58
B20, Trade, 1.550, 102, S00, B20, 1
B20, Trade, 6.017, 156, S12, B20, 1
B20, Trade, 11.200, 153, S09, B20, 1
B20, Trade, 18.717, 153, S11, B20, 1
B20, Trade, 23.533, 159, S12, B20, 1
B20, Trade, 27.050, 162, S04, B20, 1
B20, Trade, 34.067, 171, B20, S01, 1
B20, Trade, 37.850, 164, S04, B20, 1
B20, Trade, 44.283, 164, S07, B20, 1
