B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 1
B11, Trade, 1.950, 120, S03, B11, 1
B12, 5
B12, Trade, 107.150, 150, B12, S02, 1
B12, Trade, 131.450, 153, B12, S02, 1
B12, Trade, 169.183, 156, B12, S02, 1
B12, Trade, 182.850, 158, B12, S03, 1
B12, Trade, 255.217, 164, S03, B12, 1
B13, 27
B13, Trade, 4.400, 144, B13, S04, 1
B13, Trade, 24.800, 146, B13, S02, 1
B13, Trade, 29.050, 147, B13, S04, 1
B13, Trade, 34.067, 147, B13, S05, 1
B13, Trade, 41.833, 148, B13, S02, 1
B13, Trade, 44.583, 147, B13, S10, 1
B13, Trade, 51.117, 149, B13, S03, 1
B13, Trade, 81.983, 152, B13, S02, 1
B13, Trade, 86.083, 152, B13, S02, 1
B13, Trade, 92.850, 153, B13, S03, 1
B13, Trade, 95.017, 153, B13, S05, 1
B13, Trade, 97.350, 153, S08, B13, 1
B13, Trade, 101.517, 153, S01, B13, 1
B13, Trade, 108.717, 153, S03, B13, 1
B13, Trade, 128.617, 157, B13, S06, 1
B13, Trade, 166.033, 160, B13, S05, 1
B13, Trade, 168.033, 161, S05, B13, 1
B13, Trade, 180.750, 162, B13, S10, 1
B13, Trade, 186.283, 158, B13, S07, 1
B13, Trade, 191.567, 160, B13, S10, 1
B13, Trade, 205.783, 164, B13, S02, 1
B13, Trade, 209.433, 164, S05, B13, 1
B13, Trade, 228.967, 167, B13, S04, 1
B13, Trade, 253.917, 168, B13, S02, 1
B13, Trade, 266.517, 170, B13, S02, 1
B13, Trade, 272.250, 171, B13, S07, 1
B13, Trade, 276.600, 171, B13, S11, 1
B14, 5
B14, Trade, 23.867, 148, S08, B14, 1
B14, Trade, 32.200, 149, S05, B14, 1
B14, Trade, 47.817, 152, S14, B14, 1
B14, Trade, 226.233, 168, S03, B14, 1
B14, Trade, 232.383, 168, S06, B14, 1
B15, 1
B15, Trade, 267.450, 170, B15, S09, 1
B16, 1
B16, Trade, 77.183, 155, B16, S00, 1
B17, 33
B17, Trade, 17.033, 146, B17, S02, 1
B17, Trade, 24.217, 146, B17, S00, 1
B17, Trade, 26.017, 146, B17, S10, 1
B17, Trade, 35.017, 146, B17, S02, 1
B17, Trade, 43.633, 147, B17, S00, 1
B17, Trade, 62.500, 152, B17, S05, 1
B17, Trade, 69.233, 151, B17, S10, 1
B17, Trade, 78.300, 162, B17, S07, 1
B17, Trade, 79.417, 160, S05, B17, 1
B17, Trade, 89.950, 153, B17, S05, 1
B17, Trade, 105.983, 154, B17, S10, 1
B17, Trade, 117.983, 158, B17, S10, 1
B17, Trade, 125.650, 163, B17, S13, 1
B17, Trade, 130.050, 158, S04, B17, 1
B17, Trade, 141.500, 162, B17, S02, 1
B17, Trade, 145.700, 161, B17, S00, 1
B17, Trade, 150.900, 163, S04, B17, 1
B17, Trade, 164.767, 163, B17, S02, 1
B17, Trade, 175.117, 160, S04, B17, 1
B17, Trade, 180.817, 160, B17, S02, 1
B17, Trade, 182.917, 158, B17, S02, 1
B17, Trade, 200.017, 166, B17, S03, 1
B17, Trade, 210.133, 164, S08, B17, 1
B17, Trade, 223.600, 170, B17, S02, 1
B17, Trade, 231.567, 168, B17, S05, 1
B17, Trade, 232.133, 167, B17, S07, 1
B17, Trade, 243.467, 176, B17, S11, 1
B17, Trade, 249.333, 182, B17, S07, 1
B17, Trade, 260.050, 182, B17, S06, 1
B17, Trade, 265.600, 176, S11, B17, 1
B17, Trade, 280.067, 173, B17, S00, 1
B17, Trade, 285.033, 176, B17, S09, 1
B17, Trade, 293.483, 176, B17, S05, 1
B18, 54
B18, Trade, 4.767, 144, B18, S02, 1
B18, Trade, 11.833, 150, S03, B18, 1
B18, Trade, 14.417, 149, S14, B18, 1
B18, Trade, 22.250, 147, B18, S07, 1
B18, Trade, 31.200, 148, B18, S10, 1
B18, Trade, 38.767, 150, B18, S03, 1
B18, Trade, 46.150, 148, B18, S13, 1
B18, Trade, 46.667, 148, B18, S07, 1
B18, Trade, 57.633, 153, B18, S10, 1
B18, Trade, 61.650, 154, S04, B18, 1
B18, Trade, 63.450, 153, B18, S02, 1
B18, Trade, 71.400, 154, S01, B18, 1
B18, Trade, 74.850, 169, S16, B18, 1
B18, Trade, 81.100, 159, S01, B18, 1
B18, Trade, 89.233, 154, B18, S04, 1
B18, Trade, 93.700, 154, S01, B18, 1
B18, Trade, 99.650, 153, B18, S05, 1
B18, Trade, 103.400, 156, S03, B18, 1
B18, Trade, 109.317, 151, B18, S07, 1
B18, Trade, 115.733, 157, S04, B18, 1
B18, Trade, 119.333, 156, S03, B18, 1
B18, Trade, 124.533, 162, B18, S04, 1
B18, Trade, 132.933, 160, B18, S06, 1
B18, Trade, 135.067, 164, S10, B18, 1
B18, Trade, 136.050, 164, S13, B18, 1
B18, Trade, 144.933, 162, S13, B18, 1
B18, Trade, 152.417, 163, S08, B18, 1
B18, Trade, 155.750, 161, S13, B18, 1
B18, Trade, 156.433, 161, S05, B18, 1
B18, Trade, 162.400, 163, S13, B18, 1
B18, Trade, 169.050, 157, B18, S07, 1
B18, Trade, 176.350, 162, B18, S10, 1
B18, Trade, 177.267, 161, B18, S02, 1
B18, Trade, 187.383, 159, B18, S03, 1
B18, Trade, 190.433, 159, S04, B18, 1
B18, Trade, 195.950, 165, S13, B18, 1
B18, Trade, 196.533, 166, S10, B18, 1
B18, Trade, 203.583, 167, S04, B18, 1
B18, Trade, 212.683, 168, B18, S02, 1
B18, Trade, 215.233, 170, B18, S10, 1
B18, Trade, 222.383, 171, B18, S10, 1
B18, Trade, 231.433, 169, S08, B18, 1
B18, Trade, 234.867, 172, B18, S00, 1
B18, Trade, 240.850, 176, S01, B18, 1
B18, Trade, 245.533, 176, S10, B18, 1
B18, Trade, 247.633, 183, B18, S03, 1
B18, Trade, 258.950, 186, B18, S10, 1
B18, Trade, 262.300, 185, S13, B18, 1
B18, Trade, 270.333, 170, B18, S06, 1
B18, Trade, 275.583, 176, S05, B18, 1
B18, Trade, 280.033, 176, B18, S02, 1
B18, Trade, 284.250, 178, B18, S02, 1
B18, Trade, 291.983, 177, S14, B18, 1
B18, Trade, 294.450, 175, B18, S05, 1
B19, 45
B19, Trade, 5.700, 144, B19, S00, 1
B19, Trade, 12.583, 149, B19, S00, 1
B19, Trade, 15.100, 149, B19, S05, 1
B19, Trade, 26.950, 148, S04, B19, 1
B19, Trade, 29.800, 148, S03, B19, 1
B19, Trade, 47.500, 149, B19, S05, 1
B19, Trade, 50.917, 150, B19, S13, 1
B19, Trade, 54.833, 151, B19, S02, 1
B19, Trade, 59.133, 152, B19, S06, 1
B19, Trade, 62.833, 153, S13, B19, 1
B19, Trade, 67.433, 154, S05, B19, 1
B19, Trade, 76.467, 166, B19, S10, 1
B19, Trade, 80.833, 158, B19, S00, 1
B19, Trade, 84.833, 156, S14, B19, 1
B19, Trade, 91.550, 154, S08, B19, 1
B19, Trade, 103.867, 156, B19, S06, 1
B19, Trade, 116.533, 159, S13, B19, 1
B19, Trade, 121.183, 159, S08, B19, 1
B19, Trade, 125.467, 163, B19, S03, 1
B19, Trade, 133.833, 163, B19, S00, 1
B19, Trade, 135.250, 164, B19, S07, 1
B19, Trade, 138.867, 164, B19, S00, 1
B19, Trade, 143.667, 162, B19, S10, 1
B19, Trade, 151.333, 162, B19, S00, 1
B19, Trade, 156.800, 161, S08, B19, 1
B19, Trade, 158.400, 162, B19, S10, 1
B19, Trade, 163.833, 163, B19, S06, 1
B19, Trade, 178.217, 163, S08, B19, 1
B19, Trade, 185.800, 159, S01, B19, 1
B19, Trade, 190.900, 160, B19, S04, 1
B19, Trade, 196.133, 165, B19, S05, 1
B19, Trade, 204.467, 167, S10, B19, 1
B19, Trade, 208.450, 164, S04, B19, 1
B19, Trade, 219.383, 171, B19, S14, 1
B19, Trade, 227.483, 167, B19, S10, 1
B19, Trade, 234.967, 171, B19, S02, 1
B19, Trade, 241.733, 176, B19, S14, 1
