B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 3.017, 112, S03, B05, 1
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 133.600, 143, B09, S04, 1
B10, 1
B10, Trade, 3.250, 113, S04, B10, 1
B11, 2
B11, Trade, 244.433, 161, B11, S02, 1
B11, Trade, 259.167, 163, B11, S04, 1
B12, 13
B12, Trade, 12.367, 142, B12, S08, 1
B12, Trade, 27.300, 143, B12, S09, 1
B12, Trade, 79.500, 149, B12, S04, 1
B12, Trade, 84.700, 149, B12, S02, 1
B12, Trade, 117.933, 152, B12, S04, 1
B12, Trade, 123.417, 149, B12, S01, 1
B12, Trade, 128.000, 152, B12, S04, 1
B12, Trade, 161.483, 157, B12, S04, 1
B12, Trade, 208.450, 161, B12, S02, 1
B12, Trade, 217.117, 162, B12, S04, 1
B12, Trade, 245.150, 165, S05, B12, 1
B12, Trade, 258.700, 166, B12, S10, 1
B12, Trade, 296.417, 170, B12, S04, 1
B13, 36
B13, Trade, 13.850, 142, B13, S05, 1
B13, Trade, 21.950, 146, B13, S06, 1
B13, Trade, 22.867, 144, B13, S04, 1
B13, Trade, 29.733, 130, B13, S02, 1
B13, Trade, 34.267, 139, B13, S04, 1
B13, Trade, 43.817, 148, B13, S02, 1
B13, Trade, 48.900, 149, B13, S02, 1
B13, Trade, 56.467, 149, B13, S11, 1
B13, Trade, 67.517, 148, B13, S04, 1
B13, Trade, 75.883, 151, B13, S02, 1
B13, Trade, 83.650, 152, B13, S09, 1
B13, Trade, 86.350, 149, S08, B13, 1
B13, Trade, 88.217, 153, S05, B13, 1
B13, Trade, 101.700, 154, B13, S06, 1
B13, Trade, 107.667, 154, B13, S02, 1
B13, Trade, 112.417, 154, S05, B13, 1
B13, Trade, 121.033, 143, B13, S02, 1
B13, Trade, 127.400, 153, S11, B13, 1
B13, Trade, 151.683, 159, B13, S04, 1
B13, Trade, 162.733, 157, S05, B13, 1
B13, Trade, 165.217, 159, B13, S02, 1
B13, Trade, 174.067, 161, B13, S04, 1
B13, Trade, 175.783, 161, B13, S07, 1
B13, Trade, 186.167, 162, B13, S05, 1
B13, Trade, 208.417, 164, B13, S04, 1
B13, Trade, 212.517, 164, B13, S04, 1
B13, Trade, 218.950, 166, B13, S11, 1
B13, Trade, 227.850, 167, B13, S02, 1
