B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 7
B15, Trade, 248.183, 174, B15, S09, 1
B15, Trade, 263.383, 175, B15, S02, 1
B15, Trade, 274.517, 177, B15, S00, 1
B15, Trade, 282.550, 178, B15, S00, 1
B15, Trade, 290.017, 179, B15, S06, 1
B15, Trade, 295.017, 179, B15, S03, 1
B15, Trade, 299.783, 177, B15, S03, 1
B16, 2
B16, Trade, 250.683, 176, S04, B16, 1
B16, Trade, 275.083, 178, B16, S02, 1
B17, 18
B17, Trade, 4.633, 158, B17, S11, 1
B17, Trade, 41.717, 162, B17, S13, 1
B17, Trade, 113.033, 169, B17, S00, 1
B17, Trade, 119.883, 168, B17, S09, 1
B17, Trade, 128.800, 171, B17, S05, 1
B17, Trade, 130.500, 171, B17, S00, 1
B17, Trade, 178.450, 173, B17, S13, 1
B17, Trade, 199.150, 177, B17, S09, 1
B17, Trade, 231.417, 181, B17, S02, 1
B17, Trade, 247.883, 183, B17, S16, 1
B17, Trade, 254.117, 181, B17, S12, 1
B17, Trade, 259.450, 181, B17, S00, 1
B17, Trade, 262.933, 178, B17, S08, 1
B17, Trade, 272.583, 173, B17, S01, 1
B17, Trade, 276.417, 180, B17, S12, 1
B17, Trade, 279.883, 179, B17, S09, 1
B17, Trade, 283.200, 177, B17, S03, 1
B17, Trade, 288.317, 179, B17, S00, 1
B18, 32
B18, Trade, 14.183, 161, S10, B18, 1
B18, Trade, 15.933, 162, S04, B18, 1
B18, Trade, 34.150, 164, B18, S01, 1
B18, Trade, 42.833, 162, B18, S10, 1
B18, Trade, 61.933, 167, B18, S06, 1
B18, Trade, 73.867, 168, B18, S10, 1
B18, Trade, 86.000, 169, B18, S02, 1
B18, Trade, 89.067, 166, B18, S00, 1
B18, Trade, 96.617, 169, B18, S09, 1
B18, Trade, 98.650, 171, B18, S00, 1
B18, Trade, 112.483, 172, B18, S11, 1
B18, Trade, 114.250, 167, S06, B18, 1
B18, Trade, 125.100, 163, S10, B18, 1
B18, Trade, 135.200, 174, S10, B18, 1
B18, Trade, 160.633, 177, B18, S00, 1
B18, Trade, 164.033, 177, B18, S01, 1
B18, Trade, 169.300, 176, B18, S09, 1
B18, Trade, 177.450, 171, B18, S02, 1
B18, Trade, 179.400, 173, B18, S00, 1
B18, Trade, 184.650, 179, B18, S10, 1
B18, Trade, 187.550, 178, B18, S13, 1
B18, Trade, 222.417, 183, B18, S00, 1
B18, Trade, 228.917, 182, B18, S11, 1
B18, Trade, 242.567, 180, B18, S12, 1
B18, Trade, 243.650, 179, S15, B18, 1
B18, Trade, 249.050, 178, B18, S08, 1
B18, Trade, 261.283, 181, B18, S03, 1
B18, Trade, 266.933, 174, B18, S00, 1
B18, Trade, 280.800, 182, B18, S08, 1
B18, Trade, 286.383, 178, B18, S12, 1
B18, Trade, 290.583, 180, B18, S08, 1
B18, Trade, 299.683, 181, B18, S00, 1
B19, 56
B19, Trade, 3.650, 165, B19, S00, 1
B19, Trade, 7.500, 166, S19, B19, 1
B19, Trade, 16.117, 161, S15, B19, 1
B19, Trade, 23.450, 165, S04, B19, 1
B19, Trade, 26.417, 165, S11, B19, 1
B19, Trade, 32.217, 165, S05, B19, 1
B19, Trade, 40.167, 165, S11, B19, 1
B19, Trade, 43.983, 164, S06, B19, 1
B19, Trade, 46.883, 170, B19, S06, 1
B19, Trade, 51.550, 170, S11, B19, 1
B19, Trade, 58.283, 169, S10, B19, 1
B19, Trade, 62.417, 171, B19, S19, 1
B19, Trade, 70.067, 172, B19, S00, 1
B19, Trade, 76.767, 171, S06, B19, 1
B19, Trade, 79.783, 173, B19, S19, 1
B19, Trade, 82.017, 173, S06, B19, 1
B19, Trade, 86.383, 174, S06, B19, 1
B19, Trade, 96.267, 170, S10, B19, 1
B19, Trade, 100.117, 174, S05, B19, 1
B19, Trade, 107.500, 175, S19, B19, 1
B19, Trade, 114.017, 166, S10, B19, 1
B19, Trade, 121.100, 170, S04, B19, 1
B19, Trade, 123.567, 168, S15, B19, 1
B19, Trade, 126.133, 178, S19, B19, 1
B19, Trade, 135.867, 176, S11, B19, 1
B19, Trade, 139.483, 179, S19, B19, 1
B19, Trade, 146.283, 179, S05, B19, 1
B19, Trade, 149.200, 180, S19, B19, 1
B19, Trade, 155.417, 180, B19, S02, 1
B19, Trade, 162.033, 174, S04, B19, 1
B19, Trade, 162.317, 177, S15, B19, 1
B19, Trade, 167.367, 180, S10, B19, 1
B19, Trade, 177.033, 173, S05, B19, 1
B19, Trade, 181.117, 181, S15, B19, 1
B19, Trade, 187.150, 179, S06, B19, 1
B19, Trade, 188.767, 181, S11, B19, 1
B19, Trade, 194.533, 183, S11, B19, 1
B19, Trade, 196.833, 184, S10, B19, 1
B19, Trade, 208.833, 185, B19, S02, 1
B19, Trade, 211.433, 186, S19, B19, 1
B19, Trade, 212.067, 184, S15, B19, 1
B19, Trade, 222.100, 187, S19, B19, 1
B19, Trade, 226.667, 187, S06, B19, 1
B19, Trade, 228.900, 184, S04, B19, 1
B19, Trade, 232.500, 187, S11, B19, 1
B19, Trade, 236.983, 185, S15, B19, 1
B19, Trade, 243.833, 189, S19, B19, 1
B19, Trade, 248.150, 181, S07, B19, 1
B19, Trade, 254.317, 183, S06, B19, 1
B19, Trade, 259.400, 185, S05, B19, 1
B19, Trade, 266.433, 178, S15, B19, 1
B19, Trade, 270.450, 176, S10, B19, 1
B19, Trade, 272.650, 175, S05, B19, 1
B19, Trade, 281.083, 193, S19, B19, 1
B19, Trade, 288.800, 181, S11, B19, 1
B19, Trade, 296.133, 195, S19, B19, 1
B20, 12
B20, Trade, 240.800, 183, S12, B20, 1
