B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 4.017, 106, S02, B04, 1
B05, 0
B06, 1
B06, Trade, 4.517, 108, B06, S00, 1
B07, 0
B08, 0
B09, 0
B10, 2
B10, Trade, 4.817, 134, B10, S10, 1
B10, Trade, 168.867, 150, B10, S00, 1
B11, 0
B12, 29
B12, Trade, 1.317, 141, B12, S12, 1
B12, Trade, 23.750, 143, B12, S12, 1
B12, Trade, 31.217, 141, S10, B12, 1
B12, Trade, 51.233, 146, B12, S02, 1
B12, Trade, 56.433, 146, B12, S02, 1
B12, Trade, 79.117, 148, B12, S00, 1
B12, Trade, 84.683, 149, B12, S02, 1
B12, Trade, 86.100, 148, S04, B12, 1
B12, Trade, 122.833, 153, B12, S12, 1
B12, Trade, 129.667, 154, B12, S02, 1
B12, Trade, 133.667, 154, B12, S12, 1
B12, Trade, 143.117, 155, B12, S02, 1
B12, Trade, 145.850, 155, B12, S08, 1
B12, Trade, 150.383, 156, S12, B12, 1
B12, Trade, 153.717, 156, S12, B12, 1
B12, Trade, 168.300, 158, B12, S07, 1
B12, Trade, 175.267, 158, S04, B12, 1
B12, Trade, 176.283, 159, S01, B12, 1
B12, Trade, 184.950, 159, B12, S00, 1
B12, Trade, 187.967, 159, S08, B12, 1
B12, Trade, 198.417, 161, B12, S02, 1
B12, Trade, 206.417, 161, B12, S03, 1
B12, Trade, 208.000, 161, S01, B12, 1
B12, Trade, 220.800, 163, B12, S02, 1
B12, Trade, 231.100, 164, B12, S03, 1
B12, Trade, 240.050, 165, B12, S05, 1
B12, Trade, 255.533, 166, B12, S07, 1
B12, Trade, 260.867, 165, S09, B12, 1
B12, Trade, 271.267, 168, B12, S12, 1
B13, 44
B13, Trade, 2.917, 144, S08, B13, 1
B13, Trade, 9.650, 145, B13, S13, 1
B13, Trade, 21.233, 146, B13, S06, 1
B13, Trade, 33.183, 147, S04, B13, 1
B13, Trade, 35.500, 147, B13, S12, 1
B13, Trade, 51.050, 148, S06, B13, 1
B13, Trade, 55.067, 148, S09, B13, 1
B13, Trade, 57.083, 149, S13, B13, 1
B13, Trade, 64.750, 150, B13, S12, 1
B13, Trade, 69.917, 151, B13, S12, 1
B13, Trade, 72.983, 151, S13, B13, 1
B13, Trade, 79.250, 152, S13, B13, 1
B13, Trade, 85.417, 149, S03, B13, 1
B13, Trade, 97.200, 154, B13, S12, 1
B13, Trade, 105.383, 155, S01, B13, 1
B13, Trade, 116.633, 155, B13, S00, 1
B13, Trade, 118.550, 156, B13, S12, 1
B13, Trade, 126.817, 153, S09, B13, 1
B13, Trade, 128.583, 156, S03, B13, 1
B13, Trade, 142.950, 158, B13, S00, 1
B13, Trade, 146.900, 156, S09, B13, 1
B13, Trade, 155.217, 157, S09, B13, 1
B13, Trade, 160.083, 160, S13, B13, 1
B13, Trade, 167.633, 160, B13, S12, 1
B13, Trade, 171.100, 159, S03, B13, 1
B13, Trade, 172.717, 159, S09, B13, 1
B13, Trade, 180.750, 161, S08, B13, 1
B13, Trade, 185.283, 162, S01, B13, 1
B13, Trade, 186.267, 159, S12, B13, 1
B13, Trade, 195.600, 163, B13, S07, 1
B13, Trade, 198.300, 164, S10, B13, 1
B13, Trade, 203.133, 164, S13, B13, 1
B13, Trade, 212.050, 164, S03, B13, 1
B13, Trade, 222.783, 166, B13, S07, 1
B13, Trade, 225.083, 166, B13, S09, 1
B13, Trade, 232.417, 164, S12, B13, 1
B13, Trade, 234.783, 167, S13, B13, 1
B13, Trade, 240.800, 166, S10, B13, 1
