B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 2.633, 110, B03, S03, 1
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 5
B13, Trade, 28.183, 147, B13, S06, 1
B13, Trade, 105.600, 154, B13, S12, 1
B13, Trade, 213.567, 165, B13, S02, 1
B13, Trade, 227.050, 166, B13, S03, 1
B13, Trade, 272.717, 171, B13, S06, 1
B14, 22
B14, Trade, 26.533, 149, B14, S08, 1
B14, Trade, 38.500, 150, B14, S03, 1
B14, Trade, 46.517, 150, B14, S05, 1
B14, Trade, 91.233, 156, B14, S06, 1
B14, Trade, 105.250, 156, B14, S01, 1
B14, Trade, 109.700, 158, B14, S12, 1
B14, Trade, 119.067, 159, B14, S03, 1
B14, Trade, 124.700, 158, B14, S06, 1
B14, Trade, 145.417, 161, B14, S06, 1
B14, Trade, 150.750, 162, B14, S06, 1
B14, Trade, 176.200, 164, B14, S03, 1
B14, Trade, 189.000, 165, B14, S12, 1
B14, Trade, 196.850, 166, B14, S01, 1
B14, Trade, 202.233, 167, B14, S06, 1
B14, Trade, 208.933, 167, B14, S06, 1
B14, Trade, 213.150, 168, B14, S01, 1
B14, Trade, 230.067, 170, B14, S02, 1
B14, Trade, 245.850, 171, B14, S06, 1
B14, Trade, 257.467, 171, B14, S03, 1
B14, Trade, 272.583, 174, B14, S01, 1
B14, Trade, 290.650, 175, B14, S12, 1
B14, Trade, 292.267, 176, B14, S12, 1
B15, 9
B15, Trade, 243.083, 175, S13, B15, 1
B15, Trade, 252.117, 176, B15, S05, 1
B15, Trade, 254.783, 176, B15, S04, 1
B15, Trade, 261.150, 177, B15, S05, 1
B15, Trade, 267.950, 177, B15, S12, 1
B15, Trade, 268.800, 178, S04, B15, 1
B15, Trade, 273.783, 172, S07, B15, 1
B15, Trade, 290.333, 180, B15, S05, 1
B15, Trade, 296.100, 180, B15, S09, 1
B16, 9
B16, Trade, 246.033, 168, B16, S12, 1
B16, Trade, 250.033, 175, B16, S03, 1
B16, Trade, 260.783, 181, B16, S12, 1
B16, Trade, 266.183, 181, B16, S06, 1
B16, Trade, 273.150, 170, B16, S03, 1
B16, Trade, 277.633, 182, S16, B16, 1
B16, Trade, 279.000, 182, S15, B16, 1
B16, Trade, 284.917, 183, B16, S03, 1
B16, Trade, 295.183, 184, B16, S14, 1
B17, 6
B17, Trade, 48.667, 160, S15, B17, 1
