B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 2.000, 122, S03, B07, 1
B08, 1
B08, Trade, 1.500, 115, S04, B08, 1
B09, 0
B10, 0
B11, 3
B11, Trade, 4.633, 134, B11, S01, 1
B11, Trade, 52.417, 142, B11, S01, 1
B11, Trade, 288.000, 165, B11, S02, 1
B12, 0
B13, 0
B14, 2
B14, Trade, 241.617, 172, B14, S07, 1
B14, Trade, 260.133, 174, B14, S10, 1
B15, 14
B15, Trade, 9.267, 142, B15, S03, 1
B15, Trade, 70.683, 157, B15, S07, 1
B15, Trade, 99.117, 160, B15, S06, 1
B15, Trade, 112.317, 161, B15, S02, 1
B15, Trade, 152.667, 165, B15, S02, 1
B15, Trade, 153.550, 163, B15, S01, 1
B15, Trade, 159.550, 164, B15, S06, 1
B15, Trade, 216.250, 171, B15, S07, 1
B15, Trade, 228.783, 171, B15, S06, 1
B15, Trade, 245.333, 174, B15, S04, 1
B15, Trade, 271.300, 177, B15, S02, 1
B15, Trade, 277.983, 177, B15, S10, 1
B15, Trade, 287.883, 178, B15, S10, 1
B15, Trade, 292.817, 178, B15, S01, 1
B16, 31
B16, Trade, 9.433, 142, B16, S08, 1
B16, Trade, 45.717, 158, B16, S13, 1
B16, Trade, 56.500, 157, B16, S08, 1
B16, Trade, 63.417, 158, B16, S03, 1
B16, Trade, 69.783, 161, B16, S15, 1
B16, Trade, 89.650, 162, S12, B16, 1
B16, Trade, 97.283, 164, S06, B16, 1
B16, Trade, 120.317, 166, B16, S01, 1
B16, Trade, 133.783, 166, B16, S01, 1
B16, Trade, 142.433, 168, B16, S01, 1
B16, Trade, 145.733, 167, B16, S13, 1
B16, Trade, 148.883, 166, B16, S06, 1
B16, Trade, 160.467, 164, B16, S01, 1
B16, Trade, 164.950, 169, S06, B16, 1
B16, Trade, 169.150, 170, B16, S02, 1
B16, Trade, 174.817, 170, B16, S01, 1
B16, Trade, 177.383, 172, B16, S07, 1
B16, Trade, 189.200, 169, B16, S01, 1
B16, Trade, 191.050, 172, S13, B16, 1
B16, Trade, 196.417, 171, B16, S01, 1
B16, Trade, 206.867, 172, B16, S15, 1
B16, Trade, 218.117, 173, S13, B16, 1
B16, Trade, 224.917, 171, B16, S01, 1
B16, Trade, 238.167, 178, B16, S13, 1
B16, Trade, 252.150, 177, B16, S01, 1
B16, Trade, 257.383, 178, B16, S01, 1
B16, Trade, 266.167, 181, B16, S08, 1
B16, Trade, 268.650, 179, B16, S00, 1
B16, Trade, 277.800, 182, B16, S02, 1
B16, Trade, 286.750, 182, B16, S00, 1
B16, Trade, 294.233, 182, B16, S00, 1
B17, 7
B17, Trade, 31.983, 158, S16, B17, 1
B17, Trade, 70.950, 161, S09, B17, 1
B17, Trade, 94.383, 164, S16, B17, 1
B17, Trade, 103.933, 154, S06, B17, 1
B17, Trade, 226.317, 173, S13, B17, 1
