B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 3.083, 127, B08, S05, 1
B09, 1
B09, Trade, 257.700, 156, B09, S05, 1
B10, 1
B10, Trade, 5.683, 135, B10, S02, 1
B11, 3
B11, Trade, 11.383, 135, B11, S05, 1
B11, Trade, 119.400, 148, B11, S04, 1
B11, Trade, 219.667, 158, B11, S01, 1
B12, 12
B12, Trade, 10.933, 135, B12, S07, 1
B12, Trade, 18.917, 142, B12, S07, 1
B12, Trade, 44.117, 143, B12, S00, 1
B12, Trade, 88.367, 148, B12, S08, 1
B12, Trade, 117.700, 150, B12, S07, 1
B12, Trade, 130.900, 152, B12, S00, 1
B12, Trade, 160.583, 154, B12, S08, 1
B12, Trade, 177.067, 157, B12, S05, 1
B12, Trade, 202.200, 160, B12, S04, 1
B12, Trade, 219.633, 160, B12, S08, 1
B12, Trade, 257.583, 166, B12, S08, 1
B12, Trade, 295.583, 169, B12, S01, 1
B13, 4
B13, Trade, 257.317, 169, B13, S01, 1
B13, Trade, 265.717, 170, B13, S05, 1
B13, Trade, 273.233, 171, B13, S08, 1
B13, Trade, 292.067, 173, B13, S05, 1
B14, 2
B14, Trade, 223.917, 164, B14, S04, 1
B14, Trade, 292.450, 172, B14, S04, 1
B15, 6
B15, Trade, 5.533, 143, B15, S08, 1
B15, Trade, 19.483, 145, B15, S04, 1
B15, Trade, 95.683, 160, B15, S01, 1
B15, Trade, 158.850, 163, B15, S04, 1
B15, Trade, 170.000, 163, B15, S09, 1
B15, Trade, 201.317, 162, B15, S07, 1
B16, 11
B16, Trade, 240.517, 179, B16, S05, 1
B16, Trade, 247.683, 176, B16, S10, 1
B16, Trade, 251.017, 176, S14, B16, 1
B16, Trade, 259.383, 175, S03, B16, 1
B16, Trade, 264.517, 181, B16, S10, 1
B16, Trade, 271.233, 182, B16, S04, 1
B16, Trade, 274.017, 175, S02, B16, 1
B16, Trade, 279.867, 183, B16, S14, 1
B16, Trade, 286.867, 183, B16, S00, 1
B16, Trade, 293.400, 184, B16, S00, 1
B16, Trade, 294.817, 184, B16, S14, 1
B17, 47
B17, Trade, 6.283, 152, B17, S04, 1
B17, Trade, 11.883, 151, B17, S09, 1
B17, Trade, 22.000, 153, B17, S04, 1
B17, Trade, 28.200, 145, B17, S04, 1
B17, Trade, 35.017, 154, S02, B17, 1
B17, Trade, 39.533, 156, B17, S00, 1
B17, Trade, 47.550, 151, B17, S00, 1
B17, Trade, 59.633, 164, B17, S00, 1
B17, Trade, 66.817, 164, B17, S05, 1
B17, Trade, 71.783, 151, B17, S04, 1
B17, Trade, 81.817, 166, B17, S00, 1
B17, Trade, 84.083, 166, B17, S07, 1
B17, Trade, 95.350, 156, B17, S05, 1
B17, Trade, 101.217, 162, B17, S07, 1
B17, Trade, 104.333, 152, B17, S08, 1
B17, Trade, 114.700, 169, B17, S08, 1
B17, Trade, 117.033, 168, B17, S05, 1
B17, Trade, 122.917, 164, B17, S00, 1
B17, Trade, 128.033, 161, B17, S08, 1
B17, Trade, 136.433, 158, B17, S07, 1
B17, Trade, 140.100, 155, B17, S01, 1
B17, Trade, 147.717, 167, B17, S00, 1
B17, Trade, 153.783, 168, S02, B17, 1
B17, Trade, 164.117, 158, B17, S07, 1
B17, Trade, 165.350, 163, B17, S00, 1
B17, Trade, 170.633, 164, B17, S06, 1
B17, Trade, 174.417, 166, B17, S08, 1
B17, Trade, 187.000, 168, B17, S00, 1
B17, Trade, 190.683, 169, B17, S07, 1
B17, Trade, 201.267, 177, B17, S08, 1
B17, Trade, 204.267, 176, S02, B17, 1
B17, Trade, 210.150, 161, B17, S00, 1
B17, Trade, 216.833, 167, B17, S08, 1
B17, Trade, 223.183, 158, B17, S05, 1
B17, Trade, 231.083, 171, B17, S05, 1
B17, Trade, 234.100, 175, S06, B17, 1
B17, Trade, 245.350, 180, B17, S08, 1
B17, Trade, 249.700, 173, S10, B17, 1
B17, Trade, 255.867, 181, B17, S10, 1
B17, Trade, 261.017, 180, B17, S10, 1
B17, Trade, 264.933, 178, B17, S00, 1
B17, Trade, 269.733, 184, B17, S01, 1
B17, Trade, 279.167, 185, B17, S10, 1
B17, Trade, 282.033, 178, B17, S05, 1
B17, Trade, 286.300, 179, B17, S03, 1
B17, Trade, 289.067, 183, B17, S02, 1
B17, Trade, 299.267, 186, S02, B17, 1
B18, 41
B18, Trade, 3.433, 142, B18, S00, 1
B18, Trade, 15.967, 154, S11, B18, 1
B18, Trade, 26.283, 154, S11, B18, 1
B18, Trade, 28.967, 158, S02, B18, 1
B18, Trade, 33.300, 160, B18, S09, 1
B18, Trade, 39.133, 157, S02, B18, 1
B18, Trade, 48.967, 156, S09, B18, 1
B18, Trade, 66.017, 166, B18, S02, 1
B18, Trade, 89.100, 160, B18, S04, 1
B18, Trade, 96.600, 166, B18, S01, 1
B18, Trade, 107.517, 168, S17, B18, 1
B18, Trade, 112.283, 166, S09, B18, 1
B18, Trade, 115.817, 169, S06, B18, 1
B18, Trade, 120.400, 164, S06, B18, 1
B18, Trade, 127.517, 162, S11, B18, 1
B18, Trade, 136.067, 160, S06, B18, 1
B18, Trade, 145.333, 168, S06, B18, 1
B18, Trade, 149.300, 168, S06, B18, 1
B18, Trade, 155.150, 169, S11, B18, 1
B18, Trade, 158.517, 167, B18, S05, 1
B18, Trade, 166.517, 167, S06, B18, 1
B18, Trade, 167.067, 172, S16, B18, 1
B18, Trade, 175.567, 166, S09, B18, 1
B18, Trade, 182.500, 163, S06, B18, 1
B18, Trade, 190.250, 174, S16, B18, 1
B18, Trade, 196.017, 177, B18, S08, 1
B18, Trade, 200.850, 177, B18, S05, 1
B18, Trade, 205.183, 175, S06, B18, 1
B18, Trade, 213.117, 177, B18, S16, 1
B18, Trade, 225.367, 162, S01, B18, 1
B18, Trade, 226.550, 180, S17, B18, 1
B18, Trade, 228.417, 167, S06, B18, 1
B18, Trade, 241.850, 182, S02, B18, 1
B18, Trade, 249.017, 176, S09, B18, 1
B18, Trade, 262.783, 182, S02, B18, 1
B18, Trade, 271.733, 170, B18, S04, 1
B18, Trade, 274.300, 174, S06, B18, 1
B18, Trade, 283.650, 183, S11, B18, 1
B18, Trade, 288.967, 184, S16, B18, 1
B18, Trade, 290.383, 180, S09, B18, 1
B18, Trade, 299.550, 185, B18, S07, 1
B19, 36
B19, Trade, 24.267, 149, B19, S05, 1
B19, Trade, 32.950, 146, B19, S00, 1
B19, Trade, 40.767, 155, B19, S08, 1
B19, Trade, 51.167, 153, B19, S01, 1
B19, Trade, 65.767, 166, B19, S06, 1
B19, Trade, 78.433, 171, B19, S08, 1
B19, Trade, 83.083, 167, B19, S05, 1
B19, Trade, 87.033, 166, B19, S07, 1
B19, Trade, 91.983, 160, S02, B19, 1
B19, Trade, 100.300, 163, B19, S04, 1
B19, Trade, 106.633, 157, B19, S05, 1
B19, Trade, 116.333, 168, B19, S02, 1
B19, Trade, 124.250, 160, B19, S08, 1
B19, Trade, 127.350, 159, B19, S07, 1
B19, Trade, 134.617, 155, B19, S05, 1
B19, Trade, 142.867, 167, B19, S07, 1
B19, Trade, 154.533, 166, B19, S05, 1
B19, Trade, 157.800, 164, B19, S00, 1
B19, Trade, 168.683, 163, B19, S00, 1
B19, Trade, 176.867, 161, B19, S07, 1
B19, Trade, 182.300, 160, B19, S08, 1
B19, Trade, 187.683, 166, B19, S05, 1
B19, Trade, 198.050, 177, S06, B19, 1
B19, Trade, 201.800, 174, B19, S01, 1
B19, Trade, 206.383, 172, B19, S08, 1
B19, Trade, 213.883, 168, B19, S12, 1
B19, Trade, 224.817, 161, S06, B19, 1
B19, Trade, 231.233, 171, B19, S04, 1
B19, Trade, 244.750, 183, B19, S07, 1
B19, Trade, 249.933, 175, B19, S02, 1
B19, Trade, 256.667, 181, B19, S14, 1
B19, Trade, 271.117, 184, B19, S00, 1
B19, Trade, 278.583, 191, B19, S08, 1
B19, Trade, 282.767, 182, S02, B19, 1
B19, Trade, 290.050, 181, B19, S04, 1
B19, Trade, 295.267, 181, S06, B19, 1
B20, 49
B20, Trade, 9.100, 157, B20, S05, 1
B20, Trade, 12.683, 150, B20, S00, 1
B20, Trade, 20.933, 149, B20, S07, 1
B20, Trade, 23.317, 146, B20, S08, 1
B20, Trade, 28.017, 146, B20, S05, 1
B20, Trade, 36.550, 151, B20, S04, 1
B20, Trade, 49.733, 156, B20, S01, 1
B20, Trade, 51.983, 146, B20, S07, 1
B20, Trade, 61.633, 167, B20, S08, 1
B20, Trade, 66.367, 165, B20, S08, 1
B20, Trade, 71.700, 152, B20, S00, 1
B20, Trade, 75.917, 167, B20, S07, 1
B20, Trade, 80.533, 168, B20, S07, 1
B20, Trade, 85.117, 168, B20, S04, 1
B20, Trade, 91.517, 157, B20, S07, 1
B20, Trade, 94.867, 153, B20, S08, 1
B20, Trade, 102.617, 152, B20, S08, 1
B20, Trade, 106.400, 158, B20, S00, 1
B20, Trade, 109.717, 156, B20, S07, 1
B20, Trade, 113.633, 166, B20, S04, 1
B20, Trade, 116.767, 167, B20, S07, 1
B20, Trade, 130.667, 163, B20, S04, 1
B20, Trade, 134.900, 155, B20, S00, 1
B20, Trade, 142.283, 166, B20, S05, 1
B20, Trade, 145.750, 166, B20, S05, 1
B20, Trade, 152.733, 168, B20, S06, 1
B20, Trade, 163.750, 161, B20, S08, 1
B20, Trade, 171.150, 165, S11, B20, 1
B20, Trade, 179.667, 154, B20, S04, 1
B20, Trade, 186.033, 167, B20, S09, 1
B20, Trade, 194.167, 184, S16, B20, 1
B20, Trade, 199.667, 178, B20, S13, 1
B20, Trade, 209.383, 160, B20, S07, 1
B20, Trade, 210.517, 162, B20, S04, 1
B20, Trade, 217.500, 159, B20, S04, 1
B20, Trade, 225.667, 162, B20, S02, 1
B20, Trade, 232.350, 173, B20, S05, 1
B20, Trade, 234.400, 176, S02, B20, 1
B20, Trade, 240.983, 178, B20, S07, 1
B20, Trade, 243.400, 183, B20, S01, 1
B20, Trade, 247.650, 177, S11, B20, 1
B20, Trade, 258.533, 168, B20, S08, 1
B20, Trade, 262.817, 176, B20, S07, 1
B20, Trade, 270.733, 187, B20, S05, 1
B20, Trade, 277.967, 192, B20, S07, 1
B20, Trade, 280.850, 177, B20, S00, 1
B20, Trade, 286.567, 180, B20, S07, 1
B20, Trade, 287.583, 184, B20, S10, 1
B20, Trade, 297.400, 176, B20, S10, 1
B21, 52
B21, Trade, 6.383, 151, B21, S07, 1
B21, Trade, 8.683, 157, B21, S11, 1
B21, Trade, 18.000, 151, B21, S09, 1
B21, Trade, 18.450, 152, S06, B21, 1
B21, Trade, 26.917, 148, B21, S01, 1
B21, Trade, 35.567, 149, B21, S05, 1
B21, Trade, 46.983, 149, S06, B21, 1
B21, Trade, 49.700, 157, B21, S05, 1
B21, Trade, 52.750, 149, B21, S05, 1
B21, Trade, 58.083, 159, B21, S07, 1
B21, Trade, 63.450, 169, B21, S06, 1
B21, Trade, 71.933, 157, B21, S08, 1
B21, Trade, 75.200, 167, B21, S05, 1
B21, Trade, 78.267, 173, B21, S13, 1
B21, Trade, 83.717, 169, B21, S00, 1
B21, Trade, 93.417, 164, B21, S09, 1
B21, Trade, 97.483, 153, B21, S04, 1
B21, Trade, 106.550, 159, S06, B21, 1
B21, Trade, 108.050, 155, B21, S05, 1
B21, Trade, 113.967, 168, B21, S00, 1
B21, Trade, 119.000, 150, B21, S01, 1
B21, Trade, 126.533, 161, B21, S05, 1
B21, Trade, 129.617, 164, S02, B21, 1
B21, Trade, 139.167, 157, S09, B21, 1
B21, Trade, 145.133, 166, S09, B21, 1
B21, Trade, 150.617, 166, B21, S05, 1
B21, Trade, 157.617, 166, B21, S01, 1
B21, Trade, 161.900, 159, S06, B21, 1
B21, Trade, 166.267, 163, B21, S05, 1
B21, Trade, 174.467, 165, B21, S04, 1
B21, Trade, 182.250, 160, B21, S00, 1
B21, Trade, 184.300, 163, B21, S05, 1
B21, Trade, 194.117, 183, B21, S17, 1
B21, Trade, 195.583, 179, B21, S00, 1
B21, Trade, 198.267, 177, B21, S09, 1
B21, Trade, 204.550, 176, B21, S15, 1
B21, Trade, 211.367, 163, B21, S08, 1
B21, Trade, 214.950, 168, B21, S00, 1
