B00, 0
B01, 0
B02, 1
B02, Trade, 103.383, 116, B02, S02, 1
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 191.567, 139, B06, S00, 1
B07, 0
B08, 3
B08, Trade, 72.967, 134, B08, S02, 1
B08, Trade, 155.017, 142, B08, S01, 1
B08, Trade, 277.617, 155, B08, S02, 1
B09, 10
B09, Trade, 1.633, 124, S07, B09, 1
B09, Trade, 11.200, 132, B09, S01, 1
B09, Trade, 72.683, 138, B09, S09, 1
B09, Trade, 101.417, 141, B09, S03, 1
B09, Trade, 103.117, 141, B09, S09, 1
B09, Trade, 117.217, 143, B09, S09, 1
B09, Trade, 130.117, 144, B09, S00, 1
B09, Trade, 142.000, 145, B09, S01, 1
B09, Trade, 183.000, 149, B09, S01, 1
B09, Trade, 277.600, 159, B09, S09, 1
B10, 19
B10, Trade, 5.567, 130, B10, S06, 1
B10, Trade, 88.300, 142, B10, S02, 1
B10, Trade, 99.450, 144, B10, S01, 1
B10, Trade, 115.217, 145, B10, S07, 1
B10, Trade, 121.633, 146, B10, S02, 1
B10, Trade, 139.833, 148, B10, S06, 1
B10, Trade, 154.900, 149, B10, S05, 1
B10, Trade, 168.133, 150, B10, S02, 1
B10, Trade, 182.900, 152, B10, S07, 1
B10, Trade, 186.250, 152, B10, S02, 1
B10, Trade, 188.783, 153, B10, S07, 1
B10, Trade, 202.583, 154, B10, S00, 1
B10, Trade, 211.183, 155, B10, S09, 1
B10, Trade, 232.800, 157, B10, S02, 1
B10, Trade, 239.367, 157, B10, S09, 1
B10, Trade, 254.683, 157, S07, B10, 1
B10, Trade, 264.683, 160, B10, S01, 1
B10, Trade, 277.050, 161, B10, S09, 1
B10, Trade, 297.533, 163, B10, S09, 1
B11, 5
B11, Trade, 252.500, 162, B11, S02, 1
B11, Trade, 264.617, 163, B11, S00, 1
B11, Trade, 281.133, 164, B11, S00, 1
B11, Trade, 281.283, 163, B11, S07, 1
B11, Trade, 297.500, 166, B11, S00, 1
B12, 0
B13, 2
B13, Trade, 36.517, 135, S09, B13, 1
B13, Trade, 122.017, 150, S07, B13, 1
B14, 49
B14, Trade, 6.850, 148, S14, B14, 1
B14, Trade, 10.483, 149, B14, S09, 1
B14, Trade, 13.083, 148, S10, B14, 1
B14, Trade, 26.583, 150, B14, S14, 1
B14, Trade, 29.883, 151, B14, S00, 1
B14, Trade, 34.783, 151, S14, B14, 1
B14, Trade, 38.217, 152, B14, S14, 1
B14, Trade, 47.850, 152, B14, S00, 1
B14, Trade, 52.533, 153, B14, S09, 1
B14, Trade, 57.900, 154, B14, S00, 1
B14, Trade, 64.400, 154, B14, S02, 1
B14, Trade, 68.900, 155, B14, S02, 1
B14, Trade, 74.067, 155, S14, B14, 1
B14, Trade, 83.633, 156, B14, S14, 1
B14, Trade, 84.917, 156, B14, S07, 1
B14, Trade, 90.017, 157, S14, B14, 1
B14, Trade, 95.250, 157, S14, B14, 1
B14, Trade, 98.767, 158, B14, S08, 1
B14, Trade, 102.400, 149, S00, B14, 1
B14, Trade, 111.550, 159, B14, S08, 1
B14, Trade, 117.233, 154, S11, B14, 1
B14, Trade, 127.767, 157, S10, B14, 1
B14, Trade, 135.200, 161, B14, S01, 1
B14, Trade, 141.850, 157, S12, B14, 1
B14, Trade, 147.833, 163, B14, S07, 1
B14, Trade, 168.967, 164, S11, B14, 1
B14, Trade, 172.733, 163, S03, B14, 1
B14, Trade, 182.000, 166, B14, S07, 1
B14, Trade, 184.367, 166, B14, S06, 1
B14, Trade, 188.400, 167, B14, S02, 1
B14, Trade, 196.400, 165, S13, B14, 1
B14, Trade, 199.617, 168, S14, B14, 1
B14, Trade, 208.600, 169, B14, S06, 1
B14, Trade, 214.367, 166, S11, B14, 1
B14, Trade, 220.067, 170, B14, S11, 1
B14, Trade, 231.983, 171, B14, S00, 1
B14, Trade, 236.217, 170, S10, B14, 1
B14, Trade, 246.117, 172, B14, S07, 1
B14, Trade, 248.783, 173, B14, S09, 1
B14, Trade, 251.983, 172, S03, B14, 1
B14, Trade, 261.717, 174, B14, S07, 1
B14, Trade, 266.117, 174, B14, S04, 1
B14, Trade, 268.717, 174, S11, B14, 1
B14, Trade, 276.600, 176, B14, S05, 1
B14, Trade, 279.683, 176, B14, S01, 1
B14, Trade, 284.033, 176, B14, S08, 1
B14, Trade, 290.417, 177, S07, B14, 1
B14, Trade, 297.150, 177, B14, S07, 1
B14, Trade, 299.967, 178, B14, S02, 1
B15, 1
B15, Trade, 102.633, 151, S12, B15, 1
B16, 12
B16, Trade, 244.933, 179, B16, S04, 1
B16, Trade, 251.850, 166, S04, B16, 1
B16, Trade, 257.333, 170, S13, B16, 1
B16, Trade, 260.017, 176, S10, B16, 1
B16, Trade, 263.617, 167, B16, S02, 1
B16, Trade, 273.617, 182, B16, S10, 1
B16, Trade, 275.417, 182, B16, S13, 1
B16, Trade, 278.967, 183, B16, S13, 1
B16, Trade, 282.967, 175, B16, S06, 1
B16, Trade, 291.233, 183, S13, B16, 1
B16, Trade, 294.867, 176, S10, B16, 1
B16, Trade, 298.733, 185, B16, S11, 1
B17, 49
B17, Trade, 2.667, 131, B17, S09, 1
B17, Trade, 8.500, 138, B17, S02, 1
B17, Trade, 20.583, 155, B17, S02, 1
B17, Trade, 29.033, 154, B17, S02, 1
