B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 0.950, 113, S04, B06, 1
B07, 0
B08, 0
B09, 0
B10, 0
B11, 2
B11, Trade, 1.267, 132, S01, B11, 1
B11, Trade, 44.533, 141, B11, S01, 1
B12, 1
B12, Trade, 244.917, 165, B12, S04, 1
B13, 7
B13, Trade, 246.550, 168, B13, S03, 1
B13, Trade, 252.333, 169, B13, S09, 1
B13, Trade, 262.117, 170, B13, S12, 1
B13, Trade, 266.100, 170, B13, S06, 1
B13, Trade, 288.700, 172, B13, S03, 1
B13, Trade, 293.533, 173, B13, S10, 1
B13, Trade, 294.683, 173, B13, S06, 1
B14, 21
B14, Trade, 11.350, 143, B14, S04, 1
B14, Trade, 18.417, 148, B14, S11, 1
B14, Trade, 36.633, 150, B14, S01, 1
B14, Trade, 39.717, 151, B14, S10, 1
B14, Trade, 65.083, 152, B14, S01, 1
B14, Trade, 84.217, 140, S01, B14, 1
B14, Trade, 89.767, 152, B14, S04, 1
B14, Trade, 105.500, 156, B14, S04, 1
B14, Trade, 110.217, 158, B14, S01, 1
B14, Trade, 142.867, 161, B14, S04, 1
B14, Trade, 174.633, 164, B14, S04, 1
B14, Trade, 178.983, 165, B14, S00, 1
B14, Trade, 196.100, 166, B14, S01, 1
B14, Trade, 222.300, 169, B14, S04, 1
B14, Trade, 229.367, 170, B14, S04, 1
B14, Trade, 244.867, 171, B14, S10, 1
B14, Trade, 251.983, 172, B14, S04, 1
B14, Trade, 262.100, 171, B14, S03, 1
B14, Trade, 278.000, 175, B14, S02, 1
B14, Trade, 284.800, 174, B14, S01, 1
B14, Trade, 294.917, 173, B14, S03, 1
B15, 40
B15, Trade, 11.283, 152, B15, S11, 1
B15, Trade, 21.733, 149, S02, B15, 1
B15, Trade, 25.917, 152, B15, S01, 1
B15, Trade, 27.633, 154, B15, S02, 1
B15, Trade, 30.667, 154, B15, S01, 1
B15, Trade, 39.617, 152, B15, S14, 1
B15, Trade, 54.267, 156, B15, S01, 1
B15, Trade, 62.050, 154, B15, S04, 1
B15, Trade, 66.250, 153, B15, S04, 1
B15, Trade, 86.583, 148, B15, S01, 1
B15, Trade, 90.517, 152, B15, S09, 1
B15, Trade, 98.383, 159, B15, S01, 1
B15, Trade, 105.033, 157, B15, S09, 1
B15, Trade, 109.117, 162, B15, S10, 1
B15, Trade, 118.433, 161, B15, S00, 1
B15, Trade, 121.267, 163, B15, S08, 1
B15, Trade, 128.150, 163, B15, S04, 1
B15, Trade, 129.333, 162, B15, S01, 1
B15, Trade, 146.817, 162, B15, S00, 1
B15, Trade, 152.033, 166, B15, S04, 1
B15, Trade, 157.417, 166, B15, S04, 1
B15, Trade, 160.200, 167, B15, S09, 1
B15, Trade, 177.567, 161, B15, S07, 1
B15, Trade, 181.800, 169, B15, S11, 1
B15, Trade, 187.317, 168, B15, S14, 1
B15, Trade, 194.867, 168, B15, S00, 1
B15, Trade, 210.583, 172, B15, S01, 1
B15, Trade, 212.467, 172, B15, S02, 1
B15, Trade, 238.183, 171, B15, S01, 1
B15, Trade, 247.883, 170, B15, S06, 1
B15, Trade, 251.200, 175, B15, S08, 1
B15, Trade, 255.150, 171, B15, S03, 1
B15, Trade, 258.583, 172, S08, B15, 1
B15, Trade, 267.100, 171, S07, B15, 1
B15, Trade, 269.567, 173, S02, B15, 1
B15, Trade, 278.133, 172, B15, S12, 1
B15, Trade, 279.183, 174, B15, S06, 1
B15, Trade, 286.800, 177, B15, S06, 1
B15, Trade, 291.350, 176, B15, S07, 1
B15, Trade, 296.167, 173, B15, S12, 1
B16, 13
B16, Trade, 18.433, 149, S07, B16, 1
B16, Trade, 58.700, 159, B16, S01, 1
B16, Trade, 76.750, 159, B16, S02, 1
B16, Trade, 89.750, 153, S01, B16, 1
B16, Trade, 94.733, 157, S14, B16, 1
B16, Trade, 141.400, 162, S14, B16, 1
B16, Trade, 184.183, 171, S11, B16, 1
B16, Trade, 217.317, 171, S10, B16, 1
B16, Trade, 227.633, 178, B16, S10, 1
B16, Trade, 243.433, 174, B16, S12, 1
B16, Trade, 257.417, 172, S00, B16, 1
B16, Trade, 281.933, 175, S00, B16, 1
B16, Trade, 298.400, 184, B16, S04, 1
B17, 14
B17, Trade, 12.633, 154, B17, S14, 1
B17, Trade, 16.400, 157, S16, B17, 1
B17, Trade, 32.900, 154, S08, B17, 1
B17, Trade, 84.867, 146, S00, B17, 1
B17, Trade, 102.883, 160, S02, B17, 1
B17, Trade, 131.217, 168, B17, S04, 1
B17, Trade, 142.517, 168, S02, B17, 1
B17, Trade, 161.400, 170, S00, B17, 1
B17, Trade, 188.217, 172, S08, B17, 1
B17, Trade, 216.100, 172, S14, B17, 1
B17, Trade, 219.467, 172, S02, B17, 1
B17, Trade, 230.750, 177, B17, S01, 1
B17, Trade, 241.033, 177, S03, B17, 1
B17, Trade, 282.633, 176, S07, B17, 1
B18, 55
B18, Trade, 6.167, 163, B18, S08, 1
B18, Trade, 12.500, 153, S00, B18, 1
B18, Trade, 20.383, 149, S00, B18, 1
B18, Trade, 24.967, 150, S14, B18, 1
B18, Trade, 26.583, 156, S07, B18, 1
B18, Trade, 34.850, 165, B18, S16, 1
B18, Trade, 38.833, 155, S02, B18, 1
B18, Trade, 41.367, 156, S11, B18, 1
B18, Trade, 47.033, 154, S02, B18, 1
B18, Trade, 52.250, 157, S14, B18, 1
B18, Trade, 57.817, 161, S08, B18, 1
B18, Trade, 66.617, 154, S11, B18, 1
B18, Trade, 71.817, 162, S16, B18, 1
B18, Trade, 77.233, 160, S10, B18, 1
B18, Trade, 84.717, 145, S10, B18, 1
B18, Trade, 91.900, 157, S14, B18, 1
B18, Trade, 95.067, 159, S10, B18, 1
B18, Trade, 101.583, 162, S00, B18, 1
B18, Trade, 106.700, 162, S07, B18, 1
B18, Trade, 116.367, 163, S10, B18, 1
B18, Trade, 120.050, 163, S11, B18, 1
B18, Trade, 125.667, 174, B18, S04, 1
B18, Trade, 127.733, 173, S14, B18, 1
B18, Trade, 134.400, 166, S00, B18, 1
B18, Trade, 139.567, 173, S00, B18, 1
B18, Trade, 145.650, 162, S14, B18, 1
B18, Trade, 151.983, 177, B18, S07, 1
B18, Trade, 160.183, 170, S10, B18, 1
B18, Trade, 168.150, 179, B18, S04, 1
B18, Trade, 171.650, 179, S08, B18, 1
B18, Trade, 177.850, 162, S08, B18, 1
B18, Trade, 184.933, 169, S02, B18, 1
B18, Trade, 187.783, 171, S00, B18, 1
B18, Trade, 196.267, 174, S16, B18, 1
B18, Trade, 199.283, 182, B18, S11, 1
B18, Trade, 204.333, 178, S14, B18, 1
B18, Trade, 210.683, 176, S11, B18, 1
B18, Trade, 214.167, 172, S02, B18, 1
B18, Trade, 220.600, 170, S07, B18, 1
B18, Trade, 222.683, 184, B18, S09, 1
B18, Trade, 227.783, 180, S02, B18, 1
B18, Trade, 234.833, 185, B18, S11, 1
B18, Trade, 241.200, 176, S00, B18, 1
B18, Trade, 245.950, 169, S11, B18, 1
B18, Trade, 249.450, 172, S11, B18, 1
B18, Trade, 252.400, 173, S10, B18, 1
B18, Trade, 258.650, 173, S14, B18, 1
B18, Trade, 263.850, 175, S00, B18, 1
B18, Trade, 271.200, 175, S00, B18, 1
B18, Trade, 278.217, 176, S07, B18, 1
B18, Trade, 281.233, 175, S11, B18, 1
B18, Trade, 285.883, 177, S02, B18, 1
B18, Trade, 291.967, 177, S14, B18, 1
B18, Trade, 295.617, 176, S00, B18, 1
B18, Trade, 299.983, 181, S07, B18, 1
B19, 0
B20, 25
B20, Trade, 23.267, 146, B20, S11, 1
B20, Trade, 33.583, 155, S14, B20, 1
B20, Trade, 50.317, 159, S07, B20, 1
B20, Trade, 69.767, 158, S01, B20, 1
B20, Trade, 75.667, 160, S08, B20, 1
B20, Trade, 83.150, 162, S14, B20, 1
B20, Trade, 98.800, 165, S16, B20, 1
B20, Trade, 108.750, 163, S14, B20, 1
B20, Trade, 116.683, 166, S07, B20, 1
B20, Trade, 119.133, 163, S07, B20, 1
B20, Trade, 131.533, 168, S07, B20, 1
B20, Trade, 136.350, 172, S14, B20, 1
B20, Trade, 141.583, 170, S08, B20, 1
B20, Trade, 159.900, 170, S11, B20, 1
B20, Trade, 172.950, 176, S07, B20, 1
B20, Trade, 180.567, 168, S10, B20, 1
B20, Trade, 196.083, 169, S14, B20, 1
B20, Trade, 204.750, 187, B20, S04, 1
B20, Trade, 234.050, 178, S16, B20, 1
B20, Trade, 239.700, 179, S11, B20, 1
B20, Trade, 242.367, 179, S10, B20, 1
B20, Trade, 248.000, 171, S08, B20, 1
B20, Trade, 264.650, 173, S08, B20, 1
B20, Trade, 285.933, 178, S14, B20, 1
B20, Trade, 292.150, 176, S10, B20, 1
B21, 40
B21, Trade, 5.683, 164, S07, B21, 1
B21, Trade, 7.717, 162, B21, S16, 1
B21, Trade, 15.050, 159, B21, S16, 1
B21, Trade, 23.567, 145, B21, S09, 1
B21, Trade, 28.483, 154, S10, B21, 1
B21, Trade, 33.400, 152, B21, S04, 1
B21, Trade, 49.183, 160, B21, S04, 1
B21, Trade, 52.150, 157, S11, B21, 1
B21, Trade, 60.800, 157, B21, S11, 1
B21, Trade, 64.317, 153, S11, B21, 1
B21, Trade, 83.333, 159, B21, S04, 1
B21, Trade, 98.767, 159, B21, S14, 1
B21, Trade, 107.367, 162, B21, S11, 1
B21, Trade, 118.300, 163, S08, B21, 1
B21, Trade, 128.000, 171, B21, S11, 1
B21, Trade, 132.567, 166, B21, S02, 1
B21, Trade, 139.233, 172, B21, S10, 1
B21, Trade, 149.133, 177, B21, S16, 1
B21, Trade, 149.833, 179, B21, S05, 1
B21, Trade, 155.450, 170, B21, S01, 1
B21, Trade, 166.883, 179, B21, S01, 1
B21, Trade, 171.583, 178, B21, S01, 1
B21, Trade, 176.467, 164, S00, B21, 1
B21, Trade, 182.883, 170, B21, S08, 1
B21, Trade, 186.983, 169, S07, B21, 1
B21, Trade, 198.550, 184, B21, S10, 1
B21, Trade, 202.783, 177, B21, S01, 1
B21, Trade, 206.583, 182, S14, B21, 1
B21, Trade, 213.083, 171, B21, S07, 1
B21, Trade, 226.283, 179, B21, S09, 1
B21, Trade, 229.217, 178, B21, S08, 1
B21, Trade, 235.467, 182, B21, S14, 1
B21, Trade, 251.950, 173, B21, S07, 1
B21, Trade, 255.767, 171, S02, B21, 1
B21, Trade, 257.300, 171, B21, S10, 1
B21, Trade, 267.267, 170, B21, S06, 1
B21, Trade, 272.067, 174, B21, S11, 1
B21, Trade, 274.400, 177, B21, S10, 1
B21, Trade, 282.433, 174, B21, S12, 1
B21, Trade, 295.117, 173, B21, S07, 1
B22, 44
B22, Trade, 7.433, 162, B22, S02, 1
B22, Trade, 15.450, 157, B22, S07, 1
B22, Trade, 19.317, 148, B22, S08, 1
B22, Trade, 25.367, 150, B22, S04, 1
B22, Trade, 31.700, 155, S07, B22, 1
B22, Trade, 36.267, 164, B22, S09, 1
B22, Trade, 37.300, 157, B22, S10, 1
B22, Trade, 50.983, 158, B22, S02, 1
B22, Trade, 58.617, 159, B22, S04, 1
B22, Trade, 61.650, 154, S02, B22, 1
B22, Trade, 68.167, 153, S08, B22, 1
B22, Trade, 73.483, 160, B22, S04, 1
B22, Trade, 82.200, 161, B22, S02, 1
B22, Trade, 83.017, 160, B22, S11, 1
B22, Trade, 90.600, 153, S11, B22, 1
B22, Trade, 102.683, 159, S10, B22, 1
B22, Trade, 107.750, 163, S07, B22, 1
B22, Trade, 115.583, 161, B22, S01, 1
B22, Trade, 118.133, 162, B22, S04, 1
B22, Trade, 126.933, 171, B22, S16, 1
B22, Trade, 134.067, 165, S10, B22, 1
B22, Trade, 141.033, 170, B22, S11, 1
B22, Trade, 144.883, 153, S10, B22, 1
B22, Trade, 151.517, 178, S11, B22, 1
B22, Trade, 155.000, 171, S11, B22, 1
B22, Trade, 165.033, 179, B22, S16, 1
B22, Trade, 171.067, 180, S02, B22, 1
B22, Trade, 176.733, 162, S10, B22, 1
B22, Trade, 179.317, 166, S08, B22, 1
B22, Trade, 185.600, 165, B22, S04, 1
B22, Trade, 191.483, 166, B22, S01, 1
B22, Trade, 199.167, 182, B22, S05, 1
B22, Trade, 204.100, 175, S11, B22, 1
B22, Trade, 212.667, 172, B22, S04, 1
B22, Trade, 217.767, 171, B22, S00, 1
B22, Trade, 223.483, 176, B22, S00, 1
B22, Trade, 233.967, 177, S10, B22, 1
B22, Trade, 245.767, 168, B22, S06, 1
B22, Trade, 251.400, 174, B22, S04, 1
B22, Trade, 261.050, 176, S07, B22, 1
B22, Trade, 267.483, 170, B22, S11, 1
B22, Trade, 275.450, 176, B22, S04, 1
B22, Trade, 287.783, 177, B22, S12, 1
B22, Trade, 298.933, 179, B22, S01, 1
B23, 27
B23, Trade, 8.733, 153, S01, B23, 1
B23, Trade, 12.333, 151, S11, B23, 1
B23, Trade, 38.450, 155, S08, B23, 1
B23, Trade, 44.617, 154, S00, B23, 1
B23, Trade, 47.900, 159, S16, B23, 1
B23, Trade, 54.000, 160, S16, B23, 1
B23, Trade, 65.717, 154, S10, B23, 1
B23, Trade, 70.633, 158, S14, B23, 1
B23, Trade, 75.000, 157, S07, B23, 1
B23, Trade, 79.000, 162, S16, B23, 1
B23, Trade, 91.800, 154, S00, B23, 1
B23, Trade, 96.433, 159, S08, B23, 1
B23, Trade, 112.550, 160, S00, B23, 1
B23, Trade, 115.883, 162, S00, B23, 1
B23, Trade, 121.467, 164, S14, B23, 1
B23, Trade, 129.617, 171, S02, B23, 1
B23, Trade, 136.533, 181, S20, B23, 1
B23, Trade, 152.800, 179, S00, B23, 1
B23, Trade, 161.450, 171, S16, B23, 1
B23, Trade, 174.517, 174, S11, B23, 1
B23, Trade, 177.950, 163, S02, B23, 1
B23, Trade, 188.400, 173, S16, B23, 1
B23, Trade, 201.650, 175, S16, B23, 1
B23, Trade, 224.733, 182, B23, S10, 1
B23, Trade, 274.750, 177, S11, B23, 1
B23, Trade, 291.600, 176, S08, B23, 1
B23, Trade, 296.467, 181, S14, B23, 1
B24, 51
B24, Trade, 2.467, 163, B24, S16, 1
B24, Trade, 17.617, 150, S02, B24, 1
B24, Trade, 22.183, 149, S00, B24, 1
B24, Trade, 29.333, 155, S00, B24, 1
B24, Trade, 35.683, 165, B24, S07, 1
B24, Trade, 44.233, 153, S11, B24, 1
B24, Trade, 50.483, 158, B24, S01, 1
B24, Trade, 53.817, 158, B24, S00, 1
B24, Trade, 61.833, 155, S08, B24, 1
B24, Trade, 69.083, 152, S10, B24, 1
B24, Trade, 74.267, 160, S02, B24, 1
B24, Trade, 79.217, 161, B24, S04, 1
B24, Trade, 87.517, 154, S07, B24, 1
B24, Trade, 97.417, 159, B24, S02, 1
B24, Trade, 100.183, 161, B24, S04, 1
B24, Trade, 106.133, 163, B24, S04, 1
B24, Trade, 109.400, 161, B24, S02, 1
B24, Trade, 114.183, 165, S08, B24, 1
B24, Trade, 120.900, 163, S10, B24, 1
B24, Trade, 122.783, 167, S16, B24, 1
B24, Trade, 128.917, 170, B24, S16, 1
B24, Trade, 135.083, 169, B24, S00, 1
B24, Trade, 138.700, 174, B24, S07, 1
B24, Trade, 147.117, 164, S08, B24, 1
B24, Trade, 150.033, 178, B24, S13, 1
B24, Trade, 155.883, 171, S08, B24, 1
B24, Trade, 160.167, 168, B24, S01, 1
B24, Trade, 163.317, 179, B24, S00, 1
B24, Trade, 170.433, 181, B24, S11, 1
B24, Trade, 172.617, 176, B24, S09, 1
B24, Trade, 179.500, 167, S14, B24, 1
B24, Trade, 186.967, 168, B24, S10, 1
B24, Trade, 190.150, 168, S07, B24, 1
B24, Trade, 194.733, 169, S11, B24, 1
B24, Trade, 204.200, 176, S07, B24, 1
B24, Trade, 209.817, 177, B24, S04, 1
B24, Trade, 216.983, 170, B24, S08, 1
B24, Trade, 221.283, 170, B24, S14, 1
B24, Trade, 226.917, 180, S07, B24, 1
B24, Trade, 233.800, 177, B24, S02, 1
B24, Trade, 237.483, 180, S00, B24, 1
