B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 291.067, 143, B05, S02, 1
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 290.067, 158, B09, S07, 1
B10, 3
B10, Trade, 32.567, 137, B10, S04, 1
B10, Trade, 103.733, 141, B10, S03, 1
B10, Trade, 193.050, 153, B10, S00, 1
B11, 1
B11, Trade, 1.383, 128, B11, S01, 1
B12, 4
B12, Trade, 249.767, 162, B12, S05, 1
B12, Trade, 280.267, 169, B12, S12, 1
B12, Trade, 286.550, 169, B12, S04, 1
B12, Trade, 289.800, 170, B12, S12, 1
B13, 14
B13, Trade, 38.383, 147, B13, S03, 1
B13, Trade, 73.267, 151, B13, S03, 1
B13, Trade, 76.583, 152, B13, S00, 1
B13, Trade, 101.117, 154, B13, S12, 1
B13, Trade, 118.267, 155, B13, S04, 1
B13, Trade, 133.450, 157, B13, S09, 1
B13, Trade, 142.983, 158, B13, S04, 1
B13, Trade, 186.217, 162, B13, S12, 1
B13, Trade, 191.017, 163, B13, S03, 1
B13, Trade, 194.833, 162, S08, B13, 1
B13, Trade, 204.217, 164, B13, S00, 1
B13, Trade, 249.650, 165, S02, B13, 1
B13, Trade, 280.233, 172, B13, S05, 1
B13, Trade, 288.817, 173, B13, S00, 1
B14, 26
B14, Trade, 6.250, 148, B14, S12, 1
B14, Trade, 22.217, 150, B14, S03, 1
B14, Trade, 37.350, 150, B14, S04, 1
B14, Trade, 43.517, 152, B14, S04, 1
B14, Trade, 46.433, 152, B14, S00, 1
B14, Trade, 72.983, 153, B14, S12, 1
B14, Trade, 81.900, 156, B14, S04, 1
B14, Trade, 97.350, 157, B14, S12, 1
B14, Trade, 102.083, 149, B14, S04, 1
B14, Trade, 114.317, 159, B14, S03, 1
B14, Trade, 132.033, 158, B14, S04, 1
B14, Trade, 142.950, 159, B14, S12, 1
B14, Trade, 155.733, 163, B14, S06, 1
B14, Trade, 176.217, 163, B14, S03, 1
B14, Trade, 184.133, 163, B14, S04, 1
B14, Trade, 188.567, 167, B14, S04, 1
B14, Trade, 204.133, 165, B14, S03, 1
B14, Trade, 215.383, 169, B14, S04, 1
B14, Trade, 234.633, 171, B14, S04, 1
B14, Trade, 242.300, 172, B14, S03, 1
B14, Trade, 248.283, 170, B14, S12, 1
