B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 1
B10, Trade, 298.767, 162, S08, B10, 1
B11, 0
B12, 3
B12, Trade, 73.667, 148, B12, S02, 1
B12, Trade, 286.083, 170, B12, S10, 1
B12, Trade, 297.383, 170, B12, S11, 1
B13, 9
B13, Trade, 8.500, 145, B13, S06, 1
B13, Trade, 17.833, 146, B13, S10, 1
B13, Trade, 29.233, 146, B13, S03, 1
B13, Trade, 110.467, 155, B13, S06, 1
B13, Trade, 145.783, 158, B13, S10, 1
B13, Trade, 216.833, 166, B13, S06, 1
B13, Trade, 243.033, 168, B13, S10, 1
B13, Trade, 249.283, 169, B13, S06, 1
B13, Trade, 295.050, 173, B13, S06, 1
B14, 31
B14, Trade, 1.583, 141, S05, B14, 1
B14, Trade, 14.817, 149, B14, S06, 1
B14, Trade, 17.700, 150, B14, S06, 1
B14, Trade, 28.350, 151, B14, S10, 1
B14, Trade, 41.400, 152, B14, S03, 1
B14, Trade, 58.700, 154, B14, S10, 1
B14, Trade, 73.617, 155, B14, S06, 1
B14, Trade, 82.800, 156, B14, S10, 1
B14, Trade, 92.783, 157, B14, S06, 1
B14, Trade, 102.850, 158, B14, S06, 1
B14, Trade, 127.133, 160, B14, S13, 1
B14, Trade, 145.333, 162, B14, S03, 1
B14, Trade, 147.167, 163, S07, B14, 1
B14, Trade, 156.533, 163, B14, S12, 1
B14, Trade, 163.317, 164, B14, S01, 1
B14, Trade, 178.600, 166, B14, S01, 1
B14, Trade, 190.017, 167, B14, S06, 1
B14, Trade, 197.967, 168, B14, S10, 1
B14, Trade, 208.567, 168, B14, S06, 1
B14, Trade, 216.100, 169, B14, S10, 1
B14, Trade, 218.550, 170, B14, S10, 1
B14, Trade, 227.167, 170, B14, S03, 1
B14, Trade, 243.017, 172, B14, S06, 1
B14, Trade, 249.083, 173, B14, S01, 1
B14, Trade, 253.283, 173, B14, S06, 1
B14, Trade, 255.267, 173, B14, S11, 1
B14, Trade, 262.133, 174, B14, S03, 1
B14, Trade, 266.817, 174, B14, S10, 1
B14, Trade, 276.817, 175, B14, S10, 1
B14, Trade, 284.150, 176, B14, S09, 1
B14, Trade, 295.367, 177, B14, S11, 1
B15, 37
B15, Trade, 9.000, 145, B15, S03, 1
B15, Trade, 11.283, 150, B15, S01, 1
B15, Trade, 23.250, 153, B15, S10, 1
B15, Trade, 31.283, 152, B15, S07, 1
B15, Trade, 40.983, 155, B15, S06, 1
B15, Trade, 50.117, 156, B15, S06, 1
B15, Trade, 58.567, 156, B15, S13, 1
B15, Trade, 60.533, 157, B15, S03, 1
B15, Trade, 68.083, 158, B15, S06, 1
B15, Trade, 72.700, 157, B15, S10, 1
B15, Trade, 82.033, 159, B15, S06, 1
B15, Trade, 91.133, 160, B15, S03, 1
B15, Trade, 95.950, 154, B15, S10, 1
B15, Trade, 102.183, 160, B15, S10, 1
B15, Trade, 109.383, 160, B15, S03, 1
B15, Trade, 119.400, 162, B15, S10, 1
B15, Trade, 138.550, 165, B15, S10, 1
B15, Trade, 150.917, 166, S08, B15, 1
B15, Trade, 156.350, 166, B15, S06, 1
B15, Trade, 159.067, 167, B15, S10, 1
B15, Trade, 163.617, 161, B15, S03, 1
B15, Trade, 167.300, 161, B15, S03, 1
B15, Trade, 175.983, 168, B15, S03, 1
B15, Trade, 180.850, 169, B15, S06, 1
B15, Trade, 187.967, 169, B15, S03, 1
B15, Trade, 197.467, 170, B15, S06, 1
B15, Trade, 208.133, 171, B15, S02, 1
B15, Trade, 215.933, 172, B15, S03, 1
B15, Trade, 229.950, 174, B15, S06, 1
B15, Trade, 236.417, 175, B15, S10, 1
B15, Trade, 247.550, 175, B15, S10, 1
B15, Trade, 252.917, 176, B15, S02, 1
B15, Trade, 263.983, 176, S11, B15, 1
B15, Trade, 273.933, 178, B15, S06, 1
B15, Trade, 282.117, 178, B15, S11, 1
B15, Trade, 290.783, 180, B15, S10, 1
B15, Trade, 293.950, 180, B15, S01, 1
B16, 5
B16, Trade, 27.200, 157, B16, S06, 1
B16, Trade, 104.033, 165, B16, S03, 1
B16, Trade, 118.783, 164, B16, S06, 1
B16, Trade, 179.850, 173, B16, S10, 1
B16, Trade, 285.550, 174, B16, S02, 1
B17, 50
B17, Trade, 6.683, 145, B17, S10, 1
B17, Trade, 14.433, 152, B17, S10, 1
B17, Trade, 22.817, 158, B17, S05, 1
B17, Trade, 32.267, 151, B17, S03, 1
B17, Trade, 39.833, 162, B17, S03, 1
B17, Trade, 46.017, 159, B17, S06, 1
B17, Trade, 53.467, 163, B17, S01, 1
B17, Trade, 56.517, 157, B17, S06, 1
B17, Trade, 60.167, 158, B17, S04, 1
B17, Trade, 66.500, 164, B17, S13, 1
B17, Trade, 70.650, 159, B17, S03, 1
B17, Trade, 76.167, 156, B17, S10, 1
B17, Trade, 80.633, 166, B17, S06, 1
B17, Trade, 86.150, 162, B17, S03, 1
B17, Trade, 90.467, 161, B17, S03, 1
B17, Trade, 95.117, 154, B17, S10, 1
B17, Trade, 99.683, 166, B17, S06, 1
B17, Trade, 108.267, 167, B17, S13, 1
B17, Trade, 121.417, 168, B17, S03, 1
B17, Trade, 124.950, 164, B17, S03, 1
B17, Trade, 133.500, 171, B17, S03, 1
B17, Trade, 137.700, 171, B17, S01, 1
B17, Trade, 141.383, 170, S07, B17, 1
B17, Trade, 148.483, 156, B17, S06, 1
B17, Trade, 150.800, 165, S07, B17, 1
B17, Trade, 155.117, 173, B17, S10, 1
B17, Trade, 162.983, 174, B17, S10, 1
B17, Trade, 171.567, 167, B17, S03, 1
B17, Trade, 175.817, 170, B17, S13, 1
B17, Trade, 185.833, 176, B17, S06, 1
B17, Trade, 192.333, 177, B17, S07, 1
B17, Trade, 197.450, 177, B17, S03, 1
B17, Trade, 199.050, 175, B17, S10, 1
B17, Trade, 204.917, 178, B17, S10, 1
B17, Trade, 211.467, 175, B17, S03, 1
B17, Trade, 222.200, 179, B17, S01, 1
B17, Trade, 226.300, 179, B17, S10, 1
B17, Trade, 233.083, 181, B17, S03, 1
B17, Trade, 234.450, 181, B17, S10, 1
B17, Trade, 246.133, 182, B17, S03, 1
B17, Trade, 250.817, 183, B17, S02, 1
B17, Trade, 257.067, 173, B17, S01, 1
B17, Trade, 266.150, 176, B17, S09, 1
B17, Trade, 272.900, 185, B17, S02, 1
B17, Trade, 276.117, 177, B17, S03, 1
B17, Trade, 282.433, 178, B17, S06, 1
B17, Trade, 285.400, 175, B17, S03, 1
B17, Trade, 293.350, 181, B17, S15, 1
B17, Trade, 294.483, 179, B17, S10, 1
