B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 3.333, 124, B07, S02, 1
B08, 0
B09, 2
B09, Trade, 266.600, 157, B09, S05, 1
B09, Trade, 298.617, 161, B09, S02, 1
B10, 1
B10, Trade, 114.883, 141, B10, S02, 1
B11, 10
B11, Trade, 2.650, 126, B11, S07, 1
B11, Trade, 14.000, 135, B11, S02, 1
B11, Trade, 47.850, 141, B11, S02, 1
B11, Trade, 167.333, 152, B11, S05, 1
B11, Trade, 181.400, 154, B11, S05, 1
B11, Trade, 208.317, 156, B11, S02, 1
B11, Trade, 214.017, 157, B11, S05, 1
B11, Trade, 269.550, 161, B11, S00, 1
B11, Trade, 290.183, 165, B11, S05, 1
B11, Trade, 297.150, 165, B11, S02, 1
B12, 0
B13, 4
B13, Trade, 115.300, 142, S08, B13, 1
B13, Trade, 115.617, 141, S01, B13, 1
B13, Trade, 181.050, 162, B13, S09, 1
B13, Trade, 249.917, 165, B13, S02, 1
B14, 2
B14, Trade, 130.850, 150, B14, S05, 1
B14, Trade, 281.383, 170, B14, S02, 1
B15, 3
B15, Trade, 13.617, 150, B15, S05, 1
B15, Trade, 187.583, 157, S07, B15, 1
B15, Trade, 249.633, 168, S10, B15, 1
B16, 1
B16, Trade, 157.633, 154, B16, S10, 1
B17, 9
B17, Trade, 24.667, 156, B17, S01, 1
B17, Trade, 45.117, 152, S08, B17, 1
B17, Trade, 121.750, 165, B17, S13, 1
B17, Trade, 124.517, 162, B17, S07, 1
B17, Trade, 144.950, 165, S03, B17, 1
B17, Trade, 160.067, 164, S03, B17, 1
B17, Trade, 208.583, 168, S01, B17, 1
B17, Trade, 227.533, 177, S01, B17, 1
B17, Trade, 243.350, 178, B17, S06, 1
B18, 55
B18, Trade, 8.933, 163, B18, S07, 1
B18, Trade, 15.467, 163, B18, S04, 1
B18, Trade, 20.033, 156, S04, B18, 1
B18, Trade, 20.733, 160, S17, B18, 1
B18, Trade, 29.217, 160, S17, B18, 1
B18, Trade, 33.283, 157, S04, B18, 1
B18, Trade, 38.250, 162, S04, B18, 1
B18, Trade, 43.367, 156, S03, B18, 1
B18, Trade, 54.167, 147, S03, B18, 1
B18, Trade, 56.000, 167, S17, B18, 1
B18, Trade, 65.050, 160, S03, B18, 1
B18, Trade, 70.817, 168, S03, B18, 1
B18, Trade, 73.350, 165, S08, B18, 1
B18, Trade, 78.633, 165, S08, B18, 1
B18, Trade, 82.350, 167, S17, B18, 1
B18, Trade, 85.883, 160, S15, B18, 1
B18, Trade, 93.083, 162, S03, B18, 1
B18, Trade, 99.000, 168, S15, B18, 1
B18, Trade, 106.267, 163, S01, B18, 1
B18, Trade, 110.467, 166, S08, B18, 1
B18, Trade, 115.967, 143, S07, B18, 1
B18, Trade, 118.167, 167, S08, B18, 1
B18, Trade, 124.033, 164, S01, B18, 1
B18, Trade, 131.417, 174, S04, B18, 1
B18, Trade, 139.000, 167, S08, B18, 1
B18, Trade, 145.750, 170, S15, B18, 1
B18, Trade, 147.317, 174, S01, B18, 1
B18, Trade, 154.050, 175, S04, B18, 1
B18, Trade, 160.517, 164, S04, B18, 1
B18, Trade, 165.267, 174, S17, B18, 1
B18, Trade, 166.733, 155, S03, B18, 1
B18, Trade, 173.300, 178, S17, B18, 1
B18, Trade, 182.433, 175, S15, B18, 1
B18, Trade, 186.117, 181, S08, B18, 1
B18, Trade, 190.817, 169, S03, B18, 1
B18, Trade, 194.667, 163, S01, B18, 1
B18, Trade, 202.000, 167, S03, B18, 1
B18, Trade, 209.533, 182, B18, S09, 1
B18, Trade, 211.550, 183, S17, B18, 1
B18, Trade, 216.317, 176, S08, B18, 1
B18, Trade, 225.167, 176, S03, B18, 1
B18, Trade, 233.600, 180, S15, B18, 1
B18, Trade, 235.117, 176, S04, B18, 1
B18, Trade, 236.767, 184, S10, B18, 1
B18, Trade, 242.400, 182, S15, B18, 1
B18, Trade, 247.717, 179, S03, B18, 1
B18, Trade, 254.617, 183, S03, B18, 1
B18, Trade, 257.317, 188, B18, S07, 1
B18, Trade, 263.717, 180, S08, B18, 1
B18, Trade, 273.950, 185, S08, B18, 1
B18, Trade, 274.183, 179, S00, B18, 1
B18, Trade, 279.067, 189, S18, B18, 1
B18, Trade, 285.667, 190, S18, B18, 1
B18, Trade, 287.767, 175, S13, B18, 1
B18, Trade, 295.900, 186, S15, B18, 1
B19, 39
B19, Trade, 7.333, 163, B19, S01, 1
B19, Trade, 22.717, 155, B19, S07, 1
B19, Trade, 31.217, 154, B19, S03, 1
B19, Trade, 33.217, 149, B19, S05, 1
B19, Trade, 42.083, 152, B19, S09, 1
B19, Trade, 53.533, 145, B19, S07, 1
B19, Trade, 61.417, 159, B19, S05, 1
B19, Trade, 66.033, 157, B19, S05, 1
B19, Trade, 78.167, 163, B19, S12, 1
B19, Trade, 86.083, 158, B19, S05, 1
B19, Trade, 90.833, 159, B19, S02, 1
B19, Trade, 103.817, 163, B19, S07, 1
B19, Trade, 110.350, 162, B19, S02, 1
B19, Trade, 123.950, 162, B19, S04, 1
B19, Trade, 133.700, 174, B19, S13, 1
B19, Trade, 137.600, 169, B19, S15, 1
B19, Trade, 143.667, 164, B19, S05, 1
B19, Trade, 146.183, 162, B19, S02, 1
B19, Trade, 150.983, 164, B19, S05, 1
B19, Trade, 154.667, 168, B19, S07, 1
B19, Trade, 163.267, 164, B19, S10, 1
B19, Trade, 175.483, 166, B19, S02, 1
B19, Trade, 180.200, 166, B19, S02, 1
B19, Trade, 186.850, 172, B19, S02, 1
B19, Trade, 198.733, 166, B19, S02, 1
B19, Trade, 211.050, 179, S15, B19, 1
B19, Trade, 217.067, 173, B19, S05, 1
B19, Trade, 226.000, 172, B19, S02, 1
B19, Trade, 231.667, 174, B19, S09, 1
B19, Trade, 234.600, 176, B19, S08, 1
B19, Trade, 245.833, 177, B19, S09, 1
B19, Trade, 248.250, 176, B19, S07, 1
B19, Trade, 257.850, 187, B19, S02, 1
B19, Trade, 265.767, 181, B19, S08, 1
B19, Trade, 267.517, 160, S00, B19, 1
B19, Trade, 281.117, 184, B19, S08, 1
