B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 6
B09, Trade, 16.767, 133, B09, S07, 1
B09, Trade, 89.533, 140, B09, S02, 1
B09, Trade, 110.400, 142, B09, S07, 1
B09, Trade, 209.950, 152, B09, S02, 1
B09, Trade, 224.150, 153, B09, S00, 1
B09, Trade, 269.783, 158, B09, S02, 1
B10, 11
B10, Trade, 8.783, 134, B10, S07, 1
B10, Trade, 35.350, 136, B10, S04, 1
B10, Trade, 43.767, 137, B10, S05, 1
B10, Trade, 47.383, 137, B10, S06, 1
B10, Trade, 72.467, 140, B10, S07, 1
B10, Trade, 82.300, 141, B10, S05, 1
B10, Trade, 109.500, 144, B10, S06, 1
B10, Trade, 129.617, 146, B10, S07, 1
B10, Trade, 161.967, 149, B10, S00, 1
B10, Trade, 169.867, 150, B10, S02, 1
B10, Trade, 223.950, 155, B10, S07, 1
B11, 25
B11, Trade, 8.667, 136, B11, S06, 1
B11, Trade, 14.433, 137, B11, S07, 1
B11, Trade, 15.300, 137, B11, S06, 1
B11, Trade, 29.067, 139, B11, S00, 1
B11, Trade, 34.783, 139, B11, S06, 1
B11, Trade, 44.900, 139, B11, S06, 1
B11, Trade, 51.133, 141, B11, S06, 1
B11, Trade, 66.900, 142, B11, S07, 1
B11, Trade, 73.450, 142, B11, S06, 1
B11, Trade, 81.150, 144, B11, S06, 1
B11, Trade, 88.150, 144, B11, S04, 1
B11, Trade, 108.083, 147, B11, S00, 1
B11, Trade, 134.650, 149, B11, S04, 1
B11, Trade, 136.383, 149, B11, S06, 1
B11, Trade, 162.817, 152, B11, S07, 1
B11, Trade, 165.517, 152, B11, S02, 1
B11, Trade, 192.967, 155, B11, S06, 1
B11, Trade, 200.250, 156, B11, S04, 1
B11, Trade, 203.633, 156, B11, S02, 1
B11, Trade, 223.883, 158, B11, S06, 1
B11, Trade, 238.467, 159, B11, S04, 1
B11, Trade, 254.250, 161, B11, S04, 1
B11, Trade, 263.367, 162, B11, S06, 1
B11, Trade, 266.533, 163, B11, S00, 1
B11, Trade, 269.733, 163, B11, S06, 1
B12, 4
B12, Trade, 22.533, 142, B12, S05, 1
B12, Trade, 30.300, 143, S03, B12, 1
B12, Trade, 188.733, 156, B12, S06, 1
B12, Trade, 272.917, 164, S11, B12, 1
B13, 7
B13, Trade, 40.417, 148, S13, B13, 1
B13, Trade, 43.533, 145, S12, B13, 1
B13, Trade, 164.900, 158, B13, S12, 1
B13, Trade, 208.483, 160, S03, B13, 1
B13, Trade, 225.300, 162, S08, B13, 1
B13, Trade, 253.400, 169, B13, S07, 1
B13, Trade, 260.650, 166, B13, S07, 1
B14, 48
B14, Trade, 5.567, 146, B14, S06, 1
B14, Trade, 13.617, 142, B14, S02, 1
B14, Trade, 19.733, 141, B14, S06, 1
B14, Trade, 25.667, 142, B14, S10, 1
B14, Trade, 28.850, 140, B14, S04, 1
B14, Trade, 32.083, 142, B14, S07, 1
B14, Trade, 40.867, 145, B14, S04, 1
B14, Trade, 50.817, 150, B14, S12, 1
B14, Trade, 52.533, 140, B14, S07, 1
B14, Trade, 59.333, 154, B14, S12, 1
B14, Trade, 64.033, 153, B14, S12, 1
B14, Trade, 70.167, 145, B14, S07, 1
B14, Trade, 80.517, 147, B14, S04, 1
B14, Trade, 86.467, 150, S12, B14, 1
