B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 2
B14, Trade, 4.750, 146, B14, S01, 1
B14, Trade, 293.517, 176, B14, S08, 1
B15, 7
B15, Trade, 241.283, 174, S13, B15, 1
B15, Trade, 262.650, 177, B15, S09, 1
B15, Trade, 274.050, 178, B15, S09, 1
B15, Trade, 278.583, 179, B15, S12, 1
B15, Trade, 286.217, 179, B15, S09, 1
B15, Trade, 291.033, 180, B15, S06, 1
B15, Trade, 295.633, 180, B15, S04, 1
B16, 24
B16, Trade, 7.400, 148, B16, S11, 1
B16, Trade, 34.583, 154, B16, S11, 1
B16, Trade, 48.717, 156, B16, S08, 1
B16, Trade, 68.533, 161, B16, S09, 1
B16, Trade, 76.667, 160, B16, S08, 1
B16, Trade, 106.133, 163, B16, S07, 1
B16, Trade, 144.233, 168, B16, S05, 1
B16, Trade, 145.850, 166, B16, S08, 1
B16, Trade, 149.217, 165, B16, S01, 1
B16, Trade, 158.133, 169, B16, S10, 1
B16, Trade, 199.850, 174, B16, S00, 1
B16, Trade, 211.150, 172, S07, B16, 1
B16, Trade, 213.667, 175, S13, B16, 1
B16, Trade, 225.833, 177, B16, S11, 1
B16, Trade, 236.017, 177, B16, S08, 1
B16, Trade, 243.367, 173, B16, S06, 1
B16, Trade, 253.767, 178, B16, S02, 1
B16, Trade, 264.817, 175, B16, S02, 1
B16, Trade, 269.233, 179, B16, S12, 1
B16, Trade, 275.367, 180, B16, S08, 1
B16, Trade, 277.850, 181, B16, S02, 1
B16, Trade, 285.417, 181, B16, S11, 1
B16, Trade, 289.017, 180, B16, S02, 1
B16, Trade, 299.117, 174, B16, S12, 1
B17, 8
B17, Trade, 12.000, 156, S16, B17, 1
B17, Trade, 20.133, 156, B17, S08, 1
B17, Trade, 73.167, 165, B17, S01, 1
B17, Trade, 123.150, 169, S01, B17, 1
B17, Trade, 180.517, 175, S04, B17, 1
B17, Trade, 231.883, 180, B17, S08, 1
B17, Trade, 253.217, 180, S16, B17, 1
B17, Trade, 297.900, 178, S01, B17, 1
B18, 47
B18, Trade, 6.583, 147, B18, S08, 1
