B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 121.983, 167, S12, B03, 1
B04, 0
B05, 1
B05, Trade, 184.450, 273, B05, S13, 1
B06, 0
B07, 1
B07, Trade, 123.617, 173, B07, S00, 1
B08, 1
B08, Trade, 183.900, 326, B08, S16, 1
B09, 3
B09, Trade, 123.683, 314, S16, B09, 1
B09, Trade, 183.400, 330, B09, S15, 1
B09, Trade, 222.367, 152, B09, S04, 1
B10, 1
B10, Trade, 184.417, 276, B10, S27, 1
B11, 7
B11, Trade, 4.317, 122, B11, S04, 1
B11, Trade, 35.067, 140, B11, S04, 1
B11, Trade, 65.617, 143, B11, S00, 1
B11, Trade, 126.400, 337, B11, S00, 1
B11, Trade, 158.450, 337, B11, S06, 1
B11, Trade, 181.917, 337, B11, S09, 1
B11, Trade, 279.183, 165, B11, S04, 1
B12, 15
B12, Trade, 86.417, 149, B12, S04, 1
B12, Trade, 99.567, 151, B12, S06, 1
B12, Trade, 111.900, 152, B12, S11, 1
B12, Trade, 122.433, 192, S23, B12, 1
B12, Trade, 135.000, 341, B12, S04, 1
B12, Trade, 142.717, 341, B12, S06, 1
B12, Trade, 150.100, 341, B12, S00, 1
B12, Trade, 157.367, 341, B12, S04, 1
B12, Trade, 167.183, 341, B12, S04, 1
B12, Trade, 176.550, 341, B12, S04, 1
B12, Trade, 181.400, 341, B12, S00, 1
B12, Trade, 222.133, 163, B12, S00, 1
B12, Trade, 278.967, 168, B12, S09, 1
B12, Trade, 286.617, 169, B12, S06, 1
B12, Trade, 298.550, 170, B12, S04, 1
B13, 5
B13, Trade, 246.650, 168, B13, S01, 1
B13, Trade, 266.667, 170, B13, S09, 1
B13, Trade, 278.950, 172, B13, S11, 1
B13, Trade, 296.150, 173, B13, S01, 1
B13, Trade, 298.200, 174, B13, S08, 1
B14, 38
B14, Trade, 6.967, 144, B14, S06, 1
B14, Trade, 13.033, 149, B14, S13, 1
B14, Trade, 32.933, 151, B14, S06, 1
B14, Trade, 37.767, 151, B14, S04, 1
B14, Trade, 42.900, 152, B14, S04, 1
B14, Trade, 50.733, 153, B14, S04, 1
B14, Trade, 56.250, 153, B14, S06, 1
B14, Trade, 61.967, 154, B14, S00, 1
B14, Trade, 67.450, 154, B14, S06, 1
B14, Trade, 70.933, 151, B14, S13, 1
B14, Trade, 78.300, 151, B14, S00, 1
B14, Trade, 87.133, 151, S05, B14, 1
B14, Trade, 97.867, 158, B14, S04, 1
B14, Trade, 103.183, 154, B14, S06, 1
B14, Trade, 106.767, 152, B14, S06, 1
B14, Trade, 117.633, 156, B14, S13, 1
B14, Trade, 122.633, 161, B14, S09, 1
B14, Trade, 129.617, 348, B14, S09, 1
B14, Trade, 139.133, 339, B14, S00, 1
B14, Trade, 141.617, 342, B14, S04, 1
B14, Trade, 147.383, 343, B14, S03, 1
B14, Trade, 155.100, 347, B14, S04, 1
B14, Trade, 163.667, 344, B14, S06, 1
B14, Trade, 165.617, 345, S11, B14, 1
B14, Trade, 168.033, 343, B14, S03, 1
B14, Trade, 181.067, 345, B14, S13, 1
B14, Trade, 191.533, 167, B14, S00, 1
B14, Trade, 196.400, 166, S11, B14, 1
B14, Trade, 210.233, 169, B14, S09, 1
B14, Trade, 221.883, 170, B14, S06, 1
B14, Trade, 229.150, 167, B14, S13, 1
B14, Trade, 242.833, 172, B14, S03, 1
B14, Trade, 265.317, 174, B14, S08, 1
B14, Trade, 275.867, 175, B14, S01, 1
B14, Trade, 281.667, 176, B14, S13, 1
B14, Trade, 287.800, 177, B14, S12, 1
B14, Trade, 293.250, 177, B14, S07, 1
B14, Trade, 295.583, 177, B14, S13, 1
B15, 50
B15, Trade, 5.883, 152, B15, S13, 1
B15, Trade, 15.617, 153, S03, B15, 1
B15, Trade, 18.100, 153, B15, S04, 1
B15, Trade, 30.750, 154, B15, S04, 1
B15, Trade, 35.933, 152, S09, B15, 1
B15, Trade, 43.367, 155, B15, S06, 1
B15, Trade, 48.167, 156, B15, S06, 1
B15, Trade, 58.950, 157, B15, S13, 1
B15, Trade, 65.183, 157, B15, S04, 1
B15, Trade, 70.283, 154, S11, B15, 1
B15, Trade, 75.417, 158, B15, S03, 1
B15, Trade, 79.100, 156, S05, B15, 1
B15, Trade, 85.633, 154, S02, B15, 1
B15, Trade, 87.783, 156, S14, B15, 1
B15, Trade, 92.667, 160, B15, S09, 1
B15, Trade, 101.750, 156, S03, B15, 1
B15, Trade, 107.300, 158, S02, B15, 1
B15, Trade, 116.433, 163, S03, B15, 1
B15, Trade, 120.933, 163, S15, B15, 1
B15, Trade, 127.783, 338, S03, B15, 1
B15, Trade, 133.117, 351, B15, S06, 1
B15, Trade, 140.350, 344, S13, B15, 1
B15, Trade, 144.767, 344, S13, B15, 1
B15, Trade, 149.100, 344, S05, B15, 1
B15, Trade, 153.700, 351, B15, S09, 1
B15, Trade, 161.150, 344, S02, B15, 1
B15, Trade, 164.033, 345, S05, B15, 1
B15, Trade, 172.033, 351, B15, S04, 1
B15, Trade, 173.350, 349, S05, B15, 1
B15, Trade, 181.633, 349, S26, B15, 1
B15, Trade, 185.983, 169, B15, S06, 1
B15, Trade, 191.867, 163, S13, B15, 1
B15, Trade, 194.283, 170, B15, S04, 1
B15, Trade, 198.617, 171, B15, S06, 1
B15, Trade, 204.650, 171, B15, S13, 1
B15, Trade, 211.367, 172, B15, S04, 1
B15, Trade, 220.267, 173, B15, S13, 1
B15, Trade, 224.700, 165, S11, B15, 1
B15, Trade, 231.017, 172, S02, B15, 1
B15, Trade, 235.333, 174, B15, S06, 1
B15, Trade, 239.933, 175, B15, S06, 1
B15, Trade, 246.450, 170, S11, B15, 1
B15, Trade, 255.683, 177, B15, S04, 1
B15, Trade, 259.117, 177, B15, S08, 1
B15, Trade, 263.750, 177, B15, S02, 1
B15, Trade, 271.283, 178, B15, S13, 1
B15, Trade, 275.883, 179, S15, B15, 1
B15, Trade, 279.283, 167, S07, B15, 1
B15, Trade, 287.783, 180, B15, S08, 1
B15, Trade, 289.233, 180, B15, S13, 1
B16, 9
B16, Trade, 37.600, 152, B16, S02, 1
B16, Trade, 50.100, 155, B16, S00, 1
B16, Trade, 81.917, 150, B16, S06, 1
B16, Trade, 118.633, 155, B16, S06, 1
B16, Trade, 122.900, 201, S26, B16, 1
B16, Trade, 189.417, 169, B16, S13, 1
B16, Trade, 233.000, 173, S12, B16, 1
B16, Trade, 245.733, 172, S14, B16, 1
B16, Trade, 287.417, 173, S13, B16, 1
B17, 18
B17, Trade, 3.133, 120, S06, B17, 1
B17, Trade, 31.483, 157, B17, S13, 1
B17, Trade, 38.000, 150, B17, S13, 1
B17, Trade, 54.550, 163, B17, S05, 1
B17, Trade, 96.650, 158, S14, B17, 1
B17, Trade, 107.817, 159, S14, B17, 1
B17, Trade, 113.567, 166, B17, S06, 1
B17, Trade, 145.817, 342, B17, S06, 1
B17, Trade, 148.517, 343, S02, B17, 1
B17, Trade, 185.317, 225, B17, S04, 1
B17, Trade, 208.650, 171, B17, S03, 1
B17, Trade, 216.267, 177, B17, S13, 1
B17, Trade, 221.000, 174, B17, S04, 1
B17, Trade, 226.233, 169, S02, B17, 1
B17, Trade, 248.300, 176, S15, B17, 1
B17, Trade, 255.967, 178, S01, B17, 1
B17, Trade, 283.083, 184, B17, S06, 1
B17, Trade, 289.733, 182, S15, B17, 1
B18, 13
B18, Trade, 10.850, 157, B18, S03, 1
B18, Trade, 15.067, 153, S02, B18, 1
B18, Trade, 29.467, 158, B18, S09, 1
B18, Trade, 58.683, 161, S02, B18, 1
B18, Trade, 105.983, 156, S05, B18, 1
B18, Trade, 116.067, 161, S14, B18, 1
B18, Trade, 179.733, 350, S03, B18, 1
B18, Trade, 217.017, 182, B18, S03, 1
B18, Trade, 234.717, 180, S05, B18, 1
B18, Trade, 255.033, 180, S05, B18, 1
B18, Trade, 265.333, 169, B18, S06, 1
B18, Trade, 292.017, 186, B18, S04, 1
B18, Trade, 298.083, 175, B18, S06, 1
B19, 12
B19, Trade, 240.983, 178, S08, B19, 1
B19, Trade, 244.200, 171, B19, S00, 1
B19, Trade, 252.050, 183, S03, B19, 1
B19, Trade, 255.317, 181, S07, B19, 1
B19, Trade, 260.783, 180, B19, S13, 1
B19, Trade, 266.233, 175, B19, S04, 1
