B00, 0
B01, 0
B02, 1
B02, Trade, 184.300, 306, B02, S26, 1
B03, 1
B03, Trade, 183.650, 310, B03, S28, 1
B04, 0
B05, 1
B05, Trade, 122.733, 243, S22, B05, 1
B06, 0
B07, 1
B07, Trade, 183.550, 324, B07, S11, 1
B08, 3
B08, Trade, 122.967, 291, S24, B08, 1
B08, Trade, 183.450, 327, B08, S23, 1
B08, Trade, 289.967, 156, B08, S00, 1
B09, 3
B09, Trade, 268.550, 156, B09, S07, 1
B09, Trade, 287.017, 159, B09, S00, 1
B09, Trade, 289.883, 158, B09, S03, 1
B10, 8
B10, Trade, 84.583, 141, B10, S07, 1
B10, Trade, 90.317, 141, B10, S03, 1
B10, Trade, 122.750, 279, S16, B10, 1
B10, Trade, 183.300, 333, B10, S18, 1
B10, Trade, 248.150, 157, B10, S03, 1
B10, Trade, 266.783, 158, B10, S02, 1
B10, Trade, 271.950, 159, B10, S03, 1
B10, Trade, 287.417, 161, B10, S06, 1
B11, 0
B12, 9
B12, Trade, 19.233, 143, B12, S11, 1
B12, Trade, 84.433, 149, B12, S02, 1
B12, Trade, 122.500, 216, S29, B12, 1
B12, Trade, 177.167, 341, B12, S03, 1
B12, Trade, 182.917, 341, B12, S09, 1
B12, Trade, 269.267, 168, B12, S10, 1
B12, Trade, 279.067, 169, B12, S06, 1
B12, Trade, 286.583, 169, B12, S06, 1
B12, Trade, 295.533, 170, B12, S01, 1
B13, 15
B13, Trade, 19.250, 140, B13, S07, 1
B13, Trade, 67.533, 148, B13, S03, 1
B13, Trade, 79.933, 150, B13, S05, 1
B13, Trade, 81.100, 150, B13, S11, 1
B13, Trade, 89.650, 152, B13, S07, 1
B13, Trade, 126.183, 334, S09, B13, 1
B13, Trade, 145.317, 343, B13, S09, 1
B13, Trade, 218.500, 165, B13, S11, 1
B13, Trade, 243.133, 165, B13, S07, 1
B13, Trade, 247.783, 167, B13, S07, 1
B13, Trade, 265.683, 169, B13, S07, 1
B13, Trade, 267.533, 161, B13, S03, 1
B13, Trade, 277.100, 171, B13, S10, 1
B13, Trade, 285.717, 172, B13, S01, 1
B13, Trade, 295.183, 171, B13, S00, 1
B14, 5
B14, Trade, 40.367, 151, B14, S03, 1
B14, Trade, 126.867, 337, S11, B14, 1
B14, Trade, 229.533, 163, B14, S07, 1
B14, Trade, 250.817, 173, B14, S11, 1
B14, Trade, 267.800, 163, B14, S08, 1
B15, 3
B15, Trade, 123.983, 296, B15, S05, 1
B15, Trade, 252.317, 174, B15, S10, 1
B15, Trade, 269.517, 171, S05, B15, 1
B16, 47
B16, Trade, 9.817, 155, S13, B16, 1
B16, Trade, 19.150, 156, B16, S03, 1
B16, Trade, 21.617, 157, B16, S09, 1
B16, Trade, 24.233, 157, B16, S04, 1
B16, Trade, 29.367, 158, B16, S03, 1
B16, Trade, 34.367, 158, B16, S07, 1
B16, Trade, 37.450, 159, B16, S11, 1
B16, Trade, 43.283, 159, B16, S02, 1
B16, Trade, 49.700, 160, B16, S02, 1
B16, Trade, 54.267, 160, B16, S11, 1
B16, Trade, 57.150, 161, B16, S03, 1
B16, Trade, 65.767, 158, S15, B16, 1
B16, Trade, 70.850, 162, B16, S14, 1
B16, Trade, 72.317, 162, B16, S03, 1
B16, Trade, 81.067, 163, S04, B16, 1
B16, Trade, 84.017, 163, B16, S02, 1
B16, Trade, 88.267, 163, S05, B16, 1
B16, Trade, 104.017, 165, B16, S07, 1
B16, Trade, 112.583, 166, B16, S07, 1
B16, Trade, 113.917, 166, B16, S11, 1
B16, Trade, 118.283, 167, B16, S02, 1
B16, Trade, 125.050, 342, S04, B16, 1
B16, Trade, 134.467, 355, B16, S05, 1
B16, Trade, 140.000, 355, B16, S02, 1
B16, Trade, 141.833, 355, B16, S03, 1
B16, Trade, 149.733, 355, B16, S03, 1
B16, Trade, 157.917, 355, B16, S07, 1
B16, Trade, 161.817, 355, B16, S02, 1
B16, Trade, 168.717, 355, B16, S09, 1
B16, Trade, 175.483, 353, S15, B16, 1
B16, Trade, 181.950, 355, B16, S12, 1
B16, Trade, 202.600, 175, B16, S03, 1
B16, Trade, 219.683, 177, B16, S09, 1
B16, Trade, 225.650, 177, B16, S11, 1
B16, Trade, 233.567, 178, B16, S11, 1
B16, Trade, 242.667, 179, B16, S02, 1
B16, Trade, 244.133, 174, S00, B16, 1
B16, Trade, 250.700, 180, B16, S14, 1
B16, Trade, 257.767, 181, B16, S04, 1
B16, Trade, 259.417, 181, S14, B16, 1
B16, Trade, 270.333, 171, S13, B16, 1
B16, Trade, 276.233, 179, S04, B16, 1
B16, Trade, 278.217, 176, S14, B16, 1
B16, Trade, 288.483, 175, S04, B16, 1
B16, Trade, 294.100, 184, B16, S10, 1
B16, Trade, 297.050, 185, B16, S06, 1
B16, Trade, 297.917, 185, B16, S02, 1
B17, 56
B17, Trade, 1.883, 158, B17, S02, 1
B17, Trade, 6.650, 159, B17, S03, 1
B17, Trade, 11.867, 159, S17, B17, 1
B17, Trade, 19.500, 159, S14, B17, 1
B17, Trade, 26.633, 158, S14, B17, 1
B17, Trade, 31.450, 161, B17, S11, 1
B17, Trade, 32.683, 161, B17, S13, 1
B17, Trade, 37.400, 162, B17, S07, 1
B17, Trade, 43.467, 162, S15, B17, 1
B17, Trade, 46.300, 163, S04, B17, 1
B17, Trade, 55.000, 161, S14, B17, 1
B17, Trade, 60.967, 162, S04, B17, 1
B17, Trade, 66.517, 159, S14, B17, 1
B17, Trade, 69.417, 161, S04, B17, 1
B17, Trade, 74.733, 165, B17, S02, 1
B17, Trade, 79.033, 166, B17, S07, 1
B17, Trade, 82.417, 161, S14, B17, 1
B17, Trade, 90.883, 161, S15, B17, 1
B17, Trade, 91.950, 164, S14, B17, 1
B17, Trade, 103.233, 168, B17, S02, 1
B17, Trade, 106.417, 164, S15, B17, 1
B17, Trade, 114.967, 169, B17, S03, 1
B17, Trade, 119.467, 170, B17, S11, 1
B17, Trade, 121.967, 200, S25, B17, 1
B17, Trade, 133.300, 358, B17, S11, 1
B17, Trade, 137.367, 358, S17, B17, 1
B17, Trade, 141.150, 358, B17, S14, 1
B17, Trade, 144.883, 358, B17, S07, 1
B17, Trade, 150.033, 358, B17, S12, 1
B17, Trade, 157.733, 358, B17, S15, 1
B17, Trade, 160.000, 358, B17, S03, 1
B17, Trade, 166.633, 358, B17, S11, 1
B17, Trade, 171.933, 351, S13, B17, 1
B17, Trade, 176.133, 358, S17, B17, 1
B17, Trade, 179.017, 358, B17, S02, 1
B17, Trade, 192.617, 177, B17, S11, 1
B17, Trade, 197.183, 177, B17, S03, 1
B17, Trade, 198.033, 172, S05, B17, 1
B17, Trade, 206.300, 179, B17, S02, 1
B17, Trade, 212.067, 179, B17, S11, 1
B17, Trade, 213.450, 179, B17, S09, 1
B17, Trade, 220.000, 178, S02, B17, 1
B17, Trade, 229.517, 180, B17, S04, 1
B17, Trade, 233.717, 181, S14, B17, 1
B17, Trade, 241.650, 182, B17, S03, 1
B17, Trade, 245.500, 182, B17, S03, 1
B17, Trade, 247.350, 176, S14, B17, 1
B17, Trade, 255.117, 180, S00, B17, 1
B17, Trade, 256.800, 172, S06, B17, 1
B17, Trade, 261.833, 180, S10, B17, 1
B17, Trade, 271.400, 170, S06, B17, 1
B17, Trade, 276.517, 173, S00, B17, 1
B17, Trade, 277.917, 178, S13, B17, 1
B17, Trade, 285.933, 179, S15, B17, 1
B17, Trade, 291.517, 187, B17, S11, 1
B17, Trade, 294.017, 187, B17, S06, 1
B18, 11
B18, Trade, 240.867, 186, B18, S17, 1
B18, Trade, 247.733, 171, B18, S01, 1
B18, Trade, 250.283, 172, S08, B18, 1
B18, Trade, 257.083, 171, B18, S03, 1
B18, Trade, 259.050, 175, B18, S08, 1
B18, Trade, 264.300, 176, B18, S00, 1
B18, Trade, 273.667, 185, S17, B18, 1
B18, Trade, 282.283, 178, B18, S01, 1
B18, Trade, 285.517, 178, S13, B18, 1
B18, Trade, 292.517, 191, B18, S14, 1
B18, Trade, 299.867, 192, B18, S11, 1
B19, 11
B19, Trade, 240.800, 187, S10, B19, 1
B19, Trade, 242.483, 183, S15, B19, 1
B19, Trade, 251.367, 174, B19, S00, 1
B19, Trade, 255.217, 182, S15, B19, 1
B19, Trade, 262.517, 178, S06, B19, 1
B19, Trade, 270.283, 160, S01, B19, 1
B19, Trade, 275.617, 179, B19, S01, 1
B19, Trade, 280.983, 176, S14, B19, 1
B19, Trade, 283.650, 193, S19, B19, 1
B19, Trade, 291.633, 193, S04, B19, 1
B19, Trade, 297.067, 188, S14, B19, 1
B20, 48
B20, Trade, 5.700, 160, B20, S05, 1
B20, Trade, 14.100, 153, B20, S02, 1
B20, Trade, 29.550, 156, B20, S07, 1
B20, Trade, 31.650, 159, B20, S03, 1
B20, Trade, 44.867, 160, B20, S07, 1
B20, Trade, 51.500, 159, B20, S11, 1
B20, Trade, 52.483, 158, B20, S03, 1
B20, Trade, 61.250, 159, B20, S11, 1
B20, Trade, 64.083, 156, B20, S02, 1
B20, Trade, 71.517, 160, B20, S07, 1
B20, Trade, 76.000, 166, B20, S02, 1
B20, Trade, 79.300, 166, S13, B20, 1
B20, Trade, 84.267, 155, B20, S03, 1
B20, Trade, 88.717, 153, B20, S11, 1
B20, Trade, 99.050, 176, B20, S02, 1
B20, Trade, 101.183, 172, B20, S05, 1
B20, Trade, 102.600, 170, B20, S03, 1
B20, Trade, 107.367, 163, B20, S11, 1
B20, Trade, 118.233, 174, S18, B20, 1
B20, Trade, 119.950, 170, B20, S03, 1
B20, Trade, 125.950, 337, S11, B20, 1
B20, Trade, 131.883, 360, S04, B20, 1
B20, Trade, 136.050, 347, B20, S02, 1
B20, Trade, 148.017, 365, B20, S02, 1
