B00, 0
B01, 0
B02, 1
B02, Trade, 124.750, 300, S00, B02, 1
B03, 2
B03, Trade, 123.500, 206, S27, B03, 1
B03, Trade, 183.667, 301, B03, S04, 1
B04, 0
B05, 0
B06, 0
B07, 2
B07, Trade, 2.083, 112, B07, S00, 1
B07, Trade, 122.633, 180, S20, B07, 1
B08, 0
B09, 1
B09, Trade, 126.050, 324, S07, B09, 1
B10, 0
B11, 0
B12, 2
B12, Trade, 122.700, 190, S16, B12, 1
B12, Trade, 277.433, 167, B12, S08, 1
B13, 6
B13, Trade, 63.667, 149, B13, S00, 1
B13, Trade, 124.033, 276, S13, B13, 1
B13, Trade, 183.333, 343, B13, S28, 1
B13, Trade, 272.717, 170, B13, S00, 1
B13, Trade, 276.917, 169, B13, S00, 1
B13, Trade, 287.717, 171, B13, S04, 1
B14, 9
B14, Trade, 63.167, 154, B14, S04, 1
B14, Trade, 81.383, 156, B14, S14, 1
B14, Trade, 111.317, 159, B14, S00, 1
B14, Trade, 156.267, 348, B14, S06, 1
B14, Trade, 183.150, 348, B14, S00, 1
B14, Trade, 212.650, 165, B14, S00, 1
B14, Trade, 261.033, 174, B14, S04, 1
B14, Trade, 274.317, 169, B14, S03, 1
B14, Trade, 288.917, 170, S07, B14, 1
B15, 25
B15, Trade, 3.667, 151, B15, S15, 1
B15, Trade, 45.317, 155, B15, S06, 1
B15, Trade, 51.133, 156, B15, S00, 1
B15, Trade, 63.650, 157, B15, S00, 1
B15, Trade, 74.733, 158, B15, S15, 1
B15, Trade, 87.817, 159, B15, S14, 1
B15, Trade, 111.067, 162, B15, S14, 1
B15, Trade, 124.050, 299, S28, B15, 1
B15, Trade, 155.583, 351, B15, S00, 1
B15, Trade, 159.917, 351, B15, S10, 1
B15, Trade, 173.567, 351, B15, S00, 1
B15, Trade, 174.550, 351, B15, S12, 1
B15, Trade, 185.400, 169, B15, S07, 1
B15, Trade, 208.050, 171, B15, S04, 1
B15, Trade, 224.467, 173, B15, S04, 1
B15, Trade, 240.167, 174, B15, S14, 1
B15, Trade, 244.833, 175, B15, S04, 1
B15, Trade, 252.633, 176, B15, S15, 1
B15, Trade, 255.583, 176, B15, S08, 1
B15, Trade, 259.767, 177, B15, S11, 1
B15, Trade, 264.900, 177, S15, B15, 1
B15, Trade, 273.967, 175, S14, B15, 1
B15, Trade, 278.167, 172, S10, B15, 1
B15, Trade, 291.333, 180, B15, S15, 1
B15, Trade, 297.083, 180, B15, S03, 1
B16, 42
B16, Trade, 3.200, 152, B16, S14, 1
B16, Trade, 22.217, 157, B16, S15, 1
B16, Trade, 27.550, 158, B16, S15, 1
B16, Trade, 36.083, 158, B16, S02, 1
B16, Trade, 39.733, 158, B16, S09, 1
B16, Trade, 44.467, 156, B16, S14, 1
B16, Trade, 49.600, 158, B16, S14, 1
B16, Trade, 59.933, 161, B16, S14, 1
B16, Trade, 69.767, 162, B16, S15, 1
B16, Trade, 75.267, 159, B16, S00, 1
B16, Trade, 79.267, 162, B16, S13, 1
B16, Trade, 87.067, 163, B16, S04, 1
B16, Trade, 102.233, 165, B16, S00, 1
B16, Trade, 104.683, 165, B16, S15, 1
B16, Trade, 112.867, 156, B16, S06, 1
B16, Trade, 119.050, 165, B16, S04, 1
