B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 123.683, 214, S14, B08, 1
B09, 2
B09, Trade, 126.250, 317, S05, B09, 1
B09, Trade, 184.350, 330, B09, S20, 1
B10, 0
B11, 3
B11, Trade, 107.550, 147, B11, S04, 1
B11, Trade, 183.417, 336, B11, S09, 1
B11, Trade, 290.233, 164, B11, S04, 1
B12, 14
B12, Trade, 16.217, 143, B12, S12, 1
B12, Trade, 96.117, 150, B12, S04, 1
B12, Trade, 98.983, 151, B12, S06, 1
B12, Trade, 111.900, 152, B12, S12, 1
B12, Trade, 114.633, 152, S01, B12, 1
B12, Trade, 131.750, 341, B12, S11, 1
B12, Trade, 141.900, 341, B12, S12, 1
B12, Trade, 163.183, 341, B12, S06, 1
B12, Trade, 174.383, 341, B12, S12, 1
B12, Trade, 179.183, 341, B12, S04, 1
B12, Trade, 206.850, 161, B12, S06, 1
B12, Trade, 252.833, 166, B12, S12, 1
B12, Trade, 285.150, 169, B12, S03, 1
B12, Trade, 291.050, 168, S02, B12, 1
B13, 37
B13, Trade, 9.317, 144, B13, S06, 1
B13, Trade, 15.583, 145, B13, S07, 1
B13, Trade, 17.000, 146, B13, S00, 1
B13, Trade, 27.233, 146, B13, S06, 1
B13, Trade, 39.600, 148, B13, S06, 1
B13, Trade, 43.600, 148, B13, S06, 1
B13, Trade, 47.033, 141, B13, S04, 1
B13, Trade, 52.467, 149, S05, B13, 1
B13, Trade, 66.150, 150, B13, S04, 1
B13, Trade, 82.333, 152, B13, S06, 1
B13, Trade, 86.433, 153, B13, S12, 1
B13, Trade, 95.200, 153, B13, S12, 1
B13, Trade, 100.917, 153, S09, B13, 1
B13, Trade, 102.483, 151, S12, B13, 1
B13, Trade, 111.483, 155, B13, S06, 1
B13, Trade, 116.167, 149, B13, S06, 1
B13, Trade, 120.533, 156, B13, S02, 1
B13, Trade, 126.750, 337, B13, S00, 1
B13, Trade, 130.583, 344, B13, S05, 1
B13, Trade, 138.500, 344, B13, S02, 1
B13, Trade, 141.300, 343, B13, S06, 1
B13, Trade, 147.550, 344, B13, S13, 1
B13, Trade, 152.200, 342, S05, B13, 1
B13, Trade, 158.200, 344, B13, S04, 1
B13, Trade, 162.933, 342, B13, S00, 1
B13, Trade, 168.150, 343, B13, S02, 1
B13, Trade, 174.233, 344, B13, S11, 1
B13, Trade, 188.117, 163, B13, S08, 1
B13, Trade, 205.133, 164, B13, S04, 1
B13, Trade, 206.183, 162, B13, S12, 1
B13, Trade, 213.267, 165, B13, S00, 1
B13, Trade, 235.883, 167, B13, S06, 1
B13, Trade, 265.467, 170, B13, S00, 1
B13, Trade, 281.467, 172, B13, S06, 1
B13, Trade, 286.417, 167, B13, S06, 1
B13, Trade, 288.033, 167, B13, S10, 1
B13, Trade, 299.400, 172, B13, S12, 1
B14, 6
B14, Trade, 18.283, 150, S09, B14, 1
B14, Trade, 183.000, 345, B14, S05, 1
B14, Trade, 256.850, 173, S08, B14, 1
B14, Trade, 266.800, 171, B14, S12, 1
B14, Trade, 282.117, 173, S13, B14, 1
B14, Trade, 291.267, 171, S08, B14, 1
B15, 48
B15, Trade, 6.483, 145, B15, S04, 1
B15, Trade, 12.700, 151, S09, B15, 1
B15, Trade, 20.133, 144, B15, S06, 1
B15, Trade, 23.517, 152, S09, B15, 1
B15, Trade, 32.550, 154, B15, S08, 1
B15, Trade, 39.000, 151, B15, S12, 1
B15, Trade, 42.383, 154, B15, S05, 1
B15, Trade, 50.900, 146, S01, B15, 1
B15, Trade, 54.417, 156, B15, S05, 1
B15, Trade, 57.867, 147, B15, S06, 1
B15, Trade, 64.500, 150, B15, S06, 1
B15, Trade, 70.417, 154, B15, S06, 1
B15, Trade, 72.767, 156, S08, B15, 1
B15, Trade, 86.133, 154, S08, B15, 1
B15, Trade, 94.133, 155, S01, B15, 1
B15, Trade, 101.717, 153, B15, S06, 1
B15, Trade, 105.667, 156, S08, B15, 1
B15, Trade, 111.067, 157, B15, S05, 1
B15, Trade, 129.067, 343, S01, B15, 1
B15, Trade, 130.350, 345, B15, S04, 1
B15, Trade, 140.467, 344, B15, S12, 1
B15, Trade, 146.033, 345, B15, S00, 1
B15, Trade, 151.817, 340, B15, S09, 1
B15, Trade, 153.783, 342, B15, S12, 1
B15, Trade, 161.450, 344, B15, S06, 1
B15, Trade, 167.217, 343, B15, S01, 1
B15, Trade, 171.667, 345, B15, S07, 1
B15, Trade, 175.650, 341, B15, S00, 1
B15, Trade, 182.400, 341, B15, S16, 1
B15, Trade, 193.717, 162, B15, S12, 1
B15, Trade, 200.900, 168, B15, S13, 1
B15, Trade, 204.100, 167, B15, S09, 1
B15, Trade, 213.167, 168, S09, B15, 1
B15, Trade, 219.183, 173, B15, S06, 1
B15, Trade, 224.317, 164, B15, S06, 1
B15, Trade, 229.383, 169, B15, S12, 1
B15, Trade, 234.550, 170, B15, S00, 1
B15, Trade, 240.467, 170, B15, S03, 1
B15, Trade, 241.800, 173, S08, B15, 1
B15, Trade, 246.917, 173, S10, B15, 1
B15, Trade, 255.317, 172, B15, S01, 1
B15, Trade, 261.300, 177, B15, S11, 1
B15, Trade, 264.433, 171, B15, S04, 1
B15, Trade, 272.900, 178, B15, S06, 1
B15, Trade, 277.067, 174, B15, S11, 1
B15, Trade, 278.417, 174, B15, S07, 1
B15, Trade, 283.133, 170, B15, S10, 1
B15, Trade, 299.017, 180, B15, S06, 1
B16, 11
B16, Trade, 55.817, 159, S00, B16, 1
B16, Trade, 94.250, 154, B16, S06, 1
B16, Trade, 123.500, 201, S26, B16, 1
B16, Trade, 232.300, 169, S01, B16, 1
B16, Trade, 239.733, 176, S13, B16, 1
B16, Trade, 252.883, 162, B16, S00, 1
B16, Trade, 254.083, 175, S09, B16, 1
B16, Trade, 274.600, 176, S10, B16, 1
B16, Trade, 286.550, 174, S05, B16, 1
B16, Trade, 295.467, 182, B16, S00, 1
B16, Trade, 299.300, 183, S07, B16, 1
B17, 55
B17, Trade, 5.850, 152, B17, S12, 1
B17, Trade, 10.550, 148, S05, B17, 1
B17, Trade, 14.467, 151, B17, S12, 1
B17, Trade, 18.183, 147, S05, B17, 1
B17, Trade, 21.917, 150, S01, B17, 1
B17, Trade, 30.250, 154, S13, B17, 1
B17, Trade, 41.000, 151, S08, B17, 1
B17, Trade, 43.733, 156, S13, B17, 1
B17, Trade, 49.600, 148, S08, B17, 1
