B00, 1
B00, Trade, 123.300, 296, S10, B00, 1
B01, 0
B02, 0
B03, 1
B03, Trade, 121.550, 161, S03, B03, 1
B04, 0
B05, 0
B06, 2
B06, Trade, 123.067, 206, S21, B06, 1
B06, Trade, 184.567, 319, B06, S18, 1
B07, 0
B08, 1
B08, Trade, 184.233, 327, B08, S15, 1
B09, 1
B09, Trade, 184.217, 329, B09, S20, 1
B10, 2
B10, Trade, 176.950, 334, B10, S02, 1
B10, Trade, 183.817, 334, B10, S03, 1
B11, 6
B11, Trade, 33.250, 139, B11, S02, 1
B11, Trade, 112.017, 147, B11, S05, 1
B11, Trade, 124.367, 335, B11, S01, 1
B11, Trade, 142.800, 335, B11, S05, 1
B11, Trade, 148.850, 334, B11, S03, 1
B11, Trade, 183.667, 335, B11, S04, 1
B12, 1
B12, Trade, 281.500, 169, B12, S05, 1
B13, 0
B14, 49
B14, Trade, 3.183, 148, B14, S05, 1
B14, Trade, 7.183, 149, B14, S11, 1
B14, Trade, 12.400, 149, B14, S03, 1
B14, Trade, 28.317, 151, S08, B14, 1
B14, Trade, 34.133, 145, S00, B14, 1
B14, Trade, 37.150, 148, S13, B14, 1
B14, Trade, 41.250, 150, S03, B14, 1
B14, Trade, 50.450, 145, S00, B14, 1
B14, Trade, 53.733, 153, B14, S13, 1
B14, Trade, 60.383, 146, S08, B14, 1
B14, Trade, 66.833, 154, B14, S13, 1
B14, Trade, 71.517, 155, B14, S08, 1
B14, Trade, 74.817, 149, S09, B14, 1
B14, Trade, 79.417, 154, S06, B14, 1
B14, Trade, 85.100, 150, S08, B14, 1
B14, Trade, 86.567, 157, S14, B14, 1
B14, Trade, 93.300, 157, S06, B14, 1
B14, Trade, 102.950, 156, S06, B14, 1
B14, Trade, 107.833, 158, S00, B14, 1
B14, Trade, 112.050, 158, S00, B14, 1
B14, Trade, 120.217, 156, S06, B14, 1
B14, Trade, 125.467, 348, B14, S02, 1
B14, Trade, 127.167, 344, S13, B14, 1
B14, Trade, 133.017, 340, S08, B14, 1
B14, Trade, 139.467, 343, S08, B14, 1
B14, Trade, 144.083, 344, S13, B14, 1
B14, Trade, 149.833, 340, S06, B14, 1
B14, Trade, 156.517, 346, S00, B14, 1
B14, Trade, 160.083, 344, S06, B14, 1
B14, Trade, 165.417, 344, S13, B14, 1
B14, Trade, 168.367, 344, S06, B14, 1
B14, Trade, 175.967, 346, S00, B14, 1
B14, Trade, 181.017, 343, S06, B14, 1
B14, Trade, 192.267, 167, B14, S13, 1
B14, Trade, 194.833, 162, S03, B14, 1
B14, Trade, 199.683, 159, S03, B14, 1
B14, Trade, 204.467, 159, S06, B14, 1
B14, Trade, 209.300, 169, S14, B14, 1
B14, Trade, 214.883, 169, S14, B14, 1
B14, Trade, 220.550, 170, B14, S08, 1
B14, Trade, 232.767, 171, B14, S11, 1
B14, Trade, 235.150, 171, S06, B14, 1
B14, Trade, 239.183, 172, S03, B14, 1
B14, Trade, 246.300, 172, B14, S10, 1
B14, Trade, 270.083, 174, B14, S07, 1
B14, Trade, 270.383, 175, B14, S13, 1
B14, Trade, 275.250, 175, B14, S06, 1
B14, Trade, 279.700, 172, S08, B14, 1
B14, Trade, 291.733, 177, B14, S07, 1
B15, 11
B15, Trade, 246.817, 173, S14, B15, 1
B15, Trade, 249.000, 176, S15, B15, 1
B15, Trade, 255.383, 176, B15, S08, 1
B15, Trade, 257.317, 177, S15, B15, 1
B15, Trade, 263.917, 177, B15, S11, 1
B15, Trade, 268.000, 177, S00, B15, 1
B15, Trade, 275.700, 176, S03, B15, 1
B15, Trade, 279.800, 174, S06, B15, 1
B15, Trade, 283.833, 179, B15, S12, 1
B15, Trade, 289.067, 180, B15, S11, 1
B15, Trade, 292.200, 180, B15, S13, 1
B16, 12
B16, Trade, 241.467, 174, S09, B16, 1
B16, Trade, 243.783, 177, B16, S13, 1
B16, Trade, 250.233, 179, B16, S13, 1
B16, Trade, 253.667, 180, B16, S15, 1
B16, Trade, 256.833, 180, S16, B16, 1
B16, Trade, 264.017, 181, S16, B16, 1
B16, Trade, 270.183, 176, S08, B16, 1
B16, Trade, 278.000, 170, S09, B16, 1
B16, Trade, 281.417, 176, S11, B16, 1
B16, Trade, 285.950, 179, S03, B16, 1
B16, Trade, 288.183, 184, B16, S05, 1
B16, Trade, 294.650, 182, S09, B16, 1
B17, 13
B17, Trade, 3.883, 137, S00, B17, 1
B17, Trade, 14.367, 151, S08, B17, 1
B17, Trade, 20.383, 153, S15, B17, 1
B17, Trade, 41.167, 148, S13, B17, 1
B17, Trade, 65.450, 156, S00, B17, 1
B17, Trade, 106.567, 159, S03, B17, 1
B17, Trade, 115.783, 155, S06, B17, 1
B17, Trade, 120.867, 156, S13, B17, 1
B17, Trade, 137.467, 347, S06, B17, 1
B17, Trade, 185.050, 322, B17, S10, 1
B17, Trade, 217.533, 166, S03, B17, 1
B17, Trade, 224.317, 170, B17, S13, 1
B17, Trade, 294.533, 181, S14, B17, 1
B18, 21
B18, Trade, 13.383, 152, S09, B18, 1
B18, Trade, 15.050, 152, S15, B18, 1
B18, Trade, 15.583, 151, S09, B18, 1
B18, Trade, 30.683, 153, S09, B18, 1
B18, Trade, 55.700, 152, S00, B18, 1
B18, Trade, 62.667, 150, S13, B18, 1
B18, Trade, 65.033, 155, S08, B18, 1
B18, Trade, 83.750, 154, S06, B18, 1
B18, Trade, 103.833, 161, S15, B18, 1
B18, Trade, 110.350, 161, S09, B18, 1
B18, Trade, 120.500, 160, S14, B18, 1
B18, Trade, 123.950, 327, S08, B18, 1
B18, Trade, 170.667, 348, S14, B18, 1
B18, Trade, 178.983, 346, B18, S13, 1
B18, Trade, 196.733, 157, S05, B18, 1
B18, Trade, 199.617, 157, S06, B18, 1
B18, Trade, 214.150, 170, S00, B18, 1
B18, Trade, 234.367, 174, S15, B18, 1
B18, Trade, 260.233, 184, S17, B18, 1
B18, Trade, 265.617, 182, S00, B18, 1
B18, Trade, 275.050, 173, S00, B18, 1
B19, 30
B19, Trade, 9.383, 149, S14, B19, 1
B19, Trade, 9.900, 150, S06, B19, 1
B19, Trade, 16.750, 151, S03, B19, 1
B19, Trade, 31.750, 150, S06, B19, 1
B19, Trade, 36.267, 148, S03, B19, 1
B19, Trade, 41.133, 148, S06, B19, 1
