B00, 2
B00, Trade, 125.333, 276, B00, S15, 1
B00, Trade, 184.633, 298, B00, S04, 1
B01, 0
B02, 1
B02, Trade, 122.733, 208, S28, B02, 1
B03, 2
B03, Trade, 1.383, 110, B03, S00, 1
B03, Trade, 184.550, 310, B03, S24, 1
B04, 1
B04, Trade, 184.667, 278, B04, S22, 1
B05, 0
B06, 0
B07, 0
B08, 2
B08, Trade, 124.583, 274, B08, S11, 1
B08, Trade, 153.583, 325, B08, S04, 1
B09, 1
B09, Trade, 298.283, 160, B09, S08, 1
B10, 5
B10, Trade, 0.917, 116, B10, S04, 1
B10, Trade, 123.433, 258, S05, B10, 1
B10, Trade, 137.750, 331, B10, S04, 1
B10, Trade, 183.867, 333, B10, S12, 1
B10, Trade, 252.633, 158, B10, S04, 1
B11, 8
B11, Trade, 88.133, 145, B11, S04, 1
B11, Trade, 124.017, 324, S07, B11, 1
B11, Trade, 128.717, 331, S09, B11, 1
B11, Trade, 139.033, 331, S09, B11, 1
B11, Trade, 148.617, 337, B11, S09, 1
B11, Trade, 178.550, 337, B11, S00, 1
B11, Trade, 252.917, 162, B11, S00, 1
B11, Trade, 277.933, 165, B11, S04, 1
B12, 1
B12, Trade, 122.667, 205, S27, B12, 1
B13, 1
B13, Trade, 123.233, 231, S12, B13, 1
B14, 20
B14, Trade, 7.567, 147, B14, S02, 1
B14, Trade, 73.233, 154, B14, S09, 1
B14, Trade, 84.550, 153, B14, S00, 1
B14, Trade, 85.750, 154, B14, S09, 1
B14, Trade, 98.350, 155, B14, S04, 1
B14, Trade, 104.267, 153, B14, S00, 1
B14, Trade, 122.450, 191, S23, B14, 1
B14, Trade, 135.783, 343, B14, S09, 1
B14, Trade, 148.383, 347, B14, S04, 1
B14, Trade, 163.217, 347, B14, S04, 1
B14, Trade, 176.983, 347, B14, S11, 1
B14, Trade, 188.750, 165, B14, S00, 1
B14, Trade, 196.350, 166, B14, S00, 1
B14, Trade, 224.983, 168, B14, S00, 1
B14, Trade, 229.367, 170, B14, S12, 1
B14, Trade, 250.117, 172, B14, S11, 1
B14, Trade, 266.467, 172, B14, S04, 1
B14, Trade, 274.767, 173, B14, S04, 1
B14, Trade, 292.333, 175, B14, S00, 1
B14, Trade, 297.767, 174, B14, S08, 1
B15, 4
B15, Trade, 21.133, 152, B15, S00, 1
B15, Trade, 126.217, 313, S04, B15, 1
B15, Trade, 179.433, 343, B15, S09, 1
B15, Trade, 270.067, 175, S13, B15, 1
B16, 39
B16, Trade, 7.500, 155, B16, S09, 1
B16, Trade, 13.533, 156, B16, S00, 1
B16, Trade, 24.183, 150, B16, S09, 1
B16, Trade, 28.433, 153, B16, S05, 1
B16, Trade, 59.017, 160, B16, S04, 1
B16, Trade, 61.250, 161, B16, S04, 1
B16, Trade, 65.283, 144, B16, S09, 1
B16, Trade, 66.183, 162, B16, S03, 1
B16, Trade, 89.167, 160, B16, S03, 1
B16, Trade, 96.100, 157, B16, S00, 1
B16, Trade, 104.067, 154, B16, S09, 1
B16, Trade, 129.667, 349, B16, S13, 1
B16, Trade, 134.283, 352, B16, S05, 1
B16, Trade, 142.750, 354, B16, S05, 1
B16, Trade, 146.567, 352, B16, S09, 1
B16, Trade, 150.183, 352, B16, S02, 1
B16, Trade, 156.700, 354, B16, S00, 1
B16, Trade, 158.883, 353, B16, S05, 1
B16, Trade, 165.933, 355, B16, S00, 1
B16, Trade, 171.033, 355, B16, S00, 1
B16, Trade, 174.883, 348, B16, S00, 1
B16, Trade, 183.067, 352, B16, S21, 1
B16, Trade, 193.200, 164, B16, S00, 1
B16, Trade, 206.717, 175, B16, S04, 1
B16, Trade, 214.433, 176, B16, S09, 1
B16, Trade, 222.167, 177, B16, S05, 1
B16, Trade, 233.267, 175, B16, S00, 1
B16, Trade, 236.383, 178, B16, S09, 1
B16, Trade, 244.233, 179, B16, S04, 1
B16, Trade, 248.150, 172, B16, S09, 1
B16, Trade, 252.167, 171, S01, B16, 1
B16, Trade, 254.600, 158, B16, S09, 1
B16, Trade, 265.083, 175, B16, S12, 1
B16, Trade, 269.183, 171, S13, B16, 1
B16, Trade, 273.533, 171, B16, S10, 1
B16, Trade, 280.383, 179, B16, S09, 1
B16, Trade, 282.833, 171, B16, S09, 1
B16, Trade, 289.783, 175, B16, S05, 1
B16, Trade, 293.667, 167, B16, S05, 1
B17, 52
B17, Trade, 4.733, 158, S17, B17, 1
B17, Trade, 12.183, 159, B17, S04, 1
B17, Trade, 19.883, 160, B17, S05, 1
B17, Trade, 22.117, 157, S16, B17, 1
B17, Trade, 32.250, 161, B17, S04, 1
B17, Trade, 38.433, 162, B17, S05, 1
B17, Trade, 45.067, 161, S05, B17, 1
B17, Trade, 52.700, 163, B17, S14, 1
B17, Trade, 56.083, 163, B17, S05, 1
B17, Trade, 57.300, 164, B17, S09, 1
B17, Trade, 65.733, 162, S16, B17, 1
B17, Trade, 70.083, 165, B17, S09, 1
B17, Trade, 82.350, 166, B17, S11, 1
B17, Trade, 86.367, 166, B17, S12, 1
B17, Trade, 89.217, 165, S07, B17, 1
B17, Trade, 102.683, 168, B17, S04, 1
B17, Trade, 112.700, 169, B17, S04, 1
B17, Trade, 116.933, 169, B17, S00, 1
B17, Trade, 120.750, 170, B17, S09, 1
B17, Trade, 122.900, 221, S29, B17, 1
B17, Trade, 130.333, 350, S14, B17, 1
B17, Trade, 135.233, 358, S03, B17, 1
B17, Trade, 137.700, 358, B17, S11, 1
B17, Trade, 145.317, 358, S12, B17, 1
B17, Trade, 147.800, 356, S07, B17, 1
B17, Trade, 153.283, 351, S15, B17, 1
B17, Trade, 164.300, 356, S03, B17, 1
B17, Trade, 171.000, 358, B17, S02, 1
B17, Trade, 177.800, 356, S16, B17, 1
B17, Trade, 180.550, 358, B17, S05, 1
B17, Trade, 188.417, 177, B17, S11, 1
B17, Trade, 192.517, 177, B17, S11, 1
B17, Trade, 195.050, 177, B17, S14, 1
B17, Trade, 198.867, 178, S17, B17, 1
B17, Trade, 205.883, 178, B17, S09, 1
B17, Trade, 210.167, 179, B17, S15, 1
B17, Trade, 216.083, 180, B17, S05, 1
B17, Trade, 224.783, 180, B17, S14, 1
B17, Trade, 227.083, 181, B17, S05, 1
B17, Trade, 236.983, 182, B17, S00, 1
B17, Trade, 242.617, 182, B17, S09, 1
B17, Trade, 244.700, 182, S10, B17, 1
B17, Trade, 253.700, 168, S10, B17, 1
B17, Trade, 261.217, 184, B17, S08, 1
B17, Trade, 266.383, 181, S16, B17, 1
B17, Trade, 272.050, 185, B17, S04, 1
B17, Trade, 273.050, 171, S06, B17, 1
B17, Trade, 280.950, 181, S07, B17, 1
B17, Trade, 287.083, 186, B17, S04, 1
B17, Trade, 288.733, 182, S07, B17, 1
B17, Trade, 296.967, 187, B17, S02, 1
B17, Trade, 297.383, 188, B17, S11, 1
B18, 52
B18, Trade, 6.333, 158, B18, S12, 1
B18, Trade, 9.533, 163, B18, S13, 1
B18, Trade, 16.867, 163, B18, S02, 1
B18, Trade, 18.617, 160, B18, S09, 1
B18, Trade, 23.517, 154, B18, S00, 1
B18, Trade, 31.217, 165, B18, S00, 1
B18, Trade, 34.300, 165, B18, S03, 1
B18, Trade, 42.050, 163, B18, S09, 1
B18, Trade, 42.750, 162, B18, S12, 1
B18, Trade, 47.767, 163, B18, S09, 1
B18, Trade, 55.650, 164, B18, S09, 1
B18, Trade, 60.550, 162, B18, S00, 1
B18, Trade, 68.033, 162, B18, S00, 1
B18, Trade, 74.600, 169, B18, S04, 1
B18, Trade, 79.733, 168, B18, S00, 1
B18, Trade, 82.217, 167, B18, S09, 1
B18, Trade, 91.667, 153, B18, S05, 1
B18, Trade, 96.300, 157, B18, S04, 1
B18, Trade, 106.100, 169, B18, S16, 1
B18, Trade, 111.483, 173, B18, S00, 1
B18, Trade, 114.800, 170, B18, S00, 1
B18, Trade, 119.983, 172, S07, B18, 1
B18, Trade, 134.783, 353, B18, S00, 1
B18, Trade, 142.917, 352, B18, S14, 1
B18, Trade, 146.900, 352, B18, S02, 1
B18, Trade, 149.383, 352, B18, S11, 1
