B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B04, Trade, 121.550, 156, S13, B04, 1
B04, Trade, 183.400, 313, B04, S15, 1
B05, 2
B05, Trade, 122.650, 184, S21, B05, 1
B05, Trade, 183.733, 284, B05, S10, 1
B06, 0
B07, 1
B07, Trade, 183.217, 324, B07, S03, 1
B08, 0
B09, 3
B09, Trade, 125.667, 310, S03, B09, 1
B09, Trade, 182.883, 331, B09, S16, 1
B09, Trade, 232.483, 154, B09, S00, 1
B10, 1
B10, Trade, 184.583, 214, B10, S21, 1
B11, 2
B11, Trade, 122.733, 194, S24, B11, 1
B11, Trade, 182.683, 337, B11, S17, 1
B12, 8
B12, Trade, 8.200, 141, B12, S11, 1
B12, Trade, 80.983, 149, B12, S11, 1
B12, Trade, 117.900, 153, B12, S04, 1
B12, Trade, 132.883, 341, B12, S08, 1
B12, Trade, 158.200, 339, B12, S00, 1
B12, Trade, 165.750, 341, B12, S11, 1
B12, Trade, 169.267, 341, B12, S11, 1
B12, Trade, 173.350, 341, B12, S09, 1
B13, 17
B13, Trade, 6.117, 143, B13, S10, 1
B13, Trade, 8.450, 133, S03, B13, 1
B13, Trade, 15.450, 144, B13, S04, 1
B13, Trade, 80.467, 151, B13, S00, 1
B13, Trade, 110.050, 153, B13, S11, 1
B13, Trade, 116.700, 153, B13, S00, 1
B13, Trade, 119.800, 153, S09, B13, 1
B13, Trade, 124.317, 331, S09, B13, 1
B13, Trade, 132.383, 339, B13, S04, 1
B13, Trade, 157.867, 341, B13, S02, 1
B13, Trade, 203.633, 163, B13, S11, 1
B13, Trade, 214.033, 164, B13, S10, 1
B13, Trade, 215.233, 163, B13, S11, 1
B13, Trade, 225.400, 165, B13, S10, 1
B13, Trade, 281.233, 171, B13, S00, 1
B13, Trade, 293.967, 172, B13, S00, 1
B13, Trade, 296.667, 173, B13, S10, 1
B14, 27
B14, Trade, 1.550, 121, B14, S04, 1
B14, Trade, 26.433, 148, B14, S10, 1
B14, Trade, 42.600, 151, B14, S06, 1
B14, Trade, 62.233, 153, B14, S12, 1
B14, Trade, 66.433, 153, B14, S10, 1
B14, Trade, 80.217, 153, B14, S03, 1
B14, Trade, 90.067, 154, B14, S11, 1
B14, Trade, 93.350, 153, B14, S10, 1
B14, Trade, 102.950, 155, B14, S11, 1
B14, Trade, 118.550, 152, B14, S11, 1
B14, Trade, 122.833, 244, S14, B14, 1
B14, Trade, 131.333, 338, B14, S03, 1
B14, Trade, 138.833, 345, B14, S11, 1
B14, Trade, 147.617, 345, B14, S11, 1
B14, Trade, 152.817, 345, B14, S10, 1
B14, Trade, 157.967, 340, B14, S10, 1
B14, Trade, 167.050, 339, B14, S10, 1
B14, Trade, 199.800, 167, B14, S02, 1
B14, Trade, 209.867, 163, B14, S10, 1
B14, Trade, 216.400, 162, S01, B14, 1
B14, Trade, 224.850, 169, B14, S03, 1
B14, Trade, 232.183, 167, B14, S08, 1
B14, Trade, 249.617, 172, B14, S09, 1
B14, Trade, 272.133, 174, B14, S03, 1
B14, Trade, 274.767, 174, B14, S10, 1
B14, Trade, 283.850, 174, B14, S10, 1
B14, Trade, 296.100, 176, B14, S07, 1
B15, 46
B15, Trade, 2.967, 139, B15, S11, 1
B15, Trade, 10.967, 143, B15, S11, 1
B15, Trade, 14.267, 147, S09, B15, 1
B15, Trade, 16.917, 145, B15, S11, 1
B15, Trade, 25.983, 149, B15, S11, 1
B15, Trade, 34.633, 151, B15, S11, 1
B15, Trade, 37.983, 153, S01, B15, 1
B15, Trade, 45.383, 153, B15, S00, 1
B15, Trade, 51.717, 154, B15, S11, 1
B15, Trade, 54.417, 155, S09, B15, 1
B15, Trade, 59.800, 157, B15, S15, 1
B15, Trade, 66.250, 157, B15, S09, 1
B15, Trade, 69.117, 157, B15, S13, 1
B15, Trade, 75.667, 151, B15, S11, 1
B15, Trade, 77.350, 158, S02, B15, 1
B15, Trade, 82.183, 151, B15, S11, 1
B15, Trade, 89.850, 155, B15, S00, 1
B15, Trade, 94.950, 158, B15, S03, 1
B15, Trade, 97.967, 158, B15, S11, 1
B15, Trade, 105.883, 157, S06, B15, 1
B15, Trade, 111.833, 157, B15, S00, 1
B15, Trade, 114.967, 155, B15, S11, 1
B15, Trade, 127.883, 348, B15, S11, 1
B15, Trade, 130.450, 338, B15, S11, 1
B15, Trade, 137.767, 344, B15, S03, 1
B15, Trade, 140.917, 346, B15, S10, 1
B15, Trade, 147.633, 345, B15, S00, 1
B15, Trade, 153.333, 347, B15, S03, 1
B15, Trade, 165.000, 343, B15, S09, 1
B15, Trade, 173.317, 341, B15, S06, 1
B15, Trade, 178.267, 343, B15, S10, 1
B15, Trade, 181.550, 348, B15, S00, 1
B15, Trade, 194.433, 170, B15, S11, 1
B15, Trade, 197.150, 168, B15, S04, 1
B15, Trade, 203.100, 166, B15, S04, 1
B15, Trade, 208.633, 166, S09, B15, 1
B15, Trade, 216.067, 162, B15, S00, 1
B15, Trade, 223.683, 170, B15, S11, 1
B15, Trade, 231.583, 169, B15, S10, 1
B15, Trade, 248.900, 175, B15, S03, 1
B15, Trade, 250.967, 176, B15, S10, 1
B15, Trade, 265.600, 177, B15, S00, 1
B15, Trade, 271.917, 175, B15, S10, 1
B15, Trade, 274.067, 177, B15, S11, 1
B15, Trade, 293.700, 180, B15, S08, 1
B15, Trade, 297.550, 181, B15, S10, 1
B16, 11
B16, Trade, 240.683, 179, B16, S09, 1
B16, Trade, 243.100, 177, S09, B16, 1
B16, Trade, 250.367, 176, S01, B16, 1
B16, Trade, 258.283, 181, B16, S13, 1
B16, Trade, 263.167, 181, B16, S07, 1
B16, Trade, 268.133, 182, S09, B16, 1
B16, Trade, 273.600, 178, S15, B16, 1
B16, Trade, 280.383, 179, S15, B16, 1
B16, Trade, 285.633, 181, B16, S10, 1
B16, Trade, 290.617, 184, B16, S10, 1
B16, Trade, 297.367, 185, B16, S15, 1
B17, 51
B17, Trade, 3.733, 152, S14, B17, 1
B17, Trade, 10.717, 144, S06, B17, 1
B17, Trade, 15.000, 145, B17, S06, 1
B17, Trade, 21.650, 160, B17, S10, 1
B17, Trade, 30.500, 161, B17, S17, 1
B17, Trade, 32.050, 161, B17, S14, 1
B17, Trade, 37.667, 152, S13, B17, 1
B17, Trade, 49.617, 154, B17, S06, 1
B17, Trade, 56.617, 154, B17, S06, 1
B17, Trade, 58.383, 154, B17, S02, 1
B17, Trade, 64.350, 160, S06, B17, 1
B17, Trade, 70.050, 157, B17, S14, 1
B17, Trade, 74.233, 160, S09, B17, 1
B17, Trade, 82.350, 150, B17, S00, 1
B17, Trade, 87.033, 152, B17, S10, 1
B17, Trade, 89.533, 155, B17, S09, 1
B17, Trade, 94.733, 156, B17, S10, 1
B17, Trade, 102.100, 156, B17, S02, 1
B17, Trade, 104.583, 156, S13, B17, 1
B17, Trade, 111.717, 158, S01, B17, 1
B17, Trade, 115.017, 154, B17, S03, 1
B17, Trade, 115.967, 155, B17, S10, 1
B17, Trade, 127.867, 350, B17, S02, 1
B17, Trade, 134.433, 342, B17, S10, 1
B17, Trade, 140.750, 346, B17, S00, 1
B17, Trade, 144.233, 346, B17, S11, 1
B17, Trade, 149.567, 346, B17, S10, 1
B17, Trade, 155.067, 344, B17, S04, 1
B17, Trade, 158.717, 340, S06, B17, 1
