B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 183.917, 310, B03, S28, 1
B04, 1
B04, Trade, 124.167, 198, S25, B04, 1
B05, 1
B05, Trade, 124.733, 303, S01, B05, 1
B06, 1
B06, Trade, 183.383, 320, B06, S27, 1
B07, 1
B07, Trade, 185.000, 324, B07, S29, 1
B08, 5
B08, Trade, 114.800, 137, B08, S07, 1
B08, Trade, 121.300, 170, S01, B08, 1
B08, Trade, 135.750, 326, B08, S07, 1
B08, Trade, 153.733, 326, B08, S05, 1
B08, Trade, 199.217, 144, S07, B08, 1
B09, 1
B09, Trade, 123.283, 136, S07, B09, 1
B10, 0
B11, 0
B12, 1
B12, Trade, 185.900, 196, B12, S12, 1
B13, 0
B14, 29
B14, Trade, 2.633, 124, S07, B14, 1
B14, Trade, 13.750, 144, B14, S07, 1
B14, Trade, 20.267, 147, B14, S04, 1
B14, Trade, 24.517, 149, B14, S12, 1
B14, Trade, 32.317, 150, B14, S12, 1
B14, Trade, 38.483, 151, B14, S07, 1
B14, Trade, 43.367, 151, B14, S07, 1
B14, Trade, 50.867, 152, B14, S00, 1
B14, Trade, 54.150, 145, B14, S06, 1
B14, Trade, 68.633, 153, B14, S12, 1
B14, Trade, 72.417, 149, B14, S07, 1
B14, Trade, 85.033, 155, B14, S06, 1
B14, Trade, 90.883, 156, B14, S12, 1
B14, Trade, 116.033, 149, B14, S07, 1
B14, Trade, 121.583, 169, S15, B14, 1
B14, Trade, 132.367, 334, S01, B14, 1
B14, Trade, 141.550, 346, B14, S12, 1
B14, Trade, 147.783, 345, B14, S04, 1
B14, Trade, 153.700, 347, B14, S03, 1
B14, Trade, 156.400, 341, B14, S12, 1
B14, Trade, 172.633, 347, B14, S07, 1
B14, Trade, 181.600, 333, B14, S03, 1
B14, Trade, 189.917, 164, B14, S06, 1
B14, Trade, 197.417, 160, B14, S05, 1
B14, Trade, 207.133, 164, B14, S05, 1
B14, Trade, 218.500, 169, B14, S12, 1
B14, Trade, 227.867, 168, B14, S11, 1
B14, Trade, 246.617, 171, B14, S07, 1
B14, Trade, 293.833, 176, B14, S08, 1
B15, 31
B15, Trade, 8.267, 129, B15, S04, 1
B15, Trade, 34.867, 153, B15, S05, 1
B15, Trade, 37.233, 154, B15, S01, 1
B15, Trade, 51.200, 151, B15, S03, 1
B15, Trade, 54.417, 145, S01, B15, 1
B15, Trade, 66.883, 156, B15, S00, 1
B15, Trade, 70.317, 153, B15, S03, 1
B15, Trade, 80.233, 157, B15, S07, 1
B15, Trade, 83.917, 156, B15, S12, 1
B15, Trade, 91.417, 151, B15, S07, 1
B15, Trade, 115.333, 150, S09, B15, 1
B15, Trade, 116.450, 152, S12, B15, 1
B15, Trade, 125.250, 330, S06, B15, 1
B15, Trade, 126.117, 324, S07, B15, 1
B15, Trade, 141.717, 342, B15, S00, 1
B15, Trade, 147.767, 346, B15, S07, 1
B15, Trade, 153.450, 348, B15, S07, 1
B15, Trade, 162.300, 348, B15, S07, 1
B15, Trade, 166.367, 345, B15, S05, 1
B15, Trade, 170.333, 346, B15, S12, 1
B15, Trade, 177.217, 337, S02, B15, 1
B15, Trade, 182.583, 332, B15, S00, 1
B15, Trade, 192.217, 165, B15, S12, 1
B15, Trade, 210.800, 170, B15, S00, 1
B15, Trade, 222.850, 172, B15, S10, 1
B15, Trade, 223.367, 170, B15, S07, 1
B15, Trade, 243.367, 174, B15, S08, 1
B15, Trade, 258.483, 176, B15, S08, 1
B15, Trade, 275.667, 177, B15, S07, 1
B15, Trade, 285.067, 178, B15, S08, 1
B15, Trade, 296.533, 179, B15, S12, 1
B16, 52
B16, Trade, 4.017, 141, S12, B16, 1
B16, Trade, 10.467, 139, S09, B16, 1
B16, Trade, 17.100, 151, S01, B16, 1
B16, Trade, 25.283, 157, B16, S15, 1
B16, Trade, 29.950, 158, B16, S14, 1
B16, Trade, 31.833, 158, B16, S07, 1
B16, Trade, 44.867, 156, S01, B16, 1
B16, Trade, 53.917, 160, B16, S15, 1
B16, Trade, 58.000, 147, S12, B16, 1
B16, Trade, 66.383, 160, S15, B16, 1
B16, Trade, 70.250, 158, S15, B16, 1
B16, Trade, 70.967, 150, S10, B16, 1
B16, Trade, 78.067, 159, S09, B16, 1
B16, Trade, 85.400, 157, S01, B16, 1
B16, Trade, 91.450, 160, S01, B16, 1
B16, Trade, 95.033, 164, B16, S05, 1
B16, Trade, 100.583, 165, B16, S12, 1
B16, Trade, 108.533, 165, B16, S06, 1
B16, Trade, 109.067, 166, S01, B16, 1
B16, Trade, 113.783, 166, B16, S10, 1
B16, Trade, 120.400, 167, B16, S12, 1
B16, Trade, 122.150, 164, S02, B16, 1
B16, Trade, 129.483, 341, S12, B16, 1
B16, Trade, 134.567, 341, S12, B16, 1
B16, Trade, 138.217, 355, B16, S04, 1
B16, Trade, 144.383, 349, S01, B16, 1
