B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 184.350, 317, B05, S04, 1
B06, 0
B07, 1
B07, Trade, 125.617, 303, S01, B07, 1
B08, 0
B09, 8
B09, Trade, 60.417, 137, B09, S04, 1
B09, Trade, 124.267, 198, S25, B09, 1
B09, Trade, 127.867, 313, S04, B09, 1
B09, Trade, 136.217, 331, B09, S00, 1
B09, Trade, 142.633, 331, B09, S01, 1
B09, Trade, 149.017, 331, B09, S04, 1
B09, Trade, 184.117, 331, B09, S06, 1
B09, Trade, 237.467, 154, B09, S02, 1
B10, 8
B10, Trade, 10.483, 133, B10, S02, 1
B10, Trade, 60.233, 139, B10, S05, 1
B10, Trade, 123.350, 167, S16, B10, 1
B10, Trade, 133.033, 329, B10, S05, 1
B10, Trade, 183.567, 333, B10, S27, 1
B10, Trade, 193.150, 152, B10, S06, 1
B10, Trade, 205.450, 153, B10, S04, 1
B10, Trade, 234.517, 155, B10, S04, 1
B11, 2
B11, Trade, 138.483, 331, B11, S06, 1
B11, Trade, 184.183, 322, B11, S09, 1
B12, 20
B12, Trade, 9.217, 142, B12, S11, 1
B12, Trade, 13.050, 142, B12, S07, 1
B12, Trade, 25.400, 143, B12, S04, 1
B12, Trade, 58.867, 147, B12, S06, 1
B12, Trade, 91.583, 150, B12, S04, 1
B12, Trade, 120.867, 153, B12, S08, 1
B12, Trade, 122.250, 155, S00, B12, 1
B12, Trade, 127.600, 332, S00, B12, 1
B12, Trade, 132.800, 339, S03, B12, 1
B12, Trade, 139.167, 333, S09, B12, 1
B12, Trade, 151.033, 341, B12, S11, 1
B12, Trade, 152.850, 341, B12, S05, 1
B12, Trade, 160.183, 341, S01, B12, 1
B12, Trade, 167.383, 341, B12, S04, 1
B12, Trade, 182.817, 341, B12, S16, 1
B12, Trade, 192.833, 160, B12, S05, 1
B12, Trade, 200.317, 161, B12, S04, 1
B12, Trade, 234.150, 164, S03, B12, 1
B12, Trade, 237.067, 160, S09, B12, 1
B12, Trade, 299.667, 171, B12, S06, 1
B13, 2
B13, Trade, 9.433, 141, B13, S04, 1
B13, Trade, 111.800, 154, B13, S04, 1
B14, 46
B14, Trade, 4.317, 148, B14, S04, 1
B14, Trade, 10.283, 141, S08, B14, 1
B14, Trade, 13.817, 146, S09, B14, 1
B14, Trade, 21.717, 144, S09, B14, 1
B14, Trade, 24.300, 147, S03, B14, 1
B14, Trade, 26.900, 150, S09, B14, 1
B14, Trade, 36.600, 151, B14, S06, 1
B14, Trade, 38.200, 152, S09, B14, 1
B14, Trade, 45.850, 153, B14, S09, 1
B14, Trade, 50.967, 153, B14, S03, 1
B14, Trade, 59.400, 148, S03, B14, 1
B14, Trade, 68.750, 155, B14, S04, 1
B14, Trade, 77.183, 156, B14, S00, 1
B14, Trade, 78.433, 154, S07, B14, 1
B14, Trade, 88.083, 150, S08, B14, 1
B14, Trade, 89.917, 152, S09, B14, 1
B14, Trade, 96.433, 156, S09, B14, 1
B14, Trade, 103.783, 158, B14, S11, 1
B14, Trade, 109.967, 159, B14, S06, 1
B14, Trade, 113.383, 156, S03, B14, 1
B14, Trade, 119.817, 157, S08, B14, 1
B14, Trade, 127.667, 333, S09, B14, 1
B14, Trade, 130.150, 346, S01, B14, 1
B14, Trade, 134.917, 348, B14, S03, 1
B14, Trade, 139.917, 346, S00, B14, 1
B14, Trade, 146.033, 348, B14, S04, 1
B14, Trade, 148.467, 343, S03, B14, 1
B14, Trade, 152.333, 347, S08, B14, 1
B14, Trade, 159.333, 341, S08, B14, 1
B14, Trade, 164.567, 340, S03, B14, 1
B14, Trade, 169.467, 345, S08, B14, 1
B14, Trade, 174.133, 346, S13, B14, 1
B14, Trade, 178.550, 348, B14, S13, 1
B14, Trade, 185.483, 166, B14, S13, 1
B14, Trade, 190.217, 167, B14, S02, 1
B14, Trade, 193.950, 167, B14, S04, 1
B14, Trade, 201.650, 167, S08, B14, 1
B14, Trade, 206.150, 162, S07, B14, 1
B14, Trade, 213.150, 169, S08, B14, 1
B14, Trade, 219.817, 166, S13, B14, 1
B14, Trade, 221.800, 170, B14, S01, 1
B14, Trade, 231.083, 171, B14, S04, 1
B14, Trade, 234.800, 163, S08, B14, 1
B14, Trade, 238.867, 172, B14, S06, 1
B14, Trade, 256.767, 174, B14, S01, 1
B14, Trade, 295.600, 177, B14, S04, 1
B15, 9
B15, Trade, 242.267, 175, S15, B15, 1
B15, Trade, 248.100, 176, B15, S05, 1
B15, Trade, 251.317, 176, B15, S12, 1
B15, Trade, 254.583, 176, S13, B15, 1
B15, Trade, 265.283, 177, B15, S04, 1
B15, Trade, 272.733, 178, B15, S04, 1
B15, Trade, 277.850, 178, B15, S07, 1
B15, Trade, 281.500, 179, B15, S04, 1
B15, Trade, 289.133, 177, S00, B15, 1
B16, 15
B16, Trade, 18.067, 147, S03, B16, 1
B16, Trade, 21.967, 143, S00, B16, 1
B16, Trade, 25.983, 148, S07, B16, 1
B16, Trade, 35.417, 153, S01, B16, 1
B16, Trade, 45.283, 149, S13, B16, 1
B16, Trade, 63.383, 144, S00, B16, 1
B16, Trade, 82.900, 158, S01, B16, 1
B16, Trade, 89.133, 152, S13, B16, 1
B16, Trade, 99.283, 160, S01, B16, 1
B16, Trade, 123.467, 180, S17, B16, 1
B16, Trade, 132.100, 330, S08, B16, 1
B16, Trade, 150.533, 342, S01, B16, 1
B16, Trade, 157.150, 338, B16, S06, 1
B16, Trade, 242.200, 173, S07, B16, 1
B16, Trade, 290.233, 181, B16, S09, 1
B17, 11
B17, Trade, 243.250, 178, B17, S14, 1
B17, Trade, 247.383, 183, B17, S15, 1
B17, Trade, 250.100, 176, B17, S14, 1
B17, Trade, 255.800, 174, S09, B17, 1
B17, Trade, 259.267, 180, S03, B17, 1
B17, Trade, 264.183, 180, S03, B17, 1
B17, Trade, 267.000, 180, S13, B17, 1
B17, Trade, 275.533, 178, S03, B17, 1
B17, Trade, 280.033, 183, S13, B17, 1
B17, Trade, 287.767, 183, S07, B17, 1
B17, Trade, 297.850, 187, B17, S06, 1
B18, 38
B18, Trade, 5.850, 144, B18, S12, 1
B18, Trade, 21.817, 143, B18, S07, 1
B18, Trade, 37.400, 148, B18, S05, 1
B18, Trade, 39.983, 147, S03, B18, 1
B18, Trade, 44.250, 146, B18, S03, 1
B18, Trade, 51.133, 152, B18, S08, 1
B18, Trade, 55.683, 152, B18, S07, 1
B18, Trade, 57.133, 151, S00, B18, 1
B18, Trade, 68.233, 157, B18, S01, 1
B18, Trade, 71.867, 156, B18, S05, 1
B18, Trade, 83.333, 155, B18, S04, 1
B18, Trade, 87.817, 151, S00, B18, 1
B18, Trade, 102.033, 156, B18, S02, 1
B18, Trade, 107.000, 157, B18, S04, 1
B18, Trade, 111.633, 159, B18, S01, 1
B18, Trade, 118.800, 155, B18, S02, 1
B18, Trade, 126.300, 332, S08, B18, 1
B18, Trade, 126.883, 321, S02, B18, 1
B18, Trade, 140.117, 329, B18, S05, 1
B18, Trade, 152.633, 339, B18, S06, 1
B18, Trade, 166.950, 342, B18, S01, 1
B18, Trade, 173.100, 343, B18, S04, 1
B18, Trade, 181.283, 343, B18, S04, 1
B18, Trade, 191.133, 166, B18, S03, 1
B18, Trade, 205.300, 159, B18, S06, 1
B18, Trade, 217.017, 165, B18, S01, 1
B18, Trade, 217.767, 164, B18, S06, 1
B18, Trade, 229.817, 172, B18, S00, 1
B18, Trade, 235.200, 160, S00, B18, 1
B18, Trade, 246.117, 181, B18, S04, 1
B18, Trade, 257.067, 173, B18, S08, 1
B18, Trade, 263.167, 181, B18, S10, 1
B18, Trade, 269.850, 176, B18, S14, 1
B18, Trade, 276.067, 177, B18, S00, 1
B18, Trade, 278.733, 177, B18, S14, 1
B18, Trade, 283.983, 177, B18, S10, 1
B18, Trade, 287.933, 178, B18, S05, 1
B18, Trade, 295.850, 177, B18, S08, 1
B19, 9
B19, Trade, 245.550, 184, S09, B19, 1
B19, Trade, 253.483, 179, S07, B19, 1
B19, Trade, 256.233, 175, S11, B19, 1
B19, Trade, 257.267, 176, S15, B19, 1
B19, Trade, 266.733, 179, S08, B19, 1
B19, Trade, 278.117, 179, S09, B19, 1
B19, Trade, 285.350, 180, S03, B19, 1
B19, Trade, 292.117, 183, S01, B19, 1
B19, Trade, 296.500, 182, S15, B19, 1
B20, 12
B20, Trade, 241.283, 168, S13, B20, 1
B20, Trade, 247.650, 182, B20, S03, 1
B20, Trade, 249.833, 176, B20, S04, 1
B20, Trade, 255.300, 175, S00, B20, 1
B20, Trade, 259.617, 180, S00, B20, 1
B20, Trade, 264.250, 181, S08, B20, 1
B20, Trade, 270.550, 182, S16, B20, 1
B20, Trade, 278.500, 181, S00, B20, 1
B20, Trade, 286.400, 180, S08, B20, 1
B20, Trade, 289.567, 178, S14, B20, 1
B20, Trade, 292.733, 181, S00, B20, 1
B20, Trade, 297.583, 191, S00, B20, 1
B21, 58
B21, Trade, 1.967, 172, B21, S00, 1
B21, Trade, 6.250, 145, S03, B21, 1
B21, Trade, 11.950, 137, S00, B21, 1
B21, Trade, 17.017, 155, S15, B21, 1
B21, Trade, 22.117, 143, S01, B21, 1
B21, Trade, 27.783, 153, S08, B21, 1
B21, Trade, 32.550, 154, S15, B21, 1
B21, Trade, 36.183, 155, S15, B21, 1
B21, Trade, 42.517, 148, S07, B21, 1
B21, Trade, 47.583, 159, S16, B21, 1
B21, Trade, 51.483, 155, S01, B21, 1
B21, Trade, 61.283, 145, S07, B21, 1
B21, Trade, 62.400, 146, S08, B21, 1
B21, Trade, 69.500, 160, S02, B21, 1
B21, Trade, 75.283, 152, S07, B21, 1
B21, Trade, 79.450, 155, S03, B21, 1
B21, Trade, 83.700, 163, S16, B21, 1
B21, Trade, 90.183, 157, S03, B21, 1
B21, Trade, 95.933, 151, S00, B21, 1
B21, Trade, 98.783, 159, S03, B21, 1
B21, Trade, 103.333, 161, S15, B21, 1
B21, Trade, 108.117, 159, S09, B21, 1
B21, Trade, 116.867, 159, S07, B21, 1
B21, Trade, 120.450, 155, S03, B21, 1
B21, Trade, 126.083, 313, S04, B21, 1
B21, Trade, 128.483, 355, S16, B21, 1
B21, Trade, 134.417, 352, S15, B21, 1
B21, Trade, 141.450, 346, S11, B21, 1
B21, Trade, 143.367, 353, S15, B21, 1
B21, Trade, 149.433, 343, S07, B21, 1
B21, Trade, 154.017, 355, S16, B21, 1
B21, Trade, 162.217, 341, S05, B21, 1
B21, Trade, 163.100, 351, S15, B21, 1
B21, Trade, 170.633, 345, S09, B21, 1
B21, Trade, 180.017, 354, S08, B21, 1
B21, Trade, 184.650, 190, B21, S11, 1
B21, Trade, 190.317, 170, S08, B21, 1
B21, Trade, 192.017, 168, S13, B21, 1
B21, Trade, 200.500, 164, S13, B21, 1
B21, Trade, 206.750, 163, S09, B21, 1
B21, Trade, 210.233, 170, S13, B21, 1
B21, Trade, 214.450, 169, S13, B21, 1
B21, Trade, 217.800, 166, S03, B21, 1
B21, Trade, 226.000, 194, S21, B21, 1
B21, Trade, 228.367, 171, S07, B21, 1
B21, Trade, 236.400, 159, S01, B21, 1
B21, Trade, 240.017, 167, S00, B21, 1
B21, Trade, 241.417, 171, S03, B21, 1
B21, Trade, 249.017, 179, S13, B21, 1
B21, Trade, 260.900, 188, S18, B21, 1
B21, Trade, 263.483, 181, S15, B21, 1
B21, Trade, 268.550, 178, S07, B21, 1
B21, Trade, 274.133, 179, S01, B21, 1
B21, Trade, 278.800, 182, S16, B21, 1
B21, Trade, 283.000, 182, S15, B21, 1
B21, Trade, 287.783, 183, S13, B21, 1
B21, Trade, 296.633, 182, S13, B21, 1
B21, Trade, 297.767, 192, S01, B21, 1
B22, 31
B22, Trade, 6.933, 147, S09, B22, 1
B22, Trade, 13.750, 143, B22, S02, 1
B22, Trade, 19.250, 146, S08, B22, 1
B22, Trade, 30.117, 145, S07, B22, 1
B22, Trade, 41.117, 150, S08, B22, 1
B22, Trade, 64.317, 165, B22, S15, 1
B22, Trade, 68.850, 158, S13, B22, 1
B22, Trade, 83.383, 177, S17, B22, 1
B22, Trade, 91.017, 181, S21, B22, 1
B22, Trade, 95.400, 152, S08, B22, 1
B22, Trade, 101.017, 159, S13, B22, 1
B22, Trade, 102.283, 157, S07, B22, 1
B22, Trade, 110.933, 161, S13, B22, 1
B22, Trade, 125.683, 310, S03, B22, 1
B22, Trade, 132.917, 344, S13, B22, 1
B22, Trade, 152.700, 347, S03, B22, 1
B22, Trade, 167.817, 344, S03, B22, 1
B22, Trade, 172.983, 345, S01, B22, 1
B22, Trade, 191.717, 170, S00, B22, 1
B22, Trade, 195.250, 166, S09, B22, 1
B22, Trade, 211.483, 169, S09, B22, 1
B22, Trade, 218.833, 166, S07, B22, 1
B22, Trade, 219.900, 167, S09, B22, 1
B22, Trade, 226.567, 180, B22, S05, 1
B22, Trade, 231.517, 170, S08, B22, 1
B22, Trade, 240.900, 164, S08, B22, 1
B22, Trade, 246.717, 183, S08, B22, 1
B22, Trade, 249.733, 179, S03, B22, 1
B22, Trade, 259.883, 181, S16, B22, 1
B22, Trade, 281.350, 188, S15, B22, 1
B22, Trade, 296.483, 178, S03, B22, 1
B23, 17
B23, Trade, 26.483, 152, S03, B23, 1
B23, Trade, 31.833, 153, S03, B23, 1
B23, Trade, 66.500, 158, B23, S02, 1
B23, Trade, 72.567, 158, S00, B23, 1
B23, Trade, 79.533, 157, S13, B23, 1
B23, Trade, 97.200, 156, S09, B23, 1
B23, Trade, 119.917, 157, S09, B23, 1
B23, Trade, 133.233, 341, S01, B23, 1
B23, Trade, 155.817, 343, S07, B23, 1
B23, Trade, 161.883, 343, S07, B23, 1
B23, Trade, 194.517, 165, S07, B23, 1
B23, Trade, 209.167, 165, S07, B23, 1
B23, Trade, 215.400, 167, S00, B23, 1
B23, Trade, 227.183, 180, B23, S09, 1
B23, Trade, 243.483, 179, S16, B23, 1
B23, Trade, 268.983, 184, S15, B23, 1
