B00, 0
B01, 2
B01, Trade, 122.600, 205, S27, B01, 1
B01, Trade, 184.883, 228, B01, S26, 1
B02, 0
B03, 0
B04, 1
B04, Trade, 122.000, 194, S24, B04, 1
B05, 0
B06, 0
B07, 2
B07, Trade, 129.633, 323, B07, S05, 1
B07, Trade, 158.150, 323, B07, S05, 1
B08, 0
B09, 6
B09, Trade, 45.900, 134, B09, S01, 1
B09, Trade, 122.617, 212, S29, B09, 1
B09, Trade, 152.117, 330, B09, S07, 1
B09, Trade, 178.333, 330, B09, S05, 1
B09, Trade, 233.717, 153, B09, S05, 1
B09, Trade, 273.417, 157, B09, S08, 1
B10, 9
B10, Trade, 27.950, 136, B10, S01, 1
B10, Trade, 44.833, 137, B10, S05, 1
B10, Trade, 119.200, 145, B10, S05, 1
B10, Trade, 124.983, 327, S08, B10, 1
B10, Trade, 132.300, 332, B10, S01, 1
B10, Trade, 158.117, 332, B10, S08, 1
B10, Trade, 191.517, 152, B10, S05, 1
B10, Trade, 215.000, 154, B10, S01, 1
B10, Trade, 232.400, 155, B10, S08, 1
B11, 22
B11, Trade, 1.267, 117, S05, B11, 1
B11, Trade, 27.117, 139, B11, S08, 1
B11, Trade, 44.800, 141, B11, S10, 1
B11, Trade, 60.367, 143, B11, S01, 1
B11, Trade, 81.517, 145, B11, S05, 1
B11, Trade, 87.017, 146, B11, S01, 1
B11, Trade, 102.783, 147, B11, S08, 1
B11, Trade, 112.100, 148, B11, S05, 1
B11, Trade, 118.817, 149, B11, S03, 1
B11, Trade, 124.250, 317, S05, B11, 1
B11, Trade, 129.200, 337, B11, S01, 1
B11, Trade, 136.167, 337, B11, S08, 1
B11, Trade, 144.000, 337, B11, S08, 1
B11, Trade, 151.217, 337, B11, S05, 1
B11, Trade, 156.000, 337, S11, B11, 1
B11, Trade, 164.633, 337, B11, S04, 1
B11, Trade, 171.500, 337, B11, S09, 1
B11, Trade, 177.467, 337, B11, S08, 1
B11, Trade, 184.483, 337, B11, S08, 1
B11, Trade, 206.450, 157, B11, S03, 1
B11, Trade, 212.500, 158, B11, S04, 1
B11, Trade, 231.933, 160, B11, S07, 1
B12, 2
B12, Trade, 252.250, 166, B12, S10, 1
B12, Trade, 299.400, 170, B12, S01, 1
B13, 6
B13, Trade, 255.833, 169, B13, S08, 1
B13, Trade, 272.250, 171, B13, S05, 1
B13, Trade, 273.567, 153, B13, S03, 1
B13, Trade, 285.800, 172, B13, S00, 1
B13, Trade, 291.117, 173, B13, S03, 1
B13, Trade, 298.317, 174, B13, S00, 1
B14, 5
B14, Trade, 8.783, 140, B14, S08, 1
B14, Trade, 41.700, 145, B14, S03, 1
B14, Trade, 43.500, 149, B14, S07, 1
B14, Trade, 173.200, 340, B14, S01, 1
B14, Trade, 222.117, 162, B14, S05, 1
B15, 10
B15, Trade, 250.900, 172, B15, S01, 1
B15, Trade, 252.750, 176, S15, B15, 1
