B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 182.483, 326, B08, S14, 1
B09, 3
B09, Trade, 123.300, 313, S13, B09, 1
B09, Trade, 252.917, 155, B09, S08, 1
B09, Trade, 263.233, 155, B09, S08, 1
B10, 0
B11, 1
B11, Trade, 183.833, 279, B11, S11, 1
B12, 9
B12, Trade, 6.183, 137, S04, B12, 1
B12, Trade, 7.283, 141, S07, B12, 1
B12, Trade, 47.300, 145, B12, S10, 1
B12, Trade, 125.800, 327, S08, B12, 1
B12, Trade, 127.650, 341, B12, S12, 1
B12, Trade, 252.333, 166, B12, S05, 1
B12, Trade, 253.800, 166, B12, S00, 1
B12, Trade, 263.883, 166, S00, B12, 1
B12, Trade, 294.433, 170, B12, S05, 1
B13, 15
B13, Trade, 15.933, 144, B13, S10, 1
B13, Trade, 46.817, 147, B13, S08, 1
B13, Trade, 86.633, 151, B13, S02, 1
B13, Trade, 107.167, 153, B13, S05, 1
B13, Trade, 118.283, 155, B13, S10, 1
B13, Trade, 123.817, 334, S10, B13, 1
B13, Trade, 137.167, 343, B13, S10, 1
B13, Trade, 159.733, 343, B13, S08, 1
B13, Trade, 165.217, 342, B13, S08, 1
B13, Trade, 181.550, 343, B13, S08, 1
B13, Trade, 233.917, 166, B13, S10, 1
B13, Trade, 247.583, 168, B13, S10, 1
B13, Trade, 263.367, 165, S04, B13, 1
B13, Trade, 283.367, 171, B13, S00, 1
B13, Trade, 293.283, 172, B13, S08, 1
B14, 6
B14, Trade, 244.100, 172, B14, S02, 1
B14, Trade, 256.550, 170, S05, B14, 1
B14, Trade, 278.950, 176, B14, S12, 1
B14, Trade, 283.433, 176, S14, B14, 1
B14, Trade, 289.733, 177, B14, S12, 1
B14, Trade, 296.117, 178, B14, S00, 1
B15, 34
B15, Trade, 13.617, 152, B15, S12, 1
B15, Trade, 25.983, 153, B15, S12, 1
B15, Trade, 45.783, 155, B15, S14, 1
B15, Trade, 48.450, 135, B15, S05, 1
B15, Trade, 54.867, 149, B15, S01, 1
B15, Trade, 56.900, 153, B15, S10, 1
B15, Trade, 69.267, 157, B15, S14, 1
B15, Trade, 70.800, 157, B15, S12, 1
B15, Trade, 74.750, 154, B15, S08, 1
B15, Trade, 86.167, 159, B15, S12, 1
B15, Trade, 89.183, 160, B15, S08, 1
B15, Trade, 92.950, 155, B15, S10, 1
B15, Trade, 101.083, 161, B15, S01, 1
B15, Trade, 113.817, 162, B15, S01, 1
B15, Trade, 117.350, 158, B15, S07, 1
B15, Trade, 129.867, 339, B15, S10, 1
B15, Trade, 133.133, 350, S04, B15, 1
B15, Trade, 138.983, 349, B15, S10, 1
B15, Trade, 158.750, 351, B15, S10, 1
B15, Trade, 177.983, 351, B15, S14, 1
B15, Trade, 183.600, 270, B15, S03, 1
B15, Trade, 206.750, 171, B15, S10, 1
B15, Trade, 218.700, 172, B15, S08, 1
B15, Trade, 220.317, 166, B15, S10, 1
B15, Trade, 225.100, 166, B15, S12, 1
B15, Trade, 232.533, 174, B15, S02, 1
B15, Trade, 242.767, 173, B15, S14, 1
B15, Trade, 247.117, 174, B15, S08, 1
B15, Trade, 250.050, 173, S14, B15, 1
B15, Trade, 254.817, 164, S04, B15, 1
B15, Trade, 259.583, 177, B15, S00, 1
B15, Trade, 278.133, 178, B15, S10, 1
B15, Trade, 282.233, 179, B15, S15, 1
B15, Trade, 289.267, 180, B15, S02, 1
B16, 52
B16, Trade, 2.200, 148, S11, B16, 1
B16, Trade, 12.817, 156, B16, S08, 1
B16, Trade, 15.900, 156, B16, S05, 1
B16, Trade, 23.850, 157, B16, S13, 1
B16, Trade, 32.200, 158, B16, S05, 1
B16, Trade, 39.317, 159, B16, S12, 1
B16, Trade, 45.100, 159, B16, S08, 1
B16, Trade, 51.933, 149, S11, B16, 1
B16, Trade, 56.233, 160, B16, S12, 1
B16, Trade, 62.367, 161, B16, S10, 1
B16, Trade, 68.517, 161, B16, S02, 1
B16, Trade, 71.683, 162, S07, B16, 1
B16, Trade, 76.700, 160, S11, B16, 1
B16, Trade, 83.250, 163, B16, S08, 1
B16, Trade, 89.100, 164, B16, S12, 1
B16, Trade, 95.467, 161, S07, B16, 1
B16, Trade, 97.483, 165, B16, S05, 1
B16, Trade, 101.500, 165, B16, S05, 1
B16, Trade, 110.833, 166, B16, S11, 1
B16, Trade, 114.100, 166, B16, S10, 1
B16, Trade, 117.733, 160, S14, B16, 1
B16, Trade, 121.533, 170, S17, B16, 1
B16, Trade, 126.283, 341, S12, B16, 1
B16, Trade, 133.300, 350, S07, B16, 1
B16, Trade, 140.667, 352, S11, B16, 1
B16, Trade, 147.150, 355, B16, S14, 1
B16, Trade, 149.083, 355, B16, S08, 1
B16, Trade, 155.400, 355, B16, S12, 1
B16, Trade, 160.950, 351, S04, B16, 1
B16, Trade, 164.983, 355, B16, S11, 1
B16, Trade, 170.967, 355, B16, S08, 1
B16, Trade, 177.350, 355, B16, S08, 1
B16, Trade, 180.683, 355, B16, S10, 1
B16, Trade, 199.667, 174, S13, B16, 1
B16, Trade, 204.267, 175, B16, S12, 1
B16, Trade, 207.183, 176, B16, S12, 1
B16, Trade, 214.233, 176, B16, S12, 1
B16, Trade, 220.483, 175, S04, B16, 1
B16, Trade, 225.250, 177, S07, B16, 1
B16, Trade, 232.417, 178, B16, S11, 1
B16, Trade, 241.817, 179, B16, S00, 1
B16, Trade, 248.167, 180, B16, S12, 1
B16, Trade, 251.267, 177, S09, B16, 1
B16, Trade, 255.233, 168, S07, B16, 1
B16, Trade, 258.833, 176, S15, B16, 1
B16, Trade, 264.550, 164, S06, B16, 1
B16, Trade, 268.483, 182, B16, S11, 1
B16, Trade, 277.100, 182, B16, S14, 1
B16, Trade, 278.800, 183, B16, S14, 1
B16, Trade, 285.050, 171, S06, B16, 1
B16, Trade, 289.033, 184, B16, S14, 1
B16, Trade, 297.550, 180, S03, B16, 1
B17, 54
B17, Trade, 2.267, 149, S07, B17, 1
B17, Trade, 9.233, 159, B17, S03, 1
B17, Trade, 15.583, 158, S11, B17, 1
B17, Trade, 19.700, 160, B17, S05, 1
B17, Trade, 26.950, 160, S11, B17, 1
B17, Trade, 30.267, 160, S04, B17, 1
B17, Trade, 35.250, 150, S02, B17, 1
B17, Trade, 38.983, 162, B17, S16, 1
B17, Trade, 44.133, 162, B17, S02, 1
B17, Trade, 48.967, 146, S12, B17, 1
B17, Trade, 51.750, 149, S04, B17, 1
B17, Trade, 58.033, 162, S11, B17, 1
B17, Trade, 67.333, 164, B17, S08, 1
B17, Trade, 70.550, 165, S11, B17, 1
B17, Trade, 73.350, 155, S14, B17, 1
B17, Trade, 81.900, 166, B17, S02, 1
B17, Trade, 85.317, 166, B17, S10, 1
B17, Trade, 87.417, 163, S03, B17, 1
B17, Trade, 95.567, 162, S11, B17, 1
B17, Trade, 98.450, 166, S03, B17, 1
B17, Trade, 106.917, 168, B17, S12, 1
B17, Trade, 111.600, 168, S07, B17, 1
B17, Trade, 119.167, 159, S05, B17, 1
B17, Trade, 123.167, 209, S28, B17, 1
B17, Trade, 128.817, 348, S14, B17, 1
B17, Trade, 136.167, 358, B17, S03, 1
B17, Trade, 140.817, 357, S03, B17, 1
B17, Trade, 146.750, 358, S04, B17, 1
B17, Trade, 148.167, 358, S11, B17, 1
B17, Trade, 155.067, 358, B17, S08, 1
B17, Trade, 162.383, 344, S03, B17, 1
B17, Trade, 165.150, 355, S04, B17, 1
B17, Trade, 174.167, 358, B17, S04, 1
B17, Trade, 179.583, 358, B17, S04, 1
B17, Trade, 194.667, 177, B17, S10, 1
B17, Trade, 199.233, 178, B17, S10, 1
B17, Trade, 205.167, 176, S07, B17, 1
B17, Trade, 208.267, 177, S07, B17, 1
B17, Trade, 217.867, 180, B17, S05, 1
B17, Trade, 220.883, 170, S14, B17, 1
B17, Trade, 224.567, 178, S04, B17, 1
B17, Trade, 230.383, 171, S07, B17, 1
B17, Trade, 244.083, 177, S06, B17, 1
B17, Trade, 246.967, 175, S04, B17, 1
B17, Trade, 254.850, 165, S09, B17, 1
B17, Trade, 260.083, 183, S09, B17, 1
B17, Trade, 265.633, 163, S07, B17, 1
B17, Trade, 271.500, 185, B17, S05, 1
B17, Trade, 274.900, 185, B17, S06, 1
B17, Trade, 281.067, 186, B17, S08, 1
B17, Trade, 286.500, 187, B17, S08, 1
B17, Trade, 287.867, 187, B17, S10, 1
B17, Trade, 293.950, 179, S13, B17, 1
B17, Trade, 299.317, 188, B17, S14, 1
B18, 47
B18, Trade, 10.750, 155, B18, S12, 1
B18, Trade, 15.750, 157, B18, S08, 1
B18, Trade, 19.617, 161, B18, S14, 1
B18, Trade, 23.633, 161, B18, S08, 1
B18, Trade, 32.150, 159, B18, S10, 1
B18, Trade, 39.667, 158, B18, S14, 1
B18, Trade, 40.933, 161, B18, S08, 1
B18, Trade, 54.283, 150, B18, S10, 1
B18, Trade, 61.133, 164, B18, S14, 1
B18, Trade, 63.833, 165, B18, S07, 1
B18, Trade, 66.783, 167, B18, S08, 1
B18, Trade, 75.217, 158, B18, S03, 1
B18, Trade, 81.033, 170, B18, S10, 1
B18, Trade, 90.900, 153, B18, S12, 1
B18, Trade, 95.600, 160, B18, S01, 1
B18, Trade, 99.400, 156, B18, S12, 1
B18, Trade, 103.650, 171, B18, S02, 1
B18, Trade, 113.033, 165, B18, S10, 1
B18, Trade, 118.000, 157, B18, S12, 1
B18, Trade, 129.750, 340, B18, S08, 1
B18, Trade, 135.100, 356, B18, S02, 1
B18, Trade, 145.650, 353, B18, S10, 1
B18, Trade, 152.467, 358, B18, S04, 1
B18, Trade, 159.700, 345, B18, S12, 1
B18, Trade, 163.367, 345, B18, S10, 1
B18, Trade, 168.283, 356, S07, B18, 1
B18, Trade, 173.600, 359, B18, S08, 1
B18, Trade, 183.250, 270, B18, S07, 1
B18, Trade, 192.350, 181, B18, S08, 1
