B00, 0
B01, 1
B01, Trade, 184.017, 303, B01, S01, 1
B02, 1
B02, Trade, 183.750, 306, B02, S19, 1
B03, 0
B04, 1
B04, Trade, 121.583, 171, S11, B04, 1
B05, 0
B06, 3
B06, Trade, 132.033, 320, B06, S00, 1
B06, Trade, 183.567, 320, B06, S06, 1
B06, Trade, 239.133, 144, B06, S03, 1
B07, 0
B08, 1
B08, Trade, 293.633, 156, B08, S07, 1
B09, 1
B09, Trade, 121.917, 173, S01, B09, 1
B10, 9
B10, Trade, 2.267, 107, S02, B10, 1
B10, Trade, 130.750, 333, B10, S08, 1
B10, Trade, 131.517, 324, S07, B10, 1
B10, Trade, 139.800, 333, B10, S03, 1
B10, Trade, 182.783, 327, B10, S03, 1
B10, Trade, 238.483, 156, B10, S05, 1
B10, Trade, 268.383, 159, B10, S00, 1
B10, Trade, 276.933, 160, B10, S07, 1
B10, Trade, 291.783, 162, B10, S07, 1
B11, 15
B11, Trade, 8.700, 129, B11, S00, 1
B11, Trade, 71.033, 143, B11, S08, 1
B11, Trade, 124.700, 320, S06, B11, 1
B11, Trade, 126.617, 323, B11, S02, 1
B11, Trade, 137.000, 335, B11, S02, 1
B11, Trade, 145.633, 335, B11, S00, 1
B11, Trade, 149.917, 333, B11, S08, 1
B11, Trade, 172.917, 334, B11, S03, 1
B11, Trade, 179.267, 335, B11, S07, 1
B11, Trade, 182.450, 323, B11, S07, 1
B11, Trade, 199.250, 155, B11, S08, 1
B11, Trade, 221.983, 156, B11, S03, 1
B11, Trade, 238.317, 157, B11, S00, 1
B11, Trade, 267.267, 162, B11, S07, 1
B11, Trade, 272.717, 163, B11, S03, 1
B12, 3
B12, Trade, 78.400, 148, B12, S08, 1
B12, Trade, 133.100, 329, B12, S08, 1
B12, Trade, 184.083, 280, B12, S03, 1
B13, 35
B13, Trade, 4.217, 144, B13, S03, 1
B13, Trade, 8.433, 145, B13, S06, 1
B13, Trade, 25.333, 146, B13, S00, 1
B13, Trade, 35.100, 147, B13, S07, 1
B13, Trade, 46.417, 148, B13, S03, 1
B13, Trade, 55.733, 149, B13, S00, 1
B13, Trade, 57.683, 150, B13, S08, 1
B13, Trade, 62.333, 150, B13, S08, 1
B13, Trade, 77.417, 152, B13, S00, 1
B13, Trade, 85.333, 152, B13, S03, 1
B13, Trade, 89.600, 153, B13, S02, 1
B13, Trade, 108.400, 154, B13, S03, 1
B13, Trade, 125.550, 330, S05, B13, 1
B13, Trade, 130.450, 328, S02, B13, 1
B13, Trade, 133.783, 339, S11, B13, 1
B13, Trade, 141.350, 339, S11, B13, 1
B13, Trade, 142.983, 342, S01, B13, 1
B13, Trade, 149.450, 343, S11, B13, 1
B13, Trade, 155.083, 344, B13, S07, 1
B13, Trade, 164.183, 344, B13, S04, 1
B13, Trade, 175.900, 344, B13, S07, 1
B13, Trade, 178.300, 344, B13, S00, 1
B13, Trade, 193.050, 163, B13, S03, 1
B13, Trade, 210.017, 165, B13, S07, 1
B13, Trade, 224.667, 166, B13, S00, 1
B13, Trade, 232.033, 167, B13, S04, 1
B13, Trade, 239.333, 166, S11, B13, 1
B13, Trade, 254.500, 169, B13, S03, 1
B13, Trade, 256.817, 170, B13, S01, 1
B13, Trade, 265.367, 169, S01, B13, 1
B13, Trade, 270.100, 171, B13, S11, 1
B13, Trade, 276.050, 171, B13, S09, 1
B13, Trade, 278.417, 172, B13, S10, 1
B13, Trade, 291.483, 173, B13, S10, 1
B13, Trade, 299.033, 174, B13, S08, 1
B14, 1
B14, Trade, 92.667, 155, B14, S07, 1
B15, 41
B15, Trade, 4.983, 131, B15, S00, 1
B15, Trade, 7.817, 148, B15, S07, 1
B15, Trade, 16.883, 147, B15, S00, 1
B15, Trade, 26.800, 146, B15, S00, 1
B15, Trade, 31.233, 149, B15, S08, 1
B15, Trade, 34.933, 149, B15, S08, 1
B15, Trade, 40.517, 151, B15, S00, 1
B15, Trade, 43.950, 150, B15, S08, 1
B15, Trade, 52.333, 155, B15, S07, 1
B15, Trade, 59.233, 152, B15, S01, 1
B15, Trade, 66.317, 151, B15, S11, 1
B15, Trade, 68.683, 152, B15, S02, 1
B15, Trade, 71.617, 150, B15, S03, 1
B15, Trade, 82.150, 152, S12, B15, 1
B15, Trade, 88.383, 152, B15, S07, 1
B15, Trade, 98.300, 155, B15, S08, 1
B15, Trade, 101.567, 156, B15, S04, 1
B15, Trade, 106.117, 158, B15, S08, 1
B15, Trade, 109.850, 156, B15, S04, 1
B15, Trade, 122.333, 174, S18, B15, 1
B15, Trade, 130.100, 320, B15, S04, 1
B15, Trade, 139.050, 332, B15, S05, 1
B15, Trade, 149.583, 335, B15, S03, 1
B15, Trade, 161.267, 344, B15, S00, 1
B15, Trade, 172.000, 349, B15, S04, 1
B15, Trade, 181.317, 339, B15, S17, 1
B15, Trade, 195.700, 169, B15, S00, 1
B15, Trade, 202.167, 165, B15, S08, 1
B15, Trade, 207.633, 169, B15, S00, 1
B15, Trade, 221.767, 171, B15, S05, 1
B15, Trade, 227.850, 166, B15, S00, 1
B15, Trade, 235.267, 170, B15, S07, 1
B15, Trade, 238.283, 169, B15, S07, 1
B15, Trade, 246.283, 174, B15, S10, 1
B15, Trade, 247.833, 174, B15, S08, 1
B15, Trade, 260.733, 173, B15, S09, 1
B15, Trade, 263.450, 170, B15, S03, 1
B15, Trade, 272.433, 171, B15, S08, 1
B15, Trade, 284.417, 174, S05, B15, 1
B15, Trade, 287.450, 176, B15, S08, 1
B15, Trade, 294.933, 165, B15, S00, 1
B16, 6
B16, Trade, 9.867, 141, B16, S07, 1
B16, Trade, 16.217, 148, B16, S03, 1
B16, Trade, 46.017, 152, S01, B16, 1
B16, Trade, 54.400, 157, B16, S01, 1
B16, Trade, 68.700, 154, S13, B16, 1
B16, Trade, 204.600, 170, B16, S07, 1
B17, 28
B17, Trade, 4.700, 151, S15, B17, 1
B17, Trade, 10.800, 150, B17, S12, 1
B17, Trade, 14.933, 152, S13, B17, 1
B17, Trade, 22.583, 152, S13, B17, 1
B17, Trade, 36.800, 156, S01, B17, 1
B17, Trade, 46.067, 153, S11, B17, 1
B17, Trade, 55.650, 162, B17, S01, 1
B17, Trade, 76.617, 165, B17, S02, 1
B17, Trade, 82.717, 163, S02, B17, 1
B17, Trade, 90.600, 153, B17, S04, 1
B17, Trade, 93.833, 160, S15, B17, 1
B17, Trade, 106.567, 159, B17, S07, 1
B17, Trade, 123.367, 200, S25, B17, 1
B17, Trade, 127.783, 336, S01, B17, 1
B17, Trade, 132.050, 344, S13, B17, 1
B17, Trade, 147.967, 341, B17, S07, 1
B17, Trade, 150.583, 349, S13, B17, 1
B17, Trade, 168.133, 352, S11, B17, 1
B17, Trade, 183.017, 325, B17, S02, 1
B17, Trade, 201.883, 174, S11, B17, 1
B17, Trade, 210.500, 173, B17, S04, 1
B17, Trade, 221.433, 174, B17, S12, 1
B17, Trade, 257.450, 174, S14, B17, 1
B17, Trade, 260.683, 178, B17, S02, 1
B17, Trade, 268.150, 166, S11, B17, 1
B17, Trade, 276.167, 172, S13, B17, 1
B17, Trade, 281.467, 181, S11, B17, 1
B17, Trade, 294.917, 179, S01, B17, 1
B18, 11
B18, Trade, 240.333, 169, B18, S02, 1
B18, Trade, 247.700, 175, S13, B18, 1
