B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 124.483, 317, S05, B07, 1
B08, 0
B09, 2
B09, Trade, 122.450, 166, S07, B09, 1
B09, Trade, 185.050, 166, B09, S06, 1
B10, 0
B11, 8
B11, Trade, 61.117, 143, B11, S05, 1
B11, Trade, 142.800, 337, B11, S02, 1
B11, Trade, 146.817, 337, B11, S02, 1
B11, Trade, 151.133, 329, B11, S07, 1
B11, Trade, 153.683, 334, B11, S00, 1
B11, Trade, 183.300, 337, B11, S03, 1
B11, Trade, 188.817, 156, B11, S02, 1
B11, Trade, 208.583, 156, B11, S08, 1
B12, 9
B12, Trade, 5.867, 140, B12, S03, 1
B12, Trade, 8.117, 142, B12, S02, 1
B12, Trade, 41.433, 145, B12, S07, 1
B12, Trade, 123.667, 212, S29, B12, 1
B12, Trade, 141.817, 338, B12, S05, 1
B12, Trade, 147.850, 339, S10, B12, 1
B12, Trade, 153.317, 338, B12, S05, 1
B12, Trade, 196.000, 160, S03, B12, 1
B12, Trade, 205.717, 154, B12, S05, 1
B13, 36
B13, Trade, 2.750, 144, B13, S05, 1
B13, Trade, 9.067, 142, S01, B13, 1
B13, Trade, 18.783, 146, B13, S05, 1
B13, Trade, 33.150, 147, B13, S02, 1
B13, Trade, 34.867, 147, B13, S10, 1
B13, Trade, 40.533, 148, B13, S02, 1
B13, Trade, 45.300, 149, B13, S13, 1
B13, Trade, 62.033, 150, B13, S02, 1
B13, Trade, 67.667, 151, B13, S05, 1
B13, Trade, 76.300, 151, B13, S06, 1
B13, Trade, 77.767, 152, B13, S13, 1
B13, Trade, 102.583, 154, B13, S05, 1
B13, Trade, 110.300, 155, B13, S02, 1
B13, Trade, 112.467, 155, B13, S02, 1
B13, Trade, 119.183, 156, B13, S02, 1
B13, Trade, 125.033, 331, S26, B13, 1
B13, Trade, 131.117, 344, B13, S13, 1
B13, Trade, 134.750, 344, B13, S13, 1
B13, Trade, 141.333, 344, B13, S10, 1
B13, Trade, 145.917, 340, S06, B13, 1
B13, Trade, 148.033, 339, S03, B13, 1
B13, Trade, 157.267, 344, S13, B13, 1
B13, Trade, 166.250, 344, B13, S00, 1
B13, Trade, 170.367, 344, B13, S02, 1
B13, Trade, 178.633, 344, B13, S08, 1
B13, Trade, 184.167, 162, B13, S02, 1
B13, Trade, 192.117, 161, S11, B13, 1
B13, Trade, 198.350, 164, B13, S05, 1
B13, Trade, 207.850, 165, B13, S13, 1
B13, Trade, 214.600, 165, B13, S05, 1
B13, Trade, 221.367, 166, B13, S05, 1
B13, Trade, 232.600, 167, B13, S02, 1
B13, Trade, 237.083, 168, B13, S03, 1
B13, Trade, 249.017, 168, B13, S02, 1
B13, Trade, 250.383, 169, B13, S00, 1
B13, Trade, 287.933, 173, B13, S04, 1
B14, 8
B14, Trade, 247.433, 173, B14, S12, 1
B14, Trade, 251.033, 170, B14, S13, 1
B14, Trade, 272.733, 175, B14, S06, 1
B14, Trade, 274.200, 175, B14, S12, 1
B14, Trade, 283.367, 176, B14, S13, 1
B14, Trade, 287.450, 176, B14, S13, 1
B14, Trade, 288.600, 177, B14, S08, 1
B14, Trade, 294.467, 177, B14, S11, 1
B15, 11
B15, Trade, 243.000, 173, B15, S01, 1
B15, Trade, 246.650, 176, B15, S15, 1
B15, Trade, 248.200, 171, S06, B15, 1
B15, Trade, 252.950, 176, B15, S03, 1
B15, Trade, 262.600, 177, B15, S13, 1
B15, Trade, 266.500, 177, B15, S00, 1
B15, Trade, 270.783, 178, B15, S13, 1
B15, Trade, 275.883, 178, B15, S07, 1
B15, Trade, 284.583, 179, B15, S04, 1
B15, Trade, 293.267, 180, B15, S08, 1
B15, Trade, 298.017, 180, B15, S12, 1
B16, 37
B16, Trade, 13.533, 140, B16, S05, 1
B16, Trade, 23.283, 145, B16, S02, 1
B16, Trade, 35.533, 147, B16, S05, 1
B16, Trade, 39.733, 151, B16, S11, 1
B16, Trade, 44.300, 148, B16, S11, 1
B16, Trade, 59.000, 152, B16, S11, 1
B16, Trade, 65.883, 148, B16, S07, 1
B16, Trade, 71.800, 152, B16, S04, 1
B16, Trade, 84.500, 152, B16, S08, 1
B16, Trade, 89.050, 156, B16, S02, 1
B16, Trade, 97.333, 158, B16, S13, 1
B16, Trade, 98.600, 161, B16, S00, 1
B16, Trade, 109.200, 155, B16, S13, 1
B16, Trade, 113.583, 155, B16, S05, 1
B16, Trade, 120.800, 158, B16, S13, 1
B16, Trade, 126.650, 332, S08, B16, 1
B16, Trade, 131.200, 344, B16, S00, 1
B16, Trade, 135.983, 343, B16, S05, 1
B16, Trade, 140.883, 339, B16, S02, 1
B16, Trade, 146.267, 339, S01, B16, 1
B16, Trade, 155.450, 342, B16, S02, 1
B16, Trade, 164.267, 345, B16, S08, 1
B16, Trade, 170.667, 341, B16, S05, 1
B16, Trade, 173.900, 338, B16, S04, 1
B16, Trade, 180.017, 342, B16, S11, 1
B16, Trade, 194.533, 157, B16, S02, 1
B16, Trade, 202.833, 165, B16, S04, 1
B16, Trade, 211.900, 161, B16, S04, 1
B16, Trade, 227.367, 165, B16, S02, 1
B16, Trade, 232.433, 168, B16, S11, 1
B16, Trade, 235.233, 167, B16, S13, 1
B16, Trade, 245.483, 175, B16, S00, 1
B16, Trade, 262.083, 180, B16, S07, 1
B16, Trade, 263.883, 177, B16, S15, 1
B16, Trade, 273.033, 175, B16, S11, 1
B16, Trade, 285.050, 179, B16, S05, 1
B16, Trade, 292.983, 183, B16, S07, 1
B17, 56
B17, Trade, 1.067, 158, B17, S02, 1
B17, Trade, 10.267, 148, S11, B17, 1
B17, Trade, 13.433, 159, B17, S01, 1
B17, Trade, 16.250, 150, S11, B17, 1
B17, Trade, 24.950, 153, S11, B17, 1
B17, Trade, 25.433, 152, S03, B17, 1
B17, Trade, 34.833, 154, S09, B17, 1
B17, Trade, 41.267, 156, S06, B17, 1
B17, Trade, 47.267, 157, S09, B17, 1
B17, Trade, 53.500, 160, S16, B17, 1
B17, Trade, 57.667, 156, S11, B17, 1
B17, Trade, 63.583, 154, S01, B17, 1
