B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 121.583, 164, S04, B05, 1
B06, 1
B06, Trade, 183.650, 319, B06, S16, 1
B07, 0
B08, 3
B08, Trade, 122.367, 170, S17, B08, 1
B08, Trade, 182.967, 326, B08, S19, 1
B08, Trade, 299.633, 155, B08, S02, 1
B09, 0
B10, 1
B10, Trade, 124.000, 334, B10, S09, 1
B11, 5
B11, Trade, 121.067, 164, S11, B11, 1
B11, Trade, 171.383, 337, B11, S01, 1
B11, Trade, 182.700, 337, B11, S17, 1
B11, Trade, 289.983, 166, B11, S10, 1
B11, Trade, 296.183, 166, B11, S02, 1
B12, 8
B12, Trade, 41.550, 145, B12, S02, 1
B12, Trade, 126.333, 336, B12, S07, 1
B12, Trade, 200.800, 158, B12, S02, 1
B12, Trade, 260.000, 164, B12, S02, 1
B12, Trade, 264.733, 167, B12, S02, 1
B12, Trade, 270.917, 168, B12, S12, 1
B12, Trade, 289.867, 170, B12, S02, 1
B12, Trade, 295.333, 170, B12, S06, 1
B13, 16
B13, Trade, 2.167, 144, B13, S02, 1
B13, Trade, 16.250, 145, B13, S02, 1
B13, Trade, 40.417, 148, B13, S02, 1
B13, Trade, 49.333, 149, B13, S01, 1
B13, Trade, 96.217, 153, B13, S08, 1
B13, Trade, 123.367, 301, S24, B13, 1
B13, Trade, 147.300, 344, B13, S02, 1
B13, Trade, 172.967, 344, B13, S02, 1
B13, Trade, 181.833, 344, B13, S22, 1
B13, Trade, 199.383, 163, B13, S01, 1
B13, Trade, 205.467, 165, B13, S01, 1
B13, Trade, 251.233, 169, B13, S13, 1
B13, Trade, 258.517, 169, S07, B13, 1
B13, Trade, 262.483, 170, S06, B13, 1
B13, Trade, 289.283, 173, B13, S01, 1
B13, Trade, 294.033, 173, B13, S01, 1
B14, 4
B14, Trade, 81.267, 150, B14, S08, 1
B14, Trade, 135.600, 347, B14, S02, 1
B14, Trade, 251.850, 172, S10, B14, 1
B14, Trade, 298.567, 174, S13, B14, 1
B15, 9
B15, Trade, 248.617, 175, B15, S02, 1
B15, Trade, 257.583, 171, B15, S06, 1
B15, Trade, 264.233, 177, B15, S13, 1
B15, Trade, 272.350, 175, S03, B15, 1
B15, Trade, 276.067, 178, B15, S02, 1
B15, Trade, 282.200, 179, B15, S05, 1
B15, Trade, 283.150, 179, B15, S12, 1
B15, Trade, 288.983, 180, B15, S05, 1
B15, Trade, 296.367, 173, S08, B15, 1
B16, 41
B16, Trade, 8.283, 147, B16, S03, 1
B16, Trade, 17.083, 152, B16, S11, 1
B16, Trade, 25.783, 151, B16, S01, 1
B16, Trade, 34.133, 158, B16, S07, 1
B16, Trade, 38.617, 155, S07, B16, 1
B16, Trade, 48.167, 160, B16, S05, 1
B16, Trade, 54.517, 158, S03, B16, 1
B16, Trade, 63.200, 161, B16, S02, 1
B16, Trade, 64.383, 149, B16, S05, 1
B16, Trade, 74.167, 162, B16, S01, 1
B16, Trade, 80.317, 163, B16, S02, 1
B16, Trade, 87.483, 164, B16, S08, 1
B16, Trade, 93.933, 158, B16, S04, 1
B16, Trade, 99.783, 162, B16, S01, 1
B16, Trade, 102.400, 160, S07, B16, 1
B16, Trade, 122.167, 164, B16, S03, 1
B16, Trade, 136.167, 348, B16, S05, 1
B16, Trade, 138.317, 355, B16, S01, 1
B16, Trade, 145.467, 355, B16, S14, 1
B16, Trade, 152.383, 355, B16, S14, 1
B16, Trade, 155.467, 355, B16, S01, 1
B16, Trade, 159.533, 345, B16, S05, 1
B16, Trade, 167.783, 350, B16, S08, 1
B16, Trade, 180.767, 348, B16, S02, 1
B16, Trade, 198.767, 175, B16, S02, 1
B16, Trade, 203.367, 167, B16, S05, 1
B16, Trade, 215.833, 166, B16, S02, 1
B16, Trade, 218.433, 176, B16, S01, 1
B16, Trade, 227.500, 178, B16, S02, 1
B16, Trade, 237.700, 174, B16, S02, 1
B16, Trade, 242.183, 179, B16, S13, 1
B16, Trade, 247.800, 179, B16, S06, 1
B16, Trade, 250.550, 170, B16, S05, 1
B16, Trade, 256.000, 171, S03, B16, 1
B16, Trade, 263.600, 178, B16, S01, 1
B16, Trade, 270.783, 169, B16, S10, 1
B16, Trade, 275.533, 177, B16, S01, 1
B16, Trade, 278.900, 180, B16, S05, 1
B16, Trade, 282.650, 173, B16, S00, 1
B16, Trade, 287.867, 174, B16, S02, 1
B16, Trade, 293.617, 171, B16, S05, 1
B17, 8
B17, Trade, 5.267, 145, B17, S01, 1
B17, Trade, 43.067, 159, B17, S05, 1
B17, Trade, 57.300, 159, S03, B17, 1
B17, Trade, 109.067, 163, S03, B17, 1
B17, Trade, 152.417, 356, S11, B17, 1
B17, Trade, 218.200, 176, S03, B17, 1
B17, Trade, 242.117, 179, B17, S06, 1
B17, Trade, 296.233, 172, S11, B17, 1
B18, 17
B18, Trade, 24.800, 160, S17, B18, 1
B18, Trade, 58.933, 159, S04, B18, 1
B18, Trade, 83.517, 164, S14, B18, 1
B18, Trade, 100.950, 163, S14, B18, 1
B18, Trade, 104.583, 159, B18, S01, 1
B18, Trade, 111.983, 166, S09, B18, 1
B18, Trade, 122.583, 177, S19, B18, 1
B18, Trade, 146.750, 349, B18, S01, 1
B18, Trade, 183.817, 277, B18, S03, 1
B18, Trade, 220.467, 179, S03, B18, 1
B18, Trade, 238.267, 177, S07, B18, 1
B18, Trade, 241.617, 182, B18, S12, 1
B18, Trade, 260.100, 171, S04, B18, 1
B18, Trade, 269.567, 177, S14, B18, 1
B18, Trade, 274.333, 177, S11, B18, 1
B18, Trade, 280.250, 182, B18, S14, 1
B18, Trade, 298.533, 172, S03, B18, 1
B19, 29
B19, Trade, 19.200, 152, B19, S08, 1
B19, Trade, 34.450, 157, B19, S09, 1
B19, Trade, 41.317, 153, B19, S11, 1
B19, Trade, 48.817, 158, S07, B19, 1
B19, Trade, 63.367, 161, B19, S01, 1
B19, Trade, 76.683, 162, B19, S02, 1
B19, Trade, 83.600, 162, B19, S02, 1
B19, Trade, 89.417, 164, B19, S05, 1
B19, Trade, 94.217, 158, B19, S01, 1
B19, Trade, 106.717, 158, B19, S01, 1
B19, Trade, 113.667, 161, S07, B19, 1
B19, Trade, 148.167, 347, B19, S08, 1
B19, Trade, 157.433, 356, B19, S08, 1
B19, Trade, 162.633, 348, B19, S14, 1
B19, Trade, 170.800, 347, B19, S02, 1
B19, Trade, 181.567, 347, B19, S02, 1
B19, Trade, 205.267, 169, B19, S02, 1
B19, Trade, 231.217, 176, B19, S08, 1
B19, Trade, 235.283, 172, B19, S02, 1
B19, Trade, 245.367, 181, B19, S10, 1
B19, Trade, 250.683, 174, S14, B19, 1
B19, Trade, 253.583, 169, B19, S13, 1
B19, Trade, 258.217, 169, B19, S05, 1
B19, Trade, 266.267, 177, B19, S10, 1
B19, Trade, 270.883, 171, S07, B19, 1
B19, Trade, 281.783, 179, B19, S02, 1
B19, Trade, 286.383, 179, B19, S01, 1
B19, Trade, 289.883, 174, S11, B19, 1
B19, Trade, 294.383, 173, B19, S13, 1
B20, 24
B20, Trade, 10.783, 150, S04, B20, 1
B20, Trade, 16.533, 152, S07, B20, 1
B20, Trade, 21.683, 158, S04, B20, 1
B20, Trade, 22.850, 157, B20, S03, 1
B20, Trade, 32.883, 161, S04, B20, 1
B20, Trade, 45.233, 157, S14, B20, 1
B20, Trade, 56.633, 159, S14, B20, 1
B20, Trade, 148.067, 351, S07, B20, 1
B20, Trade, 178.783, 358, S17, B20, 1
B20, Trade, 190.433, 174, B20, S05, 1
B20, Trade, 196.483, 176, B20, S01, 1
B20, Trade, 202.933, 170, S14, B20, 1
B20, Trade, 215.183, 172, B20, S05, 1
B20, Trade, 217.567, 175, S14, B20, 1
B20, Trade, 233.017, 171, B20, S01, 1
B20, Trade, 237.583, 180, S11, B20, 1
B20, Trade, 248.683, 179, S07, B20, 1
B20, Trade, 259.017, 171, B20, S12, 1
B20, Trade, 262.717, 172, B20, S11, 1
B20, Trade, 269.167, 176, B20, S02, 1
B20, Trade, 276.217, 183, S07, B20, 1
B20, Trade, 281.067, 185, S04, B20, 1
B20, Trade, 287.100, 175, B20, S13, 1
B20, Trade, 292.167, 167, S11, B20, 1
B21, 46
B21, Trade, 7.833, 153, S14, B21, 1
B21, Trade, 12.333, 159, S17, B21, 1
B21, Trade, 17.583, 154, S03, B21, 1
B21, Trade, 25.300, 164, S18, B21, 1
B21, Trade, 30.167, 162, S03, B21, 1
B21, Trade, 34.500, 161, S01, B21, 1
B21, Trade, 39.400, 154, S14, B21, 1
B21, Trade, 48.017, 160, B21, S03, 1
B21, Trade, 51.550, 165, S14, B21, 1
B21, Trade, 56.100, 156, S09, B21, 1
B21, Trade, 62.833, 164, S17, B21, 1
B21, Trade, 70.333, 170, S18, B21, 1
B21, Trade, 75.833, 165, S17, B21, 1
B21, Trade, 83.800, 166, S17, B21, 1
B21, Trade, 86.700, 167, S07, B21, 1
B21, Trade, 90.883, 155, S07, B21, 1
B21, Trade, 97.183, 164, S11, B21, 1
B21, Trade, 102.317, 159, B21, S14, 1
B21, Trade, 104.117, 168, S17, B21, 1
B21, Trade, 107.900, 162, S04, B21, 1
B21, Trade, 113.950, 161, S11, B21, 1
B21, Trade, 124.517, 247, S27, B21, 1
B21, Trade, 132.617, 352, S11, B21, 1
B21, Trade, 138.617, 356, S03, B21, 1
B21, Trade, 155.250, 361, S04, B21, 1
B21, Trade, 164.200, 350, S04, B21, 1
B21, Trade, 170.500, 354, S11, B21, 1
B21, Trade, 179.067, 365, S19, B21, 1
B21, Trade, 182.917, 360, S25, B21, 1
B21, Trade, 188.067, 189, B21, S20, 1
B21, Trade, 192.350, 184, S14, B21, 1
B21, Trade, 199.817, 176, S04, B21, 1
B21, Trade, 206.567, 178, S17, B21, 1
B21, Trade, 210.517, 178, S14, B21, 1
B21, Trade, 217.850, 176, S11, B21, 1
B21, Trade, 224.383, 179, S14, B21, 1
B21, Trade, 230.617, 179, S03, B21, 1
B21, Trade, 234.267, 177, S04, B21, 1
B21, Trade, 244.000, 189, S19, B21, 1
B21, Trade, 250.100, 177, S11, B21, 1
B21, Trade, 254.350, 165, B21, S02, 1
B21, Trade, 264.900, 190, S11, B21, 1
B21, Trade, 268.867, 178, S04, B21, 1
B21, Trade, 275.233, 178, S03, B21, 1
B21, Trade, 285.817, 184, B21, S06, 1
B21, Trade, 292.933, 177, S14, B21, 1
B22, 58
B22, Trade, 4.217, 152, S14, B22, 1
B22, Trade, 6.250, 152, S11, B22, 1
B22, Trade, 12.617, 163, S18, B22, 1
B22, Trade, 18.317, 156, S04, B22, 1
B22, Trade, 24.683, 158, S14, B22, 1
B22, Trade, 31.000, 164, S07, B22, 1
B22, Trade, 33.083, 160, S11, B22, 1
B22, Trade, 36.917, 157, S03, B22, 1
B22, Trade, 42.617, 154, S03, B22, 1
B22, Trade, 49.033, 159, S04, B22, 1
B22, Trade, 55.267, 163, S17, B22, 1
B22, Trade, 60.117, 164, S17, B22, 1
B22, Trade, 64.150, 166, S11, B22, 1
B22, Trade, 66.850, 167, S11, B22, 1
B22, Trade, 74.350, 163, S14, B22, 1
B22, Trade, 76.833, 164, S04, B22, 1
B22, Trade, 84.417, 168, S11, B22, 1
B22, Trade, 87.817, 173, S19, B22, 1
B22, Trade, 95.650, 159, S03, B22, 1
B22, Trade, 98.250, 164, S07, B22, 1
B22, Trade, 103.600, 164, S04, B22, 1
B22, Trade, 108.950, 162, S11, B22, 1
B22, Trade, 115.483, 159, S14, B22, 1
B22, Trade, 117.133, 173, S18, B22, 1
B22, Trade, 123.433, 306, S02, B22, 1
B22, Trade, 132.483, 351, S07, B22, 1
B22, Trade, 135.000, 358, S17, B22, 1
B22, Trade, 140.467, 361, S07, B22, 1
B22, Trade, 144.633, 358, S04, B22, 1
B22, Trade, 150.883, 356, S03, B22, 1
B22, Trade, 154.583, 360, S03, B22, 1
B22, Trade, 159.700, 354, S07, B22, 1
B22, Trade, 165.150, 364, S11, B22, 1
B22, Trade, 167.983, 353, S07, B22, 1
B22, Trade, 174.783, 352, S11, B22, 1
B22, Trade, 179.333, 368, S20, B22, 1
B22, Trade, 190.033, 186, S11, B22, 1
B22, Trade, 193.183, 181, S18, B22, 1
B22, Trade, 197.033, 181, S07, B22, 1
B22, Trade, 204.017, 169, S04, B22, 1
B22, Trade, 208.433, 180, S04, B22, 1
B22, Trade, 214.533, 180, S04, B22, 1
B22, Trade, 221.017, 184, S18, B22, 1
B22, Trade, 226.800, 179, S03, B22, 1
B22, Trade, 234.633, 179, S11, B22, 1
B22, Trade, 239.967, 189, S19, B22, 1
B22, Trade, 245.550, 183, S17, B22, 1
B22, Trade, 247.317, 180, S07, B22, 1
B22, Trade, 252.983, 170, S03, B22, 1
B22, Trade, 259.900, 170, S13, B22, 1
B22, Trade, 262.950, 184, S17, B22, 1
B22, Trade, 270.433, 170, S04, B22, 1
B22, Trade, 272.883, 189, S18, B22, 1
B22, Trade, 281.150, 186, S17, B22, 1
B22, Trade, 286.233, 185, S04, B22, 1
B22, Trade, 291.450, 168, S04, B22, 1
B22, Trade, 294.017, 187, S17, B22, 1
B22, Trade, 297.583, 172, S04, B22, 1
B23, 9
B23, Trade, 27.767, 158, B23, S08, 1
B23, Trade, 59.917, 162, S07, B23, 1
B23, Trade, 103.300, 161, S03, B23, 1
B23, Trade, 116.917, 169, S17, B23, 1
B23, Trade, 178.867, 364, S14, B23, 1
B23, Trade, 199.567, 177, S14, B23, 1
B23, Trade, 221.400, 180, S17, B23, 1
B23, Trade, 256.867, 172, S07, B23, 1
B23, Trade, 262.850, 174, S14, B23, 1
B24, 12
B24, Trade, 241.133, 186, S14, B24, 1
B24, Trade, 243.967, 185, S11, B24, 1
B24, Trade, 251.717, 166, B24, S05, 1
B24, Trade, 253.917, 167, B24, S09, 1
B24, Trade, 259.567, 168, B24, S01, 1
B24, Trade, 266.150, 178, B24, S12, 1
B24, Trade, 269.950, 171, S13, B24, 1
B24, Trade, 275.750, 178, S06, B24, 1
B24, Trade, 281.767, 182, S13, B24, 1
B24, Trade, 286.717, 173, S13, B24, 1
B24, Trade, 287.433, 183, S14, B24, 1
B24, Trade, 293.267, 177, S03, B24, 1
B25, 29
B25, Trade, 4.833, 151, S07, B25, 1
B25, Trade, 53.867, 158, S11, B25, 1
B25, Trade, 56.150, 162, S04, B25, 1
B25, Trade, 68.467, 168, S11, B25, 1
B25, Trade, 82.433, 166, S17, B25, 1
B25, Trade, 91.100, 156, S11, B25, 1
B25, Trade, 104.933, 160, S05, B25, 1
B25, Trade, 123.017, 181, S20, B25, 1
B25, Trade, 133.167, 354, S04, B25, 1
B25, Trade, 139.450, 358, S17, B25, 1
B25, Trade, 157.717, 352, B25, S01, 1
B25, Trade, 171.700, 355, S07, B25, 1
B25, Trade, 177.217, 353, S04, B25, 1
B25, Trade, 181.917, 360, S04, B25, 1
B25, Trade, 186.383, 180, S18, B25, 1
B25, Trade, 191.700, 178, S04, B25, 1
B25, Trade, 198.217, 177, B25, S07, 1
B25, Trade, 204.367, 170, S11, B25, 1
B25, Trade, 208.267, 180, S11, B25, 1
B25, Trade, 229.467, 179, S14, B25, 1
B25, Trade, 233.000, 180, S14, B25, 1
B25, Trade, 238.050, 177, S04, B25, 1
B25, Trade, 254.467, 166, S10, B25, 1
B25, Trade, 261.367, 171, S03, B25, 1
B25, Trade, 264.683, 172, B25, S08, 1
B25, Trade, 273.683, 182, S04, B25, 1
B25, Trade, 278.300, 178, S12, B25, 1
B25, Trade, 280.000, 181, S11, B25, 1
B25, Trade, 288.233, 187, S17, B25, 1
B26, 47
B26, Trade, 8.183, 150, B26, S02, 1
B26, Trade, 15.500, 153, B26, S02, 1
B26, Trade, 20.000, 156, B26, S05, 1
B26, Trade, 25.233, 151, B26, S05, 1
B26, Trade, 31.033, 161, B26, S02, 1
B26, Trade, 33.433, 159, B26, S14, 1
B26, Trade, 44.433, 157, S04, B26, 1
B26, Trade, 47.217, 162, S11, B26, 1
B26, Trade, 54.817, 157, B26, S14, 1
B26, Trade, 58.850, 158, B26, S01, 1
B26, Trade, 67.133, 164, B26, S05, 1
B26, Trade, 69.617, 165, S17, B26, 1
B26, Trade, 71.883, 164, S14, B26, 1
B26, Trade, 79.950, 164, S11, B26, 1
B26, Trade, 86.050, 166, B26, S14, 1
B26, Trade, 87.217, 168, B26, S02, 1
B26, Trade, 99.833, 161, B26, S02, 1
B26, Trade, 105.133, 160, B26, S02, 1
B26, Trade, 110.967, 162, B26, S02, 1
B26, Trade, 120.733, 163, S14, B26, 1
B26, Trade, 128.867, 346, B26, S01, 1
B26, Trade, 133.833, 348, B26, S09, 1
B26, Trade, 139.817, 349, B26, S01, 1
B26, Trade, 143.733, 358, S14, B26, 1
B26, Trade, 151.267, 356, S14, B26, 1
B26, Trade, 153.867, 358, S17, B26, 1
B26, Trade, 165.167, 347, B26, S01, 1
B26, Trade, 171.950, 345, B26, S01, 1
B26, Trade, 177.167, 352, B26, S11, 1
B26, Trade, 187.333, 179, B26, S17, 1
B26, Trade, 194.200, 176, B26, S08, 1
B26, Trade, 209.250, 174, B26, S02, 1
B26, Trade, 219.700, 168, B26, S02, 1
B26, Trade, 226.583, 178, B26, S11, 1
B26, Trade, 230.467, 178, B26, S11, 1
B26, Trade, 232.317, 169, B26, S01, 1
B26, Trade, 239.900, 181, B26, S04, 1
B26, Trade, 247.133, 181, B26, S14, 1
B26, Trade, 248.400, 177, S12, B26, 1
B26, Trade, 254.650, 166, B26, S06, 1
B26, Trade, 274.117, 174, B26, S00, 1
B26, Trade, 277.267, 176, B26, S13, 1
B26, Trade, 281.317, 180, B26, S01, 1
B26, Trade, 285.317, 180, B26, S12, 1
B26, Trade, 290.667, 164, B26, S00, 1
B26, Trade, 293.100, 171, B26, S10, 1
B26, Trade, 299.283, 169, B26, S10, 1
B27, 52
B27, Trade, 3.333, 137, B27, S03, 1
B27, Trade, 9.400, 149, B27, S11, 1
B27, Trade, 12.283, 150, B27, S01, 1
B27, Trade, 19.717, 156, S04, B27, 1
B27, Trade, 21.067, 147, B27, S01, 1
B27, Trade, 29.583, 160, S14, B27, 1
B27, Trade, 35.500, 148, B27, S02, 1
B27, Trade, 38.483, 155, B27, S01, 1
B27, Trade, 44.933, 157, B27, S08, 1
B27, Trade, 50.617, 145, B27, S01, 1
B27, Trade, 54.317, 157, B27, S07, 1
B27, Trade, 59.500, 157, B27, S02, 1
B27, Trade, 62.500, 163, B27, S03, 1
B27, Trade, 68.550, 167, B27, S02, 1
B27, Trade, 73.950, 163, B27, S07, 1
B27, Trade, 80.267, 164, B27, S03, 1
B27, Trade, 86.233, 165, B27, S01, 1
B27, Trade, 87.333, 167, B27, S01, 1
B27, Trade, 96.150, 157, B27, S02, 1
B27, Trade, 97.067, 155, B27, S08, 1
B27, Trade, 106.333, 160, B27, S08, 1
B27, Trade, 110.767, 164, B27, S05, 1
B27, Trade, 113.000, 164, B27, S01, 1
B27, Trade, 128.033, 343, B27, S02, 1
B27, Trade, 132.767, 350, B27, S08, 1
B27, Trade, 144.000, 356, B27, S02, 1
B27, Trade, 154.117, 357, B27, S02, 1
B27, Trade, 161.933, 343, B27, S05, 1
B27, Trade, 164.867, 349, B27, S03, 1
B27, Trade, 175.167, 352, S03, B27, 1
B27, Trade, 175.883, 352, B27, S05, 1
B27, Trade, 176.833, 352, B27, S07, 1
B27, Trade, 186.483, 177, B27, S04, 1
B27, Trade, 193.100, 180, S14, B27, 1
B27, Trade, 209.217, 176, S03, B27, 1
B27, Trade, 211.417, 175, B27, S08, 1
B27, Trade, 212.533, 178, S07, B27, 1
B27, Trade, 223.333, 176, S07, B27, 1
B27, Trade, 228.933, 177, B27, S01, 1
B27, Trade, 240.800, 185, B27, S06, 1
B27, Trade, 245.150, 183, B27, S02, 1
