B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 184.633, 319, B06, S05, 1
B07, 1
B07, Trade, 184.383, 323, B07, S13, 1
B08, 1
B08, Trade, 125.400, 327, S08, B08, 1
B09, 1
B09, Trade, 123.700, 205, S27, B09, 1
B10, 4
B10, Trade, 1.983, 124, S07, B10, 1
B10, Trade, 122.600, 179, S12, B10, 1
B10, Trade, 149.583, 334, B10, S02, 1
B10, Trade, 184.050, 334, B10, S07, 1
B11, 3
B11, Trade, 145.150, 337, B11, S07, 1
B11, Trade, 183.850, 337, B11, S09, 1
B11, Trade, 297.500, 166, B11, S03, 1
B12, 10
B12, Trade, 61.467, 147, B12, S07, 1
B12, Trade, 115.933, 152, B12, S07, 1
B12, Trade, 138.933, 335, B12, S07, 1
B12, Trade, 147.200, 336, B12, S01, 1
B12, Trade, 149.300, 337, B12, S07, 1
B12, Trade, 170.233, 341, B12, S02, 1
B12, Trade, 182.883, 341, B12, S10, 1
B12, Trade, 229.633, 163, B12, S07, 1
B12, Trade, 235.200, 164, B12, S01, 1
B12, Trade, 276.967, 168, B12, S01, 1
B13, 1
B13, Trade, 122.400, 171, S09, B13, 1
B14, 20
B14, Trade, 27.650, 150, B14, S02, 1
B14, Trade, 72.067, 155, S08, B14, 1
B14, Trade, 102.583, 158, B14, S10, 1
B14, Trade, 117.583, 160, B14, S08, 1
B14, Trade, 123.300, 201, S26, B14, 1
B14, Trade, 137.967, 348, B14, S09, 1
B14, Trade, 141.800, 342, S11, B14, 1
B14, Trade, 147.467, 339, S11, B14, 1
B14, Trade, 156.433, 348, B14, S03, 1
B14, Trade, 163.650, 348, B14, S12, 1
B14, Trade, 171.617, 345, S11, B14, 1
B14, Trade, 172.883, 346, S08, B14, 1
B14, Trade, 178.517, 346, S08, B14, 1
B14, Trade, 187.867, 166, B14, S07, 1
B14, Trade, 189.600, 167, B14, S01, 1
B14, Trade, 235.000, 171, B14, S02, 1
B14, Trade, 249.467, 172, B14, S12, 1
B14, Trade, 259.283, 174, B14, S07, 1
B14, Trade, 259.667, 174, B14, S02, 1
B14, Trade, 299.383, 178, B14, S07, 1
B15, 44
B15, Trade, 6.250, 136, B15, S07, 1
B15, Trade, 10.017, 150, S11, B15, 1
B15, Trade, 17.033, 151, B15, S06, 1
B15, Trade, 23.467, 153, B15, S03, 1
B15, Trade, 29.333, 154, S08, B15, 1
B15, Trade, 34.883, 154, B15, S08, 1
B15, Trade, 45.033, 155, B15, S07, 1
B15, Trade, 49.050, 155, S08, B15, 1
B15, Trade, 53.167, 156, B15, S01, 1
B15, Trade, 60.300, 157, B15, S03, 1
B15, Trade, 68.533, 158, B15, S12, 1
B15, Trade, 75.367, 158, S11, B15, 1
