B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 183.500, 276, B09, S08, 1
B10, 0
B11, 0
B12, 0
B13, 0
B14, 3
B14, Trade, 1.967, 148, B14, S06, 1
B14, Trade, 183.183, 348, B14, S13, 1
B14, Trade, 284.633, 176, B14, S03, 1
B15, 5
B15, Trade, 122.583, 201, S26, B15, 1
B15, Trade, 183.083, 350, B15, S29, 1
B15, Trade, 263.583, 176, B15, S08, 1
B15, Trade, 283.933, 177, B15, S10, 1
B15, Trade, 294.250, 179, B15, S05, 1
B16, 16
B16, Trade, 20.383, 156, B16, S08, 1
B16, Trade, 31.950, 157, B16, S15, 1
B16, Trade, 49.583, 159, B16, S11, 1
B16, Trade, 104.917, 162, B16, S01, 1
B16, Trade, 124.017, 351, S15, B16, 1
B16, Trade, 130.183, 348, B16, S08, 1
B16, Trade, 182.617, 354, B16, S18, 1
B16, Trade, 247.550, 177, B16, S15, 1
B16, Trade, 251.133, 179, S14, B16, 1
B16, Trade, 258.117, 179, B16, S08, 1
B16, Trade, 262.883, 179, B16, S04, 1
B16, Trade, 267.667, 180, B16, S15, 1
B16, Trade, 272.117, 181, B16, S01, 1
B16, Trade, 282.083, 179, B16, S08, 1
B16, Trade, 291.950, 183, B16, S10, 1
B16, Trade, 296.633, 178, B16, S02, 1
B17, 31
B17, Trade, 21.817, 153, S15, B17, 1
B17, Trade, 31.217, 160, B17, S16, 1
B17, Trade, 37.800, 160, B17, S08, 1
B17, Trade, 45.867, 161, B17, S00, 1
B17, Trade, 49.500, 160, B17, S15, 1
B17, Trade, 69.800, 163, B17, S11, 1
B17, Trade, 73.283, 164, B17, S15, 1
B17, Trade, 86.200, 165, B17, S06, 1
B17, Trade, 93.150, 163, B17, S15, 1
B17, Trade, 98.850, 164, B17, S15, 1
B17, Trade, 100.100, 164, B17, S07, 1
B17, Trade, 104.567, 161, B17, S12, 1
B17, Trade, 110.667, 167, B17, S15, 1
B17, Trade, 118.867, 169, B17, S16, 1
B17, Trade, 123.650, 319, S06, B17, 1
B17, Trade, 167.617, 355, B17, S16, 1
B17, Trade, 182.417, 356, B17, S12, 1
B17, Trade, 195.433, 176, B17, S16, 1
B17, Trade, 210.467, 176, B17, S15, 1
B17, Trade, 211.650, 177, B17, S13, 1
B17, Trade, 220.200, 179, B17, S08, 1
B17, Trade, 229.633, 179, B17, S15, 1
B17, Trade, 244.333, 181, B17, S03, 1
B17, Trade, 247.100, 178, B17, S08, 1
B17, Trade, 257.750, 183, B17, S10, 1
B17, Trade, 263.150, 179, B17, S07, 1
B17, Trade, 270.367, 183, B17, S05, 1
B17, Trade, 272.233, 182, S16, B17, 1
B17, Trade, 280.667, 182, S04, B17, 1
B17, Trade, 289.933, 186, B17, S15, 1
B17, Trade, 295.950, 178, B17, S04, 1
B18, 43
B18, Trade, 2.983, 151, S15, B18, 1
B18, Trade, 16.200, 163, B18, S11, 1
B18, Trade, 20.267, 164, B18, S08, 1
B18, Trade, 22.833, 164, S17, B18, 1
B18, Trade, 28.550, 165, B18, S16, 1
B18, Trade, 36.167, 165, B18, S11, 1
