B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 122.217, 169, S01, B06, 1
B07, 0
B08, 1
B08, Trade, 123.033, 182, B08, S17, 1
B09, 0
B10, 2
B10, Trade, 137.450, 334, B10, S09, 1
B10, Trade, 283.767, 162, B10, S05, 1
B11, 5
B11, Trade, 69.267, 142, B11, S06, 1
B11, Trade, 121.017, 169, S03, B11, 1
B11, Trade, 149.617, 336, B11, S05, 1
B11, Trade, 183.150, 336, B11, S21, 1
B11, Trade, 247.817, 160, B11, S09, 1
B12, 17
B12, Trade, 27.350, 144, B12, S09, 1
B12, Trade, 59.050, 147, B12, S05, 1
B12, Trade, 69.000, 148, B12, S05, 1
B12, Trade, 89.283, 150, B12, S05, 1
B12, Trade, 123.833, 317, S05, B12, 1
B12, Trade, 132.750, 341, B12, S05, 1
B12, Trade, 135.317, 337, S03, B12, 1
B12, Trade, 139.200, 341, B12, S05, 1
B12, Trade, 141.267, 340, S10, B12, 1
B12, Trade, 170.033, 341, B12, S05, 1
B12, Trade, 174.600, 341, B12, S04, 1
B12, Trade, 179.767, 341, B12, S01, 1
B12, Trade, 220.400, 163, B12, S05, 1
B12, Trade, 228.800, 164, B12, S05, 1
B12, Trade, 230.167, 164, B12, S06, 1
B12, Trade, 247.450, 165, B12, S06, 1
B12, Trade, 250.517, 166, B12, S05, 1
B13, 24
B13, Trade, 5.550, 144, B13, S01, 1
B13, Trade, 40.383, 148, B13, S10, 1
B13, Trade, 60.600, 147, B13, S09, 1
B13, Trade, 62.700, 150, S12, B13, 1
B13, Trade, 89.050, 152, B13, S07, 1
B13, Trade, 102.583, 154, B13, S05, 1
B13, Trade, 110.950, 155, B13, S05, 1
B13, Trade, 112.683, 155, B13, S09, 1
B13, Trade, 130.583, 331, B13, S05, 1
B13, Trade, 135.800, 337, B13, S10, 1
B13, Trade, 141.733, 340, S01, B13, 1
B13, Trade, 147.267, 343, B13, S09, 1
B13, Trade, 160.483, 344, B13, S09, 1
B13, Trade, 163.600, 344, B13, S09, 1
B13, Trade, 170.450, 339, B13, S07, 1
B13, Trade, 175.217, 343, S01, B13, 1
B13, Trade, 182.933, 340, B13, S25, 1
B13, Trade, 202.300, 164, B13, S09, 1
B13, Trade, 214.983, 165, B13, S05, 1
B13, Trade, 220.017, 164, B13, S06, 1
B13, Trade, 227.917, 165, B13, S09, 1
B13, Trade, 250.183, 168, B13, S07, 1
B13, Trade, 266.333, 170, B13, S09, 1
B13, Trade, 288.917, 172, B13, S09, 1
B14, 6
B14, Trade, 250.100, 171, S10, B14, 1
B14, Trade, 266.150, 174, B14, S05, 1
B14, Trade, 274.783, 171, S08, B14, 1
B14, Trade, 282.300, 176, B14, S09, 1
B14, Trade, 287.833, 176, B14, S07, 1
B14, Trade, 297.250, 177, B14, S00, 1
B15, 4
B15, Trade, 104.650, 156, S04, B15, 1
B15, Trade, 132.033, 344, S10, B15, 1
B15, Trade, 183.333, 216, B15, S06, 1
B15, Trade, 229.117, 167, S03, B15, 1
B16, 3
B16, Trade, 10.433, 149, B16, S10, 1
B16, Trade, 92.917, 156, B16, S09, 1
B16, Trade, 182.300, 345, S03, B16, 1
B17, 10
B17, Trade, 16.717, 147, S01, B17, 1
B17, Trade, 36.917, 153, S12, B17, 1
B17, Trade, 60.850, 148, S10, B17, 1
B17, Trade, 68.217, 160, B17, S09, 1
B17, Trade, 77.550, 161, S03, B17, 1
B17, Trade, 150.500, 349, S12, B17, 1
B17, Trade, 170.700, 345, S03, B17, 1
B17, Trade, 229.583, 172, B17, S01, 1
B17, Trade, 238.600, 171, S03, B17, 1
B17, Trade, 266.533, 173, S04, B17, 1
B18, 55
B18, Trade, 5.417, 162, B18, S03, 1
B18, Trade, 10.350, 150, S02, B18, 1
B18, Trade, 15.400, 147, S10, B18, 1
B18, Trade, 20.117, 151, S01, B18, 1
B18, Trade, 21.083, 157, S16, B18, 1
B18, Trade, 30.183, 158, S10, B18, 1
B18, Trade, 30.650, 158, S03, B18, 1
B18, Trade, 41.333, 150, S03, B18, 1
B18, Trade, 43.533, 166, S16, B18, 1
B18, Trade, 47.867, 154, S03, B18, 1
B18, Trade, 52.783, 151, S02, B18, 1
B18, Trade, 58.367, 161, S16, B18, 1
B18, Trade, 65.267, 168, B18, S04, 1
B18, Trade, 69.533, 169, B18, S01, 1
B18, Trade, 73.517, 167, S04, B18, 1
B18, Trade, 78.833, 161, S01, B18, 1
B18, Trade, 83.767, 167, S04, B18, 1
B18, Trade, 92.550, 158, S01, B18, 1
B18, Trade, 100.350, 159, S04, B18, 1
B18, Trade, 110.317, 173, B18, S07, 1
B18, Trade, 116.583, 170, S10, B18, 1
B18, Trade, 118.017, 174, B18, S02, 1
B18, Trade, 123.233, 183, S06, B18, 1
B18, Trade, 130.200, 355, S16, B18, 1
B18, Trade, 134.100, 341, S02, B18, 1
B18, Trade, 141.233, 340, S04, B18, 1
B18, Trade, 145.400, 350, S12, B18, 1
B18, Trade, 149.850, 354, S04, B18, 1
B18, Trade, 153.017, 349, S01, B18, 1
B18, Trade, 166.350, 345, S03, B18, 1
B18, Trade, 166.750, 346, S04, B18, 1
B18, Trade, 174.133, 343, S10, B18, 1
B18, Trade, 177.067, 340, S03, B18, 1
B18, Trade, 188.233, 181, B18, S09, 1
B18, Trade, 189.483, 170, S04, B18, 1
B18, Trade, 195.150, 170, S04, B18, 1
B18, Trade, 204.167, 182, B18, S05, 1
B18, Trade, 207.650, 178, S10, B18, 1
B18, Trade, 212.983, 180, S10, B18, 1
B18, Trade, 220.317, 170, S03, B18, 1
B18, Trade, 222.550, 171, S01, B18, 1
B18, Trade, 231.617, 168, S10, B18, 1
B18, Trade, 233.083, 169, S01, B18, 1
B18, Trade, 239.750, 173, S01, B18, 1
B18, Trade, 241.467, 178, S02, B18, 1
B18, Trade, 251.167, 172, S12, B18, 1
B18, Trade, 255.867, 179, S01, B18, 1
B18, Trade, 260.900, 182, S12, B18, 1
B18, Trade, 269.050, 189, B18, S10, 1
B18, Trade, 273.317, 182, S04, B18, 1
B18, Trade, 280.300, 185, S10, B18, 1
B18, Trade, 286.283, 182, S02, B18, 1
B18, Trade, 288.300, 191, B18, S10, 1
B18, Trade, 296.483, 191, B18, S08, 1
