B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 183.133, 313, B04, S23, 1
B05, 4
B05, Trade, 0.800, 117, B05, S05, 1
B05, Trade, 122.217, 187, S22, B05, 1
B05, Trade, 131.383, 317, B05, S03, 1
B05, Trade, 182.217, 317, B05, S17, 1
B06, 0
B07, 0
B08, 2
B08, Trade, 30.150, 130, B08, S00, 1
B08, Trade, 130.750, 327, B08, S05, 1
B09, 0
B10, 6
B10, Trade, 30.833, 132, B10, S01, 1
B10, Trade, 47.883, 136, B10, S05, 1
B10, Trade, 125.600, 327, S08, B10, 1
B10, Trade, 132.317, 325, B10, S05, 1
B10, Trade, 181.667, 333, B10, S04, 1
B10, Trade, 295.500, 162, B10, S08, 1
B11, 4
B11, Trade, 122.483, 191, S23, B11, 1
B11, Trade, 132.017, 327, S08, B11, 1
B11, Trade, 184.583, 317, B11, S08, 1
B11, Trade, 295.317, 163, B11, S05, 1
B12, 1
B12, Trade, 273.950, 168, B12, S05, 1
B13, 13
B13, Trade, 5.433, 144, B13, S00, 1
B13, Trade, 14.667, 145, B13, S05, 1
B13, Trade, 29.617, 147, B13, S05, 1
B13, Trade, 64.950, 150, B13, S01, 1
B13, Trade, 96.700, 153, B13, S01, 1
B13, Trade, 108.767, 154, B13, S05, 1
B13, Trade, 130.683, 344, B13, S04, 1
B13, Trade, 154.967, 344, B13, S08, 1
B13, Trade, 162.583, 344, B13, S00, 1
B13, Trade, 168.117, 344, B13, S06, 1
B13, Trade, 179.567, 344, B13, S00, 1
B13, Trade, 231.867, 167, B13, S08, 1
B13, Trade, 238.983, 167, B13, S08, 1
B14, 4
B14, Trade, 247.367, 172, B14, S08, 1
B14, Trade, 267.717, 174, B14, S05, 1
B14, Trade, 273.567, 174, S07, B14, 1
B14, Trade, 299.767, 177, B14, S06, 1
B15, 28
B15, Trade, 27.083, 152, B15, S06, 1
B15, Trade, 46.067, 154, B15, S10, 1
B15, Trade, 57.317, 155, B15, S08, 1
B15, Trade, 57.733, 156, B15, S01, 1
B15, Trade, 69.567, 157, B15, S05, 1
B15, Trade, 83.717, 157, B15, S03, 1
B15, Trade, 96.567, 159, B15, S00, 1
B15, Trade, 106.817, 160, B15, S02, 1
B15, Trade, 109.933, 157, B15, S08, 1
B15, Trade, 124.900, 327, S07, B15, 1
B15, Trade, 128.167, 344, B15, S00, 1
B15, Trade, 142.583, 348, B15, S05, 1
B15, Trade, 148.867, 349, B15, S01, 1
B15, Trade, 155.267, 331, S03, B15, 1
B15, Trade, 161.383, 349, B15, S05, 1
B15, Trade, 180.317, 347, B15, S06, 1
B15, Trade, 206.733, 170, B15, S08, 1
B15, Trade, 212.483, 171, B15, S05, 1
B15, Trade, 222.667, 171, B15, S00, 1
B15, Trade, 238.883, 174, B15, S00, 1
B15, Trade, 245.783, 175, B15, S03, 1
B15, Trade, 248.317, 170, B15, S05, 1
B15, Trade, 261.317, 176, B15, S01, 1
B15, Trade, 267.000, 175, B15, S01, 1
B15, Trade, 273.900, 172, B15, S00, 1
B15, Trade, 282.650, 178, B15, S06, 1
B15, Trade, 288.717, 179, B15, S09, 1
B15, Trade, 295.283, 179, B15, S01, 1
B16, 42
B16, Trade, 10.717, 154, B16, S08, 1
B16, Trade, 15.300, 147, B16, S00, 1
B16, Trade, 24.433, 156, B16, S10, 1
B16, Trade, 28.867, 155, B16, S08, 1
B16, Trade, 31.767, 150, B16, S00, 1
B16, Trade, 43.900, 158, B16, S06, 1
B16, Trade, 56.217, 158, B16, S13, 1
B16, Trade, 63.750, 160, B16, S10, 1
B16, Trade, 71.233, 156, B16, S05, 1
B16, Trade, 77.617, 161, B16, S06, 1
B16, Trade, 81.650, 161, B16, S08, 1
B16, Trade, 85.217, 162, B16, S15, 1
B16, Trade, 93.683, 163, B16, S00, 1
B16, Trade, 102.633, 162, B16, S06, 1
B16, Trade, 114.650, 161, B16, S03, 1
B16, Trade, 122.683, 198, S25, B16, 1
B16, Trade, 130.567, 346, S06, B16, 1
B16, Trade, 139.600, 350, B16, S10, 1
B16, Trade, 142.600, 345, B16, S00, 1
B16, Trade, 146.000, 349, B16, S08, 1
B16, Trade, 152.817, 350, B16, S05, 1
B16, Trade, 160.600, 354, B16, S08, 1
B16, Trade, 167.467, 347, B16, S03, 1
B16, Trade, 172.833, 352, B16, S03, 1
B16, Trade, 177.633, 354, B16, S08, 1
B16, Trade, 193.617, 173, B16, S05, 1
B16, Trade, 203.067, 172, S14, B16, 1
B16, Trade, 210.283, 171, B16, S01, 1
B16, Trade, 213.467, 171, B16, S00, 1
B16, Trade, 220.900, 175, B16, S05, 1
B16, Trade, 225.250, 170, B16, S05, 1
B16, Trade, 236.467, 174, B16, S13, 1
B16, Trade, 246.250, 173, B16, S05, 1
B16, Trade, 256.550, 179, B16, S09, 1
B16, Trade, 264.267, 178, B16, S14, 1
B16, Trade, 265.667, 177, B16, S05, 1
B16, Trade, 267.183, 175, B16, S00, 1
B16, Trade, 279.833, 177, B16, S05, 1
B16, Trade, 282.717, 177, B16, S09, 1
B16, Trade, 288.300, 181, B16, S08, 1
B16, Trade, 294.483, 182, B16, S13, 1
B16, Trade, 299.100, 182, B16, S03, 1
B17, 10
B17, Trade, 21.933, 160, B17, S16, 1
B17, Trade, 26.483, 160, B17, S16, 1
B17, Trade, 75.833, 163, B17, S01, 1
B17, Trade, 82.783, 159, B17, S13, 1
B17, Trade, 123.400, 201, S24, B17, 1
B17, Trade, 155.467, 342, S07, B17, 1
B17, Trade, 169.867, 347, S01, B17, 1
B17, Trade, 208.867, 170, B17, S08, 1
B17, Trade, 214.850, 171, B17, S06, 1
B17, Trade, 284.983, 182, B17, S08, 1
B18, 3
B18, Trade, 55.883, 162, B18, S07, 1
B18, Trade, 65.417, 144, B18, S00, 1
