B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 1.667, 106, S02, B07, 1
B08, 0
B09, 0
B10, 1
B10, Trade, 175.967, 133, B10, S06, 1
B11, 0
B12, 8
B12, Trade, 1.417, 100, S00, B12, 1
B12, Trade, 11.950, 141, B12, S00, 1
B12, Trade, 140.533, 141, B12, S04, 1
B12, Trade, 154.650, 141, B12, S04, 1
B12, Trade, 175.700, 141, B12, S00, 1
B12, Trade, 181.283, 141, B12, S01, 1
B12, Trade, 278.567, 141, B12, S04, 1
B12, Trade, 289.150, 141, B12, S06, 1
B13, 14
B13, Trade, 4.083, 144, B13, S13, 1
B13, Trade, 9.767, 144, B13, S04, 1
B13, Trade, 49.733, 144, B13, S06, 1
B13, Trade, 95.950, 144, B13, S00, 1
B13, Trade, 136.150, 144, B13, S03, 1
B13, Trade, 144.333, 144, B13, S00, 1
B13, Trade, 152.733, 144, B13, S00, 1
B13, Trade, 164.350, 144, B13, S04, 1
B13, Trade, 175.600, 144, B13, S10, 1
B13, Trade, 177.483, 116, B13, S00, 1
B13, Trade, 234.250, 144, B13, S06, 1
B13, Trade, 272.750, 144, B13, S03, 1
B13, Trade, 274.600, 143, B13, S06, 1
B13, Trade, 298.267, 144, B13, S11, 1
B14, 28
B14, Trade, 13.133, 140, B14, S06, 1
B14, Trade, 18.083, 145, B14, S13, 1
B14, Trade, 30.483, 146, B14, S06, 1
B14, Trade, 34.817, 147, B14, S13, 1
B14, Trade, 44.950, 146, B14, S02, 1
B14, Trade, 52.283, 145, B14, S00, 1
B14, Trade, 58.867, 146, B14, S00, 1
B14, Trade, 66.233, 145, B14, S06, 1
B14, Trade, 82.317, 146, B14, S12, 1
B14, Trade, 85.100, 147, B14, S04, 1
B14, Trade, 112.867, 147, B14, S06, 1
B14, Trade, 116.450, 145, B14, S06, 1
B14, Trade, 132.300, 147, B14, S13, 1
B14, Trade, 139.833, 143, B14, S00, 1
B14, Trade, 152.683, 146, S05, B14, 1
B14, Trade, 177.183, 138, B14, S04, 1
B14, Trade, 183.950, 141, B14, S06, 1
B14, Trade, 188.617, 147, B14, S00, 1
B14, Trade, 207.050, 146, B14, S06, 1
B14, Trade, 212.483, 147, B14, S00, 1
B14, Trade, 238.233, 146, B14, S13, 1
B14, Trade, 245.600, 147, B14, S04, 1
B14, Trade, 250.167, 146, B14, S05, 1
B14, Trade, 261.383, 147, B14, S04, 1
B14, Trade, 271.050, 147, B14, S04, 1
B14, Trade, 281.850, 143, B14, S07, 1
B14, Trade, 289.067, 147, B14, S11, 1
B14, Trade, 298.150, 147, B14, S07, 1
B15, 54
B15, Trade, 2.933, 142, B15, S01, 1
B15, Trade, 9.200, 145, S12, B15, 1
B15, Trade, 17.233, 145, B15, S00, 1
B15, Trade, 19.700, 147, B15, S05, 1
B15, Trade, 25.033, 151, B15, S06, 1
B15, Trade, 30.200, 149, S05, B15, 1
B15, Trade, 32.350, 147, B15, S03, 1
B15, Trade, 40.183, 151, B15, S00, 1
B15, Trade, 45.350, 151, S09, B15, 1
B15, Trade, 51.233, 145, B15, S08, 1
B15, Trade, 56.200, 148, S01, B15, 1
B15, Trade, 60.333, 146, B15, S04, 1
B15, Trade, 61.833, 148, S12, B15, 1
B15, Trade, 67.133, 150, B15, S04, 1
B15, Trade, 75.200, 151, B15, S10, 1
B15, Trade, 79.650, 150, B15, S02, 1
B15, Trade, 82.250, 148, S13, B15, 1
B15, Trade, 88.767, 149, B15, S10, 1
B15, Trade, 92.783, 149, S13, B15, 1
B15, Trade, 98.700, 145, B15, S06, 1
B15, Trade, 104.050, 149, S09, B15, 1
B15, Trade, 111.383, 151, B15, S00, 1
B15, Trade, 112.783, 151, B15, S15, 1
B15, Trade, 120.550, 147, B15, S02, 1
B15, Trade, 124.433, 149, B15, S06, 1
B15, Trade, 129.917, 151, S15, B15, 1
B15, Trade, 135.667, 147, S01, B15, 1
B15, Trade, 139.683, 148, B15, S02, 1
B15, Trade, 143.183, 145, B15, S06, 1
B15, Trade, 150.567, 146, B15, S03, 1
B15, Trade, 156.617, 148, B15, S00, 1
B15, Trade, 162.000, 151, B15, S04, 1
B15, Trade, 167.917, 147, B15, S03, 1
B15, Trade, 174.283, 147, S01, B15, 1
B15, Trade, 188.267, 151, B15, S15, 1
B15, Trade, 195.117, 151, S15, B15, 1
B15, Trade, 201.467, 151, B15, S03, 1
B15, Trade, 204.950, 149, B15, S06, 1
B15, Trade, 210.017, 148, B15, S00, 1
B15, Trade, 216.283, 146, B15, S04, 1
B15, Trade, 218.700, 148, S02, B15, 1
B15, Trade, 225.400, 146, B15, S00, 1
B15, Trade, 230.383, 146, S13, B15, 1
B15, Trade, 236.067, 147, B15, S12, 1
B15, Trade, 240.483, 147, B15, S04, 1
B15, Trade, 242.583, 148, S02, B15, 1
B15, Trade, 253.150, 147, B15, S02, 1
B15, Trade, 255.517, 147, B15, S00, 1
B15, Trade, 257.817, 150, S13, B15, 1
B15, Trade, 268.067, 151, S13, B15, 1
B15, Trade, 273.250, 142, B15, S00, 1
B15, Trade, 280.517, 143, B15, S04, 1
B15, Trade, 285.833, 150, B15, S06, 1
B15, Trade, 296.167, 149, B15, S00, 1
B16, 12
B16, Trade, 242.100, 148, B16, S07, 1
B16, Trade, 246.083, 150, S09, B16, 1
B16, Trade, 247.817, 154, B16, S02, 1
B16, Trade, 255.950, 152, B16, S09, 1
B16, Trade, 261.067, 151, S02, B16, 1
B16, Trade, 264.150, 149, S12, B16, 1
B16, Trade, 269.367, 152, S01, B16, 1
B16, Trade, 276.733, 144, S09, B16, 1
B16, Trade, 280.850, 145, S01, B16, 1
B16, Trade, 284.650, 152, S14, B16, 1
B16, Trade, 290.750, 151, S15, B16, 1
B16, Trade, 293.367, 152, S02, B16, 1
B17, 2
B17, Trade, 12.600, 139, B17, S00, 1
B17, Trade, 15.600, 148, S01, B17, 1
B18, 41
B18, Trade, 21.550, 146, B18, S04, 1
B18, Trade, 27.483, 148, B18, S00, 1
B18, Trade, 42.833, 160, B18, S13, 1
B18, Trade, 45.567, 150, B18, S13, 1
B18, Trade, 49.133, 151, B18, S00, 1
B18, Trade, 54.600, 144, B18, S10, 1
B18, Trade, 62.683, 148, B18, S01, 1
B18, Trade, 67.250, 149, B18, S00, 1
B18, Trade, 75.483, 149, B18, S04, 1
B18, Trade, 77.867, 149, B18, S06, 1
B18, Trade, 84.383, 147, B18, S03, 1
B18, Trade, 90.683, 148, B18, S06, 1
B18, Trade, 95.000, 147, B18, S06, 1
B18, Trade, 101.333, 148, B18, S06, 1
B18, Trade, 105.617, 148, B18, S00, 1
B18, Trade, 111.183, 151, S09, B18, 1
B18, Trade, 118.617, 146, B18, S00, 1
B18, Trade, 124.450, 148, B18, S03, 1
B18, Trade, 131.917, 149, B18, S00, 1
B18, Trade, 137.617, 144, B18, S06, 1
B18, Trade, 144.367, 144, B18, S03, 1
B18, Trade, 148.767, 145, B18, S10, 1
B18, Trade, 166.633, 147, B18, S04, 1
B18, Trade, 171.617, 147, B18, S05, 1
B18, Trade, 182.783, 142, B18, S09, 1
B18, Trade, 191.583, 158, B18, S04, 1
B18, Trade, 193.167, 158, B18, S00, 1
B18, Trade, 198.400, 151, B18, S04, 1
B18, Trade, 204.050, 149, S01, B18, 1
B18, Trade, 210.600, 149, B18, S05, 1
B18, Trade, 215.417, 146, B18, S03, 1
B18, Trade, 221.133, 144, B18, S04, 1
B18, Trade, 225.800, 145, B18, S04, 1
B18, Trade, 236.333, 144, B18, S04, 1
B18, Trade, 237.983, 146, B18, S00, 1
B18, Trade, 249.983, 147, B18, S06, 1
B18, Trade, 259.083, 149, B18, S11, 1
B18, Trade, 270.200, 148, B18, S08, 1
B18, Trade, 272.567, 146, S02, B18, 1
B18, Trade, 288.600, 147, B18, S07, 1
B18, Trade, 297.117, 148, B18, S04, 1
B19, 57
B19, Trade, 5.083, 159, S08, B19, 1
B19, Trade, 7.950, 146, S09, B19, 1
B19, Trade, 17.183, 149, S09, B19, 1
B19, Trade, 19.950, 151, S15, B19, 1
B19, Trade, 22.300, 149, S01, B19, 1
B19, Trade, 28.650, 152, S13, B19, 1
B19, Trade, 34.700, 149, S05, B19, 1
B19, Trade, 38.300, 151, S15, B19, 1
B19, Trade, 45.600, 152, S01, B19, 1
B19, Trade, 46.483, 148, S05, B19, 1
B19, Trade, 57.233, 150, S12, B19, 1
B19, Trade, 62.033, 148, S05, B19, 1
B19, Trade, 67.667, 155, S01, B19, 1
B19, Trade, 71.333, 150, S12, B19, 1
B19, Trade, 82.283, 148, S01, B19, 1
B19, Trade, 84.450, 149, S13, B19, 1
B19, Trade, 89.250, 151, S15, B19, 1
B19, Trade, 93.317, 149, S12, B19, 1
B19, Trade, 100.083, 150, S01, B19, 1
B19, Trade, 106.017, 151, S12, B19, 1
B19, Trade, 111.683, 157, S02, B19, 1
B19, Trade, 113.467, 154, S09, B19, 1
B19, Trade, 117.700, 147, S05, B19, 1
B19, Trade, 124.367, 154, S02, B19, 1
B19, Trade, 128.000, 151, S01, B19, 1
B19, Trade, 136.100, 147, S09, B19, 1
B19, Trade, 141.433, 149, S05, B19, 1
B19, Trade, 142.083, 150, S01, B19, 1
B19, Trade, 147.750, 149, S09, B19, 1
B19, Trade, 155.533, 148, S12, B19, 1
B19, Trade, 158.067, 155, S14, B19, 1
B19, Trade, 163.950, 152, S09, B19, 1
B19, Trade, 171.033, 149, S05, B19, 1
B19, Trade, 172.000, 148, S12, B19, 1
B19, Trade, 180.633, 139, S09, B19, 1
B19, Trade, 186.117, 151, S15, B19, 1
B19, Trade, 188.650, 158, S17, B19, 1
B19, Trade, 193.800, 160, S09, B19, 1
B19, Trade, 197.600, 154, S02, B19, 1
B19, Trade, 205.783, 151, S15, B19, 1
B19, Trade, 208.233, 158, S17, B19, 1
B19, Trade, 217.250, 148, S13, B19, 1
B19, Trade, 220.750, 148, S12, B19, 1
B19, Trade, 225.550, 150, S12, B19, 1
B19, Trade, 230.783, 148, S09, B19, 1
B19, Trade, 233.500, 145, S02, B19, 1
B19, Trade, 240.017, 148, S05, B19, 1
B19, Trade, 244.583, 150, S02, B19, 1
B19, Trade, 252.450, 147, S10, B19, 1
B19, Trade, 263.183, 147, S13, B19, 1
B19, Trade, 264.300, 155, S16, B19, 1
B19, Trade, 267.667, 151, S15, B19, 1
B19, Trade, 276.450, 144, S02, B19, 1
B19, Trade, 281.550, 146, S09, B19, 1
B19, Trade, 282.333, 154, S08, B19, 1
B19, Trade, 289.100, 148, S01, B19, 1
B19, Trade, 296.483, 159, S10, B19, 1
B20, 54
B20, Trade, 2.550, 113, S04, B20, 1
B20, Trade, 9.650, 146, B20, S13, 1
B20, Trade, 13.417, 147, S13, B20, 1
B20, Trade, 22.400, 149, S12, B20, 1
B20, Trade, 26.367, 152, S05, B20, 1
B20, Trade, 33.400, 150, S09, B20, 1
B20, Trade, 37.033, 150, S09, B20, 1
B20, Trade, 44.883, 148, S05, B20, 1
B20, Trade, 50.367, 150, S02, B20, 1
B20, Trade, 54.683, 146, S02, B20, 1
B20, Trade, 57.783, 151, S15, B20, 1
B20, Trade, 61.667, 147, S05, B20, 1
B20, Trade, 72.100, 150, S02, B20, 1
B20, Trade, 73.533, 157, S13, B20, 1
B20, Trade, 83.117, 149, S02, B20, 1
B20, Trade, 84.100, 148, B20, S06, 1
B20, Trade, 90.717, 150, S01, B20, 1
B20, Trade, 94.550, 149, S05, B20, 1
B20, Trade, 100.717, 157, S13, B20, 1
B20, Trade, 107.317, 150, B20, S13, 1
B20, Trade, 111.850, 154, S12, B20, 1
B20, Trade, 116.083, 148, S02, B20, 1
B20, Trade, 122.200, 148, S09, B20, 1
B20, Trade, 124.300, 153, B20, S09, 1
B20, Trade, 127.633, 151, S12, B20, 1
B20, Trade, 133.233, 147, S02, B20, 1
B20, Trade, 137.733, 149, S12, B20, 1
B20, Trade, 144.717, 150, S01, B20, 1
B20, Trade, 151.567, 147, S02, B20, 1
B20, Trade, 155.450, 147, S13, B20, 1
B20, Trade, 162.183, 151, B20, S05, 1
B20, Trade, 168.483, 151, S15, B20, 1
B20, Trade, 177.583, 145, S12, B20, 1
B20, Trade, 180.617, 138, S02, B20, 1
B20, Trade, 184.417, 150, S13, B20, 1
B20, Trade, 189.400, 162, B20, S09, 1
B20, Trade, 199.167, 151, B20, S06, 1
B20, Trade, 206.600, 151, S12, B20, 1
B20, Trade, 210.883, 150, S09, B20, 1
B20, Trade, 213.883, 147, S05, B20, 1
B20, Trade, 221.317, 150, S09, B20, 1
B20, Trade, 226.117, 150, S09, B20, 1
B20, Trade, 233.017, 147, S12, B20, 1
B20, Trade, 240.883, 147, S11, B20, 1
B20, Trade, 245.367, 151, S15, B20, 1
B20, Trade, 250.767, 147, S13, B20, 1
B20, Trade, 255.467, 152, S07, B20, 1
B20, Trade, 259.433, 151, S15, B20, 1
B20, Trade, 263.433, 149, S09, B20, 1
B20, Trade, 268.850, 150, B20, S07, 1
B20, Trade, 274.217, 152, S13, B20, 1
B20, Trade, 277.883, 143, S05, B20, 1
B20, Trade, 290.133, 147, S09, B20, 1
B20, Trade, 295.617, 150, S12, B20, 1
B21, 10
B21, Trade, 33.767, 149, B21, S04, 1
B21, Trade, 76.517, 150, B21, S04, 1
B21, Trade, 86.250, 147, B21, S00, 1
B21, Trade, 115.717, 147, B21, S13, 1
B21, Trade, 147.100, 146, S05, B21, 1
B21, Trade, 153.850, 148, S09, B21, 1
B21, Trade, 177.167, 149, S14, B21, 1
B21, Trade, 212.950, 150, S13, B21, 1
B21, Trade, 233.000, 145, B21, S05, 1
B21, Trade, 279.383, 143, B21, S06, 1
B22, 11
B22, Trade, 241.350, 147, B22, S06, 1
B22, Trade, 247.217, 150, S11, B22, 1
B22, Trade, 253.467, 148, S09, B22, 1
B22, Trade, 258.350, 153, S01, B22, 1
B22, Trade, 261.617, 150, S05, B22, 1
B22, Trade, 268.550, 151, S09, B22, 1
B22, Trade, 273.667, 151, S15, B22, 1
B22, Trade, 282.033, 151, S15, B22, 1
B22, Trade, 284.050, 148, S12, B22, 1
B22, Trade, 290.950, 158, S17, B22, 1
B22, Trade, 297.050, 154, S05, B22, 1
B23, 56
B23, Trade, 4.633, 143, B23, S06, 1
B23, Trade, 9.150, 145, S02, B23, 1
B23, Trade, 15.500, 146, B23, S12, 1
B23, Trade, 19.783, 147, B23, S04, 1
B23, Trade, 24.233, 155, S02, B23, 1
B23, Trade, 32.283, 148, B23, S02, 1
B23, Trade, 36.150, 148, S01, B23, 1
B23, Trade, 41.450, 161, S17, B23, 1
B23, Trade, 44.850, 147, B23, S06, 1
B23, Trade, 49.383, 151, B23, S03, 1
B23, Trade, 53.933, 145, B23, S04, 1
B23, Trade, 57.400, 148, B23, S06, 1
B23, Trade, 62.600, 149, S09, B23, 1
B23, Trade, 66.850, 151, B23, S03, 1
B23, Trade, 74.217, 152, B23, S06, 1
B23, Trade, 79.367, 151, S15, B23, 1
B23, Trade, 82.833, 147, B23, S09, 1
B23, Trade, 91.717, 148, B23, S02, 1
B23, Trade, 101.850, 149, B23, S04, 1
B23, Trade, 104.950, 150, S01, B23, 1
B23, Trade, 108.983, 148, B23, S06, 1
B23, Trade, 112.983, 145, B23, S04, 1
B23, Trade, 117.300, 146, S05, B23, 1
B23, Trade, 122.350, 148, S01, B23, 1
B23, Trade, 130.967, 149, B23, S04, 1
B23, Trade, 132.000, 149, B23, S05, 1
B23, Trade, 137.517, 147, B23, S08, 1
B23, Trade, 144.267, 145, B23, S06, 1
B23, Trade, 147.250, 146, S12, B23, 1
B23, Trade, 159.167, 153, S09, B23, 1
B23, Trade, 161.133, 154, B23, S15, 1
B23, Trade, 165.317, 146, B23, S08, 1
B23, Trade, 169.717, 147, B23, S06, 1
B23, Trade, 174.083, 147, S09, B23, 1
B23, Trade, 179.017, 135, B23, S04, 1
B23, Trade, 187.683, 150, B23, S00, 1
B23, Trade, 190.633, 165, B23, S03, 1
B23, Trade, 194.433, 147, B23, S04, 1
B23, Trade, 197.950, 155, S13, B23, 1
B23, Trade, 203.467, 148, S02, B23, 1
B23, Trade, 208.100, 147, B23, S10, 1
B23, Trade, 214.133, 146, B23, S12, 1
B23, Trade, 220.333, 148, B23, S13, 1
B23, Trade, 223.700, 147, B23, S06, 1
B23, Trade, 230.450, 145, B23, S04, 1
B23, Trade, 238.483, 145, S12, B23, 1
B23, Trade, 241.000, 146, B23, S00, 1
B23, Trade, 242.967, 147, B23, S00, 1
B23, Trade, 249.167, 149, B23, S00, 1
B23, Trade, 257.833, 149, B23, S00, 1
B23, Trade, 260.550, 148, B23, S06, 1
B23, Trade, 266.833, 150, B23, S03, 1
B23, Trade, 274.900, 142, B23, S03, 1
