B00, 0
B01, 1
B01, Trade, 2.167, 103, B01, S01, 1
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 44.083, 119, B06, S04, 1
B07, 0
B08, 7
B08, Trade, 53.700, 126, B08, S01, 1
B08, Trade, 72.500, 126, B08, S04, 1
B08, Trade, 116.933, 126, B08, S03, 1
B08, Trade, 122.950, 126, B08, S04, 1
B08, Trade, 155.767, 126, B08, S04, 1
B08, Trade, 195.950, 126, B08, S03, 1
B08, Trade, 293.500, 126, B08, S02, 1
B09, 3
B09, Trade, 256.833, 131, B09, S04, 1
B09, Trade, 293.467, 127, S08, B09, 1
B09, Trade, 298.983, 131, B09, S08, 1
B10, 0
B11, 1
B11, Trade, 296.083, 131, S09, B11, 1
B12, 30
B12, Trade, 25.883, 140, B12, S00, 1
B12, Trade, 32.783, 139, B12, S03, 1
B12, Trade, 35.383, 134, S10, B12, 1
B12, Trade, 39.450, 138, B12, S04, 1
B12, Trade, 48.733, 138, B12, S04, 1
B12, Trade, 51.767, 138, B12, S04, 1
B12, Trade, 67.367, 140, B12, S04, 1
B12, Trade, 80.200, 136, B12, S10, 1
B12, Trade, 102.000, 140, B12, S04, 1
B12, Trade, 115.967, 137, B12, S10, 1
B12, Trade, 128.650, 139, B12, S01, 1
B12, Trade, 133.917, 137, B12, S00, 1
B12, Trade, 150.717, 140, B12, S04, 1
B12, Trade, 155.000, 139, B12, S10, 1
B12, Trade, 157.300, 138, B12, S10, 1
B12, Trade, 169.633, 140, B12, S10, 1
B12, Trade, 190.300, 132, B12, S04, 1
B12, Trade, 196.783, 131, B12, S01, 1
B12, Trade, 211.783, 140, B12, S04, 1
B12, Trade, 224.317, 140, B12, S04, 1
B12, Trade, 226.050, 139, B12, S03, 1
B12, Trade, 233.700, 133, B12, S04, 1
B12, Trade, 242.767, 137, S11, B12, 1
B12, Trade, 256.317, 138, B12, S06, 1
B12, Trade, 259.533, 140, B12, S10, 1
B12, Trade, 267.767, 140, B12, S06, 1
B12, Trade, 277.950, 137, B12, S01, 1
B12, Trade, 288.900, 140, B12, S03, 1
B12, Trade, 295.517, 133, B12, S06, 1
B12, Trade, 298.183, 136, B12, S04, 1
B13, 9
B13, Trade, 240.600, 138, B13, S10, 1
B13, Trade, 255.317, 144, B13, S04, 1
B13, Trade, 263.550, 140, B13, S09, 1
B13, Trade, 269.300, 144, B13, S12, 1
B13, Trade, 277.483, 144, B13, S12, 1
B13, Trade, 280.533, 144, B13, S01, 1
B13, Trade, 284.350, 144, B13, S10, 1
B13, Trade, 290.467, 144, B13, S08, 1
B13, Trade, 295.500, 144, B13, S10, 1
B14, 8
B14, Trade, 19.850, 144, B14, S04, 1
B14, Trade, 37.783, 134, B14, S10, 1
B14, Trade, 78.500, 148, S14, B14, 1
B14, Trade, 80.883, 141, S12, B14, 1
B14, Trade, 91.800, 147, B14, S10, 1
B14, Trade, 196.967, 134, S10, B14, 1
B14, Trade, 212.417, 143, B14, S06, 1
B14, Trade, 242.250, 139, S00, B14, 1
B15, 9
B15, Trade, 240.383, 140, B15, S00, 1
B15, Trade, 245.100, 151, B15, S02, 1
B15, Trade, 251.917, 151, B15, S08, 1
B15, Trade, 258.733, 151, B15, S12, 1
B15, Trade, 269.117, 151, B15, S05, 1
B15, Trade, 274.467, 148, S14, B15, 1
B15, Trade, 279.800, 151, B15, S04, 1
B15, Trade, 288.600, 143, B15, S10, 1
B15, Trade, 293.533, 141, S12, B15, 1
B16, 43
