B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 2
B08, Trade, 78.417, 127, S08, B08, 1
B08, Trade, 84.633, 127, B08, S06, 1
B09, 0
B10, 2
B10, Trade, 6.400, 132, B10, S06, 1
B10, Trade, 118.150, 132, B10, S06, 1
B11, 13
B11, Trade, 6.267, 135, B11, S05, 1
B11, Trade, 22.383, 136, B11, S06, 1
B11, Trade, 41.717, 136, B11, S10, 1
B11, Trade, 50.467, 136, B11, S06, 1
B11, Trade, 62.217, 136, B11, S10, 1
B11, Trade, 70.733, 136, B11, S03, 1
B11, Trade, 78.400, 126, S01, B11, 1
B11, Trade, 115.400, 136, B11, S06, 1
B11, Trade, 117.817, 134, B11, S10, 1
B11, Trade, 169.850, 136, B11, S06, 1
B11, Trade, 192.683, 136, B11, S08, 1
B11, Trade, 213.983, 136, B11, S10, 1
B11, Trade, 260.300, 136, B11, S06, 1
B12, 0
B13, 29
B13, Trade, 8.583, 131, B13, S04, 1
B13, Trade, 15.133, 144, B13, S10, 1
B13, Trade, 25.067, 144, B13, S10, 1
B13, Trade, 27.533, 138, B13, S06, 1
B13, Trade, 40.317, 137, B13, S10, 1
B13, Trade, 56.117, 136, B13, S10, 1
B13, Trade, 74.450, 144, B13, S05, 1
B13, Trade, 81.800, 144, B13, S03, 1
B13, Trade, 104.167, 144, B13, S12, 1
B13, Trade, 116.383, 133, B13, S08, 1
B13, Trade, 129.600, 139, B13, S06, 1
B13, Trade, 132.500, 137, B13, S08, 1
B13, Trade, 141.983, 144, B13, S12, 1
B13, Trade, 148.517, 144, B13, S12, 1
B13, Trade, 155.367, 144, B13, S10, 1
B13, Trade, 179.750, 134, B13, S08, 1
B13, Trade, 188.033, 144, B13, S03, 1
B13, Trade, 191.450, 137, B13, S06, 1
B13, Trade, 206.867, 144, B13, S03, 1
B13, Trade, 210.633, 139, B13, S03, 1
B13, Trade, 211.883, 137, B13, S06, 1
B13, Trade, 236.600, 144, B13, S06, 1
B13, Trade, 250.450, 144, B13, S05, 1
B13, Trade, 251.267, 144, B13, S06, 1
B13, Trade, 260.017, 144, B13, S03, 1
B13, Trade, 270.983, 143, B13, S06, 1
B13, Trade, 274.250, 143, B13, S04, 1
B13, Trade, 287.217, 144, B13, S11, 1
B13, Trade, 299.367, 143, B13, S02, 1
B14, 9
B14, Trade, 246.733, 148, B14, S03, 1
B14, Trade, 248.417, 148, B14, S11, 1
B14, Trade, 259.483, 148, B14, S12, 1
B14, Trade, 262.183, 142, B14, S05, 1
B14, Trade, 270.350, 148, B14, S08, 1
B14, Trade, 271.100, 144, S13, B14, 1
B14, Trade, 276.517, 148, B14, S08, 1
B14, Trade, 297.917, 148, B14, S06, 1
B14, Trade, 298.933, 148, B14, S03, 1
B15, 48
B15, Trade, 6.200, 151, B15, S10, 1
B15, Trade, 14.933, 151, B15, S08, 1
B15, Trade, 17.217, 141, S09, B15, 1
B15, Trade, 21.833, 151, S14, B15, 1
B15, Trade, 29.750, 151, B15, S12, 1
B15, Trade, 35.300, 151, B15, S08, 1
B15, Trade, 39.617, 151, B15, S06, 1
B15, Trade, 45.800, 151, B15, S04, 1
B15, Trade, 49.517, 151, B15, S12, 1
B15, Trade, 56.783, 141, S03, B15, 1
B15, Trade, 59.683, 145, S00, B15, 1
B15, Trade, 69.850, 151, B15, S10, 1
B15, Trade, 72.950, 151, B15, S10, 1
B15, Trade, 79.683, 151, B15, S12, 1
B15, Trade, 84.867, 151, B15, S10, 1
B15, Trade, 93.917, 151, B15, S10, 1
