B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 1.733, 106, S02, B06, 1
B07, 0
B08, 0
B09, 0
B10, 3
B10, Trade, 246.267, 134, B10, S08, 1
B10, Trade, 291.050, 134, B10, S06, 1
B10, Trade, 297.383, 134, B10, S06, 1
B11, 10
B11, Trade, 21.233, 137, B11, S06, 1
B11, Trade, 80.283, 137, B11, S08, 1
B11, Trade, 113.800, 137, B11, S06, 1
B11, Trade, 159.833, 137, B11, S05, 1
B11, Trade, 220.150, 137, B11, S06, 1
B11, Trade, 246.200, 137, B11, S01, 1
B11, Trade, 262.033, 137, B11, S08, 1
B11, Trade, 273.817, 137, B11, S01, 1
B11, Trade, 288.833, 137, B11, S02, 1
B11, Trade, 296.217, 137, B11, S10, 1
B12, 19
B12, Trade, 1.083, 126, S00, B12, 1
B12, Trade, 21.033, 140, B12, S01, 1
B12, Trade, 38.200, 140, B12, S04, 1
B12, Trade, 53.200, 139, B12, S02, 1
B12, Trade, 66.083, 140, B12, S02, 1
B12, Trade, 72.283, 139, B12, S01, 1
B12, Trade, 90.567, 140, B12, S08, 1
B12, Trade, 95.117, 140, B12, S05, 1
B12, Trade, 111.767, 140, B12, S04, 1
B12, Trade, 119.683, 140, B12, S02, 1
B12, Trade, 132.417, 140, B12, S01, 1
B12, Trade, 141.933, 140, B12, S08, 1
B12, Trade, 157.650, 140, B12, S02, 1
B12, Trade, 227.400, 139, B12, S02, 1
B12, Trade, 246.000, 140, B12, S02, 1
B12, Trade, 259.650, 140, B12, S01, 1
B12, Trade, 274.450, 137, B12, S08, 1
B12, Trade, 288.550, 140, B12, S03, 1
B12, Trade, 298.533, 140, B12, S04, 1
B13, 26
B13, Trade, 11.417, 141, B13, S08, 1
B13, Trade, 38.150, 143, B13, S09, 1
B13, Trade, 50.333, 143, B13, S01, 1
B13, Trade, 57.250, 140, B13, S01, 1
B13, Trade, 62.900, 143, B13, S01, 1
B13, Trade, 95.683, 139, B13, S01, 1
B13, Trade, 102.717, 139, B13, S02, 1
B13, Trade, 113.533, 140, B13, S08, 1
B13, Trade, 131.483, 141, B13, S08, 1
B13, Trade, 135.233, 138, B13, S06, 1
B13, Trade, 157.433, 143, B13, S01, 1
B13, Trade, 170.833, 143, B13, S02, 1
B13, Trade, 174.867, 142, B13, S08, 1
B13, Trade, 197.767, 141, B13, S09, 1
B13, Trade, 214.350, 143, B13, S02, 1
B13, Trade, 217.833, 141, B13, S08, 1
B13, Trade, 239.850, 141, B13, S01, 1
B13, Trade, 248.283, 137, B13, S01, 1
B13, Trade, 259.017, 143, B13, S08, 1
B13, Trade, 266.233, 143, B13, S05, 1
B13, Trade, 268.600, 142, B13, S09, 1
B13, Trade, 276.667, 138, B13, S10, 1
B13, Trade, 277.950, 140, B13, S02, 1
B13, Trade, 286.283, 141, B13, S06, 1
B13, Trade, 288.267, 141, B13, S10, 1
B13, Trade, 296.933, 140, B13, S03, 1
B14, 5
B14, Trade, 39.283, 145, S07, B14, 1
B14, Trade, 188.717, 142, S04, B14, 1
B14, Trade, 260.150, 138, B14, S06, 1
B14, Trade, 289.200, 142, B14, S01, 1
B14, Trade, 291.833, 140, S00, B14, 1
B15, 6
B15, Trade, 1.867, 127, S08, B15, 1
B15, Trade, 19.433, 146, B15, S01, 1
B15, Trade, 35.900, 146, B15, S01, 1
B15, Trade, 163.067, 143, B15, S01, 1
B15, Trade, 249.333, 139, B15, S04, 1
B15, Trade, 299.883, 142, B15, S02, 1
B16, 2
B16, Trade, 102.783, 127, B16, S01, 1
B16, Trade, 263.800, 142, B16, S06, 1
B17, 48
B17, Trade, 15.083, 155, B17, S06, 1
B17, Trade, 20.200, 143, B17, S06, 1
B17, Trade, 25.617, 155, B17, S01, 1
B17, Trade, 32.383, 150, B17, S09, 1
B17, Trade, 37.417, 145, B17, S08, 1
B17, Trade, 47.650, 145, B17, S04, 1
B17, Trade, 58.133, 140, B17, S04, 1
B17, Trade, 68.600, 146, B17, S01, 1
B17, Trade, 69.650, 157, B17, S11, 1
B17, Trade, 79.217, 158, B17, S04, 1
B17, Trade, 87.367, 146, B17, S08, 1
B17, Trade, 101.617, 152, B17, S06, 1
B17, Trade, 105.783, 155, B17, S05, 1
B17, Trade, 109.800, 154, B17, S01, 1
B17, Trade, 116.883, 158, B17, S05, 1
B17, Trade, 119.133, 158, B17, S00, 1
B17, Trade, 125.433, 149, B17, S08, 1
B17, Trade, 127.467, 151, B17, S06, 1
B17, Trade, 134.567, 145, B17, S02, 1
B17, Trade, 137.500, 146, B17, S08, 1
B17, Trade, 147.167, 151, B17, S01, 1
B17, Trade, 151.133, 150, B17, S08, 1
B17, Trade, 154.500, 147, B17, S04, 1
B17, Trade, 162.917, 152, B17, S02, 1
B17, Trade, 167.350, 149, B17, S05, 1
B17, Trade, 173.117, 146, B17, S01, 1
B17, Trade, 178.850, 148, B17, S02, 1
B17, Trade, 188.400, 153, B17, S06, 1
B17, Trade, 193.167, 158, B17, S01, 1
B17, Trade, 204.850, 145, B17, S01, 1
B17, Trade, 210.583, 151, B17, S01, 1
B17, Trade, 220.117, 143, B17, S01, 1
B17, Trade, 226.017, 149, B17, S02, 1
B17, Trade, 230.500, 151, B17, S06, 1
B17, Trade, 234.667, 156, B17, S01, 1
B17, Trade, 240.817, 155, S03, B17, 1
B17, Trade, 244.067, 141, B17, S06, 1
B17, Trade, 249.067, 140, S11, B17, 1
B17, Trade, 254.367, 146, B17, S02, 1
B17, Trade, 258.567, 145, B17, S07, 1
B17, Trade, 267.083, 143, B17, S10, 1
B17, Trade, 269.350, 143, B17, S03, 1
B17, Trade, 273.767, 139, B17, S06, 1
B17, Trade, 279.000, 141, B17, S10, 1
B17, Trade, 286.600, 144, B17, S01, 1
B17, Trade, 291.517, 127, B17, S04, 1
B17, Trade, 295.283, 152, B17, S08, 1
B17, Trade, 299.750, 143, B17, S08, 1
B18, 19
B18, Trade, 12.600, 142, B18, S01, 1
B18, Trade, 24.450, 153, B18, S08, 1
B18, Trade, 33.533, 152, S07, B18, 1
B18, Trade, 40.017, 145, S11, B18, 1
B18, Trade, 83.050, 153, S15, B18, 1
B18, Trade, 106.867, 151, B18, S06, 1
B18, Trade, 128.333, 150, B18, S05, 1
B18, Trade, 130.767, 162, S18, B18, 1
B18, Trade, 157.733, 160, B18, S00, 1
B18, Trade, 198.433, 161, B18, S08, 1
B18, Trade, 208.950, 153, S13, B18, 1
B18, Trade, 212.250, 152, B18, S02, 1
B18, Trade, 226.567, 143, B18, S08, 1
B18, Trade, 232.383, 161, B18, S04, 1
B18, Trade, 241.050, 155, S10, B18, 1
B18, Trade, 261.550, 155, B18, S11, 1
B18, Trade, 268.717, 147, S11, B18, 1
B18, Trade, 276.100, 148, S14, B18, 1
B18, Trade, 284.117, 148, S14, B18, 1
B19, 50
B19, Trade, 5.267, 162, B19, S06, 1
B19, Trade, 11.117, 165, B19, S02, 1
B19, Trade, 12.933, 141, B19, S09, 1
B19, Trade, 17.800, 160, S00, B19, 1
B19, Trade, 25.967, 153, B19, S04, 1
B19, Trade, 32.350, 151, B19, S02, 1
B19, Trade, 38.117, 144, B19, S02, 1
B19, Trade, 44.100, 149, B19, S08, 1
B19, Trade, 49.450, 148, B19, S04, 1
B19, Trade, 55.217, 155, B19, S01, 1
B19, Trade, 62.883, 145, B19, S02, 1
B19, Trade, 69.967, 157, B19, S04, 1
B19, Trade, 80.917, 140, B19, S06, 1
B19, Trade, 84.983, 147, B19, S02, 1
B19, Trade, 88.900, 150, B19, S01, 1
B19, Trade, 94.067, 141, B19, S06, 1
B19, Trade, 100.150, 154, B19, S08, 1
B19, Trade, 105.300, 157, B19, S13, 1
B19, Trade, 110.350, 156, B19, S04, 1
B19, Trade, 116.783, 158, B19, S08, 1
B19, Trade, 123.083, 143, B19, S01, 1
B19, Trade, 127.267, 150, B19, S02, 1
B19, Trade, 134.483, 146, B19, S09, 1
B19, Trade, 138.833, 150, B19, S02, 1
B19, Trade, 148.833, 144, B19, S05, 1
B19, Trade, 154.150, 148, B19, S01, 1
B19, Trade, 161.600, 151, B19, S08, 1
B19, Trade, 164.633, 150, B19, S04, 1
B19, Trade, 167.267, 151, B19, S01, 1
B19, Trade, 172.967, 147, B19, S06, 1
B19, Trade, 179.950, 148, B19, S01, 1
B19, Trade, 184.700, 153, B19, S01, 1
B19, Trade, 191.283, 160, B19, S11, 1
B19, Trade, 200.367, 164, B19, S02, 1
B19, Trade, 208.267, 148, B19, S06, 1
B19, Trade, 211.417, 152, B19, S08, 1
B19, Trade, 217.100, 143, B19, S08, 1
B19, Trade, 225.333, 152, B19, S04, 1
B19, Trade, 234.483, 158, B19, S02, 1
B19, Trade, 239.167, 162, S18, B19, 1
B19, Trade, 247.100, 135, B19, S02, 1
B19, Trade, 251.317, 142, S12, B19, 1
B19, Trade, 255.533, 147, B19, S08, 1
B19, Trade, 263.050, 135, B19, S01, 1
B19, Trade, 267.750, 143, B19, S02, 1
B19, Trade, 275.500, 138, B19, S02, 1
B19, Trade, 280.300, 141, B19, S08, 1
B19, Trade, 282.083, 141, B19, S03, 1
B19, Trade, 292.033, 134, B19, S02, 1
B19, Trade, 297.983, 140, B19, S01, 1
B20, 44
B20, Trade, 5.017, 166, B20, S04, 1
B20, Trade, 9.500, 167, B20, S02, 1
B20, Trade, 17.917, 158, B20, S04, 1
B20, Trade, 34.250, 149, B20, S01, 1
B20, Trade, 37.367, 148, B20, S06, 1
B20, Trade, 44.000, 153, B20, S02, 1
B20, Trade, 48.650, 150, B20, S06, 1
B20, Trade, 52.467, 146, B20, S08, 1
B20, Trade, 57.817, 148, S05, B20, 1
B20, Trade, 65.117, 148, B20, S04, 1
B20, Trade, 72.200, 155, B20, S08, 1
B20, Trade, 79.500, 158, B20, S01, 1
B20, Trade, 89.883, 149, B20, S06, 1
B20, Trade, 97.050, 139, B20, S04, 1
B20, Trade, 106.467, 153, B20, S08, 1
B20, Trade, 111.317, 162, B20, S02, 1
B20, Trade, 119.333, 157, B20, S06, 1
B20, Trade, 123.000, 153, B20, S04, 1
B20, Trade, 126.800, 149, B20, S01, 1
B20, Trade, 141.150, 148, B20, S01, 1
B20, Trade, 144.317, 144, B20, S06, 1
B20, Trade, 151.033, 150, B20, S06, 1
B20, Trade, 156.750, 150, B20, S04, 1
B20, Trade, 165.383, 150, B20, S06, 1
B20, Trade, 172.283, 147, B20, S08, 1
B20, Trade, 185.117, 151, B20, S04, 1
B20, Trade, 188.500, 152, B20, S02, 1
B20, Trade, 193.750, 157, B20, S04, 1
B20, Trade, 206.133, 150, B20, S06, 1
B20, Trade, 213.983, 153, B20, S06, 1
B20, Trade, 221.483, 147, B20, S02, 1
B20, Trade, 226.550, 151, B20, S01, 1
B20, Trade, 233.717, 159, B20, S09, 1
B20, Trade, 236.983, 157, B20, S06, 1
B20, Trade, 241.700, 150, B20, S05, 1
B20, Trade, 245.333, 144, B20, S12, 1
B20, Trade, 248.617, 136, B20, S08, 1
B20, Trade, 261.883, 145, B20, S03, 1
B20, Trade, 268.383, 142, B20, S08, 1
B20, Trade, 269.967, 140, B20, S01, 1
B20, Trade, 281.117, 140, B20, S06, 1
B20, Trade, 286.067, 143, S12, B20, 1
B20, Trade, 292.617, 134, B20, S03, 1
B20, Trade, 295.983, 148, B20, S02, 1
B21, 52
B21, Trade, 3.967, 165, B21, S11, 1
B21, Trade, 9.217, 168, B21, S06, 1
B21, Trade, 16.033, 164, S18, B21, 1
B21, Trade, 21.500, 158, S11, B21, 1
B21, Trade, 27.233, 160, S16, B21, 1
B21, Trade, 30.050, 159, S13, B21, 1
B21, Trade, 35.367, 152, S07, B21, 1
B21, Trade, 38.583, 146, S00, B21, 1
B21, Trade, 49.217, 161, S07, B21, 1
B21, Trade, 54.017, 156, S11, B21, 1
B21, Trade, 61.683, 150, S00, B21, 1
B21, Trade, 63.783, 154, S07, B21, 1
B21, Trade, 71.283, 159, S07, B21, 1
B21, Trade, 72.750, 159, S11, B21, 1
B21, Trade, 77.983, 165, S19, B21, 1
B21, Trade, 87.400, 148, S13, B21, 1
B21, Trade, 96.333, 155, S00, B21, 1
B21, Trade, 103.600, 147, S11, B21, 1
B21, Trade, 110.200, 164, S11, B21, 1
B21, Trade, 112.850, 151, S07, B21, 1
B21, Trade, 121.833, 143, B21, S05, 1
B21, Trade, 126.867, 161, S11, B21, 1
B21, Trade, 127.500, 159, S00, B21, 1
B21, Trade, 134.533, 158, S11, B21, 1
B21, Trade, 139.517, 151, S00, B21, 1
B21, Trade, 149.083, 152, S11, B21, 1
B21, Trade, 160.300, 156, B21, S04, 1
B21, Trade, 165.867, 156, S13, B21, 1
B21, Trade, 171.483, 152, B21, S02, 1
B21, Trade, 176.283, 155, S00, B21, 1
B21, Trade, 179.350, 160, S13, B21, 1
B21, Trade, 184.200, 157, S13, B21, 1
B21, Trade, 190.333, 161, S07, B21, 1
B21, Trade, 192.600, 165, S19, B21, 1
B21, Trade, 202.133, 165, S13, B21, 1
B21, Trade, 208.117, 153, S11, B21, 1
B21, Trade, 213.667, 154, S13, B21, 1
B21, Trade, 218.083, 151, S05, B21, 1
B21, Trade, 227.967, 148, S07, B21, 1
B21, Trade, 229.550, 156, S16, B21, 1
B21, Trade, 235.983, 158, B21, S05, 1
B21, Trade, 240.450, 155, S14, B21, 1
B21, Trade, 248.183, 142, S07, B21, 1
B21, Trade, 251.917, 148, S14, B21, 1
B21, Trade, 260.933, 143, S00, B21, 1
B21, Trade, 269.500, 148, S14, B21, 1
B21, Trade, 270.983, 142, S10, B21, 1
B21, Trade, 275.000, 144, S11, B21, 1
B21, Trade, 276.700, 147, S09, B21, 1
B21, Trade, 286.100, 154, S07, B21, 1
B21, Trade, 287.100, 153, S13, B21, 1
B21, Trade, 294.283, 148, S14, B21, 1
B22, 57
B22, Trade, 4.417, 175, B22, S15, 1
B22, Trade, 8.350, 175, B22, S08, 1
B22, Trade, 14.850, 162, S18, B22, 1
B22, Trade, 20.667, 159, S11, B22, 1
B22, Trade, 25.117, 168, S20, B22, 1
B22, Trade, 27.800, 160, S00, B22, 1
B22, Trade, 32.417, 152, S00, B22, 1
B22, Trade, 41.100, 153, S13, B22, 1
B22, Trade, 42.917, 155, S16, B22, 1
B22, Trade, 46.350, 162, S09, B22, 1
B22, Trade, 55.517, 161, S13, B22, 1
B22, Trade, 61.950, 151, S11, B22, 1
B22, Trade, 69.400, 165, S19, B22, 1
B22, Trade, 75.550, 162, S18, B22, 1
B22, Trade, 76.417, 158, S04, B22, 1
B22, Trade, 85.067, 148, S00, B22, 1
B22, Trade, 87.683, 155, S16, B22, 1
B22, Trade, 91.000, 159, S07, B22, 1
B22, Trade, 97.900, 165, S19, B22, 1
B22, Trade, 102.700, 152, S07, B22, 1
B22, Trade, 107.033, 164, S16, B22, 1
B22, Trade, 113.617, 153, S11, B22, 1
B22, Trade, 120.633, 173, S04, B22, 1
B22, Trade, 124.250, 166, S07, B22, 1
B22, Trade, 129.567, 162, S16, B22, 1
B22, Trade, 133.200, 157, S04, B22, 1
B22, Trade, 141.850, 159, S13, B22, 1
B22, Trade, 144.583, 154, S00, B22, 1
B22, Trade, 147.100, 168, S20, B22, 1
B22, Trade, 152.550, 155, S16, B22, 1
B22, Trade, 157.917, 162, S18, B22, 1
B22, Trade, 162.217, 158, S11, B22, 1
B22, Trade, 169.183, 153, S13, B22, 1
B22, Trade, 176.983, 157, S16, B22, 1
B22, Trade, 178.800, 155, S04, B22, 1
B22, Trade, 188.483, 161, S13, B22, 1
B22, Trade, 195.750, 175, B22, S20, 1
B22, Trade, 199.617, 171, S19, B22, 1
B22, Trade, 205.850, 155, S00, B22, 1
B22, Trade, 210.950, 156, S16, B22, 1
B22, Trade, 215.833, 151, S11, B22, 1
B22, Trade, 220.700, 165, S19, B22, 1
B22, Trade, 224.733, 156, S16, B22, 1
B22, Trade, 228.183, 151, S11, B22, 1
B22, Trade, 232.733, 163, S07, B22, 1
B22, Trade, 238.700, 161, S13, B22, 1
B22, Trade, 246.083, 143, S00, B22, 1
