B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 5
B10, Trade, 8.083, 133, B10, S08, 1
B10, Trade, 133.300, 134, B10, S04, 1
B10, Trade, 143.550, 134, B10, S04, 1
B10, Trade, 181.900, 134, B10, S04, 1
B10, Trade, 221.283, 134, B10, S04, 1
B11, 1
B11, Trade, 292.550, 134, B11, S05, 1
B12, 0
B13, 5
B13, Trade, 243.333, 144, B13, S10, 1
B13, Trade, 273.917, 137, B13, S05, 1
B13, Trade, 282.133, 144, B13, S00, 1
B13, Trade, 290.983, 144, B13, S03, 1
B13, Trade, 293.367, 144, B13, S00, 1
B14, 44
B14, Trade, 6.217, 132, B14, S04, 1
B14, Trade, 20.817, 145, B14, S06, 1
B14, Trade, 23.000, 144, S13, B14, 1
B14, Trade, 30.283, 145, B14, S04, 1
B14, Trade, 35.383, 145, B14, S04, 1
B14, Trade, 41.250, 146, B14, S04, 1
B14, Trade, 42.617, 148, B14, S13, 1
B14, Trade, 53.317, 148, B14, S09, 1
B14, Trade, 62.917, 147, S13, B14, 1
B14, Trade, 65.900, 145, S12, B14, 1
B14, Trade, 75.517, 147, B14, S04, 1
B14, Trade, 86.267, 146, B14, S04, 1
B14, Trade, 90.800, 146, B14, S13, 1
B14, Trade, 93.150, 148, S14, B14, 1
B14, Trade, 102.317, 148, B14, S14, 1
B14, Trade, 105.133, 147, B14, S06, 1
B14, Trade, 107.550, 147, B14, S11, 1
B14, Trade, 119.850, 146, B14, S04, 1
B14, Trade, 122.533, 148, B14, S08, 1
B14, Trade, 125.467, 148, B14, S13, 1
B14, Trade, 131.967, 147, B14, S04, 1
B14, Trade, 150.617, 142, B14, S07, 1
B14, Trade, 160.050, 142, B14, S01, 1
B14, Trade, 170.667, 147, B14, S04, 1
B14, Trade, 175.000, 148, B14, S14, 1
B14, Trade, 180.550, 148, B14, S07, 1
B14, Trade, 184.983, 146, B14, S04, 1
B14, Trade, 191.250, 148, B14, S04, 1
B14, Trade, 199.217, 146, B14, S01, 1
B14, Trade, 202.300, 144, B14, S01, 1
B14, Trade, 207.383, 146, B14, S13, 1
B14, Trade, 217.483, 144, B14, S13, 1
B14, Trade, 226.667, 144, S13, B14, 1
B14, Trade, 229.250, 145, S06, B14, 1
B14, Trade, 236.383, 144, B14, S04, 1
B14, Trade, 241.433, 146, B14, S07, 1
B14, Trade, 242.600, 145, B14, S05, 1
B14, Trade, 262.367, 148, B14, S14, 1
B14, Trade, 274.167, 135, B14, S10, 1
