B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 3
B13, Trade, 240.667, 143, S05, B13, 1
B13, Trade, 264.083, 144, B13, S07, 1
B13, Trade, 279.883, 144, B13, S10, 1
B14, 11
B14, Trade, 240.083, 143, B14, S10, 1
B14, Trade, 243.300, 148, S14, B14, 1
B14, Trade, 253.283, 148, B14, S04, 1
B14, Trade, 254.483, 148, B14, S12, 1
B14, Trade, 263.200, 148, B14, S14, 1
B14, Trade, 265.917, 145, S00, B14, 1
B14, Trade, 266.917, 144, S04, B14, 1
B14, Trade, 277.417, 148, B14, S10, 1
B14, Trade, 279.700, 148, S14, B14, 1
B14, Trade, 288.200, 148, B14, S07, 1
B14, Trade, 293.100, 148, B14, S13, 1
B15, 27
B15, Trade, 15.567, 150, B15, S13, 1
B15, Trade, 26.367, 150, B15, S08, 1
B15, Trade, 31.517, 149, B15, S13, 1
B15, Trade, 32.500, 148, B15, S05, 1
B15, Trade, 54.483, 149, B15, S13, 1
B15, Trade, 74.850, 150, B15, S14, 1
B15, Trade, 75.683, 147, B15, S13, 1
B15, Trade, 81.850, 149, B15, S13, 1
B15, Trade, 94.467, 150, B15, S02, 1
B15, Trade, 106.517, 150, B15, S13, 1
B15, Trade, 116.517, 150, B15, S14, 1
B15, Trade, 147.233, 149, B15, S13, 1
B15, Trade, 162.917, 150, B15, S13, 1
B15, Trade, 175.517, 149, B15, S14, 1
B15, Trade, 180.233, 146, B15, S13, 1
B15, Trade, 184.933, 148, S06, B15, 1
B15, Trade, 203.300, 149, B15, S13, 1
B15, Trade, 227.733, 150, B15, S07, 1
B15, Trade, 234.200, 144, S13, B15, 1
B15, Trade, 240.583, 142, B15, S03, 1
B15, Trade, 244.500, 146, B15, S13, 1
B15, Trade, 252.733, 149, B15, S03, 1
B15, Trade, 262.350, 150, B15, S10, 1
B15, Trade, 272.300, 150, B15, S03, 1
B15, Trade, 273.550, 144, S09, B15, 1
B15, Trade, 287.733, 150, B15, S03, 1
B15, Trade, 290.433, 149, B15, S13, 1
B16, 40
B16, Trade, 11.333, 154, B16, S08, 1
B16, Trade, 19.100, 148, B16, S05, 1
B16, Trade, 24.533, 152, B16, S15, 1
B16, Trade, 26.867, 150, S12, B16, 1
B16, Trade, 32.633, 149, S01, B16, 1
B16, Trade, 43.483, 153, B16, S15, 1
B16, Trade, 51.917, 154, B16, S06, 1
