B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 18.467, 123, B07, S00, 1
B08, 0
B09, 0
B10, 6
B10, Trade, 38.000, 133, B10, S05, 1
B10, Trade, 171.250, 133, B10, S00, 1
B10, Trade, 225.050, 133, B10, S03, 1
B10, Trade, 229.600, 133, B10, S05, 1
B10, Trade, 267.933, 133, B10, S00, 1
B10, Trade, 285.483, 133, B10, S05, 1
B11, 1
B11, Trade, 140.700, 127, B11, S03, 1
B12, 20
B12, Trade, 15.950, 141, B12, S05, 1
B12, Trade, 19.117, 139, S07, B12, 1
B12, Trade, 26.183, 141, B12, S03, 1
B12, Trade, 50.967, 141, B12, S00, 1
B12, Trade, 71.000, 141, B12, S05, 1
B12, Trade, 79.567, 141, B12, S05, 1
B12, Trade, 113.400, 141, B12, S00, 1
B12, Trade, 128.767, 141, B12, S03, 1
B12, Trade, 140.683, 141, B12, S00, 1
B12, Trade, 146.467, 141, B12, S09, 1
B12, Trade, 147.117, 141, B12, S09, 1
B12, Trade, 172.517, 141, B12, S09, 1
B12, Trade, 183.350, 141, B12, S09, 1
B12, Trade, 198.917, 141, B12, S09, 1
B12, Trade, 224.783, 141, B12, S05, 1
B12, Trade, 262.650, 141, B12, S03, 1
B12, Trade, 278.467, 141, B12, S09, 1
B12, Trade, 288.083, 141, B12, S00, 1
B12, Trade, 293.933, 141, B12, S11, 1
B12, Trade, 295.567, 141, B12, S09, 1
B13, 35
B13, Trade, 2.200, 144, B13, S05, 1
B13, Trade, 26.117, 144, B13, S09, 1
B13, Trade, 29.400, 144, B13, S00, 1
B13, Trade, 43.683, 144, B13, S05, 1
B13, Trade, 49.617, 144, S01, B13, 1
B13, Trade, 51.633, 144, B13, S03, 1
B13, Trade, 58.817, 144, B13, S03, 1
B13, Trade, 76.683, 144, B13, S00, 1
B13, Trade, 87.583, 144, B13, S00, 1
B13, Trade, 96.283, 144, B13, S03, 1
B13, Trade, 102.967, 144, B13, S09, 1
B13, Trade, 113.067, 144, B13, S05, 1
B13, Trade, 121.917, 144, B13, S00, 1
B13, Trade, 128.700, 144, B13, S05, 1
B13, Trade, 134.633, 144, B13, S05, 1
B13, Trade, 145.850, 144, B13, S05, 1
B13, Trade, 156.633, 144, B13, S02, 1
B13, Trade, 163.783, 144, B13, S05, 1
B13, Trade, 171.200, 144, B13, S03, 1
B13, Trade, 181.317, 144, B13, S09, 1
B13, Trade, 191.000, 144, B13, S00, 1
B13, Trade, 208.517, 144, B13, S09, 1
B13, Trade, 222.083, 144, B13, S09, 1
B13, Trade, 228.267, 144, B13, S09, 1
B13, Trade, 237.133, 144, B13, S09, 1
B13, Trade, 242.500, 144, B13, S09, 1
B13, Trade, 252.550, 144, B13, S05, 1
B13, Trade, 260.283, 144, B13, S09, 1
B13, Trade, 266.617, 144, B13, S01, 1
B13, Trade, 269.933, 144, B13, S13, 1
B13, Trade, 277.983, 144, B13, S11, 1
B13, Trade, 279.900, 144, B13, S13, 1
B13, Trade, 284.400, 144, S13, B13, 1
B13, Trade, 292.750, 144, B13, S03, 1
B13, Trade, 296.433, 144, S07, B13, 1
B14, 3
B14, Trade, 46.867, 145, S07, B14, 1
B14, Trade, 111.283, 148, B14, S09, 1
B14, Trade, 147.150, 138, B14, S03, 1
B15, 51
B15, Trade, 11.000, 151, B15, S05, 1
B15, Trade, 14.017, 151, B15, S04, 1
B15, Trade, 20.717, 146, S01, B15, 1
B15, Trade, 31.933, 151, B15, S03, 1
B15, Trade, 36.550, 151, B15, S00, 1
B15, Trade, 38.983, 149, S04, B15, 1
B15, Trade, 46.350, 144, S08, B15, 1
B15, Trade, 49.833, 144, S10, B15, 1
B15, Trade, 58.083, 151, B15, S09, 1
B15, Trade, 62.950, 148, S01, B15, 1
B15, Trade, 70.650, 150, S07, B15, 1
B15, Trade, 78.500, 148, S04, B15, 1
B15, Trade, 81.300, 151, B15, S00, 1
B15, Trade, 85.517, 151, B15, S05, 1
B15, Trade, 93.700, 151, B15, S07, 1
B15, Trade, 99.350, 151, B15, S10, 1
B15, Trade, 106.433, 151, S07, B15, 1
B15, Trade, 113.617, 151, S08, B15, 1
B15, Trade, 120.850, 147, S07, B15, 1
B15, Trade, 123.250, 148, S14, B15, 1
B15, Trade, 132.283, 143, S07, B15, 1
B15, Trade, 138.333, 151, B15, S09, 1
B15, Trade, 140.283, 151, B15, S05, 1
B15, Trade, 144.067, 151, B15, S00, 1
B15, Trade, 150.250, 151, B15, S14, 1
B15, Trade, 158.433, 151, B15, S00, 1
B15, Trade, 160.433, 148, S08, B15, 1
B15, Trade, 170.433, 151, B15, S05, 1
B15, Trade, 180.283, 151, B15, S00, 1
B15, Trade, 182.000, 151, B15, S00, 1
B15, Trade, 185.833, 148, S04, B15, 1
B15, Trade, 190.350, 148, S10, B15, 1
B15, Trade, 192.200, 148, S07, B15, 1
B15, Trade, 204.350, 151, S04, B15, 1
B15, Trade, 206.533, 151, B15, S03, 1
B15, Trade, 213.717, 148, S14, B15, 1
B15, Trade, 222.067, 151, B15, S05, 1
B15, Trade, 230.167, 148, S08, B15, 1
B15, Trade, 239.450, 151, B15, S05, 1
B15, Trade, 240.650, 151, B15, S13, 1
B15, Trade, 248.867, 151, B15, S09, 1
B15, Trade, 251.533, 151, B15, S10, 1
B15, Trade, 258.017, 149, S07, B15, 1
B15, Trade, 261.950, 151, B15, S05, 1
B15, Trade, 264.800, 147, S08, B15, 1
B15, Trade, 270.217, 143, S11, B15, 1
B15, Trade, 278.750, 149, S04, B15, 1
B15, Trade, 281.817, 148, S01, B15, 1
B15, Trade, 286.133, 140, S10, B15, 1
B15, Trade, 289.883, 150, S04, B15, 1
B15, Trade, 298.367, 151, B15, S08, 1
B16, 46
B16, Trade, 3.583, 144, B16, S03, 1
B16, Trade, 10.167, 153, B16, S07, 1
B16, Trade, 15.017, 150, B16, S05, 1
B16, Trade, 21.650, 145, S10, B16, 1
B16, Trade, 25.317, 146, B16, S00, 1
B16, Trade, 28.117, 151, S08, B16, 1
B16, Trade, 34.367, 155, B16, S09, 1
B16, Trade, 40.800, 149, B16, S09, 1
B16, Trade, 48.300, 145, B16, S00, 1
B16, Trade, 55.650, 154, B16, S09, 1
B16, Trade, 62.917, 144, B16, S09, 1
B16, Trade, 68.300, 151, B16, S00, 1
B16, Trade, 69.483, 146, B16, S05, 1
B16, Trade, 74.167, 152, B16, S04, 1
B16, Trade, 79.233, 148, B16, S08, 1
B16, Trade, 87.000, 146, B16, S09, 1
B16, Trade, 92.650, 153, S04, B16, 1
B16, Trade, 95.683, 146, B16, S09, 1
B16, Trade, 99.167, 152, S07, B16, 1
B16, Trade, 111.983, 152, S07, B16, 1
B16, Trade, 118.167, 145, B16, S00, 1
B16, Trade, 133.167, 135, B16, S03, 1
B16, Trade, 145.617, 145, B16, S03, 1
B16, Trade, 155.650, 153, B16, S10, 1
B16, Trade, 159.450, 148, B16, S05, 1
B16, Trade, 165.833, 147, S04, B16, 1
B16, Trade, 174.367, 155, S16, B16, 1
B16, Trade, 178.350, 152, B16, S03, 1
B16, Trade, 182.467, 142, B16, S05, 1
B16, Trade, 192.217, 146, B16, S03, 1
B16, Trade, 195.833, 155, B16, S09, 1
B16, Trade, 198.233, 142, B16, S03, 1
B16, Trade, 203.817, 152, B16, S05, 1
B16, Trade, 220.250, 152, B16, S14, 1
B16, Trade, 227.167, 146, B16, S01, 1
B16, Trade, 230.733, 142, B16, S03, 1
B16, Trade, 232.583, 149, S04, B16, 1
B16, Trade, 244.117, 154, B16, S05, 1
B16, Trade, 249.550, 151, B16, S08, 1
B16, Trade, 257.000, 147, B16, S10, 1
B16, Trade, 261.617, 146, B16, S11, 1
B16, Trade, 270.633, 144, B16, S03, 1
B16, Trade, 275.583, 146, B16, S09, 1
B16, Trade, 283.583, 134, B16, S03, 1
B16, Trade, 293.150, 146, B16, S02, 1
B16, Trade, 297.800, 154, B16, S01, 1
B17, 10
B17, Trade, 242.433, 146, B17, S06, 1
B17, Trade, 248.750, 155, S16, B17, 1
B17, Trade, 252.833, 144, B17, S03, 1
B17, Trade, 261.667, 148, S04, B17, 1
B17, Trade, 266.333, 142, S08, B17, 1
B17, Trade, 267.467, 146, S07, B17, 1
B17, Trade, 275.867, 150, S06, B17, 1
B17, Trade, 280.933, 148, B17, S07, 1
B17, Trade, 287.550, 149, B17, S13, 1
B17, Trade, 292.400, 151, S10, B17, 1
B18, 24
B18, Trade, 5.317, 161, B18, S07, 1
B18, Trade, 23.033, 161, B18, S09, 1
B18, Trade, 36.100, 155, S10, B18, 1
B18, Trade, 50.750, 154, B18, S04, 1
B18, Trade, 75.600, 153, S01, B18, 1
B18, Trade, 98.950, 153, S08, B18, 1
B18, Trade, 108.200, 145, B18, S09, 1
B18, Trade, 132.100, 142, S08, B18, 1
B18, Trade, 134.783, 146, S04, B18, 1
B18, Trade, 148.117, 146, S08, B18, 1
B18, Trade, 162.117, 146, S10, B18, 1
B18, Trade, 169.133, 148, S14, B18, 1
B18, Trade, 183.217, 152, S14, B18, 1
B18, Trade, 190.933, 148, S14, B18, 1
B18, Trade, 197.817, 151, S07, B18, 1
B18, Trade, 211.367, 148, S10, B18, 1
B18, Trade, 213.217, 148, S01, B18, 1
B18, Trade, 217.933, 151, S10, B18, 1
B18, Trade, 227.200, 147, S04, B18, 1
B18, Trade, 238.117, 162, S18, B18, 1
B18, Trade, 255.183, 153, S06, B18, 1
B18, Trade, 258.750, 153, S08, B18, 1
B18, Trade, 263.650, 145, B18, S11, 1
B18, Trade, 296.150, 143, S04, B18, 1
B19, 53
B19, Trade, 5.450, 142, B19, S09, 1
B19, Trade, 9.383, 153, B19, S04, 1
B19, Trade, 11.933, 142, B19, S09, 1
B19, Trade, 23.717, 146, B19, S03, 1
B19, Trade, 28.667, 149, B19, S05, 1
B19, Trade, 34.017, 156, B19, S07, 1
B19, Trade, 40.700, 150, S08, B19, 1
B19, Trade, 43.267, 144, B19, S03, 1
B19, Trade, 50.783, 144, B19, S05, 1
B19, Trade, 57.800, 154, S04, B19, 1
B19, Trade, 63.383, 142, B19, S03, 1
B19, Trade, 68.733, 151, B19, S09, 1
B19, Trade, 75.083, 147, B19, S09, 1
B19, Trade, 84.667, 153, B19, S14, 1
B19, Trade, 87.250, 145, B19, S05, 1
B19, Trade, 92.350, 152, B19, S03, 1
B19, Trade, 98.417, 153, S04, B19, 1
B19, Trade, 102.783, 146, B19, S05, 1
B19, Trade, 110.200, 141, B19, S03, 1
B19, Trade, 118.217, 145, B19, S05, 1
B19, Trade, 119.033, 145, S10, B19, 1
B19, Trade, 125.517, 151, B19, S04, 1
B19, Trade, 126.517, 151, B19, S00, 1
B19, Trade, 137.900, 152, S14, B19, 1
B19, Trade, 142.183, 152, S07, B19, 1
B19, Trade, 152.950, 148, B19, S09, 1
B19, Trade, 158.117, 152, B19, S04, 1
B19, Trade, 161.517, 147, B19, S03, 1
B19, Trade, 166.800, 148, S01, B19, 1
B19, Trade, 169.050, 146, B19, S01, 1
B19, Trade, 174.983, 156, B19, S00, 1
B19, Trade, 180.833, 145, B19, S03, 1
B19, Trade, 185.117, 149, B19, S03, 1
B19, Trade, 190.333, 146, B19, S09, 1
B19, Trade, 195.150, 163, B19, S18, 1
B19, Trade, 197.500, 145, B19, S00, 1
B19, Trade, 209.917, 142, B19, S05, 1
B19, Trade, 216.983, 147, B19, S00, 1
B19, Trade, 224.433, 154, B19, S00, 1
B19, Trade, 232.683, 150, S07, B19, 1
B19, Trade, 235.833, 148, B19, S05, 1
B19, Trade, 239.400, 152, B19, S00, 1
B19, Trade, 243.417, 149, S06, B19, 1
B19, Trade, 248.383, 152, B19, S05, 1
B19, Trade, 256.367, 145, B19, S11, 1
B19, Trade, 260.133, 145, B19, S05, 1
B19, Trade, 265.300, 146, B19, S02, 1
B19, Trade, 272.517, 149, B19, S02, 1
B19, Trade, 274.883, 158, B19, S08, 1
B19, Trade, 285.283, 134, B19, S06, 1
B19, Trade, 293.917, 143, B19, S00, 1
B19, Trade, 295.283, 142, B19, S05, 1
B19, Trade, 299.450, 154, B19, S09, 1
B20, 21
B20, Trade, 3.817, 145, S01, B20, 1
B20, Trade, 16.967, 131, B20, S09, 1
B20, Trade, 19.817, 136, B20, S03, 1
B20, Trade, 26.483, 153, S01, B20, 1
B20, Trade, 28.867, 149, S10, B20, 1
B20, Trade, 55.450, 160, S01, B20, 1
B20, Trade, 64.950, 156, B20, S16, 1
B20, Trade, 74.667, 155, S16, B20, 1
B20, Trade, 91.083, 151, S07, B20, 1
B20, Trade, 109.567, 151, B20, S00, 1
B20, Trade, 122.850, 147, S01, B20, 1
B20, Trade, 131.633, 142, S01, B20, 1
B20, Trade, 170.183, 148, S07, B20, 1
B20, Trade, 180.567, 155, S10, B20, 1
B20, Trade, 197.583, 152, S14, B20, 1
B20, Trade, 200.717, 153, B20, S07, 1
B20, Trade, 238.033, 155, S16, B20, 1
B20, Trade, 243.850, 151, S10, B20, 1
B20, Trade, 256.967, 148, S14, B20, 1
B20, Trade, 267.917, 146, S10, B20, 1
B20, Trade, 275.983, 155, S16, B20, 1
B21, 42
B21, Trade, 15.067, 149, B21, S03, 1
B21, Trade, 23.450, 154, S07, B21, 1
B21, Trade, 29.250, 148, B21, S04, 1
B21, Trade, 30.717, 155, S16, B21, 1
B21, Trade, 38.367, 148, S14, B21, 1
B21, Trade, 44.217, 144, B21, S01, 1
B21, Trade, 47.450, 142, B21, S02, 1
B21, Trade, 56.933, 153, B21, S00, 1
B21, Trade, 60.667, 148, B21, S05, 1
B21, Trade, 67.333, 149, B21, S03, 1
B21, Trade, 73.167, 152, B21, S03, 1
B21, Trade, 79.267, 146, B21, S03, 1
B21, Trade, 85.483, 151, B21, S00, 1
B21, Trade, 94.850, 149, B21, S05, 1
B21, Trade, 95.367, 148, B21, S00, 1
B21, Trade, 101.367, 148, B21, S09, 1
B21, Trade, 105.867, 144, B21, S00, 1
B21, Trade, 110.683, 145, B21, S05, 1
B21, Trade, 120.617, 145, B21, S03, 1
B21, Trade, 131.183, 142, S10, B21, 1
B21, Trade, 140.317, 151, S07, B21, 1
B21, Trade, 149.733, 151, B21, S05, 1
B21, Trade, 154.133, 151, B21, S05, 1
B21, Trade, 159.500, 147, B21, S09, 1
B21, Trade, 166.900, 145, B21, S03, 1
B21, Trade, 170.967, 145, B21, S09, 1
B21, Trade, 177.633, 155, B21, S05, 1
B21, Trade, 186.300, 146, B21, S05, 1
B21, Trade, 195.767, 157, B21, S00, 1
B21, Trade, 206.250, 151, B21, S09, 1
B21, Trade, 212.150, 146, B21, S05, 1
B21, Trade, 217.633, 146, B21, S03, 1
B21, Trade, 225.650, 146, B21, S07, 1
B21, Trade, 231.333, 141, B21, S00, 1
B21, Trade, 240.333, 158, B21, S03, 1
B21, Trade, 241.933, 152, S10, B21, 1
B21, Trade, 251.267, 151, B21, S11, 1
B21, Trade, 257.967, 144, B21, S03, 1
B21, Trade, 263.800, 144, B21, S00, 1
B21, Trade, 275.417, 155, B21, S05, 1
B21, Trade, 282.983, 143, B21, S05, 1
B21, Trade, 290.933, 148, B21, S01, 1
B22, 12
B22, Trade, 243.067, 151, S14, B22, 1
B22, Trade, 244.250, 153, B22, S08, 1
B22, Trade, 250.233, 152, S04, B22, 1
B22, Trade, 252.050, 146, S06, B22, 1
B22, Trade, 259.867, 149, B22, S01, 1
B22, Trade, 267.017, 145, S04, B22, 1
B22, Trade, 271.250, 147, S07, B22, 1
B22, Trade, 274.133, 160, S10, B22, 1
B22, Trade, 283.433, 137, S11, B22, 1
B22, Trade, 286.117, 140, S08, B22, 1
B22, Trade, 288.900, 154, B22, S05, 1
B22, Trade, 292.167, 149, S08, B22, 1
B23, 10
B23, Trade, 243.133, 150, S07, B23, 1
B23, Trade, 247.883, 154, B23, S00, 1
B23, Trade, 254.183, 147, B23, S09, 1
B23, Trade, 256.467, 147, S04, B23, 1
B23, Trade, 265.183, 148, S14, B23, 1
B23, Trade, 269.350, 146, S01, B23, 1
B23, Trade, 280.483, 139, B23, S00, 1
B23, Trade, 286.417, 142, B23, S09, 1
B23, Trade, 291.250, 149, B23, S06, 1
B23, Trade, 296.183, 144, S13, B23, 1
B24, 58
B24, Trade, 1.767, 155, S16, B24, 1
B24, Trade, 8.400, 154, S10, B24, 1
B24, Trade, 12.050, 151, S01, B24, 1
B24, Trade, 21.683, 147, S04, B24, 1
B24, Trade, 30.067, 178, S01, B24, 1
B24, Trade, 36.983, 161, S01, B24, 1
B24, Trade, 40.133, 149, S01, B24, 1
B24, Trade, 46.233, 144, S04, B24, 1
B24, Trade, 51.367, 155, S16, B24, 1
B24, Trade, 54.667, 155, S16, B24, 1
B24, Trade, 58.767, 152, S10, B24, 1
