B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 1
B11, Trade, 216.933, 137, B11, S03, 1
B12, 5
B12, Trade, 7.867, 141, B12, S03, 1
B12, Trade, 111.717, 141, B12, S03, 1
B12, Trade, 150.283, 141, B12, S05, 1
B12, Trade, 154.017, 141, B12, S03, 1
B12, Trade, 201.267, 141, B12, S05, 1
B13, 3
B13, Trade, 249.783, 144, B13, S09, 1
B13, Trade, 280.700, 144, B13, S04, 1
B13, Trade, 299.300, 144, B13, S06, 1
B14, 1
B14, Trade, 95.233, 141, B14, S03, 1
B15, 16
B15, Trade, 30.533, 150, B15, S10, 1
B15, Trade, 44.150, 149, S08, B15, 1
B15, Trade, 49.967, 144, B15, S09, 1
B15, Trade, 52.833, 148, B15, S04, 1
B15, Trade, 83.167, 149, B15, S07, 1
B15, Trade, 92.967, 150, S08, B15, 1
B15, Trade, 94.550, 146, S12, B15, 1
B15, Trade, 148.033, 150, B15, S03, 1
B15, Trade, 180.700, 150, B15, S03, 1
B15, Trade, 184.617, 145, B15, S05, 1
B15, Trade, 200.783, 149, B15, S14, 1
B15, Trade, 249.667, 150, B15, S00, 1
B15, Trade, 272.683, 148, B15, S05, 1
B15, Trade, 277.467, 149, S12, B15, 1
B15, Trade, 290.583, 150, B15, S00, 1
B15, Trade, 297.317, 150, B15, S03, 1
B16, 9
B16, Trade, 247.533, 155, B16, S16, 1
B16, Trade, 254.233, 151, S02, B16, 1
B16, Trade, 261.433, 154, B16, S03, 1
B16, Trade, 269.283, 154, S07, B16, 1
B16, Trade, 272.533, 149, S02, B16, 1
B16, Trade, 281.417, 151, S15, B16, 1
B16, Trade, 285.550, 155, B16, S04, 1
B16, Trade, 287.817, 155, B16, S16, 1
B16, Trade, 298.617, 150, S01, B16, 1
B17, 10
B17, Trade, 243.717, 158, B17, S03, 1
B17, Trade, 246.783, 155, S00, B17, 1
B17, Trade, 251.650, 148, S14, B17, 1
B17, Trade, 253.817, 152, B17, S15, 1
B17, Trade, 259.450, 154, S08, B17, 1
B17, Trade, 265.533, 155, S16, B17, 1
B17, Trade, 272.017, 154, S08, B17, 1
B17, Trade, 282.783, 153, S00, B17, 1
B17, Trade, 289.700, 158, B17, S06, 1
B17, Trade, 294.267, 158, B17, S15, 1
B18, 57
B18, Trade, 5.083, 148, S14, B18, 1
B18, Trade, 8.817, 159, S17, B18, 1
B18, Trade, 12.217, 158, S04, B18, 1
B18, Trade, 19.967, 154, S04, B18, 1
B18, Trade, 24.783, 160, S12, B18, 1
B18, Trade, 26.767, 160, S04, B18, 1
B18, Trade, 37.333, 160, S07, B18, 1
B18, Trade, 42.350, 159, S12, B18, 1
B18, Trade, 49.650, 148, S14, B18, 1
B18, Trade, 51.667, 153, S07, B18, 1
B18, Trade, 60.867, 153, S00, B18, 1
B18, Trade, 63.567, 162, S04, B18, 1
B18, Trade, 69.267, 155, S12, B18, 1
B18, Trade, 72.917, 153, S01, B18, 1
B18, Trade, 79.500, 155, S01, B18, 1
B18, Trade, 83.667, 149, S00, B18, 1
B18, Trade, 92.200, 154, S13, B18, 1
B18, Trade, 96.483, 161, S01, B18, 1
B18, Trade, 99.833, 154, S07, B18, 1
B18, Trade, 104.433, 162, B18, S18, 1
B18, Trade, 108.350, 158, S12, B18, 1
B18, Trade, 113.967, 155, S07, B18, 1
B18, Trade, 120.917, 157, S14, B18, 1
B18, Trade, 124.100, 158, S08, B18, 1
B18, Trade, 129.633, 159, S07, B18, 1
B18, Trade, 133.983, 156, S00, B18, 1
B18, Trade, 142.300, 160, S17, B18, 1
B18, Trade, 143.333, 159, S04, B18, 1
B18, Trade, 150.983, 148, S14, B18, 1
B18, Trade, 155.950, 154, S08, B18, 1
B18, Trade, 161.533, 162, S18, B18, 1
B18, Trade, 165.367, 161, S12, B18, 1
B18, Trade, 166.483, 161, S17, B18, 1
B18, Trade, 172.517, 161, S12, B18, 1
B18, Trade, 180.083, 157, S04, B18, 1
B18, Trade, 186.283, 149, S14, B18, 1
B18, Trade, 190.917, 155, S12, B18, 1
B18, Trade, 194.400, 162, B18, S18, 1
B18, Trade, 198.500, 152, S07, B18, 1
B18, Trade, 203.500, 155, S14, B18, 1
B18, Trade, 208.700, 162, S12, B18, 1
B18, Trade, 216.750, 158, S17, B18, 1
B18, Trade, 218.650, 162, S18, B18, 1
B18, Trade, 221.650, 157, S01, B18, 1
B18, Trade, 233.200, 162, B18, S08, 1
B18, Trade, 240.383, 160, S02, B18, 1
B18, Trade, 242.283, 162, S18, B18, 1
B18, Trade, 247.200, 156, S01, B18, 1
B18, Trade, 252.650, 148, S07, B18, 1
B18, Trade, 261.267, 157, S01, B18, 1
B18, Trade, 265.783, 156, S00, B18, 1
B18, Trade, 267.700, 154, S12, B18, 1
B18, Trade, 271.517, 153, S14, B18, 1
B18, Trade, 281.400, 148, S14, B18, 1
B18, Trade, 286.033, 156, S12, B18, 1
B18, Trade, 293.467, 159, S13, B18, 1
B18, Trade, 295.000, 158, S04, B18, 1
B19, 52
B19, Trade, 11.100, 155, B19, S07, 1
B19, Trade, 23.083, 159, B19, S03, 1
B19, Trade, 30.500, 155, B19, S05, 1
B19, Trade, 36.350, 156, S14, B19, 1
B19, Trade, 38.817, 158, B19, S08, 1
B19, Trade, 45.300, 142, B19, S03, 1
B19, Trade, 48.233, 148, S12, B19, 1
B19, Trade, 52.617, 151, S00, B19, 1
B19, Trade, 58.050, 148, S01, B19, 1
B19, Trade, 66.300, 158, B19, S10, 1
B19, Trade, 70.950, 151, B19, S08, 1
B19, Trade, 80.017, 152, B19, S03, 1
B19, Trade, 86.700, 165, B19, S18, 1
B19, Trade, 88.867, 156, B19, S04, 1
B19, Trade, 97.283, 153, B19, S05, 1
B19, Trade, 102.967, 162, B19, S00, 1
B19, Trade, 105.633, 163, B19, S04, 1
B19, Trade, 106.150, 162, B19, S03, 1
B19, Trade, 115.650, 155, B19, S10, 1
B19, Trade, 118.617, 156, B19, S03, 1
B19, Trade, 126.067, 156, B19, S09, 1
B19, Trade, 128.867, 156, S04, B19, 1
B19, Trade, 131.767, 157, B19, S03, 1
B19, Trade, 143.767, 159, B19, S09, 1
B19, Trade, 152.217, 148, B19, S12, 1
B19, Trade, 158.383, 155, B19, S04, 1
B19, Trade, 164.183, 159, B19, S12, 1
B19, Trade, 168.917, 158, S04, B19, 1
B19, Trade, 177.567, 161, S17, B19, 1
B19, Trade, 183.033, 143, B19, S03, 1
B19, Trade, 190.483, 154, S14, B19, 1
B19, Trade, 192.117, 164, S01, B19, 1
B19, Trade, 201.717, 146, S12, B19, 1
B19, Trade, 205.417, 158, B19, S03, 1
B19, Trade, 212.700, 154, B19, S10, 1
B19, Trade, 216.900, 138, B19, S05, 1
B19, Trade, 224.817, 165, B19, S19, 1
B19, Trade, 227.217, 164, S04, B19, 1
B19, Trade, 228.867, 164, B19, S18, 1
B19, Trade, 235.017, 161, S17, B19, 1
B19, Trade, 241.750, 160, S07, B19, 1
B19, Trade, 246.950, 153, B19, S15, 1
B19, Trade, 251.283, 145, B19, S02, 1
B19, Trade, 254.867, 151, B19, S03, 1
B19, Trade, 260.700, 151, S04, B19, 1
B19, Trade, 266.150, 152, B19, S06, 1
B19, Trade, 267.317, 153, S07, B19, 1
B19, Trade, 276.350, 152, B19, S06, 1
B19, Trade, 278.950, 143, B19, S02, 1
B19, Trade, 286.383, 155, B19, S08, 1
B19, Trade, 288.983, 159, B19, S17, 1
B19, Trade, 296.217, 152, B19, S02, 1
B20, 48
B20, Trade, 5.100, 143, B20, S03, 1
B20, Trade, 10.450, 154, B20, S05, 1
B20, Trade, 13.950, 155, B20, S03, 1
B20, Trade, 20.683, 157, S07, B20, 1
B20, Trade, 24.317, 158, B20, S14, 1
B20, Trade, 28.767, 159, S00, B20, 1
B20, Trade, 41.500, 158, S04, B20, 1
B20, Trade, 48.450, 147, B20, S08, 1
B20, Trade, 58.200, 148, S14, B20, 1
B20, Trade, 63.333, 157, B20, S03, 1
B20, Trade, 69.617, 153, B20, S04, 1
B20, Trade, 78.517, 154, B20, S14, 1
B20, Trade, 81.600, 151, B20, S03, 1
B20, Trade, 88.983, 155, B20, S10, 1
B20, Trade, 98.150, 152, B20, S03, 1
B20, Trade, 104.267, 163, B20, S14, 1
B20, Trade, 119.733, 158, S08, B20, 1
B20, Trade, 125.883, 157, S04, B20, 1
B20, Trade, 130.350, 152, B20, S03, 1
B20, Trade, 133.267, 156, B20, S07, 1
B20, Trade, 139.633, 152, B20, S05, 1
B20, Trade, 146.000, 158, S04, B20, 1
B20, Trade, 150.150, 142, S08, B20, 1
B20, Trade, 160.950, 160, B20, S03, 1
B20, Trade, 169.600, 161, S17, B20, 1
B20, Trade, 172.483, 161, S01, B20, 1
B20, Trade, 178.033, 159, B20, S10, 1
B20, Trade, 182.300, 143, B20, S05, 1
B20, Trade, 192.267, 164, B20, S08, 1
B20, Trade, 194.167, 164, B20, S03, 1
B20, Trade, 198.867, 151, B20, S03, 1
B20, Trade, 205.033, 159, B20, S00, 1
B20, Trade, 210.883, 155, S01, B20, 1
B20, Trade, 221.483, 157, B20, S14, 1
B20, Trade, 223.317, 164, B20, S03, 1
B20, Trade, 227.017, 164, S17, B20, 1
B20, Trade, 236.950, 161, B20, S04, 1
B20, Trade, 240.983, 160, B20, S15, 1
B20, Trade, 246.533, 155, B20, S03, 1
B20, Trade, 252.867, 147, S04, B20, 1
B20, Trade, 257.817, 152, B20, S03, 1
B20, Trade, 264.733, 153, B20, S15, 1
B20, Trade, 270.200, 151, B20, S04, 1
B20, Trade, 279.733, 145, B20, S08, 1
B20, Trade, 284.267, 151, B20, S03, 1
B20, Trade, 287.450, 156, B20, S14, 1
B20, Trade, 293.083, 154, S01, B20, 1
B20, Trade, 298.750, 149, B20, S01, 1
B21, 24
B21, Trade, 9.200, 161, S08, B21, 1
B21, Trade, 16.550, 172, B21, S14, 1
B21, Trade, 16.900, 168, B21, S17, 1
B21, Trade, 24.450, 160, S00, B21, 1
B21, Trade, 30.983, 157, B21, S09, 1
B21, Trade, 42.900, 158, S01, B21, 1
B21, Trade, 46.983, 145, S00, B21, 1
B21, Trade, 55.133, 141, S05, B21, 1
B21, Trade, 63.233, 160, S08, B21, 1
B21, Trade, 90.517, 153, S05, B21, 1
B21, Trade, 98.433, 153, S04, B21, 1
B21, Trade, 115.267, 158, S17, B21, 1
B21, Trade, 129.333, 158, S12, B21, 1
B21, Trade, 150.683, 140, S00, B21, 1
B21, Trade, 169.283, 161, S08, B21, 1
B21, Trade, 178.417, 161, S12, B21, 1
B21, Trade, 186.883, 148, S00, B21, 1
B21, Trade, 208.233, 162, S18, B21, 1
B21, Trade, 209.617, 156, S08, B21, 1
B21, Trade, 215.683, 153, S04, B21, 1
B21, Trade, 219.267, 167, S00, B21, 1
B21, Trade, 223.983, 168, S20, B21, 1
B21, Trade, 259.067, 155, S00, B21, 1
B21, Trade, 286.517, 156, S07, B21, 1
B22, 49
B22, Trade, 4.150, 142, B22, S05, 1
B22, Trade, 13.533, 157, B22, S00, 1
B22, Trade, 14.617, 155, S08, B22, 1
B22, Trade, 17.517, 152, B22, S03, 1
B22, Trade, 28.383, 159, S08, B22, 1
B22, Trade, 37.383, 155, B22, S03, 1
B22, Trade, 40.167, 157, B22, S00, 1
B22, Trade, 56.433, 146, B22, S07, 1
B22, Trade, 63.033, 158, B22, S05, 1
B22, Trade, 69.633, 151, B22, S03, 1
B22, Trade, 71.383, 151, B22, S07, 1
B22, Trade, 77.333, 152, B22, S14, 1
B22, Trade, 88.183, 158, B22, S00, 1
B22, Trade, 90.800, 152, B22, S03, 1
B22, Trade, 101.033, 157, B22, S11, 1
B22, Trade, 103.050, 162, S14, B22, 1
B22, Trade, 110.450, 159, B22, S00, 1
B22, Trade, 116.783, 155, B22, S10, 1
B22, Trade, 120.800, 156, S04, B22, 1
B22, Trade, 125.233, 156, B22, S01, 1
B22, Trade, 129.100, 155, B22, S05, 1
B22, Trade, 136.900, 156, B22, S01, 1
B22, Trade, 138.450, 156, S08, B22, 1
B22, Trade, 144.900, 158, B22, S10, 1
B22, Trade, 149.867, 142, B22, S04, 1
B22, Trade, 156.667, 154, S14, B22, 1
B22, Trade, 169.617, 160, B22, S03, 1
B22, Trade, 177.917, 160, B22, S07, 1
B22, Trade, 186.833, 145, B22, S03, 1
B22, Trade, 193.200, 165, S19, B22, 1
B22, Trade, 200.733, 150, S01, B22, 1
B22, Trade, 204.450, 159, S08, B22, 1
B22, Trade, 210.150, 155, S04, B22, 1
B22, Trade, 215.717, 152, B22, S14, 1
B22, Trade, 222.750, 156, B22, S12, 1
B22, Trade, 228.450, 165, B22, S03, 1
B22, Trade, 234.417, 161, S00, B22, 1
B22, Trade, 236.250, 161, B22, S12, 1
B22, Trade, 239.850, 161, B22, S00, 1
B22, Trade, 247.717, 155, B22, S08, 1
B22, Trade, 254.683, 152, S12, B22, 1
B22, Trade, 256.800, 153, S15, B22, 1
B22, Trade, 267.400, 153, B22, S06, 1
B22, Trade, 271.700, 152, B22, S03, 1
B22, Trade, 274.217, 153, B22, S15, 1
B22, Trade, 278.750, 144, B22, S03, 1
B22, Trade, 283.767, 151, B22, S06, 1
B22, Trade, 288.717, 159, S07, B22, 1
B22, Trade, 298.850, 146, B22, S02, 1
B23, 42
B23, Trade, 3.667, 143, S12, B23, 1
B23, Trade, 5.717, 147, S10, B23, 1
B23, Trade, 14.450, 154, B23, S12, 1
B23, Trade, 17.000, 158, B23, S05, 1
B23, Trade, 29.067, 158, B23, S07, 1
B23, Trade, 33.533, 156, B23, S01, 1
B23, Trade, 43.150, 155, B23, S09, 1
B23, Trade, 48.867, 147, B23, S03, 1
B23, Trade, 53.617, 147, B23, S03, 1
B23, Trade, 66.433, 155, B23, S03, 1
B23, Trade, 75.350, 150, B23, S07, 1
B23, Trade, 80.550, 151, B23, S09, 1
B23, Trade, 93.750, 148, S14, B23, 1
B23, Trade, 107.383, 161, B23, S08, 1
B23, Trade, 113.317, 155, B23, S04, 1
B23, Trade, 120.817, 155, B23, S05, 1
B23, Trade, 127.633, 155, B23, S08, 1
B23, Trade, 133.400, 155, B23, S08, 1
B23, Trade, 138.817, 155, B23, S03, 1
B23, Trade, 146.383, 157, B23, S08, 1
B23, Trade, 147.283, 155, S07, B23, 1
B23, Trade, 161.033, 153, B23, S05, 1
B23, Trade, 178.500, 159, B23, S09, 1
B23, Trade, 182.550, 149, S07, B23, 1
B23, Trade, 196.383, 159, S08, B23, 1
B23, Trade, 197.050, 156, S12, B23, 1
B23, Trade, 201.933, 147, S04, B23, 1
B23, Trade, 211.067, 154, B23, S07, 1
B23, Trade, 214.917, 153, B23, S08, 1
B23, Trade, 225.117, 160, B23, S09, 1
B23, Trade, 231.667, 162, B23, S18, 1
B23, Trade, 236.383, 160, B23, S03, 1
B23, Trade, 242.217, 160, B23, S04, 1
B23, Trade, 245.067, 156, B23, S16, 1
B23, Trade, 248.483, 153, B23, S02, 1
B23, Trade, 259.867, 150, B23, S00, 1
B23, Trade, 269.350, 152, B23, S15, 1
B23, Trade, 276.517, 150, B23, S10, 1
B23, Trade, 290.333, 156, B23, S09, 1
B23, Trade, 291.917, 153, B23, S03, 1
B23, Trade, 295.733, 153, B23, S05, 1
B23, Trade, 297.933, 150, S07, B23, 1
B24, 43
B24, Trade, 2.033, 136, S08, B24, 1
B24, Trade, 6.000, 154, S01, B24, 1
B24, Trade, 15.217, 165, S19, B24, 1
B24, Trade, 21.350, 165, S19, B24, 1
B24, Trade, 25.517, 160, S17, B24, 1
B24, Trade, 26.800, 161, S07, B24, 1
B24, Trade, 32.467, 157, S12, B24, 1
B24, Trade, 47.600, 148, S01, B24, 1
B24, Trade, 53.817, 149, S07, B24, 1
B24, Trade, 54.650, 157, S08, B24, 1
B24, Trade, 61.333, 158, S17, B24, 1
B24, Trade, 65.600, 158, S08, B24, 1
B24, Trade, 71.350, 152, S14, B24, 1
B24, Trade, 85.650, 162, S18, B24, 1
B24, Trade, 89.550, 153, S01, B24, 1
B24, Trade, 99.867, 158, S17, B24, 1
B24, Trade, 113.717, 154, S08, B24, 1
B24, Trade, 123.283, 155, S07, B24, 1
B24, Trade, 131.133, 162, S18, B24, 1
B24, Trade, 134.467, 159, S17, B24, 1
B24, Trade, 141.083, 160, S01, B24, 1
B24, Trade, 146.733, 158, S01, B24, 1
B24, Trade, 152.350, 157, S04, B24, 1
B24, Trade, 155.167, 150, S00, B24, 1
B24, Trade, 159.517, 160, S01, B24, 1
B24, Trade, 164.983, 164, S07, B24, 1
B24, Trade, 175.317, 161, S08, B24, 1
B24, Trade, 183.783, 147, S12, B24, 1
B24, Trade, 194.333, 166, S17, B24, 1
B24, Trade, 202.333, 157, S08, B24, 1
B24, Trade, 213.467, 156, S12, B24, 1
B24, Trade, 223.650, 165, S19, B24, 1
B24, Trade, 230.133, 166, S14, B24, 1
B24, Trade, 244.650, 158, S12, B24, 1
B24, Trade, 250.100, 153, S15, B24, 1
B24, Trade, 261.917, 155, S16, B24, 1
B24, Trade, 266.083, 155, S04, B24, 1
B24, Trade, 273.967, 155, S12, B24, 1
B24, Trade, 278.850, 146, S12, B24, 1
B24, Trade, 280.233, 145, S01, B24, 1
B24, Trade, 283.317, 151, S15, B24, 1
B24, Trade, 291.033, 157, S12, B24, 1
B24, Trade, 293.400, 155, S16, B24, 1
B25, 41
B25, Trade, 3.183, 133, S07, B25, 1
B25, Trade, 12.133, 156, B25, S14, 1
B25, Trade, 15.183, 154, B25, S01, 1
B25, Trade, 29.483, 156, B25, S03, 1
B25, Trade, 34.100, 153, B25, S03, 1
B25, Trade, 35.767, 155, B25, S10, 1
B25, Trade, 49.633, 145, B25, S10, 1
B25, Trade, 63.117, 159, S01, B25, 1
B25, Trade, 66.683, 160, S12, B25, 1
B25, Trade, 76.517, 149, B25, S03, 1
B25, Trade, 81.983, 150, B25, S01, 1
