B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 211.933, 130, B09, S02, 1
B10, 3
B10, Trade, 182.817, 131, B10, S02, 1
B10, Trade, 208.967, 133, B10, S02, 1
B10, Trade, 222.617, 132, B10, S02, 1
B11, 3
B11, Trade, 257.417, 137, B11, S10, 1
B11, Trade, 263.517, 137, B11, S02, 1
B11, Trade, 296.517, 137, B11, S10, 1
B12, 7
B12, Trade, 122.483, 141, B12, S11, 1
B12, Trade, 163.917, 132, B12, S05, 1
B12, Trade, 182.417, 139, S01, B12, 1
B12, Trade, 228.483, 137, S06, B12, 1
B12, Trade, 252.400, 140, B12, S05, 1
B12, Trade, 290.567, 141, B12, S09, 1
B12, Trade, 296.000, 141, B12, S02, 1
B13, 0
B14, 42
B14, Trade, 14.550, 148, B14, S13, 1
B14, Trade, 22.867, 148, B14, S10, 1
B14, Trade, 35.433, 147, S12, B14, 1
B14, Trade, 40.817, 148, S13, B14, 1
B14, Trade, 44.733, 145, S13, B14, 1
B14, Trade, 47.483, 144, S06, B14, 1
B14, Trade, 57.100, 148, B14, S14, 1
B14, Trade, 61.900, 148, B14, S05, 1
B14, Trade, 68.883, 148, B14, S04, 1
B14, Trade, 80.600, 148, S14, B14, 1
B14, Trade, 82.150, 148, B14, S14, 1
B14, Trade, 99.383, 148, B14, S08, 1
B14, Trade, 105.767, 148, B14, S03, 1
B14, Trade, 112.983, 148, B14, S14, 1
B14, Trade, 119.917, 138, S08, B14, 1
B14, Trade, 124.217, 142, S08, B14, 1
B14, Trade, 127.483, 148, S14, B14, 1
B14, Trade, 146.317, 148, B14, S10, 1
B14, Trade, 154.967, 148, B14, S06, 1
B14, Trade, 160.850, 145, S08, B14, 1
B14, Trade, 165.750, 146, S06, B14, 1
B14, Trade, 167.417, 146, S08, B14, 1
B14, Trade, 177.167, 148, B14, S10, 1
B14, Trade, 180.467, 148, B14, S11, 1
B14, Trade, 184.117, 141, S12, B14, 1
B14, Trade, 191.567, 148, S12, B14, 1
B14, Trade, 197.617, 148, B14, S10, 1
B14, Trade, 198.400, 141, S06, B14, 1
B14, Trade, 206.367, 148, B14, S04, 1
B14, Trade, 208.100, 148, B14, S12, 1
B14, Trade, 216.817, 148, B14, S12, 1
B14, Trade, 219.267, 144, S01, B14, 1
B14, Trade, 228.567, 138, S11, B14, 1
B14, Trade, 231.300, 148, B14, S14, 1
B14, Trade, 246.767, 148, B14, S04, 1
B14, Trade, 250.383, 141, S08, B14, 1
