B00, 0
B01, 0
B02, 1
B02, Trade, 0.700, 106, B02, S01, 1
B03, 0
B04, 0
B05, 1
B05, Trade, 87.183, 117, B05, S01, 1
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 2
B13, Trade, 80.967, 131, B13, S01, 1
B13, Trade, 249.217, 137, B13, S05, 1
B14, 12
B14, Trade, 13.933, 147, B14, S05, 1
B14, Trade, 28.767, 147, B14, S10, 1
B14, Trade, 81.567, 144, B14, S00, 1
B14, Trade, 129.117, 147, B14, S11, 1
B14, Trade, 182.150, 147, B14, S01, 1
B14, Trade, 193.933, 147, B14, S01, 1
B14, Trade, 199.033, 147, B14, S00, 1
B14, Trade, 263.133, 147, B14, S00, 1
B14, Trade, 267.467, 147, B14, S00, 1
B14, Trade, 279.850, 147, B14, S01, 1
B14, Trade, 288.300, 147, B14, S11, 1
B14, Trade, 295.600, 147, B14, S12, 1
B15, 2
B15, Trade, 14.933, 141, S06, B15, 1
B15, Trade, 59.483, 139, B15, S11, 1
B16, 35
B16, Trade, 4.267, 154, B16, S06, 1
B16, Trade, 12.750, 154, B16, S11, 1
B16, Trade, 21.267, 148, B16, S11, 1
B16, Trade, 26.967, 151, B16, S00, 1
B16, Trade, 29.067, 148, B16, S04, 1
B16, Trade, 37.833, 154, B16, S01, 1
B16, Trade, 44.100, 149, B16, S00, 1
B16, Trade, 58.067, 152, B16, S05, 1
B16, Trade, 66.700, 150, B16, S05, 1
B16, Trade, 75.767, 152, B16, S11, 1
B16, Trade, 80.100, 142, S05, B16, 1
B16, Trade, 86.583, 153, B16, S08, 1
B16, Trade, 92.933, 152, B16, S05, 1
B16, Trade, 103.050, 153, B16, S11, 1
B16, Trade, 118.600, 154, B16, S01, 1
B16, Trade, 128.717, 154, B16, S08, 1
B16, Trade, 146.933, 154, B16, S05, 1
B16, Trade, 154.217, 154, B16, S10, 1
B16, Trade, 162.300, 154, B16, S11, 1
B16, Trade, 169.633, 154, B16, S01, 1
B16, Trade, 179.633, 154, B16, S14, 1
B16, Trade, 185.267, 152, B16, S11, 1
B16, Trade, 192.683, 148, B16, S08, 1
B16, Trade, 203.233, 146, B16, S06, 1
B16, Trade, 206.617, 147, B16, S04, 1
B16, Trade, 214.167, 149, B16, S11, 1
B16, Trade, 223.867, 153, B16, S05, 1
B16, Trade, 227.717, 149, B16, S01, 1
B16, Trade, 246.050, 154, B16, S00, 1
B16, Trade, 262.600, 154, B16, S02, 1
B16, Trade, 267.233, 154, B16, S05, 1
B16, Trade, 279.667, 152, B16, S11, 1
B16, Trade, 288.183, 153, B16, S12, 1
B16, Trade, 293.550, 154, B16, S00, 1
B16, Trade, 295.250, 152, B16, S13, 1
B17, 50
B17, Trade, 3.867, 158, B17, S02, 1
B17, Trade, 9.867, 158, B17, S16, 1
B17, Trade, 11.317, 158, B17, S11, 1
B17, Trade, 19.667, 151, S15, B17, 1
B17, Trade, 26.733, 153, B17, S06, 1
B17, Trade, 35.133, 155, B17, S05, 1
B17, Trade, 39.367, 154, S04, B17, 1
B17, Trade, 49.250, 155, B17, S05, 1
B17, Trade, 54.583, 156, B17, S06, 1
B17, Trade, 64.000, 148, B17, S06, 1
B17, Trade, 69.950, 150, B17, S00, 1
B17, Trade, 73.650, 153, B17, S01, 1
B17, Trade, 77.267, 154, B17, S14, 1
B17, Trade, 87.133, 153, B17, S00, 1
B17, Trade, 90.283, 152, B17, S11, 1
B17, Trade, 96.433, 158, B17, S15, 1
B17, Trade, 104.150, 154, B17, S01, 1
B17, Trade, 110.500, 158, B17, S17, 1
B17, Trade, 116.300, 158, B17, S10, 1
B17, Trade, 119.950, 157, S06, B17, 1
B17, Trade, 125.933, 158, B17, S06, 1
B17, Trade, 129.583, 155, S14, B17, 1
B17, Trade, 137.617, 158, B17, S06, 1
B17, Trade, 141.533, 158, B17, S01, 1
B17, Trade, 152.700, 158, B17, S06, 1
B17, Trade, 161.350, 158, B17, S01, 1
B17, Trade, 165.750, 158, B17, S00, 1
B17, Trade, 169.400, 158, B17, S02, 1
B17, Trade, 177.283, 156, B17, S01, 1
B17, Trade, 179.450, 155, S04, B17, 1
B17, Trade, 185.083, 153, B17, S10, 1
B17, Trade, 189.283, 151, B17, S11, 1
B17, Trade, 197.567, 151, S06, B17, 1
B17, Trade, 205.950, 147, S06, B17, 1
B17, Trade, 211.967, 158, B17, S15, 1
B17, Trade, 213.533, 150, B17, S02, 1
B17, Trade, 221.567, 154, B17, S04, 1
B17, Trade, 226.067, 152, B17, S14, 1
B17, Trade, 231.233, 151, S06, B17, 1
B17, Trade, 236.000, 158, B17, S11, 1
B17, Trade, 240.667, 158, B17, S08, 1
B17, Trade, 243.750, 158, B17, S11, 1
B17, Trade, 252.067, 148, B17, S04, 1
B17, Trade, 254.883, 151, S12, B17, 1
B17, Trade, 261.833, 158, B17, S13, 1
B17, Trade, 265.367, 151, B17, S04, 1
B17, Trade, 275.700, 158, B17, S00, 1
B17, Trade, 276.517, 155, S09, B17, 1
B17, Trade, 287.683, 158, B17, S05, 1
B17, Trade, 292.917, 151, B17, S11, 1
B18, 55
B18, Trade, 9.667, 159, B18, S04, 1
B18, Trade, 11.283, 159, S02, B18, 1
B18, Trade, 16.400, 148, S14, B18, 1
B18, Trade, 23.300, 148, B18, S11, 1
