B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 23.217, 120, B06, S00, 1
B07, 0
B08, 2
B08, Trade, 41.550, 127, B08, S05, 1
B08, Trade, 233.850, 127, B08, S08, 1
B09, 0
B10, 0
B11, 13
B11, Trade, 16.167, 137, B11, S08, 1
B11, Trade, 43.400, 128, B11, S08, 1
B11, Trade, 70.367, 137, B11, S00, 1
B11, Trade, 81.500, 137, B11, S08, 1
B11, Trade, 92.883, 137, B11, S00, 1
B11, Trade, 97.917, 137, B11, S08, 1
B11, Trade, 151.650, 137, B11, S11, 1
B11, Trade, 163.417, 137, B11, S01, 1
B11, Trade, 174.700, 137, B11, S01, 1
B11, Trade, 218.683, 137, B11, S00, 1
B11, Trade, 231.267, 137, B11, S11, 1
B11, Trade, 243.500, 137, B11, S08, 1
B11, Trade, 298.800, 137, B11, S01, 1
B12, 0
B13, 1
B13, Trade, 110.867, 139, B13, S03, 1
B14, 37
B14, Trade, 11.383, 148, B14, S12, 1
B14, Trade, 14.867, 148, B14, S11, 1
B14, Trade, 23.150, 148, B14, S05, 1
B14, Trade, 26.450, 148, B14, S08, 1
B14, Trade, 40.333, 148, B14, S00, 1
B14, Trade, 45.167, 137, S11, B14, 1
B14, Trade, 47.317, 142, S02, B14, 1
B14, Trade, 56.067, 148, B14, S03, 1
B14, Trade, 81.117, 148, B14, S01, 1
B14, Trade, 96.767, 148, B14, S00, 1
B14, Trade, 101.200, 135, S04, B14, 1
B14, Trade, 103.233, 143, S04, B14, 1
B14, Trade, 110.817, 142, S09, B14, 1
B14, Trade, 112.967, 137, S11, B14, 1
B14, Trade, 130.733, 148, B14, S00, 1
B14, Trade, 148.200, 148, B14, S11, 1
B14, Trade, 150.183, 148, B14, S00, 1
B14, Trade, 155.900, 148, B14, S04, 1
B14, Trade, 157.500, 148, S06, B14, 1
B14, Trade, 164.367, 148, B14, S08, 1
B14, Trade, 172.367, 148, B14, S12, 1
B14, Trade, 177.350, 148, B14, S12, 1
B14, Trade, 181.750, 148, B14, S08, 1
B14, Trade, 188.017, 148, B14, S00, 1
B14, Trade, 194.533, 148, B14, S05, 1
B14, Trade, 197.550, 148, B14, S03, 1
B14, Trade, 211.000, 148, B14, S08, 1
B14, Trade, 215.233, 148, B14, S08, 1
B14, Trade, 220.933, 148, B14, S08, 1
B14, Trade, 225.550, 148, B14, S04, 1
B14, Trade, 231.100, 148, B14, S08, 1
B14, Trade, 236.317, 145, S03, B14, 1
