B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 0.617, 117, S05, B05, 1
B06, 0
B07, 0
B08, 0
B09, 6
B09, Trade, 3.583, 130, B09, S00, 1
B09, Trade, 17.800, 128, B09, S00, 1
B09, Trade, 29.717, 127, B09, S00, 1
B09, Trade, 108.283, 130, B09, S05, 1
B09, Trade, 132.617, 128, B09, S00, 1
B09, Trade, 196.517, 130, B09, S03, 1
B10, 1
B10, Trade, 70.683, 131, B10, S01, 1
B11, 14
B11, Trade, 15.167, 137, B11, S02, 1
B11, Trade, 23.483, 137, B11, S02, 1
B11, Trade, 31.000, 135, B11, S09, 1
B11, Trade, 35.000, 137, B11, S05, 1
B11, Trade, 57.783, 137, B11, S05, 1
B11, Trade, 69.367, 137, B11, S08, 1
B11, Trade, 83.483, 137, B11, S00, 1
B11, Trade, 130.967, 137, B11, S09, 1
B11, Trade, 139.667, 137, B11, S05, 1
B11, Trade, 153.283, 137, B11, S01, 1
B11, Trade, 183.183, 137, B11, S05, 1
B11, Trade, 196.200, 137, B11, S05, 1
B11, Trade, 215.317, 137, B11, S08, 1
B11, Trade, 237.867, 137, B11, S05, 1
B12, 2
B12, Trade, 20.233, 136, S10, B12, 1
B12, Trade, 57.917, 132, B12, S09, 1
B13, 34
B13, Trade, 19.250, 135, B13, S05, 1
B13, Trade, 32.483, 142, B13, S10, 1
B13, Trade, 37.967, 141, B13, S12, 1
B13, Trade, 49.233, 140, B13, S00, 1
B13, Trade, 55.917, 139, B13, S08, 1
B13, Trade, 61.933, 140, B13, S09, 1
B13, Trade, 69.567, 136, B13, S00, 1
B13, Trade, 79.683, 138, B13, S05, 1
B13, Trade, 85.517, 139, B13, S01, 1
B13, Trade, 92.467, 138, B13, S05, 1
B13, Trade, 97.200, 142, B13, S05, 1
B13, Trade, 108.917, 135, S04, B13, 1
B13, Trade, 119.217, 142, B13, S07, 1
B13, Trade, 120.100, 140, B13, S09, 1
B13, Trade, 130.633, 143, B13, S01, 1
B13, Trade, 132.250, 138, B13, S09, 1
B13, Trade, 142.150, 143, B13, S00, 1
B13, Trade, 146.400, 141, B13, S02, 1
B13, Trade, 147.150, 140, B13, S05, 1
B13, Trade, 161.183, 142, B13, S00, 1
B13, Trade, 165.050, 141, B13, S09, 1
B13, Trade, 171.183, 141, B13, S01, 1
