B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 178.467, 117, B05, S05, 1
B06, 1
B06, Trade, 37.767, 120, B06, S05, 1
B07, 0
B08, 0
B09, 0
B10, 0
B11, 3
B11, Trade, 250.300, 137, B11, S05, 1
B11, Trade, 290.517, 137, B11, S02, 1
B11, Trade, 297.283, 137, B11, S10, 1
B12, 15
B12, Trade, 6.317, 141, B12, S10, 1
B12, Trade, 9.500, 139, B12, S07, 1
B12, Trade, 14.417, 138, S04, B12, 1
B12, Trade, 28.733, 141, B12, S05, 1
B12, Trade, 37.633, 141, B12, S10, 1
B12, Trade, 128.300, 141, B12, S01, 1
B12, Trade, 159.017, 141, B12, S10, 1
B12, Trade, 174.450, 141, B12, S05, 1
B12, Trade, 182.550, 140, B12, S10, 1
B12, Trade, 190.183, 141, B12, S10, 1
B12, Trade, 250.033, 141, B12, S10, 1
B12, Trade, 256.733, 141, B12, S12, 1
B12, Trade, 289.017, 139, B12, S10, 1
B12, Trade, 295.917, 141, B12, S02, 1
B12, Trade, 296.800, 141, B12, S12, 1
B13, 11
B13, Trade, 23.200, 144, B13, S09, 1
B13, Trade, 29.933, 142, S09, B13, 1
B13, Trade, 112.883, 143, B13, S07, 1
B13, Trade, 117.817, 143, B13, S07, 1
B13, Trade, 159.433, 142, S06, B13, 1
B13, Trade, 178.200, 141, S08, B13, 1
B13, Trade, 196.650, 144, B13, S03, 1
B13, Trade, 246.400, 143, B13, S01, 1
B13, Trade, 254.683, 141, B13, S10, 1
B13, Trade, 266.667, 143, B13, S05, 1
B13, Trade, 297.600, 138, B13, S05, 1
B14, 35
B14, Trade, 8.667, 140, B14, S03, 1
B14, Trade, 18.033, 142, B14, S10, 1
B14, Trade, 25.867, 143, B14, S05, 1
B14, Trade, 36.200, 142, B14, S07, 1
B14, Trade, 46.800, 141, B14, S09, 1
B14, Trade, 50.950, 144, B14, S10, 1
B14, Trade, 56.700, 146, B14, S10, 1
B14, Trade, 61.133, 143, B14, S05, 1
B14, Trade, 70.833, 145, B14, S01, 1
B14, Trade, 82.850, 146, B14, S10, 1
B14, Trade, 87.567, 147, B14, S08, 1
B14, Trade, 96.233, 145, B14, S10, 1
B14, Trade, 98.833, 143, B14, S05, 1
B14, Trade, 106.517, 142, B14, S09, 1
B14, Trade, 142.983, 144, B14, S03, 1
B14, Trade, 154.700, 143, B14, S05, 1
B14, Trade, 155.967, 143, B14, S04, 1
B14, Trade, 157.517, 142, B14, S09, 1
B14, Trade, 167.717, 143, B14, S06, 1
B14, Trade, 177.967, 141, B14, S09, 1
B14, Trade, 187.150, 143, B14, S03, 1
B14, Trade, 196.600, 144, B14, S06, 1
B14, Trade, 207.133, 144, B14, S06, 1
B14, Trade, 211.967, 143, B14, S06, 1
B14, Trade, 223.000, 144, B14, S00, 1
B14, Trade, 231.300, 146, B14, S13, 1
B14, Trade, 234.300, 146, B14, S10, 1
B14, Trade, 241.350, 146, B14, S12, 1
B14, Trade, 248.417, 143, B14, S04, 1
B14, Trade, 262.583, 145, B14, S12, 1
B14, Trade, 273.300, 143, B14, S12, 1
B14, Trade, 280.550, 147, B14, S13, 1
B14, Trade, 285.383, 147, B14, S05, 1
B14, Trade, 287.100, 147, B14, S13, 1
B14, Trade, 297.017, 140, B14, S11, 1
B15, 10
B15, Trade, 18.600, 144, S04, B15, 1
B15, Trade, 47.250, 144, S13, B15, 1
B15, Trade, 87.983, 147, B15, S13, 1
B15, Trade, 109.600, 143, B15, S05, 1
B15, Trade, 120.083, 143, S04, B15, 1
B15, Trade, 139.067, 145, S03, B15, 1
B15, Trade, 167.850, 144, S07, B15, 1
B15, Trade, 183.100, 140, B15, S05, 1
B15, Trade, 192.083, 142, S00, B15, 1
B15, Trade, 287.483, 145, S08, B15, 1
B16, 53
B16, Trade, 7.633, 139, B16, S10, 1
B16, Trade, 17.200, 144, S08, B16, 1
B16, Trade, 22.317, 143, B16, S10, 1
B16, Trade, 30.000, 141, B16, S03, 1
B16, Trade, 36.783, 142, B16, S05, 1
B16, Trade, 44.333, 142, B16, S06, 1
B16, Trade, 52.167, 149, S06, B16, 1
B16, Trade, 55.283, 148, S03, B16, 1
B16, Trade, 57.917, 147, S03, B16, 1
B16, Trade, 65.900, 146, B16, S03, 1
B16, Trade, 70.283, 148, B16, S07, 1
B16, Trade, 78.583, 155, B16, S03, 1
B16, Trade, 84.983, 149, S09, B16, 1
B16, Trade, 90.667, 147, S06, B16, 1
B16, Trade, 96.717, 147, S09, B16, 1
B16, Trade, 98.700, 145, S03, B16, 1
B16, Trade, 109.050, 143, B16, S04, 1
B16, Trade, 115.633, 142, B16, S05, 1
B16, Trade, 117.217, 142, S03, B16, 1
B16, Trade, 126.917, 151, B16, S09, 1
B16, Trade, 130.667, 144, S03, B16, 1
B16, Trade, 132.433, 144, S00, B16, 1
B16, Trade, 141.717, 144, S03, B16, 1
B16, Trade, 146.900, 142, B16, S06, 1
B16, Trade, 148.900, 143, B16, S10, 1
B16, Trade, 152.117, 147, B16, S05, 1
B16, Trade, 164.900, 145, B16, S06, 1
B16, Trade, 166.800, 144, S09, B16, 1
B16, Trade, 175.483, 143, S04, B16, 1
B16, Trade, 181.100, 140, B16, S00, 1
B16, Trade, 184.683, 142, S07, B16, 1
B16, Trade, 190.617, 143, B16, S06, 1
B16, Trade, 195.667, 145, B16, S01, 1
B16, Trade, 201.283, 144, B16, S04, 1
B16, Trade, 205.783, 146, B16, S05, 1
B16, Trade, 210.367, 145, B16, S10, 1
B16, Trade, 216.583, 145, B16, S06, 1
B16, Trade, 222.100, 145, S03, B16, 1
B16, Trade, 228.133, 150, B16, S00, 1
B16, Trade, 229.550, 150, B16, S06, 1
B16, Trade, 233.150, 147, B16, S03, 1
B16, Trade, 239.733, 147, B16, S01, 1
B16, Trade, 247.967, 145, B16, S09, 1
B16, Trade, 252.967, 146, B16, S13, 1
