B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 7
B13, Trade, 109.967, 143, B13, S12, 1
B13, Trade, 165.533, 142, B13, S04, 1
B13, Trade, 246.233, 141, B13, S12, 1
B13, Trade, 259.100, 134, B13, S06, 1
B13, Trade, 269.483, 143, B13, S04, 1
B13, Trade, 283.433, 143, B13, S03, 1
B13, Trade, 294.550, 143, B13, S09, 1
B14, 5
B14, Trade, 245.900, 148, B14, S10, 1
B14, Trade, 257.517, 141, S09, B14, 1
B14, Trade, 265.683, 148, B14, S04, 1
B14, Trade, 273.650, 148, B14, S04, 1
B14, Trade, 292.750, 148, B14, S04, 1
B15, 21
B15, Trade, 4.600, 151, B15, S00, 1
B15, Trade, 8.250, 151, B15, S10, 1
B15, Trade, 55.467, 151, B15, S12, 1
B15, Trade, 59.433, 151, B15, S04, 1
B15, Trade, 61.083, 151, S15, B15, 1
B15, Trade, 82.283, 143, S05, B15, 1
B15, Trade, 99.850, 151, B15, S14, 1
B15, Trade, 108.550, 151, B15, S10, 1
B15, Trade, 115.167, 151, B15, S14, 1
B15, Trade, 211.367, 151, B15, S04, 1
B15, Trade, 224.767, 151, B15, S04, 1
B15, Trade, 237.917, 151, B15, S07, 1
B15, Trade, 247.000, 151, B15, S11, 1
B15, Trade, 252.717, 151, B15, S01, 1
B15, Trade, 256.217, 151, B15, S05, 1
B15, Trade, 260.867, 137, S02, B15, 1
B15, Trade, 265.400, 151, B15, S07, 1
B15, Trade, 272.283, 137, S02, B15, 1
B15, Trade, 285.733, 151, S15, B15, 1
B15, Trade, 290.283, 151, B15, S11, 1
B15, Trade, 298.567, 151, B15, S13, 1
B16, 28
B16, Trade, 8.300, 148, B16, S12, 1
B16, Trade, 11.883, 154, B16, S13, 1
B16, Trade, 51.233, 154, B16, S07, 1
B16, Trade, 55.217, 154, B16, S10, 1
B16, Trade, 60.167, 149, S00, B16, 1
B16, Trade, 80.400, 154, B16, S12, 1
B16, Trade, 93.200, 154, B16, S12, 1
B16, Trade, 98.600, 152, B16, S04, 1
B16, Trade, 104.067, 152, B16, S13, 1
B16, Trade, 113.967, 154, B16, S07, 1
B16, Trade, 157.767, 154, B16, S04, 1
B16, Trade, 183.400, 154, B16, S04, 1
B16, Trade, 211.200, 154, B16, S12, 1
B16, Trade, 215.417, 154, B16, S04, 1
B16, Trade, 218.567, 154, B16, S13, 1
B16, Trade, 237.783, 154, B16, S12, 1
B16, Trade, 245.633, 154, B16, S02, 1
B16, Trade, 249.917, 154, B16, S13, 1
B16, Trade, 253.017, 152, B16, S08, 1
B16, Trade, 258.967, 134, S08, B16, 1
B16, Trade, 269.250, 154, B16, S03, 1
B16, Trade, 270.233, 145, S00, B16, 1
B16, Trade, 275.683, 154, B16, S13, 1
B16, Trade, 280.183, 154, B16, S14, 1
B16, Trade, 285.500, 149, B16, S11, 1
B16, Trade, 290.017, 154, B16, S09, 1
B16, Trade, 298.100, 152, B16, S04, 1
B16, Trade, 299.933, 153, B16, S11, 1
B17, 43
B17, Trade, 3.500, 158, B17, S07, 1
