B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 1.450, 103, S01, B03, 1
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 2
B11, Trade, 3.767, 126, S07, B11, 1
B11, Trade, 187.900, 131, S08, B11, 1
B12, 2
B12, Trade, 238.883, 139, B12, S03, 1
B12, Trade, 259.500, 140, B12, S02, 1
B13, 5
B13, Trade, 245.067, 144, B13, S05, 1
B13, Trade, 250.867, 144, B13, S13, 1
B13, Trade, 258.483, 144, B13, S13, 1
B13, Trade, 271.283, 144, B13, S12, 1
B13, Trade, 276.867, 144, B13, S13, 1
B14, 22
B14, Trade, 23.350, 147, B14, S01, 1
B14, Trade, 53.267, 147, B14, S13, 1
B14, Trade, 57.217, 147, B14, S03, 1
B14, Trade, 68.400, 147, S12, B14, 1
B14, Trade, 75.400, 143, B14, S00, 1
B14, Trade, 79.833, 144, S13, B14, 1
B14, Trade, 102.117, 147, B14, S13, 1
B14, Trade, 115.467, 147, B14, S00, 1
B14, Trade, 120.850, 147, B14, S01, 1
B14, Trade, 143.850, 147, B14, S00, 1
B14, Trade, 187.150, 146, B14, S08, 1
B14, Trade, 194.267, 147, B14, S03, 1
B14, Trade, 207.383, 147, B14, S01, 1
B14, Trade, 216.517, 147, B14, S00, 1
B14, Trade, 228.267, 147, B14, S01, 1
B14, Trade, 242.767, 147, B14, S06, 1
B14, Trade, 248.050, 147, B14, S01, 1
B14, Trade, 274.150, 145, S05, B14, 1
B14, Trade, 282.733, 147, B14, S13, 1
B14, Trade, 287.200, 147, B14, S05, 1
B14, Trade, 292.667, 147, B14, S01, 1
B14, Trade, 299.117, 147, B14, S05, 1
B15, 41
B15, Trade, 3.333, 144, S13, B15, 1
B15, Trade, 18.933, 151, B15, S13, 1
B15, Trade, 24.133, 151, B15, S13, 1
B15, Trade, 37.533, 151, B15, S13, 1
B15, Trade, 44.433, 151, B15, S01, 1
B15, Trade, 49.217, 150, S10, B15, 1
B15, Trade, 57.183, 151, B15, S01, 1
B15, Trade, 68.100, 151, B15, S00, 1
B15, Trade, 69.200, 144, S13, B15, 1
B15, Trade, 75.567, 146, S07, B15, 1
B15, Trade, 80.667, 148, S14, B15, 1
B15, Trade, 86.483, 151, B15, S13, 1
B15, Trade, 96.117, 151, B15, S03, 1
B15, Trade, 99.183, 151, B15, S01, 1
B15, Trade, 104.183, 151, B15, S14, 1
