B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 5
B12, Trade, 3.183, 141, S10, B12, 1
B12, Trade, 19.767, 141, B12, S12, 1
B12, Trade, 249.800, 141, B12, S12, 1
B12, Trade, 290.117, 141, B12, S04, 1
B12, Trade, 292.550, 141, B12, S09, 1
B13, 15
B13, Trade, 2.517, 129, S06, B13, 1
B13, Trade, 19.250, 144, B13, S03, 1
B13, Trade, 26.133, 144, B13, S12, 1
B13, Trade, 102.850, 144, B13, S00, 1
B13, Trade, 151.867, 144, B13, S05, 1
B13, Trade, 161.683, 144, B13, S03, 1
B13, Trade, 171.700, 144, B13, S05, 1
B13, Trade, 203.350, 144, B13, S13, 1
B13, Trade, 244.817, 144, B13, S00, 1
B13, Trade, 252.933, 144, B13, S13, 1
B13, Trade, 272.233, 144, B13, S13, 1
B13, Trade, 282.700, 144, B13, S02, 1
B13, Trade, 285.367, 142, S10, B13, 1
B13, Trade, 290.417, 142, S01, B13, 1
B13, Trade, 294.367, 144, B13, S02, 1
B14, 1
B14, Trade, 19.900, 144, S13, B14, 1
B15, 47
B15, Trade, 1.700, 122, B15, S05, 1
B15, Trade, 7.583, 144, B15, S12, 1
B15, Trade, 18.333, 150, B15, S05, 1
B15, Trade, 25.450, 151, B15, S04, 1
B15, Trade, 28.950, 151, B15, S14, 1
B15, Trade, 32.033, 151, B15, S13, 1
B15, Trade, 40.583, 151, B15, S00, 1
B15, Trade, 45.917, 151, B15, S00, 1
B15, Trade, 46.400, 151, S01, B15, 1
B15, Trade, 52.850, 145, B15, S00, 1
B15, Trade, 57.567, 150, B15, S12, 1
B15, Trade, 64.283, 147, B15, S13, 1
B15, Trade, 69.050, 147, B15, S04, 1
B15, Trade, 75.583, 151, B15, S05, 1
B15, Trade, 82.200, 151, B15, S06, 1
B15, Trade, 87.933, 151, B15, S04, 1
B15, Trade, 94.900, 150, B15, S10, 1
B15, Trade, 101.000, 149, B15, S13, 1
B15, Trade, 106.400, 151, B15, S08, 1
B15, Trade, 133.067, 151, B15, S13, 1
B15, Trade, 136.650, 150, B15, S14, 1
B15, Trade, 147.183, 147, B15, S13, 1
B15, Trade, 150.450, 149, B15, S06, 1
B15, Trade, 154.317, 144, S08, B15, 1
B15, Trade, 160.550, 149, B15, S00, 1
B15, Trade, 167.033, 145, B15, S12, 1
B15, Trade, 176.517, 148, S03, B15, 1
B15, Trade, 183.883, 145, B15, S13, 1
B15, Trade, 189.667, 151, B15, S05, 1
B15, Trade, 195.550, 147, B15, S13, 1
B15, Trade, 200.583, 150, S14, B15, 1
B15, Trade, 206.033, 148, S14, B15, 1
B15, Trade, 208.233, 151, B15, S08, 1
