B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 27
B15, Trade, 3.950, 149, B15, S03, 1
B15, Trade, 6.750, 151, B15, S15, 1
B15, Trade, 17.017, 138, B15, S04, 1
B15, Trade, 46.433, 139, B15, S05, 1
B15, Trade, 66.583, 151, B15, S06, 1
B15, Trade, 78.050, 151, S15, B15, 1
B15, Trade, 83.283, 150, B15, S06, 1
B15, Trade, 95.267, 151, B15, S08, 1
B15, Trade, 103.317, 147, B15, S01, 1
B15, Trade, 111.933, 150, S03, B15, 1
B15, Trade, 141.933, 151, B15, S15, 1
B15, Trade, 153.150, 151, B15, S04, 1
B15, Trade, 162.200, 150, S08, B15, 1
B15, Trade, 169.367, 151, B15, S15, 1
B15, Trade, 177.150, 143, B15, S04, 1
B15, Trade, 184.300, 151, B15, S05, 1
B15, Trade, 202.183, 144, B15, S04, 1
B15, Trade, 206.533, 151, B15, S12, 1
B15, Trade, 218.267, 150, B15, S00, 1
B15, Trade, 239.467, 147, B15, S00, 1
B15, Trade, 246.000, 151, B15, S04, 1
B15, Trade, 252.283, 151, B15, S06, 1
B15, Trade, 261.717, 135, B15, S05, 1
B15, Trade, 268.283, 149, B15, S11, 1
B15, Trade, 277.467, 147, B15, S07, 1
B15, Trade, 286.733, 146, B15, S07, 1
B15, Trade, 288.117, 151, S08, B15, 1
B16, 13
B16, Trade, 6.917, 153, B16, S01, 1
B16, Trade, 42.350, 154, B16, S06, 1
B16, Trade, 93.050, 146, S13, B16, 1
B16, Trade, 159.267, 152, B16, S15, 1
B16, Trade, 178.650, 151, S01, B16, 1
B16, Trade, 214.000, 155, B16, S01, 1
B16, Trade, 223.983, 151, S01, B16, 1
B16, Trade, 244.783, 154, S10, B16, 1
B16, Trade, 260.917, 150, B16, S05, 1
B16, Trade, 262.583, 141, B16, S01, 1
B16, Trade, 272.067, 145, S13, B16, 1
B16, Trade, 279.300, 148, B16, S07, 1
B16, Trade, 292.767, 151, S15, B16, 1
B17, 43
B17, Trade, 6.333, 158, B17, S05, 1
B17, Trade, 10.100, 156, S08, B17, 1
B17, Trade, 16.067, 153, B17, S06, 1
B17, Trade, 22.417, 145, B17, S08, 1
B17, Trade, 26.667, 155, B17, S15, 1
B17, Trade, 34.683, 150, B17, S06, 1
B17, Trade, 42.083, 155, B17, S01, 1
B17, Trade, 50.950, 153, B17, S06, 1
B17, Trade, 54.600, 154, B17, S15, 1
B17, Trade, 62.350, 155, B17, S06, 1
B17, Trade, 78.783, 152, S08, B17, 1
B17, Trade, 84.817, 151, B17, S01, 1
B17, Trade, 88.783, 138, B17, S04, 1
B17, Trade, 99.650, 154, B17, S05, 1
B17, Trade, 104.883, 154, S10, B17, 1
B17, Trade, 108.117, 153, S08, B17, 1
B17, Trade, 121.183, 158, B17, S04, 1
B17, Trade, 124.767, 153, B17, S15, 1
B17, Trade, 127.867, 153, S05, B17, 1
B17, Trade, 135.367, 153, B17, S15, 1
B17, Trade, 146.100, 158, B17, S09, 1
B17, Trade, 153.083, 158, B17, S05, 1
B17, Trade, 159.233, 158, B17, S10, 1
B17, Trade, 166.733, 157, B17, S00, 1
B17, Trade, 173.283, 158, S01, B17, 1
B17, Trade, 180.050, 147, B17, S06, 1
B17, Trade, 197.617, 156, B17, S09, 1
B17, Trade, 206.167, 153, S08, B17, 1
B17, Trade, 210.350, 154, S12, B17, 1
B17, Trade, 215.400, 152, B17, S03, 1
B17, Trade, 220.717, 153, S10, B17, 1
B17, Trade, 229.117, 153, S00, B17, 1
B17, Trade, 240.933, 149, S02, B17, 1
B17, Trade, 247.050, 152, B17, S01, 1
B17, Trade, 249.700, 152, S11, B17, 1
B17, Trade, 256.500, 153, B17, S07, 1
B17, Trade, 268.100, 150, S00, B17, 1
B17, Trade, 272.700, 138, B17, S04, 1
B17, Trade, 277.883, 146, B17, S04, 1
B17, Trade, 281.517, 149, B17, S03, 1
B17, Trade, 283.433, 139, S11, B17, 1
B17, Trade, 290.517, 146, B17, S02, 1
B17, Trade, 297.267, 140, B17, S02, 1
B18, 50
B18, Trade, 4.150, 148, B18, S05, 1
B18, Trade, 10.433, 154, S01, B18, 1
B18, Trade, 23.867, 149, S10, B18, 1
B18, Trade, 30.983, 162, S03, B18, 1
B18, Trade, 37.500, 152, B18, S00, 1
B18, Trade, 44.617, 153, B18, S15, 1
B18, Trade, 54.767, 153, B18, S05, 1
B18, Trade, 57.000, 154, B18, S13, 1
B18, Trade, 66.217, 161, B18, S00, 1
B18, Trade, 70.917, 158, B18, S00, 1
B18, Trade, 75.867, 151, S15, B18, 1
B18, Trade, 81.467, 157, B18, S16, 1
B18, Trade, 84.633, 151, S15, B18, 1
B18, Trade, 99.600, 155, B18, S03, 1
B18, Trade, 104.933, 153, B18, S15, 1
B18, Trade, 107.017, 152, B18, S00, 1
B18, Trade, 110.517, 153, B18, S15, 1
B18, Trade, 116.650, 162, B18, S05, 1
B18, Trade, 118.833, 162, B18, S15, 1
B18, Trade, 124.333, 156, S08, B18, 1
B18, Trade, 131.617, 155, B18, S16, 1
B18, Trade, 137.267, 154, B18, S15, 1
B18, Trade, 138.817, 152, B18, S04, 1
B18, Trade, 144.950, 159, B18, S04, 1
B18, Trade, 149.800, 159, B18, S14, 1
B18, Trade, 153.983, 160, S13, B18, 1
B18, Trade, 158.917, 158, B18, S01, 1
B18, Trade, 165.300, 152, S01, B18, 1
B18, Trade, 173.433, 157, B18, S15, 1
B18, Trade, 183.233, 154, S00, B18, 1
B18, Trade, 193.133, 162, B18, S04, 1
B18, Trade, 196.883, 158, B18, S15, 1
B18, Trade, 201.067, 146, S03, B18, 1
B18, Trade, 204.983, 153, S10, B18, 1
B18, Trade, 209.233, 152, S13, B18, 1
B18, Trade, 216.533, 151, B18, S05, 1
B18, Trade, 220.617, 152, B18, S15, 1
B18, Trade, 229.617, 153, S03, B18, 1
B18, Trade, 235.150, 162, B18, S05, 1
B18, Trade, 238.467, 145, B18, S05, 1
B18, Trade, 242.667, 151, B18, S07, 1
B18, Trade, 254.117, 151, B18, S02, 1
B18, Trade, 256.383, 154, S08, B18, 1
B18, Trade, 266.150, 145, S02, B18, 1
