B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 2
B10, Trade, 1.300, 110, S03, B10, 1
B10, Trade, 237.767, 133, B10, S03, 1
B11, 0
B12, 4
B12, Trade, 47.983, 138, B12, S00, 1
B12, Trade, 104.883, 136, B12, S00, 1
B12, Trade, 118.500, 138, B12, S00, 1
B12, Trade, 140.933, 136, B12, S03, 1
B13, 20
B13, Trade, 5.483, 140, B13, S03, 1
B13, Trade, 12.650, 140, B13, S03, 1
B13, Trade, 17.167, 142, B13, S07, 1
B13, Trade, 22.667, 144, B13, S03, 1
B13, Trade, 29.933, 144, B13, S00, 1
B13, Trade, 35.683, 144, B13, S00, 1
B13, Trade, 44.050, 144, B13, S07, 1
B13, Trade, 54.467, 144, B13, S07, 1
B13, Trade, 57.900, 143, B13, S07, 1
B13, Trade, 64.717, 144, B13, S03, 1
B13, Trade, 76.333, 144, B13, S00, 1
B13, Trade, 124.450, 144, B13, S03, 1
B13, Trade, 140.633, 138, B13, S02, 1
B13, Trade, 142.817, 143, B13, S04, 1
B13, Trade, 158.417, 144, B13, S10, 1
B13, Trade, 175.150, 144, B13, S10, 1
B13, Trade, 206.883, 144, B13, S12, 1
B13, Trade, 218.083, 135, B13, S03, 1
B13, Trade, 225.583, 141, B13, S03, 1
B13, Trade, 272.783, 144, B13, S12, 1
B14, 44
B14, Trade, 3.117, 148, B14, S00, 1
B14, Trade, 8.817, 143, S11, B14, 1
B14, Trade, 11.933, 148, B14, S01, 1
B14, Trade, 17.133, 145, S05, B14, 1
B14, Trade, 25.733, 148, B14, S07, 1
B14, Trade, 28.700, 148, B14, S02, 1
B14, Trade, 34.950, 148, B14, S01, 1
B14, Trade, 39.783, 147, S04, B14, 1
B14, Trade, 43.200, 148, B14, S03, 1
B14, Trade, 52.550, 148, B14, S00, 1
B14, Trade, 54.283, 148, B14, S06, 1
B14, Trade, 64.633, 148, B14, S00, 1
B14, Trade, 70.250, 148, B14, S07, 1
B14, Trade, 74.083, 148, B14, S03, 1
B14, Trade, 77.233, 148, S11, B14, 1
B14, Trade, 84.133, 148, S05, B14, 1
B14, Trade, 97.183, 148, B14, S02, 1
B14, Trade, 101.883, 148, B14, S12, 1
B14, Trade, 106.650, 148, B14, S03, 1
B14, Trade, 110.067, 148, B14, S00, 1
B14, Trade, 125.350, 144, S05, B14, 1
B14, Trade, 134.100, 148, B14, S07, 1
B14, Trade, 139.983, 148, B14, S00, 1
B14, Trade, 143.800, 148, B14, S12, 1
B14, Trade, 150.817, 146, S13, B14, 1
B14, Trade, 154.233, 148, B14, S01, 1
B14, Trade, 161.967, 148, B14, S04, 1
B14, Trade, 174.817, 148, B14, S00, 1
B14, Trade, 181.550, 148, B14, S00, 1
B14, Trade, 185.367, 148, B14, S04, 1
B14, Trade, 194.033, 148, B14, S12, 1
B14, Trade, 195.200, 148, B14, S00, 1
B14, Trade, 205.100, 148, B14, S02, 1
B14, Trade, 209.350, 148, B14, S03, 1
B14, Trade, 217.733, 148, S11, B14, 1
B14, Trade, 232.200, 148, B14, S12, 1
B14, Trade, 237.100, 148, B14, S02, 1
B14, Trade, 251.783, 148, B14, S07, 1
B14, Trade, 267.467, 148, B14, S02, 1
B14, Trade, 269.050, 148, B14, S09, 1
B14, Trade, 279.017, 148, B14, S03, 1
B14, Trade, 284.367, 148, B14, S02, 1
B14, Trade, 289.183, 148, B14, S07, 1
B14, Trade, 299.217, 148, B14, S08, 1
B15, 17
B15, Trade, 9.817, 145, S05, B15, 1
B15, Trade, 10.683, 145, S04, B15, 1
B15, Trade, 49.283, 147, S11, B15, 1
B15, Trade, 97.867, 151, S05, B15, 1
B15, Trade, 113.467, 151, B15, S02, 1
B15, Trade, 116.633, 151, B15, S13, 1
B15, Trade, 125.467, 146, S11, B15, 1
B15, Trade, 135.933, 148, B15, S12, 1
B15, Trade, 141.600, 138, S07, B15, 1
B15, Trade, 149.550, 141, S12, B15, 1
B15, Trade, 160.467, 146, S11, B15, 1
B15, Trade, 169.817, 150, S04, B15, 1
B15, Trade, 190.950, 146, B15, S03, 1
B15, Trade, 195.717, 149, S01, B15, 1
B15, Trade, 224.967, 149, S11, B15, 1
B15, Trade, 233.633, 149, S11, B15, 1
B15, Trade, 278.117, 150, B15, S08, 1
B16, 56
B16, Trade, 6.833, 141, B16, S06, 1
B16, Trade, 9.500, 144, B16, S07, 1
B16, Trade, 12.600, 143, B16, S12, 1
B16, Trade, 20.300, 146, B16, S12, 1
B16, Trade, 25.600, 150, S04, B16, 1
B16, Trade, 28.267, 151, B16, S12, 1
B16, Trade, 31.933, 143, B16, S12, 1
B16, Trade, 43.083, 151, S15, B16, 1
B16, Trade, 46.567, 147, B16, S13, 1
