B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 2
B12, Trade, 44.833, 141, B12, S07, 1
B12, Trade, 299.733, 141, B12, S02, 1
B13, 10
B13, Trade, 38.267, 144, B13, S06, 1
B13, Trade, 40.300, 144, B13, S12, 1
B13, Trade, 48.083, 144, B13, S10, 1
B13, Trade, 101.600, 144, B13, S03, 1
B13, Trade, 103.450, 144, S09, B13, 1
B13, Trade, 151.333, 144, B13, S01, 1
B13, Trade, 252.900, 144, B13, S09, 1
B13, Trade, 257.867, 144, B13, S01, 1
B13, Trade, 287.717, 144, B13, S04, 1
B13, Trade, 299.967, 142, S12, B13, 1
B14, 1
B14, Trade, 16.833, 148, B14, S01, 1
B15, 30
B15, Trade, 12.083, 150, B15, S07, 1
B15, Trade, 16.017, 149, B15, S06, 1
B15, Trade, 25.333, 150, B15, S12, 1
B15, Trade, 35.717, 149, B15, S01, 1
B15, Trade, 39.583, 145, B15, S03, 1
B15, Trade, 59.033, 145, B15, S06, 1
B15, Trade, 67.733, 148, B15, S10, 1
B15, Trade, 79.133, 149, B15, S05, 1
B15, Trade, 93.950, 150, B15, S07, 1
B15, Trade, 101.067, 150, S00, B15, 1
B15, Trade, 108.733, 147, S12, B15, 1
B15, Trade, 114.917, 148, B15, S12, 1
B15, Trade, 132.317, 149, B15, S10, 1
B15, Trade, 137.933, 146, B15, S11, 1
B15, Trade, 148.833, 150, B15, S03, 1
B15, Trade, 154.967, 145, B15, S06, 1
B15, Trade, 168.267, 150, B15, S12, 1
B15, Trade, 176.667, 149, B15, S05, 1
B15, Trade, 184.483, 149, B15, S12, 1
B15, Trade, 196.267, 150, B15, S01, 1
B15, Trade, 197.183, 150, B15, S13, 1
B15, Trade, 228.750, 150, B15, S07, 1
B15, Trade, 230.967, 147, B15, S01, 1
B15, Trade, 239.683, 148, S08, B15, 1
B15, Trade, 259.367, 148, B15, S04, 1
B15, Trade, 262.050, 149, B15, S04, 1
B15, Trade, 281.667, 149, B15, S05, 1
B15, Trade, 286.733, 149, B15, S07, 1
B15, Trade, 292.050, 149, B15, S02, 1
B15, Trade, 297.233, 150, B15, S01, 1
B16, 44
B16, Trade, 5.400, 151, B16, S01, 1
B16, Trade, 11.833, 153, B16, S03, 1
B16, Trade, 22.017, 152, B16, S07, 1
B16, Trade, 31.183, 154, B16, S13, 1
B16, Trade, 43.650, 150, B16, S00, 1
B16, Trade, 46.667, 145, B16, S01, 1
B16, Trade, 54.650, 154, B16, S05, 1
B16, Trade, 58.983, 149, B16, S01, 1
B16, Trade, 65.283, 150, B16, S01, 1
B16, Trade, 70.150, 148, S05, B16, 1
B16, Trade, 77.067, 152, B16, S15, 1
B16, Trade, 78.900, 150, S10, B16, 1
B16, Trade, 87.050, 152, B16, S15, 1
B16, Trade, 93.650, 155, B16, S15, 1
B16, Trade, 100.500, 149, B16, S11, 1
B16, Trade, 109.167, 147, B16, S00, 1
B16, Trade, 119.583, 155, B16, S07, 1
B16, Trade, 124.067, 151, B16, S15, 1
B16, Trade, 129.883, 155, B16, S10, 1
B16, Trade, 131.917, 151, B16, S07, 1
B16, Trade, 141.800, 152, B16, S01, 1
B16, Trade, 148.533, 149, B16, S03, 1
B16, Trade, 164.683, 155, B16, S15, 1
B16, Trade, 174.400, 151, B16, S07, 1
B16, Trade, 181.583, 151, S15, B16, 1
B16, Trade, 184.017, 150, B16, S09, 1
B16, Trade, 189.150, 146, S11, B16, 1
B16, Trade, 194.000, 150, S05, B16, 1
B16, Trade, 198.117, 150, S08, B16, 1
B16, Trade, 210.067, 149, B16, S01, 1
B16, Trade, 214.783, 155, B16, S09, 1
B16, Trade, 217.533, 155, B16, S08, 1
B16, Trade, 223.217, 155, B16, S15, 1
B16, Trade, 233.333, 149, B16, S03, 1
B16, Trade, 235.933, 152, B16, S01, 1
B16, Trade, 240.500, 150, B16, S07, 1
B16, Trade, 244.567, 148, B16, S04, 1
B16, Trade, 249.217, 152, S12, B16, 1
B16, Trade, 255.000, 149, S00, B16, 1
B16, Trade, 257.600, 147, B16, S09, 1
B16, Trade, 269.083, 146, B16, S07, 1
B16, Trade, 278.683, 153, S08, B16, 1
B16, Trade, 286.183, 149, B16, S02, 1
B16, Trade, 295.883, 152, S12, B16, 1
B17, 13
B17, Trade, 27.383, 152, B17, S01, 1
B17, Trade, 38.017, 155, B17, S01, 1
B17, Trade, 58.483, 152, S11, B17, 1
B17, Trade, 68.550, 148, B17, S07, 1
B17, Trade, 138.433, 151, S15, B17, 1
B17, Trade, 152.100, 148, S00, B17, 1
B17, Trade, 154.617, 151, B17, S01, 1
B17, Trade, 158.600, 157, B17, S05, 1
B17, Trade, 172.250, 150, B17, S03, 1
B17, Trade, 192.567, 148, S08, B17, 1
B17, Trade, 210.050, 152, S13, B17, 1
B17, Trade, 213.867, 155, B17, S03, 1
B17, Trade, 286.700, 151, S13, B17, 1
B18, 57
B18, Trade, 3.217, 151, B18, S00, 1
B18, Trade, 9.450, 155, B18, S15, 1
B18, Trade, 11.733, 154, S08, B18, 1
B18, Trade, 17.933, 150, B18, S08, 1
B18, Trade, 23.400, 154, B18, S11, 1
B18, Trade, 30.950, 156, S11, B18, 1
B18, Trade, 32.717, 153, B18, S09, 1
B18, Trade, 40.017, 145, B18, S11, 1
B18, Trade, 41.417, 147, S00, B18, 1
B18, Trade, 52.200, 149, B18, S14, 1
B18, Trade, 56.200, 154, B18, S05, 1
B18, Trade, 66.450, 151, B18, S08, 1
B18, Trade, 71.950, 150, B18, S08, 1
B18, Trade, 72.733, 150, S05, B18, 1
B18, Trade, 81.633, 149, S12, B18, 1
B18, Trade, 83.117, 151, S05, B18, 1
B18, Trade, 91.067, 156, B18, S12, 1
B18, Trade, 93.583, 159, B18, S12, 1
B18, Trade, 99.650, 159, B18, S01, 1
B18, Trade, 105.433, 147, B18, S08, 1
B18, Trade, 113.617, 149, B18, S10, 1
B18, Trade, 116.083, 156, B18, S05, 1
B18, Trade, 120.033, 154, B18, S15, 1
B18, Trade, 125.333, 152, B18, S01, 1
B18, Trade, 129.633, 156, S12, B18, 1
B18, Trade, 134.083, 155, S08, B18, 1
B18, Trade, 137.950, 146, B18, S00, 1
B18, Trade, 147.000, 154, S05, B18, 1
B18, Trade, 147.367, 152, B18, S08, 1
B18, Trade, 157.250, 154, B18, S01, 1
B18, Trade, 163.883, 157, S08, B18, 1
B18, Trade, 169.133, 145, B18, S01, 1
B18, Trade, 175.450, 152, B18, S15, 1
B18, Trade, 178.117, 149, B18, S03, 1
B18, Trade, 187.067, 148, B18, S12, 1
B18, Trade, 192.467, 146, B18, S01, 1
B18, Trade, 195.333, 151, S09, B18, 1
B18, Trade, 200.033, 152, B18, S05, 1
B18, Trade, 206.100, 162, B18, S13, 1
B18, Trade, 214.383, 159, B18, S15, 1
B18, Trade, 221.450, 154, B18, S15, 1
B18, Trade, 224.950, 162, B18, S01, 1
B18, Trade, 226.400, 159, B18, S08, 1
B18, Trade, 234.483, 151, S15, B18, 1
B18, Trade, 237.200, 150, B18, S12, 1
B18, Trade, 246.467, 153, S13, B18, 1
B18, Trade, 249.933, 153, B18, S15, 1
B18, Trade, 255.550, 149, S05, B18, 1
B18, Trade, 258.600, 149, B18, S13, 1
B18, Trade, 266.567, 155, S13, B18, 1
B18, Trade, 270.967, 146, B18, S08, 1
B18, Trade, 275.683, 156, B18, S15, 1
B18, Trade, 279.050, 153, B18, S04, 1
B18, Trade, 287.283, 150, B18, S12, 1
B18, Trade, 291.917, 150, S10, B18, 1
B18, Trade, 294.717, 153, B18, S15, 1
B18, Trade, 299.300, 144, B18, S04, 1
B19, 46
B19, Trade, 10.467, 155, S12, B19, 1
B19, Trade, 14.083, 155, S05, B19, 1
B19, Trade, 16.650, 153, B19, S15, 1
B19, Trade, 23.000, 154, S13, B19, 1
B19, Trade, 35.867, 160, S09, B19, 1
B19, Trade, 45.550, 147, S12, B19, 1
B19, Trade, 49.767, 150, S08, B19, 1
B19, Trade, 55.917, 154, S12, B19, 1
B19, Trade, 65.900, 152, S13, B19, 1
B19, Trade, 73.250, 154, S14, B19, 1
B19, Trade, 76.367, 154, S12, B19, 1
B19, Trade, 81.767, 151, S15, B19, 1
B19, Trade, 93.800, 159, S11, B19, 1
B19, Trade, 98.367, 159, B19, S03, 1
B19, Trade, 106.467, 149, S05, B19, 1
B19, Trade, 110.317, 148, S13, B19, 1
B19, Trade, 115.967, 156, B19, S00, 1
B19, Trade, 123.100, 154, B19, S06, 1
B19, Trade, 135.083, 155, S13, B19, 1
B19, Trade, 141.167, 154, S13, B19, 1
B19, Trade, 143.567, 155, S05, B19, 1
B19, Trade, 151.450, 147, S11, B19, 1
B19, Trade, 153.467, 151, S15, B19, 1
B19, Trade, 168.983, 146, S05, B19, 1
B19, Trade, 171.067, 147, S13, B19, 1
B19, Trade, 176.167, 153, S08, B19, 1
B19, Trade, 180.017, 157, B19, S06, 1
B19, Trade, 183.533, 151, S15, B19, 1
B19, Trade, 190.633, 148, S08, B19, 1
B19, Trade, 200.617, 153, B19, S12, 1
B19, Trade, 204.300, 153, S00, B19, 1
B19, Trade, 211.783, 149, S05, B19, 1
B19, Trade, 222.650, 156, S05, B19, 1
B19, Trade, 226.950, 160, S11, B19, 1
B19, Trade, 228.700, 154, B19, S12, 1
B19, Trade, 240.467, 151, S15, B19, 1
B19, Trade, 241.800, 155, S16, B19, 1
B19, Trade, 249.333, 153, S05, B19, 1
B19, Trade, 255.633, 150, S12, B19, 1
B19, Trade, 258.767, 148, B19, S10, 1
B19, Trade, 267.583, 154, S08, B19, 1
B19, Trade, 269.717, 148, S05, B19, 1
B19, Trade, 271.817, 151, S15, B19, 1
B19, Trade, 281.500, 151, S15, B19, 1
B19, Trade, 283.850, 152, S08, B19, 1
B19, Trade, 292.217, 156, S08, B19, 1
B20, 16
B20, Trade, 5.967, 161, S11, B20, 1
B20, Trade, 25.483, 151, S05, B20, 1
B20, Trade, 70.233, 149, S12, B20, 1
B20, Trade, 73.450, 162, S18, B20, 1
B20, Trade, 84.783, 158, B20, S00, 1
B20, Trade, 90.300, 157, S08, B20, 1
B20, Trade, 98.533, 162, S18, B20, 1
B20, Trade, 105.950, 148, S00, B20, 1
B20, Trade, 111.967, 149, S05, B20, 1
B20, Trade, 126.000, 160, S08, B20, 1
B20, Trade, 155.150, 163, S11, B20, 1
B20, Trade, 180.150, 155, S13, B20, 1
B20, Trade, 191.083, 149, S11, B20, 1
B20, Trade, 200.633, 154, S13, B20, 1
B20, Trade, 236.667, 151, S13, B20, 1
B20, Trade, 253.017, 151, S13, B20, 1
B21, 11
B21, Trade, 241.550, 152, S05, B21, 1
B21, Trade, 245.767, 151, S15, B21, 1
B21, Trade, 249.450, 154, B21, S08, 1
B21, Trade, 256.033, 151, B21, S15, 1
B21, Trade, 258.633, 151, S12, B21, 1
B21, Trade, 264.833, 156, B21, S15, 1
B21, Trade, 270.533, 146, B21, S12, 1
B21, Trade, 279.917, 155, S16, B21, 1
B21, Trade, 284.317, 150, S11, B21, 1
B21, Trade, 290.433, 154, S13, B21, 1
B21, Trade, 298.583, 149, S00, B21, 1
B22, 20
B22, Trade, 19.100, 154, S12, B22, 1
B22, Trade, 27.950, 162, S18, B22, 1
B22, Trade, 32.183, 158, S12, B22, 1
B22, Trade, 42.200, 146, B22, S13, 1
B22, Trade, 55.200, 155, S11, B22, 1
B22, Trade, 59.950, 153, S00, B22, 1
B22, Trade, 73.350, 149, B22, S01, 1
B22, Trade, 93.050, 158, S13, B22, 1
B22, Trade, 99.283, 163, S05, B22, 1
B22, Trade, 123.533, 156, S11, B22, 1
B22, Trade, 132.850, 150, S00, B22, 1
B22, Trade, 134.200, 155, S05, B22, 1
B22, Trade, 142.050, 162, S18, B22, 1
B22, Trade, 176.867, 150, S12, B22, 1
B22, Trade, 204.883, 162, B22, S09, 1
B22, Trade, 212.050, 146, S00, B22, 1
B22, Trade, 224.800, 162, B22, S18, 1
B22, Trade, 265.583, 155, S11, B22, 1
B22, Trade, 271.633, 146, S00, B22, 1
B22, Trade, 288.167, 151, S00, B22, 1
B23, 45
B23, Trade, 2.883, 168, B23, S15, 1
B23, Trade, 7.150, 152, B23, S07, 1
B23, Trade, 17.700, 149, B23, S03, 1
B23, Trade, 22.583, 153, S08, B23, 1
B23, Trade, 24.467, 153, S00, B23, 1
B23, Trade, 33.850, 153, B23, S10, 1
B23, Trade, 37.183, 151, B23, S03, 1
B23, Trade, 44.683, 147, B23, S08, 1
B23, Trade, 54.400, 153, B23, S09, 1
B23, Trade, 57.650, 150, B23, S08, 1
B23, Trade, 69.283, 149, B23, S01, 1
B23, Trade, 81.067, 149, B23, S13, 1
B23, Trade, 83.150, 146, B23, S01, 1
B23, Trade, 93.883, 153, B23, S01, 1
B23, Trade, 100.733, 150, S07, B23, 1
B23, Trade, 110.267, 146, B23, S07, 1
B23, Trade, 116.450, 155, B23, S01, 1
B23, Trade, 120.833, 155, B23, S01, 1
B23, Trade, 123.317, 154, B23, S00, 1
B23, Trade, 128.433, 155, B23, S15, 1
B23, Trade, 135.433, 147, B23, S01, 1
B23, Trade, 145.550, 153, B23, S08, 1
B23, Trade, 160.083, 158, B23, S13, 1
