B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 15
B14, Trade, 14.133, 148, B14, S02, 1
B14, Trade, 46.700, 148, B14, S11, 1
B14, Trade, 70.083, 148, B14, S11, 1
B14, Trade, 99.183, 148, B14, S03, 1
B14, Trade, 147.517, 148, B14, S03, 1
B14, Trade, 153.600, 148, B14, S05, 1
B14, Trade, 174.900, 148, B14, S02, 1
B14, Trade, 179.483, 148, B14, S05, 1
B14, Trade, 214.200, 148, B14, S00, 1
B14, Trade, 216.383, 148, B14, S11, 1
B14, Trade, 244.683, 148, B14, S11, 1
B14, Trade, 265.300, 148, B14, S03, 1
B14, Trade, 269.600, 148, B14, S01, 1
B14, Trade, 284.167, 148, B14, S12, 1
B14, Trade, 294.550, 148, B14, S03, 1
B15, 26
B15, Trade, 3.267, 149, B15, S00, 1
B15, Trade, 13.600, 149, B15, S04, 1
B15, Trade, 28.733, 151, B15, S11, 1
B15, Trade, 45.133, 150, B15, S01, 1
B15, Trade, 50.083, 148, S05, B15, 1
B15, Trade, 75.400, 150, B15, S13, 1
B15, Trade, 97.267, 151, S06, B15, 1
B15, Trade, 103.983, 151, B15, S06, 1
B15, Trade, 127.050, 151, B15, S11, 1
B15, Trade, 135.033, 151, B15, S02, 1
B15, Trade, 149.400, 151, S04, B15, 1
B15, Trade, 167.867, 135, S06, B15, 1
B15, Trade, 177.300, 149, B15, S13, 1
B15, Trade, 185.050, 151, B15, S04, 1
B15, Trade, 199.217, 151, B15, S13, 1
B15, Trade, 212.133, 151, B15, S01, 1
B15, Trade, 214.183, 149, B15, S04, 1
B15, Trade, 239.667, 151, B15, S04, 1
B15, Trade, 255.700, 151, B15, S05, 1
B15, Trade, 258.900, 149, B15, S02, 1
B15, Trade, 266.050, 151, B15, S00, 1
B15, Trade, 268.600, 151, B15, S11, 1
B15, Trade, 276.100, 151, B15, S11, 1
B15, Trade, 281.050, 151, B15, S02, 1
B15, Trade, 286.833, 145, B15, S09, 1
B15, Trade, 288.117, 148, B15, S03, 1
B16, 12
B16, Trade, 244.117, 155, B16, S06, 1
B16, Trade, 246.950, 155, S08, B16, 1
B16, Trade, 257.617, 148, S14, B16, 1
B16, Trade, 260.800, 154, B16, S01, 1
B16, Trade, 264.733, 149, S13, B16, 1
B16, Trade, 267.517, 153, B16, S08, 1
B16, Trade, 276.400, 151, S14, B16, 1
B16, Trade, 282.733, 155, B16, S07, 1
B16, Trade, 284.367, 155, S06, B16, 1
B16, Trade, 291.833, 155, B16, S11, 1
B16, Trade, 295.467, 155, B16, S15, 1
B16, Trade, 299.050, 152, S13, B16, 1
B17, 12
B17, Trade, 241.067, 156, B17, S12, 1
B17, Trade, 245.483, 155, S14, B17, 1
B17, Trade, 249.267, 158, S13, B17, 1
B17, Trade, 251.917, 154, B17, S07, 1
B17, Trade, 259.833, 152, B17, S12, 1
B17, Trade, 264.550, 152, S06, B17, 1
B17, Trade, 270.883, 148, S14, B17, 1
B17, Trade, 273.183, 155, S15, B17, 1
B17, Trade, 278.833, 158, S00, B17, 1
B17, Trade, 286.450, 153, S15, B17, 1
B17, Trade, 290.533, 151, S15, B17, 1
B17, Trade, 299.500, 156, S05, B17, 1
B18, 48
B18, Trade, 5.683, 149, B18, S03, 1
B18, Trade, 8.767, 152, S08, B18, 1
B18, Trade, 21.700, 159, B18, S15, 1
B18, Trade, 26.867, 158, B18, S13, 1
B18, Trade, 35.067, 156, S15, B18, 1
B18, Trade, 41.817, 153, B18, S04, 1
B18, Trade, 52.500, 148, B18, S06, 1
B18, Trade, 58.067, 153, B18, S11, 1
B18, Trade, 65.550, 159, B18, S03, 1
B18, Trade, 69.583, 157, B18, S13, 1
B18, Trade, 73.967, 151, S08, B18, 1
B18, Trade, 80.133, 159, B18, S08, 1
B18, Trade, 87.167, 156, B18, S11, 1
B18, Trade, 89.867, 158, B18, S05, 1
B18, Trade, 96.183, 152, S13, B18, 1
B18, Trade, 102.350, 147, B18, S03, 1
B18, Trade, 110.150, 157, S05, B18, 1
B18, Trade, 114.467, 155, S06, B18, 1
B18, Trade, 120.617, 155, B18, S04, 1
B18, Trade, 123.683, 158, S13, B18, 1
B18, Trade, 129.850, 154, S05, B18, 1
B18, Trade, 131.483, 152, S06, B18, 1
B18, Trade, 144.867, 158, S08, B18, 1
B18, Trade, 150.250, 150, B18, S05, 1
B18, Trade, 155.933, 154, B18, S08, 1
B18, Trade, 160.283, 154, B18, S11, 1
B18, Trade, 166.383, 156, B18, S03, 1
B18, Trade, 171.483, 156, B18, S01, 1
B18, Trade, 178.883, 148, B18, S02, 1
B18, Trade, 183.567, 149, B18, S08, 1
B18, Trade, 191.100, 152, B18, S06, 1
B18, Trade, 196.083, 155, S13, B18, 1
B18, Trade, 199.650, 149, B18, S04, 1
B18, Trade, 211.433, 156, B18, S06, 1
B18, Trade, 222.850, 157, B18, S03, 1
B18, Trade, 226.117, 156, S06, B18, 1
B18, Trade, 236.483, 154, B18, S06, 1
B18, Trade, 238.367, 156, B18, S11, 1
B18, Trade, 243.333, 158, S06, B18, 1
B18, Trade, 249.733, 157, B18, S07, 1
B18, Trade, 255.433, 152, B18, S13, 1
B18, Trade, 257.817, 150, S06, B18, 1
